id,P000818,P000819,P000820,P000821
df36dfb2fc1a40cea17c42a28bf62e85,ratnagotravibhāgo mahāyānottaratantraśāstram |,究竟一乘寶性論卷第一,། རྒྱ་གར་སྐད་དུ་། མ་ཧཱ་ཡཱ་ན་ཨུཏཏ་ར་ཏ་ནཏྲ་ཤཱ་སྟྲ་བྱཱ་ཁྱ་། བོད་སྐད་དུ་། ཐེག་པ་ཆེན་པོ་རྒྱུད་བླ་མའི་བསྟན་བཅོས་རྣམ་པར་བཤད་པ་།,ANALYSIS OF THE GERM OF THE JEWELS: A TREATISE ON THE ULTIMATE DOCTRINE OF THE GREAT VEHICLE
fbf1ad021d2847a0ad282f278847aada,oṃ namaḥ śrīvajrasattvāya |,後魏中印度三藏勒那摩提譯,སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ་༎,I bow to the Saint Vajrasattva.
cad9b7c80db44bb9a6317bf338722638,,,-,THE MATRIX OF THE TATHĀGATA
f647f991d8384f21b15f15f0d7b09e85,,論曰 第一教化品 如向偈中已說 應知此論 廣門有十一品 中則七品 略唯一品 初釋一品 具攝此論法義體相 應知偈言,-,I. Introduction
ed157947239b4652ae6cf8bd0430d499,buddhaś ca dharmaś ca gaṇaś ca dhātur bodhir guṇāḥ karma ca bauddham antyam |kṛtsnasya śāstrasya śarīram etat samāsato vajrapadāni sapta || 1x ||,佛法及眾僧 性道功德業 略說此論體 七種金剛句,སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ་༎ སངས་རྒྱས་ཆོས་ཚོགས་ཁམས་དང་བྱང་ཆུབ་དང་༎ ཡོན་ཏན་སངས་རྒྱས་ཕྲིན་ལས་ཐ་མ་སྟེ་༎ བསྟན་བཅོས་ཀུན་གྱི་ལུས་ནི་མདོར་བསྡུ་ན་༎ རྡོ་རྗེ་ཡི་ནི་གནས་བདུན་འདི་དག་གོ་༎,"The Buddha, the doctrine, and the community, The Essence of the Buddha, the Supreme Enlightenment, The Virtuous Qualities of the Buddha; - These are the Admantine Subjects, which show Briefly, the body of the whole text."
3afb27720a8c45e186bdad4ea0f8b9d1,vajropamasyādhigamārthasya padaṃ sthānam iti vajrapadam | tatra śruticintāmayajñānaduṣprativedhād anabhilāpyasvabhāvaḥ pratyātmavedanīyo ’rtho vajravad veditavyaḥ |  yāny akṣarāṇi tam artham abhivadanti tatprāptyanukūlamārgābhidyotanatas tāni tatpratiṣṭhābhūtatvāt padam ity ucyante | iti duṣprativedhārthena pratiṣṭhārthena ca vajrapadatvam arthavyañjanayor anugantavyam |  tatra katamo ’rthaḥ katamad vyañjanam | artha ucyate sapta prakāro ’dhigamārtho yad uta buddhārtho dharmārthaḥ saṃghārtho dhātvartho bodhyartho guṇārthaḥ karmārthaś ca | ayam ucyate ’rthaḥ |  yair akṣarair eṣa saptaprakāro ’dhigamārthaḥ sūcyate prakāśyata idam ucyate vyañjanam | sa caiṣa vajrapadanirdeśo vistareṇa yathāsūtram anugantavyaḥ |,此偈明何義。言金剛者。猶如金剛難可沮壞 所證之義亦復如是。故言金剛。所言句者。以 此論句。能與證義為根本故。此明何義。內身 證法無言之體。以聞思智難可證得。猶如金剛。  名字章句以能詮彼理中證智。隨順正道。 能作根本故。名為句。此復何義。有二義故。何 謂二義。一難證義。二者因義。是名為義。金剛字句應如是知  又何謂為義。何謂為字。義者。則有七種證義。 何謂七義。一者佛義。二者法義。三者僧義。四 者眾生義。五者菩提義。六者功德義。七者業 義。是名為義。  是故經言。又第一義諦者。所謂 心緣尚不能知。何況名字章句故。所言字者。 隨以何等名字。章句。言語。風聲。能表。能說。 能明。能示。此七種義。是名為字。是故經言。 又世諦者。謂世間中所用之事。名字章句言語所說故。又此七種金剛句義。如諸經中廣 說應知。,རྟོགས་པའི་དོན་རྡོ་རྗེ་ལྟ་བུའི་གནས་ཏེ་། གཞི་ཡིན་པའི་ཕྱིར་རྡོ་རྗེའི་གནས་སོ་༎ དེ་ལ་ཐོས་པ་དང་བསམས་པ་ལས་བྱུང་བའི་ཤེས་པས་ཕིགས་པར་དཀའ་བའི་ཕྱིར་ན་བརྗོད་དུ་མེད་པའི་རང་བཞིན་སོ་སོ་རང་གིས་རིག་པར་བྱ་བའི་དོན་རྡོ་རྗེ་ལྟ་བུར་རིག་པར་བྱའོ་༎ དེ་ཐོབ་པ་དང་རྗེས་སུ་མཐུན་པའི་ལམ་སྟོན་པར་བྱེད་པས་ན་དོན་དེ་བརྗོད་པའི་ཡི་གེ་གང་ཡིན་པ་དེ་དག་ནི་གནས་ཞེས་བརྗོད་དོ་༎ དེའི་རྟེན་དུ་གྱུར་པའི་ཕྱིར་རོ་༎ དེ་ལྟར་ཕིགས་པར་དཀའ་བའི་དོན་དང་། རྟེན་གྱི་དོན་གྱིས་དོན་དང་ཡི་གེ་དག་རྡོ་རྗེ་དང་གནས་ཉིད་དུ་རྟོགས་པར་བྱའོ་༎ དེ་ལ་དོན་ནི་གང་། ཡི་གེ་ནི་གང་ཞེ་ན་། རྟོགས་པའི་དོན་རྣམ་པ་བདུན་ནི་དོན་ཞེས་བརྗོད་དེ་། འདི་ལྟ་སྟེ་། སངས་རྒྱས་ཀྱི་དོན་དང་། ཆོས་ཀྱི་དོན་དང་། དགེ་འདུན་གྱི་དོན་དང་། ཁམས་ཀྱི་དོན་དང་། བྱང་ཆུབ་ཀྱི་དོན་དང་། ཡོན་ཏན་གྱི་དོན་དང་། ཕྲིན་ལས་ཀྱི་དོན་དང་། འདི་ནི་དོན་ཞེས་བྱའོ་༎ ཡི་གེ་གང་དག་གིས་རྟོགས་པའི་དོན་རྣམ་པ་བདུན་པོ་འདི་དག་སྟོན་པར་བྱེད་། གསལ་བར་བྱེད་པ་དེ་ནི་ཡི་གེ་ཞེས་བྱའོ་༎ རྡོ་རྗེའི་གནས་བསྟན་པ་དེ་ཡང་རྒྱས་པར་ནི་མདོ་ཇི་ལྟ་བུ་བཞིན་དུ་རྟོགས་པར་བྱ་སྟེ་།,"The word ‘vajrapada’ (admantine subject) means the term, i.e. the basis, which expresses the meaning of the Enlightenment which is similar to a thunderbolt or diamond. Here, it being difficult to be penetrated by the knowledge consisting in studying and thinking, the meaning of the Enlightenment which is not capable of being explained but is to be realized by oneself, should be understood as ‘like a thunderbolt’.  Those letters, which express that meaning by making manifest the way which is favorable for its acquisition, are called ‘pada’, just because they are the basis of that meaning. Thus, by both meanings, i.e. being hard to be penetrated and being the basis, the character of ‘vajrapada’, of the meaning as well as of the letters, is to be understood.  Now, what is ‘artha’, (the meaning) and what is ‘vyañjana’ (the letter)? ‘artha’ is the sevenfold meaning of the Enlightenment, viz. 1) the Buddha, 2) the Doctrine, 3) the Community, 4) the Essence of the Buddha, 5) the Supreme Enlightenment, 6) The Virtuous Qualities of the Buddha, and 7) the Acts of the Buddha. These are called ‘artha’.  The letters, by which the sevenfold meaning of the Enlightenment is indicated or is manifested, are called ‘vyañjana’. And this teaching of ‘vajrapada’ should be understood in detail according to the Sūtras."
544e41157981436d9c1ed7ac2657ac54,anidarśano hy ānanda tathāgataḥ | sa na śakyaś cakṣuṣā draṣṭum | anabhilāpyo hy ānanda dharmaḥ | sa na śakyaḥ karṇena śrotum | asaṃskṛto hy ānanda saṃghaḥ | sa na śakyaḥ kāyena vā cittena vā paryupāsitum | itīmāni trīṇi vajrapadāni dṛḍhādhyāśayaparivartānusāreṇānugantavyāni |  tathāgataviṣayo hi śāriputrāyam arthas tathāgatagocaraḥ | sarvaśrāvakapratyekabuddhair api tāvac chāriputrāyam artho na śakyaḥ samyak svaprajñayā XXX draṣṭuṃ vā pratyavekṣituṃ vā | prāg eva bālapṛthagjanair anyatra tathāgataśraddhāgamanataḥ | śraddhāgamanīyo hi śāriputra paramārthaḥ | paramārtha iti śāriputra sattvadhātor etad adhivacanam |  sattvadhātur iti śāriputra tathāgatagarbhasyaitad adhivacanam | tathāgatagarbha iti śāriputra dharmakāyasyaitad adhivacanam | itīdaṃ caturthaṃ vajrapadam anūnatvāpūrṇatvanirdeśaparivartānusāreṇānugantavyam |,應云何知依佛義故。如來經中告阿難言。阿難。所言如來者。非可見法。是故眼識不能得見故。依法義故。如來經中告阿難言。 阿難。所言法者。非可說事。以是故非耳識所聞故。依僧義故。如來經中告阿難言。阿難。所言僧者。名為無為。是故不可身心供養禮拜讚歎故。依眾生義故。  如來經中告舍利弗言。舍利弗。言眾生者。乃是諸佛如來境界。一切聲聞辟支佛等。以正智慧不能觀察眾生之義。何況能證毛道凡夫。於此義中唯信如來。是故舍利弗。隨如來信此眾生義。舍利弗。言眾生者。即是第一義諦。舍利弗言。第一義 諦者。即是眾生界。  舍利弗言。眾生界者。即是如來藏。舍利弗言。如來藏者。即是法身故。,ཀུན་དགའ་བོ་དེ་བཞིན་གཤེགས་པ་ནི་བསྟན་དུ་མེད་པ་སྟེ་། དེ་ནི་མིག་གིས་བལྟ་བར་མི་ནུས་སོ་༎ ཀུན་དགའ་བོ་ཆོས་ནི་བརྗོད་དུ་མེད་སྟེ་། དེ་ནི་རྣ་བས་མཉན་པར་མི་ནུས་སོ་། ཀུན་དགའ་པོ་དགེ་འདུན་ནི་འདུས་མ་བྱས་པ་སྟེ་། དེ་ནི་ལུས་དང་སེམས་ཀྱིས་བསྙེན་བཀུར་བྱ་བར་མི་ནུས་སོ་ཞེས་རྡོ་རྗེའི་གནས་གསུམ་པོ་འདི་ནི་ལྷག་པའི་བསམ་པ་བསྟན་པའི་ལེའུའི་རྗེས་སུ་འབྲངས་ཏེ་རིག་པར་བྱའོ་། ཤཱ་རིའི་བུ་དོན་འདི་ནི་དེ་བཞིན་གཤེགས་པའི་ཡུལ་ཏེ་དེ་བཞིན་གཤེགས་པའི་སྤྱོད་ཡུལ་ལོ་༎ ཤཱ་རིའི་བུ་དོན་འདི་ནི་རེ་ཞིག་ཉན་ཐོས་དང་། རང་སངས་རྒྱས་ཐམས་ཅད་ཀྱིས་ཀྱང་རང་གི་ཤེས་རབ་ཀྱིས་ཡང་དག་པར་ཤེས་པའམ་། ལྟ་བའམ་། བརྟག་པར་མི་ནུས་ན་། བྱིས་པ་སོ་སོའི་སྐྱེ་བོ་དག་གིས་ལྟ་ཅི་སྨོས་ཏེ་། དེ་དེ་བཞིན་གཤེགས་པ་ལ་དད་པས་རྟོགས་པ་ནི་མ་གཏོགས་སོ་༎ ཤཱ་རིའི་བུ་དོན་དམ་པར་ནི་དད་པས་རྟོགས་པར་བྱ་བ་ཡིན་ནོ་༎ ཤཱ་རིའི་བུ་དོན་དམ་པར་ཞེས་བྱ་བ་འདི་ནི་སེམས་ཅན་གྱི་ཁམས་ཀྱི་ཚིག་བླ་དགས་སོ་༎ ཤཱ་རིའི་བུ་སེམས་ཅན་གྱི་ཁམས་ཞེས་བྱ་བ་འདི་ནི་། དེ་བཞིན་གཤེགས་པའི་སྙིང་པོའི་ཚིག་བླ་དགས་སོ་༎ ཤཱ་རིའི་བུ་དེ་བཞིན་གཤེགས་པའི་སྙིང་པོ་ཞེས་བྱ་བ་འདི་ནི་ཆོས་ཀྱི་སྐུའི་ཚིག་བླ་དགས་སོ་ཞེས་རྡོ་རྗེའི་གནས་བཞི་པ་འདི་ནི་འགྲིབ་པ་མེད་པ་དང་འཕེལ་བ་མེད་པ་ཉིད་བསྟན་པའི་རྗེས་སུ་འབྲངས་ཏེ་རྟོགས་པར་བྱའོ་༎,"1) ‘Buddha’: “Verily, O Ānanda, invisible is the Tathāgata. He cannot be seen by eyes”. 2) ‘Dharma’: “Verily, O Ānanda, unutterable is the Doctrine. It cannot be heard by ears”. 3) ‘Saṃgha’: “Verily, O Ānanda, the Holy Community is of an immutable character. It cannot be comletely served, either by body or by mind”. These are the first three vajrapadas, which are to be understood according to the Dṛḍādhyāśaya-parivarta.  ‘Dhātu’: “Verily, O Śāriputra, this meaning is the subject for the Tathāgata and only belongs to the sphere of the Tathāgata. This meaning, O Śāriputra, can neither be known nor be seen, nor be examined correctly through the knowledge of the Śrāvakas and the Pratyekabuddhas. Needless to say, this applies to the case of ignorant and ordinary beings, except when they have faith in the Tathāgata. O Śāriputra, the ultimate Truth is really approachable only by faith in the Tathāhata. O Śāriputra, the ultimate Truth is a synonym of the mass of living beings.  The mass of living beings is, O Śāriputra, nothing but a synonym of the Matrix of the Tathāgata. The Matrix of the Tathāgata is, O Śāriputra, nothing but a synonym of the Absolute Body”. Thus is the forth ‘vajrapada’ and is to be understood according to the Anūnatvāpūrṇatvanirdeśa-parivarta."
28908c140a69483a82821749c71503ca,anuttarā samyaksaṃbodhir iti bhagavan nirvāṇadhātor etad adhivacanam | nirvāṇadhātur iti bhagavan tathāgatadharmakāyasyaitad adhivacanam | itīdaṃ pañcamaṃ vajrapadam āryaśrīmālāsūtrānusāreṇānugantavyam |,依菩提義故。經中說言。世尊言阿耨多羅三藐 三菩提者。名涅槃界。世尊言。涅槃界者。即是法身故。,བཅོམ་ལྡན་འདས་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཅེས་བྱ་བ་འདི་ནི་མྱ་ངན་ལས་འདས་པའི་དབྱིངས་ཀྱི་ཚིག་བླ་དགས་སོ་༎ བཅོམ་ལྡན་འདས་མྱ་ངན་ལས་འདས་པའི་དབྱིངས་ཞེས་བགྱི་བ་འདི་ནི་དེ་བཞིན་གཤེགས་པའི་ཆོས་ཀྱི་སྐུའི་ཚིག་བླ་དགས་སོ་ཞེས་རྡོ་རྗེའི་གནས་ལྔ་པ་འདི་ནི་། འཕགས་པ་དཔལ་ཕྲེང་གི་མདོའི་རྗེས་སུ་འབྲངས་ཏེ་རྟོགས་པར་བྱའོ་༎,"‘Bodhi’: “O Lord, the Supreme Perfect Enlightenment is a synonym of the Sphere of the Nirvāṇa. Sphere of the Nirvāṇa is nothing but a synonym of the Absolute Body of the Tathāgata”. Thus is the fifth Vajrapada which is to be understood according to the Ārya Śrīmālā-sūtra."
e86a92ba2a4a46fdbb08cd4ef6cb55e9,yo ’yaṃ śāriputra tathāgatanirdiṣṭo dharmakāyaḥ so ’yam avinirbhāgadharmā | avinirmuktajñānaguṇo yad uta gaṅgānadīvālikāvyatikrāntais tathāgatadharmaiḥ | itīdaṃ ṣaṣṭhaṃ vajrapadam anūnatvāpūrṇatvanirdeśānusāreṇānugantavyam |,依功德義故。如來經中告舍利弗言。舍利弗。如來所說法身義者。過於恆沙不離不脫不思議佛法如來智慧功德。舍利弗。如世間燈。明色及觸不離不脫。又如摩尼寶珠。明色形相不離不脫。舍利弗。法身之義亦復 如是。過於恆沙不離不脫不思議佛法如來智慧功德故。,ཤཱ་རིའི་བུ་དེ་བཞིན་གཤེགས་པས་བསྟན་པའི་ཆོས་ཀྱི་སྐུ་གང་ཡིན་པ་དེ་ནི་འདི་ལྟ་སྟེ་། གང་གཱའི་ཀློང་གི་བྱེ་མ་སྙེད་ལས་འདས་པའི་དེ་བཞིན་གཤེགས་པའི་ཆོས་དག་དང་། རྣམ་པར་དབྱེར་མེད་པའི་ཆོས་དང་ལྡན་པ་མ་བྲལ་བའི་ཡེ་ཤེས་ཀྱི་ཡོན་ཏན་ཅན་ཡིན་ནོ་ཞེས་རྡོ་རྗེའི་གནས་དྲུག་པ་འདི་ནི་འགྲིབ་པ་མེད་ཅིང་འཕེལ་བ་མེད་པ་ཉིད་བསྟན་པའི་རྗེས་སུ་འབྲངས་ནས་རྟོགས་པར་བྱའོ་།,"‘Guṇa’: “O Śāriputra, that which is called Absolute Body, preached by the Tathāgata, is of indivisible nature, of qualities inseparable from the Wisdom, that is to say, indivisible from or endowed with the properties of the Buddha which far surpass the particles of sands of the Gaṅgā in number”. This is the sixth Varjrapada and is to be understood according to the Anūnatvāpūrṇatvanirdeśa."
81fcb46bffc546f4b30c2844f12e0498,na mañjuśrīs tathāgataḥ kalpayati na vikalpayati | atha vāsyānābhogenākalpayato ’vikalpayata iyam evaṃrūpā kriyā pravartate | itīdaṃ saptamaṃ vajrapadaṃ tathāgataguṇa jñānācintyaviṣayāvatāranirdeśānusāreṇānugantavyam | itīmāni samāsataḥ sapta vajrapadāni sakalasyāsya śāstrasyoddeśamukhasaṃgrahārthena śarīram iti veditavyam |,依業義故。如來經中告文殊師 利言。文殊師利。如來不分別。不分別無分別。而自然無分別。如所作業自然行故。如是等名略說七種金剛字句。總攝此論體相應知。是故偈言,འཇམ་དཔལ་དེ་བཞིན་གཤེགས་པ་ནི་རྟོག་པར་མི་མཛད་། རྣམ་པར་རྟོག་པར་མི་མཛད་མོད་ཀྱི་། དེ་ལྟ་ན་ཡང་དེ་འདི་ལྟ་བུའི་རང་བཞིན་གྱི་མཛད་པ་འདི་ནི་མི་རྟོག་པ་རྣམ་པར་མི་རྟོག་བཞིན་དུ་ལྷུན་གྱིས་གྲུབ་པར་འཇུག་གོ་༎ ཞེས་རྡོ་རྗེའི་གནས་བདུན་པ་འདི་ནི་དེ་བཞིན་གཤེགས་པའི་ཡོན་ཏན་དང་ཡེ་ཤེས་བསམ་གྱིས་མི་ཁྱབ་པའི་ཡུལ་ལ་འཇུག་པ་བསྟན་པའི་རྗེས་སུ་འབྲངས་ནས་རྟོགས་པར་བྱའོ་༎ དེ་ལྟར་མདོར་བསྡུས་ནས་རྡོ་རྗེའི་གནས་བདུན་པོ་འདི་ནི་བསྟན་པའི་སྒོ་བསྡུས་པའི་དོན་གྱིས་ན་། བསྟན་བཅོས་འདི་མཐའ་དག་གི་ལུས་སུ་རིག་པར་བྱའོ་༎,"‘Karman’: “O Mañjuśri, the Tathāgata never imagines anything nor distinguishes falsely. That is to say, his acts of this kind flow forth without any effort, without any imagination or any thought construction”. This is the seventh Vajrapada which is to be understood according to the Tathāgataguṇajñānācintyaviṣayāvatāranirdeśa. In short, these are the Vajrapadas which should be known as the body of this whole text, in the sense of being a collection of preliminary explanations."
