id,P000827,P000828
e0431d9ceca347cea2dccac0e484ee35,Saundarananda,Saundarananda
23234c0fc7b448e4962730193b740980,oṃ namo buddhāya || ||,Homage to the Buddha
3738d0f619c2493f84f0b328bd0e4012,gautamaḥ kapilo nāma muni dharmabhṛtāṃ varaḥ |babhūva tapasi śrāntaḥ kākṣīvān iva gautamaḥ ||,"1.1 A sage named Kapila Gautama, an outstanding upholder of dharma,Became as consumed in ascetic practice as was Kākṣīvat Gautama."
a99349ed96d049129c3c4034d5864ee3,aśiśriyad yaḥ satataṃ dīptaṃ kāśyapavat tapaḥ |āśiśrāya ca tadvṛddhau siddhim kāśyapavat parām ||,"1.2 Ceaselessly he shone his light, like Kāśyapa the sun, on blazing asceticism;And in promoting that asceticism he pushed himself, like Kāśyapa the sage, to extreme achievement."
e64a7d5a27b24cad9d4ed775b8bca044,haviṁṣi yaś ca svātmārthaṃ gām adhukṣad vasiṣṭhavat |tapaḥśiṣṭeṣu ca śiṣyeṣu gām adhukṣad vasiṣṭhavat ||,"1.3 For the offerings he served himself, he milked a cow, like Vasiṣṭha;In schooling his disciples in asceticism, he milked a cow, like Vasiṣṭha."
4843a6fe5d99499498472bcebfe07e32,māhātmyād dīrghatapaso yo dvitīya ivābhavat |tṛtīya iva yaś cābhūt kāyāṅgirasayor dhiyā ||,"1.4 In high-mindedness, he was like a second Dīrgha-tapas;And he was like a third in the mould of Kāvya and Āṅgiras, in religious thought."
d39ec203f690467e9c574867ac0401ec,tasya vistīrṇatapasaḥ pārśve himavataḥ śubhe |kṣetraṃ cāyatanaṃ caiva tapasām āśramo ’bhavat ||,"1.5 On a bright slope of the Himālayas this man steeped in ascetic practice  Had his ashram, the domain and the very seat of ascetic practices."
c308281fcfaf4cd89f39e600f1ef3a87,cāruvīruttaruvanaḥ prasnigdhamṛduśādvalaḥ |havirdhūmavitānena yaḥ sadābhra ivābabhau ||,"1.6 Wooded with charming shrubs and trees and abounding with lush, soft grass,It was so thick with sacrificial smoke that it constantly resembled a raincloud."
1812d598cf2049bf8e89efae881f4313,mṛdubhiḥ saikataiḥ snigdhaiḥ kesarātarapāṇḍubhiḥ |bhūmibhāgair asaṃkīrṇaiḥ sāṅgarāga ivābhavat ||,"1.7 With soft, sandy, and smooth soil, made yellowish white by a covering of kesara blossoms,And divided into areas, with no commingling, it was like a body painted with cosmetic pigments."
bd6403be244a4bc48660e1234e9d0a01,śucibhis tīrthasaṃkhyātaiḥ pāvanair bhāvanair api |bandhumān iva yas tasthau sarobhiḥ sasaraoruhaiḥ ||,"1.8 Pure, esteemed for their sacred presence, edifying, and cultivating Like friends, were the lakes it stood among – fluent, and bearing lotuses."
a707b616b48a447cbafb2de41dfc440e,paryāptaphalapuṣpābhiḥ sarvato vanarājibhiḥ |śuśubhe vavṛdhe caiva naraḥ sādhanavān iva ||,"1.9 With abundant flowers and fruits beautifying the forests all around it,It shone and it flourished, like a man furnished with a means."
c0ab3ef64218459ca5f7fa2dfde20be7,nīvāraphalasaṃtuṣṭaiḥ svasthaiḥ śāntair anutsukaiḥ |akīrṇo ’pi tapobhṛdhibhiḥ śūnyaśūnya ivābhavat ||,"1.10 Content to feed on wild rice and fruit, the ascetics were self-abiding, inhibited, and retiring,Though the ashram was full of them, it seemed to be utterly empty."
5de57a63455641dfaf17c180036ce005,agnīnāṃ hūyamānānāṃ śikhinā kūjatām api |tīrthānāṃ cābhiṣekeṣu śuśruve yatra nisvanaḥ ||,"1.11 The sound of the fires receiving offerings, of the peacocks with their crested heads uttering their repetitive cry,And of the sacred bathing places, during ablutions, was all that one heard there."
32c4bb9f2df64aab87bdbd03fe06431c,virejur hariṇā yatra suptā medhyāsu vediṣu |salājair mādhavīpuṣpair upahārāḥ kṛtā iva ||,"1.12 The stags there, their manes beautifully braided, on undefiled elevations fit to be sacrificial altars, Seemed as though, complete with puffy rice and mādhavi flowers, they had been prepared as religious offerings."
f7afaadcb0e444ba80886dc1ab529f73,api kṣudramṛgā yatra sāntāś ceruḥ samaṃ mṛgaiḥ |śarañyebhyas tapasvibhyo vinayaṅ śikṣitā iva ||,"1.13 Even lesser creatures moved there in the same subdued manner as the stags,As if from their ascetic protectors they had learned the rules of discipline."
f7482abc2cd44b7086149b033581da87,saṃdigdhe ’py apunarbhāve vidudhheṣv āgameṣv api |pratyakṣiṇa ivākurvaṃs tapo yatra tapodhanāḥ ||,"1.14 Even in the face of precarious immunity to rebirth, and notwithstanding inconsistencies in their time-honoured texts,There and then, as if seeing with their own eyes, the great ascetics practised asceticism."
be87e2db81d44e4598ef8c405a771f44,yatra sma mīyate brahma kaiś cit kaiś cin na mīyate |kāle nimīyate somo na cākāle pramīyate ||,"1.15 There some prayed to Brahma; none suffered the frustration of losing his way;The soma, at the right moment, was measured out; and nobody, at a random moment, came to nothing."
5d8a0e8c19f740bfad70926933e540c8,nirapekṣāḥ śarireṣu dharme yatra svabhuddhayaḥ |saṃhṛṣṭā iva yatnena tāpasās te pire tapaḥ ||,"1.16 There, each disregarding his body, but having his own view with regard to dharma,  And almost bristling with zeal, the ascetics set about their ascetic practice of asceticism. "
2509b14d39e44c5d9fa937b0af2ba0dd,śrāmyanto munayo yatra svargāyodyuktacetasaḥ |taporāgeṇa dharmasya vilopam iva cakrire ||,"1.17 There the toiling sages, hearts straining heavenward,Seemed by their passion for asceticism almost to do dharma a mischief."
ba3b505fd97147e3ae5ea213bc0a8a3e,atha tejavisadanaṃ tapaḥkṣetraṃ tam āśramam |kecid ikṣvākavo jagmū rājaputrā vivatsavaḥ ||,"1.18 Now, to that ashram, that seat of intensity, that domain of austerity,There came certain sons of Ikṣvāku, royal princes, wishing to stay."
a9dbff585ac044a887bf5e1c92a3615e,suvarṇastambhavarṣmāṇaḥ siṃhoraskā mahābhujāḥ |pātraṃ śabdasya mahataḥ śriyāṃ ca vinayasya ca ||,"1.19 Tall they were like golden columns, lion-chested, strong-armed,Worthy of their great name and royal insignia and good upbringing."
9840e30a97ae44978d40a125a52ee01f,arharūpā hy anarhasya mahātmānaś calātmanaḥ |prājñāḥ prajñāvimuktasya bhrātṛyasya yavīyasaḥ ||,"1.20 For deserving were they, where undeserving was he. Big-minded were they, where fickle-minded was he. And bright were they, where brainless was he: their younger half-brother"
38f6f5432898493180f498cd02bce185,mātṛśulkād upagatāṃ te śriyaṃ na viṣehire |rarakṣuś ca pituḥ kautsās te bhavanti sma gautamāḥ ||,"1.21 The royal authority that had come to him, as his mother’s bride-price, they had not usurped;Rather, keeping their father’s promise, they had retreated to the forest"
f7a99d67650c42a8a544072a36a6ca05,teṣaṁ munir upādhyāyo gautamaḥ kapilo ’bhavat| guru-gotrād ataḥ kautsās te bhavanti sma gautamāḥ||,"1.22 The sage Kapila Gautama became their preceptor;And so, from the guru’s surname, those Kautsas became Gautamas –"
87d821248a614cab91de2f4eee2303e2,ekapitror yathā bhrātroḥ pṛthagguruparigrahāt |rāma evābhavad gārgyo vāsubhadro ’pi gautamaḥ ||,"1.23 Just as, though they were brothers born of one father, because they had different gurusRāma became a Gārgya and Vāsubhadra a Gautama."
44b0cff63a564bbfbbc550a01d85acb4,śākravṛkṣapraticchannaṃ vāsaṃ yasmāc ca cakrire |tasmād ikṣvākuvaṃśyās te bhuvi śākya iti smṛtāḥ ||,"1.24 And since they made a dwelling concealed among śāka trees,Therefore those descendants of Ikṣvāku were known on earth as Śākyas."
7a2acaa185b1473cbb287b5c93e5456c,sa teṣāṃ gautamaś cakre svavaṃśasadṛśīḥ kriyāḥ |munir ūrdhvaṃ kumārasya sagarasyeva bhārgavaḥ ||,"1.25 Gautama performed services for them as for his own sons,Like the Bhārgava sage later did for the child-prince Sagara;"
fa2acb4a5493437b9b20f2fca03172f8,kaṇvaḥ śākuntalasyeva bharatasya tarasviaḥ |vālmīkir iva dhīmāṃś ca dhīmator maithileyayoḥ ||,"1.26 Like Kaṇva did for Śākuntala’s son, the intrepid Bharata;And like the inspired Vālmīki did for the inspired twin sons of Maithili."
2b0c4c13d16b4c4cb59cc8f673d00cec,tadvanaṃ muninā tena taiś ca kṣatriyapuṅgavaiḥ |śāntāṃ guptāṃ ca yugapad brahmakṣatraśriyaṃ dadhe ||,"1.27 That forest, through the sage, and through those warrior heroes,Radiated tranquillity and security – the majesty of the brahmin and of the kṣatriya, in one yoke."
