id,P000850,P000851
f9a7c2799dc3403abf7373e355be8d4f,བྲཧམཤརīབྱཱཀརང,The exalted sūtra of the Great Vehicle entitled The Prediction to Buddhahood Regarding Brahmaśrī
90672ee813fe48baaf048bf1c07d6497,ཚངས་པའི་དཔལ་ལུང་བསྟན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ་།,
c9f9a2fe913e481288125c42cfcd8d51,༼༡༩༩བ༦༽ ༎ རྒྱ་གར་སྐད་དུ་། Āརྱ་བྲཧམཤརīབྱཱཀརང་ནཱམ་མཧཱཡཱནསūཏྲ་། བོད་སྐད་དུ་། འཕགས་པ་ཚངས་པའི་དཔལ་ལུང་བསྟན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ་།,
4d9431ce06994c1586189173f4aa8abb,སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ་༎,Homage to all Buddhas and Bodhisatvas.
e281891c29524beda7db90d578ef2e86,འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག ༼༧༽ ན་། བཅོམ་ལྡན་འདས་མཉན་ཡོད་ན་རྒྱལ་བུ་རྒྱལ་བྱེད་ཀྱི་ཚལ་མགོན་མེད་ཟས་སྦྱིན་གྱི་ཀུན་དགའ་ར་བ་ན་དགེ་སློང་གི་དགེ་འདུན་མང་པོ་དང་ཐབས་ཅིག་ཏུ་བཞུགས་སོ་༎,"This is what I've heard: Once, the Blessed One was staying at Śrāvastī, in Prince Jeta's Grove, in Anatapiṇḍada's pleasure garden, together with a community of many monks."
d071cb00b4db43c494566cfa52c0fcb8,དེ་ནས་བཅོམ་ལྡན་འདས་སྔ་དྲོ་ཤམ་ཐབས་དང་ཆོས་གོས་གསོལ་ཏེ་ལྷུང་བཟེད་བསྣམས་ནས་མཉན་ཡོད་ཀྱི་གྲོང་ཁྱེར་དུ་བསོད ༼༢༠༠ཨ༡༽ སྙོམས་ལ་གཤེགས་སོ་༎,"Then one morning, the Blessed One put on his upper and lower robes, took his begging bowl and went into the city of Śrāvastī to gather alms."
d797cca804874deb9d962ed316fd1c43,ཡང་དེའི་ཚེ་མཉན་ཡོད་ཀྱི་གྲོང་ཁྱེར་གྱི་ཕྱི་རོལ་ན་བྱིས་པ་ཕལ་པོ་ཆེ་དག་ས་རྡུལ་གྱི་ཁྱིམ་དང་། ས་རྡུལ་གྱི་ར་བ་དང་། ས་རྡུལ་གྱི་ཁང་པ་བརྩེགས་པ་དག་གིས་རྩེ་ཞིང་འཁོད་པ་ལས་བྱིས་པ་ཕལ་པོ་ཆེ་དེ་དག་གིས་ཐག་རིང་པོ་ཞིག་ནས་བཅོམ ༼༢༽ ལྡན་འདས་གཤེགས་པ་མཐོང་ངོ་༎,"At that time, outside the city of Śrāvastī, a group of young children who were sitting and playing, making houses, courtyards and castles out of sand, saw the Blessed One approaching in the distance."
c9cdb608465a47b3a6d6934f5f952520,མཐོང་ནས་ཀྱང་ལྷག་པར་དགའ་བ་དང་། རབ་ཏུ་དགའ་བ་དང་། ཡིད་བདེ་བ་སྐྱེས་ཏེ་རྩེ་དགའ་ཞིང་འཁོད་དོ་༎,"When they saw the Blessed One, they were delighted, overjoyed.  They continued to sit, playing happily."
8874b5579ea4463fb7628bdaa9891cf8,དེ་ནས་བཅོམ་ལྡན་འདས་ཁྱེའུ་དེ་དག་ལ་ཐུགས་བརྩེ་བའི་ཕྱིར་གང་ན་ཁྱེའུ་དེ་དག་རྩེ་ཞིང་འཁོད་པའི་ས་ཕྱོགས་དེར་གཤེགས་སོ་༎,"Then the Blessed One, out of compassion for the children, went over to them."
58e3457b8e764248aab28992ce34570a,༼༣༽ དེ་ནས་བྱིས་པ་དེ་དག་གི་ནང་ནས་ཁྱེའུ་ཚངས་པའི་དཔལ་ཞེས་བྱ་བ་ཞིག་བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་ཕྱག་འཚལ་ནས་། བཅོམ་ལྡན་འདས་ཀྱི་སྤྱན་སྔར་འདུག་གོ་༎,"Then one of the boys, named Brahmaśrī, payed homage at the feet of the Blessed One, and sat down before him."
fd376a1c79914864825b6d7101e6f56d,དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་མཁྱེན་བཞིན་དུ་བྱིས་པ་དེ་དག་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ་༎ བྱིས་པ་ཁྱེད་འདི་ན ༼༤༽ ཅི་བྱེད་།,"Then the Blessed One, although he already knew the answer, asked the children:  What are you children doing?"
5b2a7dcb02f34a86b1522a3f628e3c7e,དེ་སྐད་ཅེས་བཀའ་སྩལ་པ་དང་། བཅོམ་ལྡན་འདས་ལ་ཁྱེའུ་དེ་དག་གིས་འདི་སྐད་ཅེས་གསོལ་ཏོ་༎ བཅོམ་ལྡན་འདས་བདག་ཅག་འདི་ན་ས་རྡུལ་གྱི་ཁྱིམ་དག་དང་། ས་རྡུལ་གྱི་ར་བ་དག་དང་། ས་རྡུལ་གྱི་ཁང་པ་བརྩེགས་པ་དག་གིས་རྩེ་ཞིང་མཆིས་ལགས་སོ་༎,"The children answered: Blessed One, we are sitting here and playing, making houses, courtyards and castles out of sand."
a4aa665294e6487485d0f4f561322e79,དེ་ནས་བཅོམ ༼༥༽ ལྡན་འདས་ལ་ཁྱེའུ་ཚངས་པའི་དཔལ་གྱིས་འདི་སྐད་ཅེས་གསོལ་ཏོ་༎ བཅོམ་ལྡན་འདས་བདག་ལ་ཐུགས་བརྩེ་བའི་སླད་དུ་ས་རྡུལ་གྱི་ཁང་པ་བརྩེགས་པ་འདི་བཞེས་སུ་གསོལ་།,"Then Brahmaśrī said to him: Blessed One, please accept this sandcastle as a gift, out of compassion for me."
af2a898532a04a77a8ff151fe20f575c,དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ཁྱེའུ་ཚངས་པའི་དཔལ་གྱི་ལྷག་པའི་བསམ་པ་དང་། དགའ་བའི་སེམས་ཐུགས ༼༦༽ སུ་ཆུད་ནས་ཐུགས་བརྩེ་བའི་ཕྱིར་ས་རྡུལ་གྱི་ཁང་པ་བརྩེགས་པ་དེ་བཞེས་སོ་༎,"The Blessed One saw that Brahmaśrī's intentions were sincere and that his spirit was joyful, and so out of compassion, he accepted the sandcastle."
