id,P000925,P000926
fa27ae5ac3da4b178aef3eeb95c854a5,cīvaravastuni piṇḍoddānam |jīvako bhāṅgakaś caiva tathā dīrghadaśāni ca | varṣāchinnaś ca vijñeyaḥkālakriyā upanando glāno bhavati paścimaḥ ||,༼༥༠ཨ༧༽གོས་ཀྱི་གཞིའི་བསྡུས་པའི་སྡོམ་ནི་༎འཚོ་བྱེད་དང་ནི་གསོ་རས་དང་༎དེ་བཞིན་ཁ་ན་རིང་པོ་དང་༎དཔྱར་རལ་བར་ནི་རིག་བྱ་དང་༎ཤི་བའི་དུས་དང་ཉེ་དགའ་དང་༎ཐ་མ་དག་ནི་ནད་པ་ཡིན་༎
6e16f5e68b4a4649a1f408d6a6a2a734,piṇḍoddānam | jīvakaś chinnakās trīṇi varṣāśāṭī niṣīdanam |kaṇḍusugatakauśeyā ūrṇāśāṇakakṣaumakāḥ ||,བསྡུས་པའི་སྡོམ་ནི་།འཚོ་བྱེད་དང་ནི་གསུམ་འདྲལ་དང་༎༼ག༥༠བ༡༽ དབྱར་གྱི་རས་ཆེན་གདིང་བ་དང་།གཡན་པ་བདེ་གཤེགས་མོན་དར་དང་༎བལ་དང་ཤན་ཟར་མའི་རས་༎
57d8f97ed3bb47508be594b0f2a64ee6,uddānam | khaṇḍo gopaś ca siṃhaś ca vaiśālīgamanaṃ tathā |kaṇḍu celā ṛṣikopaś ca āmrapāly abhayena ca ||śreṣṭhībhāryā jīvakotpattiḥ vaidyakasya ca āgamaḥ |takṣaśilā bhadraṅkara udumbaraḥ kārṣamāpakaḥ ||rohitakaḥ rājodyānaṃ mathurā mallastriyāhi ca |yamunā śivapathikā vaiśālyām akṣiśatapadī sapta |rājagṛhe paṃcavastūni jīvakavargaḥ samudditaḥ ||,སྡོམ་ལ་།དུམ་བུ་ས་སྐྱོང་སེང་གེ་དག་། དེ་བཞིན་ལགས་པར་སོག་བ་དང་༎སེམས་འཕྲོག་དྲང་སྲོངས་འཚོ་དང་༎ཨམྲ་སྐྱོང་དང་འཇིགས་མེད་དང་༎ཚོང་དཔོན་ཆུང་མ ༼༢༽ རིགས་སྐྱེས་དང་༎སྨན་པ་ཡི་ནི་ལུང་དག་ནི་༎རྡོ་འཇོག་དག་ནི་བཟང་བྱེད་དང་༎ཨུ་དུམ་བཱ་ར་གཞལ་བ་དང་༎བསྐྱེད་དང་རྒྱལ་རིགས་སྐྱེད་མོས་ཚལ་༎བཅོམ་བརླག་གྱད་དང་བུད་མེད་སྦྲུལ་༎ཡ་མུ་ན་དང་དུར་ཁྲོད་དང་༎ཡངས་པ་མིག་དག་སྲིན་གྱི་མེད་༎རྒྱལ་པོའི་ཁབ ༼༣༽ བདུན་གཞི་ལྔ་དང་༎འཚོ་བྱེད་སྡེ་ཚན་བསྡུས་པ་ཡིན་༎
626bacc2065a4eb783ec173140fee227,videheṣu videharājo rājyaṃ kārayati ṛddhaṃ ca sphītaṃ ca kṣemaṃ ca subhikṣaṃ cākīrṇabahujanamanuṣyaṃ ca |  tasya khaṇḍapramukhāni paṃcāmātyaśatāni | khaṇḍo ’grāmātyo dharmeṇa rājyaṃ kārayati  nyāyataś ca vyavahārān paśyati  yataḥ sarva eva janakāyas tanmukho ’vasthitaḥ |  tena sadṛśāt kulāt kalatram ānītam | sa tayā sārdhaṃ krīḍati (4) ramate paricārayati | tasya krīḍato ramamāṇasya paricārayataḥ putro jātaḥ |  tasya trīṇi saptakāny ekaviṃśati divasān pūrvavad yāvad gopa iti nāmadheyaṃ vyavasthāpitam |,ལུས་འཕགས་ན་རྒྱལ་པོ་འཕགས་སྐྱེས་པོ་ཞེས་བྱ་བ་འབྱོར་པ་དང་། རྒྱས་པ་དང་། བདེ་བ་དང་། ལོ་ལེགས་པ་། སྐྱེ་བོ་དག་མི་མང་པོས་གང་བ་ན་རྒྱལ་སྲིད་བྱེད་དུ་འཇུག་གོ་༎ དེའི་བློན་པོ་དུམ་བུ་ལ་སོགས་པ་ལྔ་བརྒྱ་ཡོད་བ ༼༤༽ ལས་བློན་པོའི་མཆོག་དུམ་བུས་ཆོས་དང་མཐུན་བར་རྒྱལ་སྲིད་བྱེད་དུ་འཇུག་སྟེ་། ཐ་སྙད་དུ་བྱ་བ་ཡང་རིགས་པས་ལྟ་བར་བྱེད་དོ་༎ དེས་ན་སྐྱེ་བོའི་ཚོགས་ཐམས་ཅད་དེའི་ངོར་བལྟས་ཤིག་འདུག་གོ་༎ དེས་རིགས་མཉམ་པ་ལས་ཆུང་མ་བླངས་ཏེ་། དེ་དེ་དང་ལྷན་ཅིག་རྩེ་བར་བྱེད་། དགའ ༼༥༽ པར་བྱེད་། དགའ་མགུར་སྤྱོད་པར་བྱེད་དེ་དེ་རྩ་བར་བྱེད་། དགའ་བར་བྱེད་། དགའ་མགུར་སྦྱོད་པར་བྱེད་པ་ལས་ཁྱེའུ་ཞིག་བཙས་ཏེ་། དེའི་བཙས་སྟོན་ཉི་མ་བདུན་གསུམ་ཉི་ཤུ་གཅིག་ཏུ་ཞེས་བྱ་བ་ནས་ས་སྐྱོང་ཞེས་བྱ་བར་བཏགས་སོ་ཞེས་བྱ་བར་བཏགས་སོ་ཞེས་བྱ་བའི་བར་གོང་མ་བཞོན་དུའོ་༎
d75c9af9217b4437b5d4e8e4fe3c436e,bhūyo ’py asya krīḍato ramamāṇasya paricārayataḥ putro jātaḥ |  tasyāpi pūrvavad vistareṇa siṃha iti nāmadheyaṃ vyavasthāpitam |  gopaḥ siṃhaś ca kramaśas taruṇau saṃvṛttau |  khaṇḍo ’grāmātyaḥ pūrvam eva śūro vikrāntaḥ pañcasu sthāneṣu kṛtāvi yenāmātyānām agraḥ |  yadā putrabalī jātas tadā bhūyasyā mātrayā sarvāmātyān abhibhūyāvasthitaḥ |  tatas te ’mātyā upahatatejasaḥ parasparaṃ saṃjalpaṃ kṛtvā saṃjātāmarṣā rājñaḥ sakāśaṃ gatāḥ |,དེ་ཡང ༼༦༽ རྩེ་བར་བྱེད་། དགའ་བར་བྱེད་། དགའ་མགུར་སྤྱོད་པར་བྱེད་པ་ལས་ཁྱེའུ་ཞིག་བཙས་ཏེ གོང་མ་བཞིན་དུ་རྒྱས་པར་སྦྱར་ཏེ་། དེ་ནི་སེང་གེ་ཞེས་བྱ་བར་བཏགས་སོ་༎ ས་སྐྱོང་དང་སེང་གེ་རིམ་གྱིས་གཞོན་ནུར་གྱུར་ན ཡང་བློན་པོའི་མཆོག་ཏུ་དུམ་བུ་ནི་ཐོག་མ་ཉིད་ནས་དཔའ་ཞིང་ཕ་རོལ ༼༧༽ གནོན་པ་གནས་ལྔ་ལ་བྱང་བ་ཡིན་ཏེ་། དེས་ན་བློན་པོ་རྣམས་ཀྱི་མཆོག་ཏུ་གྱུར་ཏོ་༎ གང་གི་ཚེ་བུའི་མཐུ་སྐྱེས་པ་དེའི་ཚེ་། ལྷག་པར་ཡང་བློན་པོ་ཐམས་ཅད་ཟིལ་གྱིས་མནན་ཏེ་འདུག་གོ་༎ དེ་ནས་བློན་པོ་དེ་རྣམས་ཟིལ་གྱིས་ནོན་པས་མི་བཟོད་བསྐྱེས་ནས་ཕན་ཚུན་དུ་གྲོས་བྱས་ཏེ་རྒྱལ ༼ག༥༡ཨ༡༽ པོའི་དྲུང་དུ་དོང་པོ་༎
57a86e1c60ec4a7a9787230f01e69d96,tato ’vasaraṃ jñātvā rājānam ūcuḥ | deva ko rājā |,དེ་ནས་སྐབས་ལ་བབ་པར་རིག་ནས་རྒྱལ་པོ་ལ་སྨྲས་པ་། ལྷ་རྒྱལ་པོ་སུ་ལགས་།
28dc23efc27748d784679b499892e82d,rājā kathayati | kuto bhavatāṃ vimarṣo ’haṃ rājā ko ’nya iti |,དེས་སྨྲས་པ་། ཤེས་ལྡན་དག་གིས་བརྟང་ཏུ་ཅི་ཡོད་རྒྱལ་པོ་ལྷ་ང་ཡིན་མོད་། གཞན་སུ་ཞིག་ཡིན་།
8486ec92f976432c980276e98517cd53,te kathayanti | deva khaṇḍo rājā na devaḥ |  yadi tasyābhirucitaṃ syād devaṃ rājyāc cyāvayitvā svayam eva paṭṭaṃ baddhvā rājyaiśvaryādhipatyaṃ kārayed iti |,དེ་རྣམས་ཀྱིས་སྨྲས་པ་། ལྷ་རྒྱལ་པོ་ནི་དུམ་བུ་ལགས་ཀྱིས ༼༢༽ ལྷ་མ་ལགས་སོ་༎ གལ་ཏེ་དེ་འཚལ་བར་གྱུར་ན་ལྷ་རྒྱལ་སྲིད་ལས་ཕྱུང་ནས་རང་ཉིད་ཅོད་པན་བཅིངས་ཏེ་། རྒྱལ་སྲིད་ཀྱི་དབང་ཕྱུག་ལ་དབང་བགྱིད་པར་འགྱུར་རོ་༎
2036e61359b04cb7a1c1191d64e7a0db,rājā saṃlakṣayati | sarva ete tenābhibhūtās tena bhedaṃ kurvantīti |,རྒྱལ་པོས་བསམས་པ་། དེས་འདི་དག་ཐམས་ཅད་ཟིལ་གྱིས་མནན་པས་དེས་ན་དབྱེན་བྱེད་དོ་སྙན་མོ་༎
8081337da6144a93b3f6339e8e22b39a,yāvad apareṇa samayena rājā amātyagaṇaparivṛtas tiṣṭhati |  khaṇḍaś cāgrāmātyo ’rthipratyarthiśatasahasraparivṛto rājakulaṃ praviṣṭaḥ |  pūrṇaṃ tad rājakulam avasthitam |  yadā tu rājakṛtiṃ kṛtvā niṣkrāntas tadā tad rājakulaṃ śūnyam avasthitam |,རེ་ཞིག་དུས་གཞན ༼༣༽ ཞིག་ན་རྒྱལ་པོ་བློན་པོའི་ཚོགས་ཀྱིས་ཡོངས་སུ་བསྐོར་ཏེ་འདུག་པ་དང་། བློན་པོའི་མཆོག་དུམ་བུ་རྒོལ་བ་དང་ཕྱིར་རྒོལ་བ་བརྒྱད་སྟོང་གིས་ཡོངས་སུ་བསྐོར་ནས་རྒྱལ་པོའི་ཕོ་བྲང་དུ་ཞུགས་ཏེ་། རྒྱལ་པོའི་ཕོ་བྲང་དེ་གང་བར་བྱས་ནས་འདུག་གོ་༎ གང་གི་ཚེ་རྒྱལ་སྲིད་ཀྱི་བྱ་བ་བྱས་ནས་ཕྱིར ༼༤༽ བྱུང་བ་དེའི་ཚེ་ཡང་རྒྱལ་པོའི་ཕོ་བྲང་དེ་སྟོང་པར་འདུག་གོ་༎
