id,P000937,P000938,P000939
f5735ced7b2c483ca6dc9d545ad5d7ad,Pudgalavastu,གང་ཟག་གི་གཞི,A Subject Matter of Individual Cases
56ee309e983e4c59b3b320ec9ed8a9ad,(302v9) §1 piṇḍoddānam* ||udāyī samuccayaḥ paryanto ’thāpareṇa bhavati paścimam* ||  ||,༼༡༦༥བ༧༽ ༼H༢༤༧བ༦༽ གང་ཟག་གི ༼H༢༤༧བ༧༽ གཞིའི་སྤྱིའི་སྡོམ་ནི་། འཆར་ཀ་དང་ནི་བཏུས་པ་དང་༎ མཐའ་དང་དེ་བཞིན་གཞན་གྱིས་དང་༎ ཕྱི་མ་དག་ཏུ་གྱུར་པའོ་༎,Abridged SummaryRegarding: Udāyin; collective cases; the extent;closing by the cases of others.
85f723bc9b3a4087be6f96d1ebbe4ed0,§2 uddānam* ||udāyī anyena smaranti lajjina idānī jānāmi dvayadvaya(10)kṛtam* |sudatta durdatta catuṣkabhāṣitaṃ smṛtipramoṣeṇa catvāra‹ḫ› prakāśitā‹ḥ› ||  ||,སྡོམ་ལ་།འཆར་ཀ་གཞན་གྱིས་དྲན་པ་དང་༎ འཛེམ ༼༡༦༦ཨ༡༽ ༼H༢༤༨ཨ༡༽ དང་ད་གདོད་ཤེས་པ་དང་༎ གཉིས་དང་གཉིས་དང་བྱས་པའོ་༎ ལེགས་པར་བྱིན་དང་ཉེས་པར་བྱིན་༎ མུ་བཞིར་སྨྲ་དང་བརྗེད་པ་དང་༎ མུ་བཞི་དག་ཏུ་དབྱེ ༼H༢༤༨ཨ༢༽ བའོ་༎,"ContentsUdāyin, by other cases, they remember, they are ashamed;now I recognise, and the case done two by two.Legally granting, illegally granting, what expressed through four points,four explanations are shown on account of he who forgets."
16d7cf11d971403484b49c05ce20dfd2,§3 buddho bhagavāṃ śrāvastyāṃ viharati jetavane anāthapiṇḍadasyārāme •  tena khalu samayenodāyī saṃghāvaśeṣām āpattim āpannaḥ saṃcintyaśukravisṛ(303r1)ṣṭisamutthitām ardhamāsapraticchannāṃ | etat prakaraṇaṃ bhikṣavo bhagavata ārocayaṃti |  bhagavān āha | dadata yūyaṃ bhikṣavaḥ udāyino bhikṣor asyāḥ saṃghāvaśeṣāyā āpatteḥ saṃcintyaśukravisṛṣṭisamutthitāyāḥ ardhamāsapraticchannāyāḥ ardhamāsaṃ parivāsam iti |  yo vā puna(2)r anyo ’py evaṃjātīyaḥ |,སངས་རྒྱས་བཅོམ་ལྡན་འདས་རྒྱལ་བུ་རྒྱལ་བྱེད་ཀྱི་ཚལ་མགོན་མེད་ཟས་སྦྱིན་གྱི་ཀུན་དགའ་ར་བ་ན ༼༢༽ བཞུགས་སོ་༎ དེའི་ཚེ་འཆར་ཀ་ལ་ཆེད་དུ་བསམས་ཏེ་ཁུ་བ་ཕྱུང་བ་ལས་གྱུར ༼H༢༤༨ཨ༣༽ པའི་དགེ་འདུན་ལྷག་མའི་ལྟུང་བ་བྱུང་བ་ཟླ་བ་ཕྱེད་བཅབས་པའི་སྐབས་དེ་དགེ་སློང་རྣམས་ཀྱིས་བཅོམ་ལྡན་འདས་ལ་གསོལ་བ་དང་། བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ་། དགེ ༼H༢༤༨ཨ༤༽ སློང་དག་ཁྱེད་ཀྱིས ༼༣༽ དགེ་སློང་འཆར་ཀ་ཆེད་དུ་བསམས་ཏེ་ཁུ་བ་ཕྱུང་བ་ལས་གྱུར་པའི་དགེ་འདུན་ལྷག་མའི་ལྟུང་བ་ཟླ་བ་ཕྱེད་བཅབས་པ་དང་། གཞན་ཡང་དེ་ལྟ་བུ་དང་མཐུན་པ་སུ ༼H༢༤༨ཨ༥༽ ཡང་རུང་བ་ལ་ཟླ་བ་ཕྱེད་ཀྱི་སྤོ་བ་བྱིན་ཅིག་།,"Buddha, the blessed one, dwelled in the park of Anāthapiṇḍada namely Jetavana, at Śrāvastī.  At that time, Udāyin commits a saṃghāvaśeṣa offence, which sprang from an intentional emission of semen and concealed for a half month. The monks inform the blessed one on that matter.  The blessed one said; “Bhikṣus! Grant him (Udāyin bhikṣu) a period of temporary exclusion (hereafter called, parivāsa) for a half month, due to this saṃghāvaśeṣa offence, which sprang from an intentional emission of semen and concealed for a half month.”  This case is implemented as a judicial precedent."
17c6310e91694a3da48b2d4085769038,§4 athāparaḥ pudgalaḥ saṃghāvaśeṣām āpattim āpannaḥ apraticchannām* | etat prakaraṇaṃ bhikṣavo bhigavata 1 ārocayanti |  bhagavān āha | dadata yūyaṃ bhikṣavo ’sya pudgalasya asyāḥ saṃghāvaśeṣāyā āpatter apraticchannāyā‹ḥ› ṣaḍ rātraṃ mānāpyam iti | yo vā punar anyo (3) ’py evaṃjātīyaḥ |,ཡང་གང་ཟག་གཞན་ཞིག་དགེ་འདུན་ལྷག་མའི་ལྟུང་བ་བྱུང་བ་མ་བཅབས་པའི ༼༤༽ སྐབས་དེ་དགེ་སློང་རྣམས་ཀྱིས་བཅོམ་ལྡན་འདས ༼H༢༤༨ཨ༦༽ ལ་གསོལ་བ་དང་། བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ་། དགེ་སློང་དག་ཁྱེད་ཀྱིས་གང་ཟག་དེའི་ལྟུང་བ་དེ་མ་བཅབས་པ་དང་། གཞན་ཡང་དེ་ལྟ་བུ་དང་མཐུན་པ་སུ ༼H༢༤༨ཨ༧༽ ཡང་རུང་བ་ལ་ཞག་དྲུག་གི་མགུ་བར་བྱ་བ་བྱིན་ཅིག་།,"Now then, another person commits a saṃghāvaśeṣa offence, not concealed. The monks inform the blessed one on that matter.  The blessed one said; “Bhikṣus! Grant that person a period of six-night probation (hereafter called, a mānāpya), due to this saṃghāvaśeṣa offence, not concealed.” This case is implemented as a judicial precedent."
4d0c55865e824b2dbbcd8bcfb431399a,§5 athāparaḥ pudgalaḥ saṃghāvaśeṣām āpattim āpannaḥ | sa te dve āpattī dvau māsau na jānāti |  dvayor māsayor atyayāj jñātvā dvau māsau praticchādya ekā‹ṃ› bhikṣūṇām āgatvārocayati | ‹ekāṃ nārocayati› |  tasya saṃghena dvau māsau parivāso dattaḥ |  sa pārivāsika eva sam* tām anyāpattiṃ pratijā(4)nāti yānena saṃghamadhye nārocitā | sa etat prakaraṇaṃ bhikṣūṇām ārocayati |  bhikṣavo bhagavataḥ | bhagavān āha •  dadata yūyaṃ bhikṣavaḥ tasya pudgalasyāpattes tāv eva dvau māsau parivāsam iti | yo vā punar anyo ’py evaṃjātīyaḥ | yathā pratijānāti | evaṃ smarati ||,ཡང་གང ༼༥༽ ཟག་གཞན་ཞིག་དགེ་འདུན་ལྷག་མའི་ལྟུང་བ་གཉིས་བྱུང་བ་དེས་ལྟུང་བ་དེ་གཉིས་སུ་མ་ཤེས་ཏེ ༼H༢༤༨བ༡༽ ཟླ་བ་གཉིས་ལོན་ནས་ཤེས་པ་དང་། ཟླ་བ་གཉིས་སུ་བཅབས་ནས་གཅིག་ནི་དགེ་སློང་རྣམས་ལ་སྨྲས་། གཅིག་ནི་མ་སྨྲས་པ་དང་། དགེ་འདུན་གྱིས་དེ་ལ་ཟླ་བ་གཉིས་ཀྱི་སྤོ་བ་བྱིན་ཏེ་།  ༼H༢༤༨བ༢༽ དེ་སྤོ་བ་བགྱིད ༼༦༽ བཞིན་པ་ལས་དེས་དགེ་འདུན་གྱི་ནང་དུ་མ་སྨྲས་པའི་ལྟུང་བ་གང་ཡིན་པ་དེ་ཡང་ཤེས་ནས་སྐབས་དེ་དགེ་སློང་རྣམས་ལ་སྨྲས་པ་དང་། དགེ་སློང་རྣམས་ཀྱིས་བཅོམ་ལྡན་འདས ༼H༢༤༨བ༣༽ ལའོ་༎ བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ་། དགེ་སློང་དག་ཁྱེད་ཀྱིས་གང་ཟག་དེའི་ལྟུང་བ་དེ་དང་གཞན ༼༧༽ ཡང་དེ་ལྟ་བུ་དང་མཐུན་པ་སུ་ཡང་རུང་བ་ལ་ཟླ་བ་གཉིས་པོ་དེ་ཉིད་ཀྱི ༼H༢༤༨བ༤༽ སྤོ་བ་བྱིན་ཏེ་། ཇི་ལྟར་ཤེས་པ་དེ་བཞིན་དུ་དྲན་པར་འགྱུར་རོ་༎,"Now then, another person committed a saṃghāvaśeṣa offence. He did not recognise these two offences for two months.  After two months had elapsed, he recognised these two offences; then concealed it for another two months; after that, he came to the monks and announced merely one of the two offences that he committed.  The saṃgha granted him parivāsa for two months.  He, while being temporarily excluded from the saṃgha (hereafter called, a pārivāsika), admits another committed offence, which was not informed to the saṃgha before by him. He informs the monks on that matter.  Then the monks informs that matter to the blessed one. The blessed one said;  “Bhikṣus! Grant him parivāsa only two months from the offence committed by that person.” This case is implemented as a judicial precedent; then one will be aware of it."
c6bdb253f42e459dbab025cc777162b5,§6 (5) athāparaḥ pudgalaḥ saṃghāvaśeṣe dve āpattī āpannaḥ | sa te dve āpattī dvau  māsau na jānāti |  dvayor māsayor atyayāj jñātvā dvau māsau praticchādya ekāṃ bhikṣūṇām ārocayaty | ekāṃ nārocayati |  tasya saṃghe‹na› dvau māsau parivāso dattaḥ |  sa pārivāsiko lajjī dharmam a(6)vakrāntaḥ | sa etat prakaraṇaṃ bhikṣūṇām ārocayati |  aham asmy āyuṣmanta‹ḥ› saṃghāvaśeṣe dve āpattī āpannaḥ | so ’haṃ te dve āpattī dvau māsau na jānāti |  dvayor māsayor atyayāt* jñātvā dvau māsau praticchādya ekāṃ bhikṣūṇām ārocayāmi •  tasya mama saṃghena (7) dvau māsau parivāso dattaḥ |  so ’haṃ pārivāsiko lajjī dharmam avakrānta‹ḥ› • tasya tat prakaraṇaṃ bhikṣavo bhagavata ārocayanti |  bhagavān āha | dadata yūyaṃ bhikṣavaḥ tasya pudgalasya tasyāpatter yathāpraticchannāyāḥ parivāsam iti ||  yo vā punar anyo ’py evaṃjātīyaḥ | yathā jānā(8)ty evaṃ smarati ||,ཡང་གང་ཟག་གཞན་ཞིག་དགེ་འདུན་ལྷག་མའི་ལྟུང་བ་གཉིས་བྱུང་བ་དེས་ལྟུང་བ་དེ་གཉིས་ཟླ་བ་གཉིས་སུ་མ་ཤེས་ཏེ ༼H༢༤༨བ༥༽ ཟླ་བ་གཉིས་ལོན་ནས་ཤེས་པ ༼༡༦༦བ༡༽ དང་། ཟླ་བ་གཉིས་བཅབས་ཏེ་། གཅིག་ནི་དགེ་སློང་རྣམས་ལ་སྨྲས་། གཅིག་ནི་མ་སྨྲས་པ་དང་། དགེ་འདུན་གྱིས་དེ་ལ་ཟླ་བ་གཉིས་ཀྱི་སྤོ་བ་བྱིན་ཏེ་། དེ ༼H༢༤༨བ༦༽ སྤོ་བ་བྱེད་པ་ན་ངོ་ཚ་བའི་ཆོས་སུ་གྱུར་པའི་སྐབས་དེ་དགེ་སློང་རྣམས་ལ་སྨྲས་པ་། ཚེ་དང་ལྡན་པ་དག་བདག་ལ་དགེ ༼༢༽ འདུན་ལྷག་མའི་ལྟུང་བ་གཉིས་བྱུང་སྟེ་། བདག་གིས་ལྟུང ༼H༢༤༨བ༧༽ བ་དེ་གཉིས་ཟླ་བ་གཉིས་སུ་མ་ཤེས་ཏེ་། ཟླ་བ་གཉིས་ལོན་ནས་ཤེས་པ་དང་། ཟླ་བ་གཉིས་བཅབས་ཏེ་གཅིག་ནི་དགེ་སློང་རྣམས་ལ་སྨྲས་། གཅིག་ནི་མ་སྨྲས་པ་དང་། དགེ་འདུན ༼H༢༤༩ཨ༡༽ གྱིས་བདག་ལ་ཟླ་བ་གཉིས་ཀྱི་སྤོ་བ་སྩལ ༼༣༽ ཏེ་། བདག་སྤོ་བ་བགྱིད་པ་ན་ངོ་ཚ་བའི་ཆོས་སུ་གྱུར་ཏེ་ཞེས་པའི་སྐབས་དེ་དགེ་སློང་རྣམས་ཀྱིས་བཅོམ་ལྡན་འདས་ལ་གསོལ ༼H༢༤༩ཨ༢༽ པ་དང་། བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ་། དགེ་སློང་དག་ཁྱེད་ཀྱིས་གང་ཟག་དེའི་ལྟུང་བ་ཇི་ལྟར་བཅབས་པ་དེ་དང་། གཞན་ཡང་དེ་ལྟ་བུ་དང་མཐུན་པ ༼༤༽ སུ་ཡང་རུང་བ་ལ་སྤོ་བ ༼H༢༤༩ཨ༣༽ བྱིན་ཏེ་། ཇི་ལྟར་ཤེས་པ་དེ་བཞིན་དུ་དྲན་པར་འགྱུར་རོ་༎,"Now then, another person committed two saṃghāvaśeṣa offences, but he does not recognise them as offences for two months.  After two months had elapsed, he recognised them as offences, but concealed them for two months; after that, he admitted merely one of the two offences that he committed to the monks.  The saṃgha granted him parivāsa for two months.  This pārivāsika, who went down to this a legal action, became shameful. He informed the monks on that matter; saying  “I, venerable sirs committed two saṃghāvaśeṣa offences. I, that very person, do not recognise these two offences for two months.  After two months had elapsed, I recognised them as offences, but concealed them for two months; then, I admitted one offence that I committed.  The saṃgha granted me, that very person, parivāsa for two months.  I, that very person, i.e., a pārivāsika who went down to this a legal action, became shameful.” The monks inform the blessed one on that matter about him.  The blessed one said; “Bhikṣus! Grant him parivāsa as many days as of his offence that had been concealed.”  This case is implemented as a judicial precedent; then one will be aware of it."
56bc05e5975048ff99151cacfcb1a5bf,§7 athāparaḥ pudgalaḥ saṃghāvaśeṣām āpattim āpannaḥ | sa tv ardhamāsaṃ prātimokṣasūtroddeśa uddiśyamāne evam āha |  idānīm aham āyuṣmanto jāne yathādharmaṃ 2 sūtragataḥ sūtraparyāpanna iti |  taṃ ced bhikṣavo jānīran* sanniṣaṇṇo pūrvo ’yam āyuṣmāṃ dve trīṇi vā poṣadha(9)karmāṇi kaḥ punar vādo bhūya iti •  tasyāyuṣmato naivājñānān muktiḥ | sa yāṃ cāpattim āpannaḥ tāṃ ca yathādharmaṃ kārayitavya | uttare ca saṃvejayitavyaḥ | yathā jānāty evaṃ smarati ||,ཡང་གང་ཟག་གཞན་ཞིག་དགེ་འདུན་ལྷག་མའི་ལྟུང་བ་བྱུང་བ་ལ་དེ་ཟླ་བ་ཕྱེད་ཅིང་སོ་སོར་ཐར་པའི་མདོ་གདོན་པ་འདོན་པ་ན ༼H༢༤༩ཨ༤༽ འདི་སྐད་ཅེས་། ཚེ་དང་ལྡན་པ་དག་བདག་གིས་ཆོས་འདི་ཇི་ལྟར་མདོ་ལས ༼༥༽ འབྱུང་ཞིང་མདོའི་ཁོངས་སུ་གཏོགས་པར་ད་གཟོད་ཤེས་སོ་ཞེས་སྨྲ་ན་། གལ་ཏེ་དགེ་སློང་དག ༼H༢༤༩ཨ༥༽ གིས་ཚེ་དང་ལྡན་པ་འདི་སྔར་གསོ་སྦྱོང་གི་ལས་གཉིས་སམ་གསུམ་ལ་ནི་འདུས་ན་། ལན་མང་དུ་ཡང་རེ་སྙམ་ཞེས་བྱ་བར་དེའི་རྒྱུས་ཤེས་ན་།  ༼H༢༤༩ཨ༦༽ ཚེ་དང་ལྡན་པ་དེའི་མི་ཤེས་པས་ཐར་པ་མེད་པ་ཉིད ༼༦༽ པས་དེ་ལྟུང་བ་བྱུང་བ་གང་ཡིན་པ་དེ་ཕྱིར་ཆོས་བཞིན་དུ་བྱེད་དུ་གཟུགས་ཅིང་ཕྱིས་ཀྱང་འགྱོད་པ་བསྐྱེད་པར་བྱ་སྟེ་། ཇི་ལྟར་ཤེས་པ ༼H༢༤༩ཨ༧༽ དེ་བཞིན་དུ་དྲན་པར་འགྱུར་རོ་༎,"Now then, another person committed a saṃghāvaśeṣa offence. While the half-monthly prescription of prātimokṣasūtra was being recited, he thus said;  “Just now, venerable sirs, I do understand this law which includes in the sūtra, occurred in the sūtra;  and if other monks would know him, that he had previously sat in the observance of poṣadha two or three times, not to say oftener.  There is no excuse for him just because of the ignorance. Then he who committed a particular offence should be dealt with in accordance with the law regarding that particular offence, and should be made even more terrified; then one will be aware of it."
1f587acdd4234e22aae05f0c91a3afcb,§8 athāparaḥ pudgalaḥ saṃghāvaśeṣām āpattim āpannaḥ | sa tv ardhamāsaṃ prātimokṣasūtroddeśa (10) uddiśyamāne evam āha |  idānīm aham āyuṣmanto jāne yathāyaṃ dharmaḥ sūtragataḥ sūtraparyāpanna iti |  taṃ ced bhikṣavo na jānīran* sanniṣaṇṇo pūrvo ’yam āyuṣmāṃ dve trīṇi vā poṣadhakarmāṇi kaḥ punar vādo bhūya iti •  tasyaivāyuṣmato naivājñānān muktiḥ | sa ‹yāṃ› cāpa(303v1)ttim āpannaḥ tāṃ yathādharmaṃ kārayitavyo no tūttare  saṃvejayitavyaḥ | yathā jānāty evaṃ smarati |,ཡང་གང་ཟག་གཞན་ཞིག་དགེ་འདུན་ལྷག་མའི་ལྟུང་བ་བྱུང་བ་ལ་དེ་སོ་སོར་ཐར་པའི་མདོ་གདོན་པ་འདོན་པ་ན་འདི་སྐད་ཅེས་།  ༼༧༽ ཚེ་དང་ལྡན་པ་དག ༼H༢༤༩བ༡༽ བདག་གིས་ཆོས་འདི་ཇི་ལྟར་མདོ་ལས་འབྱུང་ཟིང་མདོའི་ཁོངས་སུ་གཏོགས་པར་ད་གཟོད་ཤེས་སོ་ཞེས་སྨྲ་ན་། གལ་ཏེ་དགེ་སློང་དག་གིས་ཚེ་དང་ལྡན་པ་འདི་སྔར་གསོ་སྦྱོང་གི ༼H༢༤༩བ༢༽ ལས་གཉིས་སམ་གསུམ་ལ་ནི་འདུས་ན་། ལན་མང་དུ་ཡང་རེ་སྙམ་ཞེས་བྱ་བར་དེའི་རྒྱུས ༼༡༦༧ཨ༡༽ མི་ཤེས་ན་། ཚེ་དང་ལྡན་པ་དེའི་མི་ཤེས་པས་ཐར་པ་མེད་པ་ཉིད་པས་དེ་ལྟུང་བ་བྱུང་བ་གང་ཡིན་པ ༼H༢༤༩བ༣༽ དེ་ཕྱིར་ཆོས་བཞིན་དུ་བྱེད་དུ་གཞུག་ཅིང་ཕྱིས་འགྱོད་པ་བསྐྱེད་པར་ནི་མི་བྱ་སྟེ་། ཇི་ལྟར་ཤེས་པ་དེ་བཞིན་དུ་དྲན་པར་འགྱུར་རོ་།,"Now then, another person committed a saṃghāvaśeṣa offence. While the half-monthly prescription of prātimokṣasūtra was being recited, he thus said;  “Just now, venerable sirs, I do understand this law which includes in the sūtra, occurred in the sūtra;  and if other monks would not know him that he had previously sat in the observance of poṣadha two or three times, not to say oftener.  There is no excuse for him just because of the ignorance. Then he who committed a particular offence should be dealt with in accordance with the law regarding that particular offence, but he should not be made terrified; then one will be aware of it."
5a956b6ff28a48ea9d2799d2ae537116,§9 athāparaḥ pudgalaḥ saṃghāvaśeṣām āpattim āpannaḥ | sa tāṃ māsaṃ na jānāti | māsasyātyayāj jñātvā māsaṃ praticchādya bhikṣūṇām ārocayati |  tasya saṃghena dvau māsau parivāso (2) dattaḥ |  sa pārivāsikaḥ sann āgatāgatānāṃ bhikṣūṇām ārocayaty |  aham asmy āyuṣmanto saṃghāvaśeṣām āpattim āpannaḥ | so ’han tām āpattim āpanna‹ḥ› ‹na› jānāmi māsasyātyayāj jñātvā māsaṃ praticchādya bhikṣūṇām ārocayāmi |  tasyā mama saṃghena dvau māsau parivāso dattaḥ |  māsa(3)m āyuṣmanta‹ḥ› sudatto māsaṃ durdattaḥ |  tat kasya hetoḥ | adharmatvāt kopyatvāt karmaṇaḥ | yathā jānāty evaṃ smarati ||,ཡང་གང་ཟག་གཞན་ཞིག་དགེ་འདུན་ལྷག ༼༢༽ མའི་ལྟུང་བ་བྱུང ༼H༢༤༩བ༤༽ བ་དེ་དེས་ཟླ་བ་གཅིག་ཏུ་མ་ཤེས་ཏེ་། ཟླ་བ་གཅིག་ལོན་ནས་ཤེས་པ་དང་། ཟླ་བ་གཅིག་བཅབས་ཏེ་དགེ་སློང་རྣམས་ལ་སྨྲས་པ་དང་། དགེ་འདུན་གྱིས་དེ་ལ་ཟླ་བ་གཉིས་ཀྱི་སྤོ་བ་བྱིན་ཏེ་། དེ ༼H༢༤༩བ༥༽ སྤོ་བ་བྱེད་པ་ན་ལྷགས་ཤིང་ལྷགས་པའི་དགེ་སློང་རྣམས་ལ་སྨྲས་པ་། ཚེ་དང ༼༣༽ ལྡན་པ་དག་བདག་ལ་དགེ་འདུན་ལྷག་མའི་ལྟུང་བ་བྱུང་བ་ལྟུང་བ་དེ་བདག་གིས་ཟླ་བ་གཅིག་ཏུ་མ་ཤེས་ཏེ་། ཟླ་བ་གཅིག ༼H༢༤༩བ༦༽ ལོན་ནས་ཤེས་པ་དང་། ཟླ་བ་གཅིག་ཏུ་བཅབས་ཏེ་དགེ་སློང་རྣམས་ལ་སྨྲས་པ་ལ་། དགེ་འདུན་གྱིས་བདག་ལ་ཟླ་བ་གཉིས་ཀྱི་སྤོ་བ་བྱིན་ཏེ་། ཚེ་དང་ལྡན་པ་ཟླ་བ ༼༤༽ གཅིག་ནི་ལེགས ༼H༢༤༩བ༧༽ པར་བྱིན་ནོ་༎ ཟླ་བ་གཅིག་ནི་ཉེས་པར་བྱིན་ཏེ་། དེ་ཅིའི་ཕྱིར་ཞེ་ན་། ཆོས་མ་ཡིན་པའི་ལས་འཁྲུགས་པ་ཡིན་ཏེ་ཇི་ལྟར་ཤེས་པ་དེ་བཞིན་དུ་དྲན་པར་འགྱུར་རོ་༎  ༎,"Now then, another person commits a saṃghāvaśeṣa offence. He does not recognise it for a month. Having recognised that it is the saṃghāvaśeṣa offence after a month, he concealed it for another month; then he informs the monks.  The saṃgha granted him parivāsa for two months.  He, while being a pārivāsika, informs the monks as they are coming.  Venerable sirs, I am one who committed a saṃghāvaśeṣa offence. I, that very person, do not recognise the offence that I committed. Having recognised it after a month, I concealed it for another month; then I inform the monks.  The saṃgha granted me that very person parivāsa for two months due to that offence.  Venerable sirs, one month is legally-granted but another month is illegally-granted.  Why? The legal actions are not in accordance with the law and open to valid objection; then one will be aware of it."
