id,P001046,P001047,P001048,P001049
712f2b08ee294a6fbbcd1a670821af96,,Vཨོལུམེ་ཅ ༼༡ཨ༡༽,No Sanskrit,The Prātimoksa Sūtra of the Mūlasarvāstivādins
cfc1f74b800847f7b4c6dd2670796c54,"rātimokṣasūtra)namaḥ sarvajñāya || 
",རྒྱ་གར་སྐད་དུ་། པྲ་ཏི་མོ་ཀṣཨ་སū་ཏྲ་།བོད་སྐད་དུ་། སོ་སོར་ཐར་པའི་མདོ་།བམ་པོ་དང་པོ་།ཐམས་ཅད་མཁྱེན་པ་ལ་ཕྱག་འཚལ་ལོ་༎,(500b17)根本説一切有部戒經(18)三藏法師義淨奉 制譯,Prefatory and Introductory VersesHomage to the Omniscient One
4f1f29f286f941629739dd206bda107c,"aṇamya pūrvaṃ jagati pradhānaṃ duḥkhālayottīrṇam anantapāram* |sarvajñaśikṣāpadaratnakośam udghāṭayāmy āryagaṇasya madhye || 1 ||trailokyavikhyātayaśaḥpatākaṃ saddharmanādoditasiṃhanādam* |sarvaṃ kaṣāsāditaratnakośaṃ brahmāṇḍacūḍāmaṇighṛṣṭapādam* || 2 ||kṛtsnasyāgādhapārasya bauddhasya vinayodadheḥ |pratiṣṭhāhṛdayaṃ sāraṃ prātimokṣo ’yam ucyate || 3 ||eṣa saddharmarājasya saddharmālekhyasaṃgrahaḥ |eṣa bhikṣuvaṇiggrāmaḥ śikṣāpaṇyamahāpaṇaḥ || 4 ||eṣa dauḥśīlyaduṣṭānāṃ viṣaviṣkambhaṇo ’gadaḥ |eṣa yauvanavibhrāntakumāradvipadāṅkuśaḥ || 5 ||eṣa sāgaragambhīrasaṃsārottaraṇaplavaḥ |eṣa kleśajayo mārgo nṛpater agranāyakaḥ || 6 ||eṣa mokṣapurārohe mūlasopānavat sthitaḥ |nirvṛte mayi yuṣmākam eṣa śāstety abhiṣṭutaḥ || 7 ||svayaṃ + + + + + kṣumamakṣam caiva yatnataḥ |nihatākṣaḥ samantaḥ + + + + + + + + + ||+ + + + + + + + + + naibhyaty adīkṣitaiḥ |prātimokṣaḥ sadā rakṣo bhikṣubhir nirmumukṣubhiḥ ||jita pravṛtte ’py ahitāya + + + + + + + |kṛtopakāre ’py apakartumīhate + + + + + ||prātimokṣasya śravaṇaṃ durlabhaṃ kalpakoṭibhiḥ |grahaṇaṃ dharaṇaṃ caivatipattiḥ sudurlabhā || 8 ||buddhānāṃ sukham utpādaḥ sukhā dharmasya dhīṣaṇā |sukhā saṃghasya sāmagrī śramaṇānāṃ tapaḥ sukham* || 9 ||sukhaṃ darśanam āryāṇāṃ saṃvāso ’pi satā sukhaḥ |adarśanena bālānāṃ nityam eva sukhaṃ bhavet* || 10 ||sukhaṃ dṛṣṭāḥ śīlavantaḥ sukhaṃ dṛṣṭā bahuśrutāḥ |arhantaś ca sukhaṃ dṛṣṭā vipramuktapunarbhavāḥ || 11 ||sukhā nadī sukhaṃ tīrthaṃ sukhaṃ dharmajito jataḥ |sukhaṃ prajñāpratilaṃbho hy asmimānakṣayaḥ sukham* || 12 ||sukho hi vāsaḥ kṛtaniścayānāṃ jitendriyāṇāṃ ca bahuśrutānām* |śānteṣv araṇyeṣu jarāṃ gatānāṃ vaneṣu nirvāpitayauvanānām* || 13 || 
",སྙན་པའི ༼༢༽ བ་དན་འཇིག་རྟེན་གསུམ་དུ་གྲགས་༎ དམ་པའི་ཆོས་སྒྲ་སེང་གེའི་སྒྲ་བསྒྲགས་པ་༎ཐམས་ཅད་མཁྱེན་པ་དཀོན་མཆོག་མཛོད་བརྙེས་པ་༎ ཞབས་ལ་ཚངས་དབང་གཙུག་གི ༼༣༽ ནོར་བུས་གཏུགས་༎སྡུག་བསྔལ་རྒྱ་མཚོ་གཏིང་མཐའ་མེད་རྒལ་བ་༎ འགྲོ་བའི་གཙོ་ལ་སྤྱི་བོས་ཕྱག་འཚལ་ཏེ་༎ཐམས་ཅད་མཁྱེན་པའི་བསླབ་གཞི་དཀོན་མཆོག་སྣོད་༎ ༼༤༽ འཕགས་པའི་ཚོགས་ཀྱི་དབུས་སུ་དབྱེ་བར་བྱ་༎སངས་རྒྱས་འདུལ་བ་གང་ཆེན་མཚོ་༎ གཏིང་མཐའ་མེད་པ་ཐམས་ཅད་ཀྱི་༎གནས་པའི་སྙིང་དང་སྙིང་པོ་ནི་༎ སོ་སོར་ཐར་པ ༼༥༽ འདི་ཡིན་ནོ་༎འདི་ནི་དམ་ཆོས་རྒྱལ་པོ་ཡི་༎ ཆོས་ཀུན་གྱི་ནི་འདྲེན་པ་མཆོག་༎འདི་ནི་དགེ་སློང་ཚོང་ཚོགས་ཀྱི་༎ བསླབ་ཟོང་ཚོང་ཁང་ཆེན་པོ་ཡིན་༎ཚུལ་ཁྲིམས་འཆལ་པས ༼༢ཨ༡༽ ཟིན་རྣམས་ཀྱི་༎ གདུག་པ་རྣམས་སེལ་སྨན་འདི་ཡིན་༎འདི་ནི་ལང་ཚོ་རྣམ་འཁྲུལ་པའི་༎ རྐང་གཉིས་གཞོན་ནུའི་ལྕགས་ཀྱུ་ཡིན་༎མཚོ་བས་ཟབ་པའི་འཁོར་བ་ལས་༎ སྒྲོལ་བའི་རྒལ་ཐབས་འདི་ཡིན་ཏེ་༎འདི་ནི་བཟང་འགྲོར ༼༢༽ འགྲོ་བ་ཡི་༎ ངེས་པའི་ཆུ་ལོན་ཟམ་པ་ཡིན་༎འདི་ནི་ཉོན་མོངས་ཕམ་བྱེད་ལམ་༎ རྒྱལ་པོ་ཡི་ནི་འདྲེན་པ་མཆོག་༎འདི་ནི་ཐར་པའི་གྲོང་འཇུག་པའི་༎ ཐེམ་སྐས་གཞི་དང་འདྲ་བར་གནས་༎ང་ནི་མྱ་ངན་འདས་གྱུར་ན་༎ འདི་ནི་ཁྱེད་ཀྱི་སྟོན་པའོ་ཞེས་༎༼༣༽ རང་བྱུང་ཉིད་ཀྱིས་གུས་བཅས་པར་༎ ནན་ཏན་དགེ་སློང་ཚོགས་འདུན་བསྟོད་༎སངས་རྒྱས་ཞེས་བྱའི་སྒྲ་འདི་ཡང་༎ འཇིག་རྟེན་དག་ན་རབ་ཏུ་དཀོན་༎མི་ཉིད་རྙེད་པ་ཤིན་ཏུ་དཀའ་༎ རབ་ཏུ་བྱུང་བ་ཤིན་ཏུ་དཀོན་༎དེ་བཞིན་རབ་ཏུ་བྱུང་རྣམས་ཀྱི་༎ ཚུལ ༼༤༽ ཁྲིམས་ཕུན་སུམ་ཚོགས་རབ་དཀོན་༎ཚུལ་ཁྲིམས་ཡོངས་སུ་དག་གྱུར་ཀྱང་༎ གྲོགས་བཟང་ཤིན་ཏུ་རྙེད་པར་དཀའ་༎འཇིག་རྟེན་སངས་རྒྱས་འབྱུང་བ་དང་༎ མི་དང་རབ་ཏུ་བྱུང་བ་དང་༎ཚུལ་ཁྲིམས་ཕུན་སུམ་ཚོགས་པ་དང་༎ གྲོགས་བཟང་རྙེད ༼༥༽ དཀའ་རྙེད་གྱུར་ནས་༎མཁས་པ་བདག་ལ་ལེགས་འདོད་ཅིང་༎ དེ་དག་འབྲས་བཅས་བྱེད་འདོད་པའི་༎སྡོམ་བརྩོན་རྣམས་ཀྱིས་སོ་སོར་ཐར་༎ མཉན་པའི་ཕྱིར་ནི་འབད་པར་བྱ་༎དགེ་སློང་དབང་དུལ་ཀུན་དབང་པོ་༎ སངས་རྒྱས་མི་འགྱུར་རབ་བྱུང་བ་༎༼༦༽ ། ངེས་པར་ཐར་པ་འདོད་རྣམས་ཀྱིས་༎ སོ་སོར་ཐར་པ་རྟག་ཏུ་སྲུངས་༎བསྐལ་པ་བྱེ་བ་རྣམས་སུ་ཡང་༎ སོ་སོར་ཐར་པ་ཐོས་པ་དང་༎གཟུད་དང་འཛིན་པ་རྙེད་དཀའ་སྟེ་༎ སྒྲུབ་པའང་ཤིན་ཏུ་རྙེད་པར་དཀའ་༎སངས་རྒྱས་རྣམས་ནི་འབྱུང་བ་བདེ་༎ ཆོས༼༢བ༡༽ བསྟན་པ་ཡང་བདེ་བ་ཡིན་༎དགེ་འདུན་མཐུན་པ་བདེ་བ་སྟེ་༎ མཐུན་པ་རྣམས་ཀྱི་དཀའ་ཐུབ་བདེ་༎འཕགས་པ་རྣམས་ནི་མཐོང་བ་བདེ་༎ དམ་པ་དག་དང་འགྲོགས་པ་བདེ་༎བྱིས་པ་རྣམས་ནི་མ་མཐོང་ན་༎ རྟག་ཏུ་བདེ་བ་ཉིད་དུ་འགྱུར་༎ཚུལ་ཁྲིམས་ལྡན་པ་མཐོང་བ ༼༢༽ བདེ་༎ མང་དུ་ཐོས་པ་མཐོང་བ་བདེ་༎ཡང་སྲིད་རྣམ་པར་གྲོལ་བ་ཡི་༎ དགྲ་བཅོམ་པ་དག་མཐོང་བ་བདེ་༎འཇུག་ངོགས་བདེ་བའི་ཆུ་ཀླུང་བདེ་༎ ཆོས་ལ་གོམས་པའི་སྐྱེ་བོ་བདེ་༎ཤེས་རབ་ཐོབ་པར་གྱུར་པ་བདེ་༎ ངའོ་ང་རྒྱལ་ཟད་པ་བདེ་༎ངེས་པར་བྱས་ཤིང་དབང ༼༣༽ པོ་ཐུལ་བ་དག་༎ དགོན་པ་ཞི་བ་རྣམས་སུ་རྒས་གྱུར་དང་༎མང་དུ་ཐོས་པ་ནགས་ཀྱི་ནང་དག་ཏུ་༎ ལང་ཚོ་ཡོལ་བ་རྣམས་ཀྱི་གནས་པ་བདེ་༎,(19)別解脱經難得聞　經於無量倶胝劫(20)讀誦受持亦如是　如説行者更難遇(21)諸佛出現於世樂　演説微妙正法樂(22)僧伽一心同見樂　和合倶修勇進樂(23)若見聖人則爲樂　并與共住亦爲樂(24)若不見諸愚癡人　是則名爲常受樂(25)見具尸羅者爲樂　若見多聞亦名樂(26)見阿羅漢是眞樂　由於後有不生故(27)於河津處妙階樂　以法降怨戰勝樂(28)證得正慧果生時　能除我慢盡爲樂(29)若有能爲決定意　善伏根欲具多聞(500c1)從少至老處林中　寂靜閑居蘭若樂,"1-2. Having bowed down before the Chief One in the world, who crossed over the boundless attachment to suffering, who was a flag of glory celebrated in the three worlds, whose lion's roar made apparent the roar of the True dharma. who reached the jeweled treasure of omniscience, whose feet were rubbed by the crest-jewels of Brahma's egg, I will explain the treasury of jewels, which is the moral precepts relating to omniscience, in the middle of the community of monks.3. This Pratimokṣa is called the essence, the heart and foundation of the limitless andunfathomable water of the ocean of Vinaya of the Buddha.4. This is the compendium of the True Dharma written by the King of the True Dharma. This great treaty consists of articles of precepts for the monks who are like a guild of merchants.5. This is the medicine for impeding the venom of those corrupted by bad śīla. This is the goad stick for youths bewildered by their youthfulness.6. This is the raft for crossing over the deep ocean of saṃsāra. This is the foremost guide for a king.7. This stands like a ladder for ascending the city of release. It has been proclaimed, “When I enter Nirvāṇa, this Prātimokṣa will be your Teacher.""8. The hearing of the Prātimokṣa is hard to obtain in ten millions of ages; even going beyond, to grasp and to bear it is much more difficult to obtain.9. Happy is the birth of Buddhas, happy is the knowledge of the Dharma; Happy is the concord in the saṃgha, happy is the tapas of the Śramaṇas.10. Happy is the sight of the noble ones, happy also is association with the truth; Absence of the sight of the ignorant should be a constant happiness.""11. Happy is seeing the disciplined ones, happy is seeing the learned ones; And seeing the arhants is happy (i.e., good) for the removal of rebirths.12. Happy is the river, happy is the bank of the river, happy is the person who has acquired Dharma; Happy is the attainment of prajna, happy indeed is the destruction of egotism.13. Happy is the condition of those learned ones who have made fixed intentions and subdued their senses; Happy is the condition of those gone to old age in peaceful forests of those having spent their youthfulness in forests."
6f6bd18cc7cd467d890d1cce882daea3,"rgatam āyuṣmanto grīṣmāṇāṃ yāvat tāvad avaśiṣṭam* | atikrāmati āyuḥ āgataṃ jarāmaraṇam* | pralaṅghyate śāstuḥ śāsanam apramādena āyuṣmadbhir yogaḥ karaṇīyaḥ | apramādādhigatā hi tathāgatānām arhatāṃ samyaksaṃbuddhānāṃ bodhir iti vā apy evaṃbhāgīyāḥ kuśalā dharmā bodhipakṣyāḥ | kiṃ bhagavataḥ śrāvakasaṃghasya pūrvakālakaraṇīyam alpo ’rtho ’lpakṛtyam* | anāgatānām āyuṣmantaś chandapariśuddhiṃ cārocayata ārocitāṃ ca pravedayata || 
",ཚེ་དང་ལྡན་པ་དག་སོ་ག་རྣམས་ཀྱི་འདས་པ་དང་། ལྷག་མ་ཇི་ཙམ་པ་དེ་ཙམ་མོ་༎ ཚེ་དང་ལྡན་པ་དག་རྒ་བ་དང་འཆི་བ་མངོན་པར་འོང་ཞིང་། ༼༤༽ སྟོན་པའི་བསྟན་པ་ཡང་འཇིག་པར་འགྱུར་བས་། ཚེ་དང་ལྡན་པ་དག་གིས་བག་ཡོད་བས་རྣལ་འབྱོར་དུ་བྱའོ་༎ དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རྣམས་ཀྱི་བྱང་ཆུབ་དང་། གཞན་ཡང་གང་དག་དེ་ལྟ་བུ་དང་མཐུན་པ་དགེ་བའི་ཆོས་བྱང་ཆུབ་ཀྱི ༼༥༽ ཕྱོགས་རྣམས་ཀྱང་བག་ཡོད་པས་འཐོབ་བོ་༎ བཅོམ་ལྡན་འདས་ཀྱི་ཉན་ཐོས་ཀྱི་དགེ་འདུན་ནི་དོན་ཉུང་བ་དང་བྱ་བ་ཉུང་བ་ཡིན་པས་དགེ་འདུན་གྱིས་ཐོག་མར་བྱ་བ་ཅི་ཡོད་། ཚེ་དང་ལྡན་པ་དག་མ་ལྷགས་པ་རྣམས་ལ་འདུན་པ་དང་ཡོངས་སུ་དག་པ་དྲིས་ཤིག་། དྲིས་ནས་ཀྱང་བརྗོད་པར ༼༦༽ བྱའོ་༎,(2)諸大徳。春時爾許過。餘有爾許在。老死既侵。(3)命根漸減。大師教法不久當滅。諸大徳。應勤(4)光顯莫爲放逸。由不放逸。必當證得9如來(5)應正等覺。何況所餘覺品善法。大徳僧伽。先(6)作何事。佛聲聞衆少求少事。未受近圓者出(7)不來。諸苾芻説欲及清淨其持欲者各對比坐而説誰遣苾(8)芻尼請教授,"Introduction Leader: O Venerable Ones. so many hot seasons have passed, so many remain. Life passes, old age and death approach. The Teaching of the Teacher is diminishing. Yoga should be practiced by the Venerable Ones with diligence. The Tathāgatas, Arhants, Fully Enligbtened Ones obtained the wholesome bodhipakṣya dharmas, indeed conducive to bodhi, by diligence, What preliminaries of the Śrāvaka-saṃgha of the Blessed One should be done?Response: Little, there is little to be done.Leader: Let the Venerable Ones announce the complete purity?” and consent of those who have not arrived, and having announced it, make it known."
5950753e875b40a8bcc54d4501457f51,"aṇamya śākyasiṃhāya bhūtvā hy asmai kṛtāṃjaliḥ |prātimokṣaṃ pravakṣyāmi vinayaṃ tac chṛṇotu naḥ || 14 ||śrutvā ca tat karotv atra yathā proktaṃ maharṣiṇā |aṇumātreṣv avadyeṣu bhavatā yatnakāriṇā || 15 ||yatnād drutaṃ satataṃ yaś ca cittahayaṃ mukhavacaneṣu anusārayati |prātimokṣakhalīnam api sadṛśaṃ śatakaṇṭakaṃ tīkṣṇaṃ yenātividhyate || 16 ||mahātmanaḥ ye vacanamātreṇa yathābhāgān na nivartante |puruṣaturagās te khalu kleśaraṇajayino bhaviṣyanti || 17 ||yeṣāṃ tu khalīnam idaṃ na vidyate nāpi antaḥkāmaṃ |te tu kleśaraṇavimathyatā uddāmā vibhramiṣyanti || 19 || 
",ཤཱཀྱ་སེང་གེ་དེ་ལ་ནི་༎ སོར་མོ་བཅུ་ཡི་ཐལ་སྦྱར་ཏེ་༎སོ་སོར་ཐར་པ་གདོན་པར་བྱས་༎ གདུལ་བའི་དོན་དུང་ལས་ཉོན་༎ཐོས་ནས་དྲང་སྲོང་ཆེན་པོ་ཡིས་༎ ཇི་སྐད་གསུངས་བཞིན་བསྒྲུབ་བྱ་ཞིང་༎ཁ་ནམ་ཐོ་ཕྲ་རྣམས་ལ་༎ རྟུན་ཅིང་བྱེད་པ་ཉིད་དུ་གྱིས་༎རྟག་ཏུ་འབད ༼༧༽ བས་བདའ་བ་ཡི་༎ སེམས་རྟ་ཁ་བླན་དཀའ་བ་ལ་༎མཐུན་པ་གཟེར་རྣོན་བརྒྱ་པ་ཡི་༎ སྲ་བ་ནི་སོ་སོར་ཐར་འདི་ཡིན་༎ཆེ་བ་གང་དག་ངག་ཙམ་གྱིས་༎ ལྡོག་ཅིང་མཚམས་ལས་མི་འདའ་བ་༎དེ་དག་མི་རྟ་བཟང་པོ་སྟེ་༎ ཉོན་མོངས་གཡུལ་ལས་ངེས་རྒྱལ་འགྱུར་༎སུ ༼༣ཨ༡༽ ལ་སྲབ་འདི་མེད་པ་དང་༎ ནམ་དུའང་འདོད་པར་མི་འགྱུར་བ་༎དེ་དག་ཉོན་མོངས་གཡུལ་གྱིས་དཀྲུགས་༎ འཇོག་བྲལ་རྣམ་པར་འཁྱམ་པར་འགྱུར་༎,(9)合十指恭敬　禮釋迦師子(10)別解脱調伏　我説仁善聽(11)聽已當正行　如大仙所説(12)於諸小罪中　勇猛亦勤護(13)心馬難制止　勇決恒相續(14)別解脱如銜　有百針極利(15)若人違軌則　聞教便能止(16)大士若良馬　當出煩惱陣(17)若人無此銜　亦不曾喜樂(18)彼沒煩惱陣　迷轉於生死,"14. Bowing down to the Lion of the Sakyas, and a reverential salute having been made, I will proclaim the Prātimokṣa, and let one hear that Vinaya from me.15, And having heard that, let one act here as proclaimed by the great sage; by making an effort and by being without even minute sins.16, For one who constantly, quickly, and with effort pursues his horselike mind with statements from the mouth of the Buddha, Prātimokṣa is like the bit of a bridle from which one hundred sharp thorns are shot.17. The great-minded ones who do not turn away from the proper station even by mere words, are indeed horse-like men who will be victorious in the battle of the kleśas.18. But for the unrestrained ones to whom this is not known to be a bridle, and is not even desired in their hearts, in the battle of the kleśas, they will be bewildered by confusion."
e6b7904b36d84dd69d4e4bd05cbcd2d7,"ṇotu bhadantaḥ saṃghaḥ adya saṃghasya poṣadhaḥ cāturdaśikaḥ pāṃcadaśiko vā sacet saṃghasya prāptakālaṃ kṣametānujānīyāt saṃgho yat saṃghasya poṣadhaṃ kuryāt prātimokṣasūtroddeśam uddeśayed eṣā jñaptiḥ | 
",དགེ་འདུན་བཙུན་པ་རྣམས་གསན་དུ་གསོལ་༎ དེང་དགེ་འདུན་གྱིས་གསོ་སྦྱོང་བཅུ་བཞི་པའམ་བཅྭ་ལྔ་པ ༼༢༽ སྟེ་། གལ་ཏེ་དགེ་འདུན་གྱི་དུས་ལ་བབ་ཅིང་བཟོད་ན་དགེ་འདུན་གྱིས་གནང་བར་མཛོད་ཅིག་དང་༎ དེང་དགེ་འདུན་གསོ་སྦྱོང་མཛད་དེ་སོ་སོར་ཐར་པའི་མདོ་གདོན་པ་གདོན་ཏོ་༎ འདི་ནི་གསོལ་བའོ་༎,(19)大徳僧伽聽。今僧伽黒月十四日或白月十五日作褒(20)灑陀。若僧伽時至聽者。僧伽應許。僧伽。今(21)作褒灑陀。説波羅底木叉戒經白如是。,"Leader: O Venerable Sirs. Let the saṃgha listen. Today is the fourteenth or fifteenth day of the lunar month, Poṣadha day for the saṃgha. If it seems good and the saṃgha should agree that it is the right time for the saṃgha. The saṃgha should perform Poṣadha and recite the Prātimokṣa Sūtra recitation. This is the motion."
6f656d0893b84eecad6f107b7ebb1ca5,"ṣadhaṃ vayam āyuṣmantaḥ1 kariṣyāmaḥ prātimokṣasūtroddeśam uddeśāmaḥ | yasya syāt āpattiḥ tena āviṣkartavyā | āpattyāṃ asatyāṃ tūṣṇīṃ bhavitavyam* | tūṣṇīṃbhāvena ca vayam āyuṣmataḥ pariśuddhān vedayiṣyāmaḥ | yathāpi pratyekaṃ pṛṣṭasya bhikṣor vyākaraṇaṃ bhavati evam evaṃ evaṃrūpāyāṃ bhikṣuparṣadi yāvat trir apy anuśrāvaṇaṃ bhavati | yaḥ punar bhikṣur evaṃrūpāyāṃ bhikṣuparṣadi yāvat trir apy anuśrāvyamāne smaran satīm āpattiṃ nāviṣkaroti saṃprajānan mṛṣāvādo ’sya bhavati | saṃprajānan mṛṣāvādaḥ khalv āyuṣmantaḥ antarāyiko dharma ukto bhagavatā | tasmāt smaratā bhikṣuṇā āpannena viśuddhāpekṣeṇa satī āpattir āviṣkartavyā | āviṣkṛtenāsya phāsu bhavati nāviṣkṛtena na bhavati | 
",ཚེ་དང་ལྡན་པ་དག་བདག་ཅག་གསོ་སྦྱོང་བྱ་སྟེ་། སོ་སོར་ཐར་པའི་མདོ་གདོན ༼༣༽ པ་གདོན་གྱིས་། ཁྱེད་ཅག་སུ་ལ་ལྟུང་བ་ཡོད་པ་དེས་མཐོལ་ཅིག་། ལྟུང་བ་མེད་ན་ཅང་མ་སྨྲ་ཞིག་། ཅང་མི་སྨྲ་ན་བདག་གིས་ཚེ་དང་ལྡན་པ་དག་ཡོངས་སུ་དག་པར་རིག་པར་བྱའོ་༎ ཇི་ལྟར་སོ་སོར་དྲིས་ནས་དགེ་སློང་གིས་ལན་བཏབ་པ་དེ་བཞིན་དུ་དགེ་སློང་གི་འཁོར་འདི་ལྟ་བུར་ཡང ༼༤༽ ལན་གསུམ་གྱི་བར་དུ་བསྒྲག་པར་བྱ་བ་ཡིན་ནོ་༎ ཡང་དགེ་སློང་གང་དགེ་སློང་གི་འཁོར་འདི་ལྟ་བུར་ལན་གསུམ་གྱི་བར་དུ་བསྒྲགས་པ་ན་ལྟུང་བ་ཡོད་ལ་དྲན་བཞིན་དུ་མི་མཐོལ་ན་དེ་ཤེས་བཞིན་དུ་བརྫུན་དུ་སྨྲ་བ་ཡིན་ནོ་༎ ཚེ་དང་ལྡན་པ་དག་ཤེས་བཞིན་དུ་བརྫུན་དུ་སྨྲ་བ་ནི་བཅོམ་ལྡན ༼༥༽ འདས་ཀྱིས་བར་དུ་གཅོད་པའི་ཆོས་སུ་གསུངས་སོ་༎ དེ་བས་ན་དགེ་སློང་གང་ལྟུང་བ་བྱུང་བ་རྣམ་པར་དག་པར་འདོད་པས་ལྟུང་བ་ཡོད་ལ་དྲན་ཞིང་མཐོང་བ་མཐོལ་བར་བྱའོ་༎ མཐོལ་ན་དེ་བདེ་བ་ལ་རེག་པར་གནས་པར་འགྱུར་རོ་༎ མ་མཐོལ་མ་བཤགས་ན་ནི་མི་འགྱུར་རོ་༎,諸大(22)徳我今作褒灑陀。説波羅底木叉戒經。仁等(23)諦聽。善思念之。若有犯者。當發露。無犯者默(24)然。默然故知諸大徳清淨。如餘問時。即如實(25)答。我今於此勝苾芻衆中。乃至三問亦應如(26)實答。若苾芻憶知有犯不發露者得故1妄語(27)罪。諸大徳。佛説故妄語是障礙法。是故苾芻(28)欲求清淨者。當發露。發露即安樂。不發露(29)不安樂。,"Response: O Venerable Ones1 we will perform the Poṣadha and recite the Prātimokṣa Sūtra. Leader: For whom there may be a fault, it should be confessed by that one. If there is no fault, one should be silent. By being silent, we will understand the Venerable Ones to be completely pure. Just as there is an answer by a monk when questioned individually, so also there is the threefold public proclamation in such an assembly of monks. For whatever monk, being questioned in this way three times in the assembly of monks, who does not reveal an existing fault which is remembered, there is the speaking of a deliberate lie. Speaking a deliberate lie, O Venerable Ones, has assuredly been declared by the Blessed One to be an obstructive condition. Therefore, an existing fault should be revealed by a fallen monk, remembering the offense and hoping for purity. By revealing it, there is comfort for him, but by not revealing it, there is none."
a993edeaac444c7690b2ef66548642df,"diṣṭaṃ khalu mayāyuṣmantaḥ prātimokṣasūtroddeśanidānam* | tatrāyuṣmataḥ pṛcchāmi -- kaccit sthātra pariśuddhāḥ  dvir api trir api pṛcchāmi -- kaccit sthātra pariśuddhāḥ  pariśuddhā atrāyuṣmanto yasmāt tūṣṇīm evam etad dhārayāmi | 
",ཚེ ༼༦༽ དང་ལྡན་པ་དག་བདག་གིས་སོ་སོར་ཐར་པའི་མདོ་གདོན་པའི་གླེང་གཞི་བཏོན་ཟིན་ཏོ་༎ དེ་ལ་བདག་གིས་ཚེ་དང་ལྡན་པ་དག་ལ་ཅི་འདི་ལ་ཁྱེད་ཡོངས་སུ་དག་གམ་ཞེས་དྲིའོ་༎ ཅི་འདི་ལ་ཁྱེད་ཡོངས་སུ་དག་གམ་ཞེས་ལན་གཉིས་ལན་གསུམ་དུ་དྲིའོ་༎ འདི་ལ་ཚེ་དང་ལྡན་པ་དག ༼༧༽ ཡོངས་སུ་དག་ན་འདི་ལྟར་ཅང་མི་སྨྲ་བས་དེ་དེ་བཞིན་དུ་འཛིན་ཏོ་༎ ༎,諸大徳。我已説戒經序今問諸大徳。(501a1)是中清淨不  如是三説諸大徳。是中清淨。  默然故我(2)今如是持,"O Venerable Ones, the introduction of the Prātimokṣa Sūtra recitation has been recited by me. Concerning this, I ask the Venerable Ones – What about it, you, who are assembled here, are you completely pure?  A second and also a third time I ask – Are you completely pure in this matter?  Since there is silence, the Venerable Ones here are completely pure. This I thus accept."
098d429cdcd340f68a92a66749f4c33c,"tvāraḥ pārājikā dharmāḥ | 
",-,,The Four Pārājika Dharmas
5b109330a2ed4fb9879a0998afd37f3e,,སྡོམ་ལ་༎མི་ཚངས་སྤྱོད་དང་རྐུ་བ་དང་༎མི་ལ་གསད་པར་མི་བྱ་བ་༎བརྫུན་དུ་སྨྲ་དང་བཅས་པ་ཡི་༎ཆོས་བཞི་འདིར་ནི་གསུངས་པ་ཡིན་༎,(3)諸大徳。此四波羅市迦法。半月半月戒經中(4)説(5)攝頌曰(6)若作不淨行　不與取斷人(7)妄説上人法　斯皆不共住,
