id,P001187,P001188
7a9aa974c10841628f38b755e5beb6bc,མ,.
fed2886f00ec41bdb391477c78547880,མདོར་བསྡུས་པ་ན་།ཕྱག་འཚལ་བ་དང་གསིང་མ་དང་༎དེ་བཞིན་འཇོག་དང་ཉལ་དང་ཁྱི་༎དེ་བཞིན་བཏུང་ཕོར་བུ་རམ་ཤིང་༎དེ་བཟིན་མར་དང་རྩ་བ་སྡོང་པོ་རྣམས་༎མདོ་རྣམས་བསྡུས་པར་གསུངས་པའོ་༎,.
13ba09dd3ea9453ab22ae854056dcec7,སངས་རྒྱས་བཅོམ་ལྡན ༼༢༽ འདས་མཉན་དུ་ཡོད་པན་ཛེ་ཏའི་ཚལ་མགོན་མེད་ཟས་སྦྱིན་གྱི་ཀུན་དགའ་ར་བ་ན་བཞུགས་སོ་༎ དེའི་ཚེ་ན་དགེ་སློང་གཉིས་ཤིག་རྣམ་པར་གདོན་མི་ཟ་བའི་གཏམ་སྨྲ་བ་ལས་གཅིག་ལ་གཅིག་ཚིག་རྩུབ་པོ་སྨྲས་ནས་དེ་ལ་གཞོན་ནུས་རྒན་པོ་ལ་རབ་ཏུ་སྤྱོས་ཏེ་། དེ་གནས་ཁང ༼༣༽ དུ་ཞུགས་ཏེ་འདུག་པ་དང་། གཞོན་ནུས་བདག་གིས་རྒན་པ་ལ་རབ་ཏུ་སྤྱོས་ཀྱིས་སོང་སྟེ་བཟོད་པར་གསོལ་ལོ་སྙམ་བསམས་ནས་། དེས་དེའི་གནས་ཁང་དུ་སོང་སྟེ་རྐང་པ་གཉིས་ལ་གཏུགས་ནས་བཙུན་པ་བདག་གིས་ཁྱོད་ལ་རབ་ཏུ་སྤྱོས་པ་བཟོད་པར་མཛོད་ཅིག་ཅེས ༼༤༽ བཟོད་པ་གསོལ་བར་བྱེད་པ་དང་། དེ་ཆེར་ཁྲོས་ནས་གཙེས་ཏེ་གནོད་པ་བྱས་སོ་ཞེས་སྨྲས་པ་དང་། དགེ་སློང་དག་གིས་ཐོས་ནས་བརྒྱུགས་ཏེ་ཚེ་དང་ལྡན་པ་ཅིའི་ཕྱིར་འོ་དོད་འབོད་ཅེས་དྲིས་པ་དང་། དེས་སྨྲས་པ་། ཚེ་དང་ལྡན་པ་འདི་འདི་ལྟར་བདག་གི་གནས་ཁང་དུ ༼༥༽ འོངས་ཏེ་གནོད་པ་བྱེད་པ་ལ་ལྟོས་། དེ་དག་གིས་དེ་ལ་ཚེ་དང་ལྡན་པ་ཅིའི་ཕྱིར་ཁྱོད་ཀྱིས་དགེ་སློང་རྒན་པ་འདི་ལ་གཙེས་ཞེས་སྨྲས་པ་དང་། དེས་ཀྱང་ཇི་ལྟར་གྱུར་པ་སྨྲས་ནས་དེ་དག་ཅང་མི་སྨྲ་བར་འདུག་གོ་༎ དེས་བསམས་པ་དེའི་ཕྱིར་ན་བཅོམ་ལྡན་འདས་ཀྱིས་ཕྱག་བྱོས ༼༦༽ ཤིག་པར་གསུངས་ཏེ་། ཇི་ནས་བའི་ཉན་ཐོས་རྣམས་བྱམས་པའི་སེམས་དང་། ཕན་པའི་སེམས་དང་། བརྩེ་བའི་སེམས་ཀྱིས་རང་གི་དོན་སྒྲུབ་པར་འགྱུར་རོ་ཞེས་གསུངས་ན་འདི་ལྟར་འདི་ནི་བདག་མཐོང་ནས་མི་དགའ་བ་དང་། ཁྲོས་པར་གྱུར་ན་བདག་གིས་འདི་ལ་བཟོད ༼༧༽ པར་བྱས་ཏེ་ཅི་རུང་གིས་འགྲོའོ་སྙམ་བསམས་ནས་དེ་སོང་ནས་ཕྱིས་དེ་ལ་ཕྱག་ཀྱང་མི་བྱེད་ན་བཟོད་པར་བྱེད་པ་ལྟ་ཅི་སྨོས་།,. . .
1d4ec0b7584a4296893fb4f0dc08dc27,དེ་ནས་དུས་ཕྱི་ཞིག་ན་དགེ་སློང་རྒན་པ་དེ་དགེ་སློང་གཞན་ཞིག་དང་ལྷན་ཅིག་འཆག་ཅིང་གཏམ་ཟེར་ཞིང་འཁོད་པ་དང་། དགེ་སློང་དེ་ཡང་དགེ་སློང ༼༡༤༢ཨ༡༽ དག་ལ་ཕྱག་འཚལ་བ་ལས་ཕྱོགས་དེར་འོངས་པ་དང་། འཆག་པའི་གྲོགས་ཀྱི་དགེ་སློང་དེས་དེ་ལ་སྨྲས་པ་། ཚེ་དང་ལྡན་པ་འདི་ལྟ་བུའི་དགེ་སློང་ཚུལ་ཁྲིམས་དང་ལྡན་པ་འདི་ལ་ཅིའི་ཕྱིར་བཟོད་པར་མ་བྱས་། རྒན་པ་དེས་འདི་ནི་འདི་ལྟར་སྡིག་པའི་སེམས ༼༢༽ ཁྲོ་བ་ཅན་ཏེ་། ལྟོས་ཤིག་དང་ད་ཡང་ཁྱོད་ལ་ཕྱག་བྱེད་ཀྱི་ང་ལ་མི་བྱེད་དོ་ཞེས་སྨྲས་པ་དང་། དེ་བཞིན་དེས་ཕྱག་བྱས་པ་དང་། དེས་སྨྲས་པ་། ཚེ་དང་ལྡན་པ་ཁྱོད་ཀྱིས་སྡིག་པའི་སེམས་ཅན་དེ་མཐོང་ངམ་། ཚེ་དང་ལྡན་པ་མཐོང་ངོ་༎,.
2b6bff15568e4533bfa9d8183bd48567,དེ་ནས་དེས་དེ་ལ་ཚེ་དང་ལྡན་པ་བདག ༼༣༽ གིས་གཞན་དུ་ཐོས་ན་གཞན་དུ་མཐོང་སྟེ་། ཁྱོད་ནི་ངོ་ཚ་ཞེས་འགྱོད་པ་ཅན་བསླབ་པ་ལ་མོས་པའོ་ཞེས་ཐོས་ན་། ཁྱོད་ཅིའི་ཕྱིར་དེ་ལྟར་མ་ཡིན་ཞེས་སྨྲས་པ་དང་། དེས་བཙུན་པ་བདག་གིས་ཇི་ལྟར་བགྱི་། ཚེ་དང་ལྡན་པ་དགེ་སློང་ཚུལ་ཁྲིམས་དང་ལྡན་པ་འདི་ལྟ་བུ་ལ་ཁྱོད་ཀྱིས ༼༤༽ ཅིའི་ཕྱིར་བཟོད་པ་མི་བྱ་ཞེས་སྨྲས་པ་དང་། དེས་ཇི་ལྟར་གྱུར་པ་རྒྱས་པར་སྨྲས་པ་དང་། དེ་འཕྱ་བར་གྱུར་ནས་། དེ་ལྟར་གྱུར་པ་དགེ་སློང་རྣམས་ཀྱིས་བཅོམ་ལྡན་འདས་ལ་གསོལ་ཏེ་། བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ་། དགེ་སློང་རྣམས་དགེ་སློང་དེ་འཕྱ་བ་ནི་ཡུས་ཀྱིས་། ༼༥༽ གང་རྣམ་པར་འཁོན་པ་དེ་བཟོད་པར་བྱའོ་༎ བཅོམ་ལྡན་འདས་ཀྱིས་གང་འཁོན་པ་དེ་བཟོད་པར་བྱའོ་ཞེས་གསུངས་པ་དང་། གཞན་ཞིག་གིས་བཟོད་པར་བྱས་ཀྱང་མ་བཟོད་ནས་། བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ་། གང་མི་སྤྱོད་པ་དེ་ཉེ་སྤྱོད་དུ་ཕྱིན་པ་དང་ཕྱག་བྱོས་ཤིག་། དེས ༼༦༽ ཀྱང་ནད་མེད་ཅིག་ཅེས་སྨྲ་འམ་ཡང་ན་ཕྱག་བྱོས་ཤིག་། དེ་ལྟར་མི་བྱེད་ན་གཉིས་ཀ་ལ་འདས་པ་དང་བཅས་པར་འགྱུར་རོ་༎ བཅོམ་ལྡན་འདས་ཀྱིས་འཁོན་པའི་དགེ་སློང་ལ་བཟོད་པར་བྱའོ་ཞེས་གསུངས་པ་དང་། དགེ་སློང་གཉིས་ཤིག་རྣམ་པར་གདོན་མི་ཟ་བའི་གཏམ་སྨྲ ༼༧༽ བ་ལས་འཁྲུགས་པ་དང་། མཚང་འདྲུ་བ་དང་། འཐབ་པ་དང་། རྩོད་པར་གྱུར་ཏེ་། དེ་གཉིས་ལས་དགེ་སློང་གཞོན་པས་དགེ་སློང་རྒན་པ་ལ་ཚིག་དྲག་པོ་མི་སྙན་པས་བློང་ཞིང་ཁྲོས་ཏེ་སྨྲས་པ་དང་། རབ་ཏུ་ཁྲོས་ནས་གནས་ཁང་དུ་ཞུགས་ཏེ་སྒོ་བཅད་ནས་དེས་ངན ༼༡༤༢བ༡༽ དུ་སྨྲས་པའི་ཚིག་དེ་ལྟ་བུ་སྒོམ་ཞིང་འདུག་གོ་༎ དེའི་བར་དུ་སངས་རྒྱས་བཅོམ་ལྡན་འདས་ཀྱིས་མི་མཁྱེན་པ་དང་། མ་གཟིགས་པ་དང་། མ་ཆུད་པ་དང་། རྣམ་པར་མི་མཁྱེན་པ་མེད་དེ་སངས་རྒྱས་བཅོམ་ལྡན་འདས་དག་ནི་ཆོས་ཉིད་ཀྱིས་ཐུགས་རྗེ་ཆེན་པོ་ཅན་འཇིག་རྟེན ༼༢༽ ལ་ཕན་འདོགས་པ་ལ་ཞུགས་པ་། སྲུང་བ་གཅིག་པུ་དཔའ་བ་། གཅིག་པུ་ཞི་གནས་དང་ལྷག་མཐོང་ལ་གནས་པ་། གདུལ་བའི་དངོས་པོ་གསུམ་ལ་མཁས་པ་། ཆུ་བོ་གཞི་ལས་རྒལ་བ་། རྫུ་འཕྲུལ་གྱི་རྐང་པ་བཞིའི་མཐིལ་ལ་རབ་ཏུ་བརྟན་པ་། མི་འཇིགས་པ ༼༣༽ བཞིས་འཇིགས་པ་མེད་པ་། ཡན་ལག་ལྔ་རབ་ཏུ་རྣམ་པར་སྤངས་པ་། འགྲོ་བ་ལྔ་ལས་ཡང་དག་པར་འདས་པ་། ཡན་ལག་དྲུག་དང་ལྡན་པ་། ཕ་རོལ་ཏུ་ཕྱིན་པ་དྲུག་ཡོངས་སུ་རྫོགས་པ་། རྟག་ཏུ་དྲུག་ལ་གནས་པ་། བྱང་ཆུབ་ཀྱི་ཡན་ལག་བདུན་གྱི་མེ་ཏོག་གིས ༼༤༽ བརྒྱན་པ་། ལམ་ཡན་ལག་བརྒྱད་པ་སྟོན་པ་། མཐར་གྱིས་གནས་ཤིང་སྙོམས་པར་འཇུག་པ་དགུ་ལ་མཁས་པ་། སྟོབས་བཅུའི་སྟོབས་དང་ལྡན་པ་། ཕྱོགས་བཅུར་སྙན་པར་གྲགས་པ་། བརྒྱ་ཕྲག་བཅུ་ལས་དབང་སྒྱུར་བའི་མཆོག་ཏུ་བྱུང་བས་གང་འགྲིབས་། གང ༼༥༽ འཕེལ་། གང་སྡུག་བསྔལ་དུ་གྱུར་། གང་དོག་པར་གྱུར་། གང་གནོད་པར་གྱུར་། གང་སྡུག་བསྔལ་དང་དོག་པ་དང་གནོད་པར་གྱུར་། གང་ངན་སོང་ལ་གཞོལ་། གང་ངན་སོང་ལ་འབབ་། གང་ངན་སོང་ལ་རབ་ཏུ་བསྟན་། གང་ངས་ངན་སོང་ལས་བཏོད་ཏེ་མཐོ ༼༦༽ རིས་སུ་ཐར་བའི་འབྲས་བུ་ལ་སོ་སོར་དགོད་པར་བྱ་། གང་དགེ་བའི་རྩ་བ་མ་བསྐྱེད་པ་རྣམས་ནི་བསྐྱེད་པར་བྱ་། གང་གིས་བསྐྱེད་པ་རྣམས་ནི་ཡོངས་སུ་སྨིན་པར་བྱ་། གང་ཡོངས་སུ་སྨིན་པ་རྣམས་ནི་རྣམ་པར་དགྲོལ་བར་བྱའོ་ཞེས་ཉིན་ལན་གསུམ་མཚན་ལན་གསུམ ༼༧༽ དུ་སངས་རྒྱས་ཀྱི་སྤྱན་གྱིས་འཇིག་རྟེན་ལ་གཟིགས་ཤིང་ཡེ་ཤེས་སྣང་བ་ལ་འཇུག་གོ་༎ ཡང་གསུངས་པ་། ཆུ་སྲིན་གནས་པའི་རྒྱ་མཚོ་ནི་། དུས་ལས་འདའ་བར་འགྱུར་སྲིད་ཀྱི་། གདུལ་བར་བྱ་བའི་བུ་རྣམས་ལ་། སངས་རྒྱས་དུས་འདའ་མི་སྲིད་དོ་༎,. . . . .
dd71f1472b9b434c9bbd7cf065fd485e,དེ་ནས ༼༡༤༣ཨ༡༽ བཅོམ་ལྡན་འདས་གནས་གཞན་ཞིག་ཏུ་འཛུམ་པ་མཛད་དོ་༎ ཆོས་ཉིད་ཀྱིས་གང་གི་ཚེ་སངས་རྒྱས་བཅོམ་ལྡན་འདས་རྣམས་འཛུམ་པ་མཛད་པ་དེའི་ཚེ་ན་ཞལ་ནས་འོད་ཟེར་སྡོན་པོ་དང་། སེར་པོ་དང་། དམར་པོ་དང་། དཀར་པོ་ལ་སོགས་པ་བྱུང ༼༢༽ སྟེ་། ལ་ལ་ནི་འོག་ཏུ་འགྲོའོ་༎ ལ་ལ་ནི་སྟེང་དུ་འགྲོ་སྟེ་། དེ་ལ་གང་འོག་ཏུ་སོང་བ་དེས་ནི་ཡང་འཚེ་བ་དང་། ཐིག་ནག་པོ་དང་། འདུས་པ་དང་། འོ་དོད་འབོད་པ་དང་། འོ་དོད་འབོད་པ་ཆེན་པོ་དང་། གདུང་བ་དང་། རབ་ཏུ་གདུང་བ་དང་། བསྟིར་མེད་པ་དང་། ཆུ་བུར་དང་། ༼༣༽ རྒྱུན་དུ་ཆུ་བུར་དང་། ཨ་ṭཨ་ṭཨ་དང་། ཧ་ཧ་པ་དང་། ཧུ་ཧུ་བ་དང་། ཨུཏྤ་ལ་དང་། པད་མོ་དང་། པད་མོ་ཆེན་པོ་ལ་སོགས་པའི་སེམས་ཅན་དམྱལ་བར་སོང་སྟེ་། གང་ཚ་བའི་སེམས་ཅན་དམྱལ་བ་ལ་དེས་བབ་པ་ནི་བསིལ་བར་གྱུར་། གང་གྲང་བའི་སེམས་ཅན་དམྱལ་བ ༼༤༽ དེ་ལ་བབ་པ་ནི་དྲོ་བར་གྱུར་ཏེ་། དེས་སེམས་ཅན་དེ་དག་དེ་ལྟ་བུས་གཟིར་བའི་ཁྱད་པར་དེ་དག་བདེ་བར་བྱས་པ་དང་། དེ་དག་འདི་སྙམ་དུ་ཀྱེ་བདག་ཅག་རྣམས་འདི་ནས་ཤི་འཕོས་སམ་འོན་ཏེ་གཞན་དུ་སྐྱེས་ཞེས་བསམས་ན་། དེ་དག་ལ་རབ་ཏུ་དད་པ་བསྐྱེད་པའི་ཕྱིར ༼༥༽ བཅོམ་ལྡན་འདས་ཀྱིས་སྤྲུལ་པ་བཏང་ནས་དེ་དག་གིས་སྤྲུལ་པ་མཐོང་བ་དང་། འདི་སྙམ་དུ་ཀྱེ་བདག་ཅག་རྣམས་འདི་ནས་ཤི་འཕོས་བར་གྱུར་བ་ཡང་མེད་། གཞན་དུ་སྐྱེས་པ་ཡང་མེད་ཀྱིས་། སྡོན་མ་བྱུང་བའི་སེམས་ཅན་འདི་མཐོང་བའི་མཐུས་ན་བདག་ཅག་གཟིར་བའི ༼༦༽ ཁྱད་པར་རྣམས་བདེ་བར་གྱུར་ཏོ་སྙམ་དུ་བསམས་ནས་དེ་དག་སྤྲུལ་པ་ལ་སེམས་མངོན་པར་དགའ་བར་གྱུར་པ་དང་། དམྱལ་བས་གཟིར་བའི་ལས་ཟད་པར་བྱས་ཏེ་གང་དུ་བདེན་པར་གྱུར་པའི་སྣོད་དུ་དེར་ལྷ་དང་མིའི་མཚམས་འཛིན་ཏོ་༎ གང་སྟེང་དུ་སོག་བ་དེས་ནི་རྒྱལ་ཆེན ༼༧༽ བཞིའི་རིས་ཀྱི་ལྷ་དང་། སུམ་བཅུ་རྩ་གསུམ་དང་། མཚེ་མ་དང་། དགའ་ལྡན་དང་། འཕྲུལ་དགའ་དང་། གཞན་འཕྲུལ་དབང་བྱེད་དང་། ཚངས་རིས་དང་། ཚངས་ལྷ་ཉེ་ཕན་དང་། ཚངས་ཆེན་དང་། ཆུང་སྣང་དང་། ཚད་མེད་སྣང་དང་། ཀུན་སྣང་དང་། དགེ ༼༡༤༣བ༡༽ བ་དང་། ཚད་མེད་དགེ་བ་དང་། དགེ་རྒྱས་དང་། སྤྲིན་མེད་དང་། བསོད་ནམས་འཕེལ་དང་། འབྲས་བུ་ཆེ་བ་དང་། མི་ཆེ་བ་དང་། མི་གདུང་བ་དང་། ཤིན་ཏུ་མཐོང་བ་དང་། གྱ་ནོམ་སྣང་བ་དང་། འོག་མིན་གྱི་ལྷ་ར་སོང་ནས་མི་རྟག་པ་དང་། སྡུག་བསྔལ་པ ༼༢༽ དང་། སྟོང་པ་ཉིད་དང་། བདག་མེད་པ་རྣམས་བསྒྲགས་ཏེ་ཚིགས་སུ་བཅད་པ་གཉིས་ཀྱང་བརྗོད་དོ་༎,. . . .
d9704943525d4a8bbb1b94bfa9b45629,འབྱུང་བར་བྱ་ཕྱིར་བརྩམས་པར་བྱོས་༎ སངས་རྒྱས་བསྟན་ལ་བརྩོན་པར་བྱོས་༎འདམ་བུའི་ཁྱིམ་ལ་གླང་ཆེན་བཞིན་༎ འཆི་བདག་སྡེ་རྣམས་གཞོམ་པར་བྱོས་༎,.
9edf4bc43dc94f9cab2bbdb974e686f3,༼༣༽ གང་ཞིག་རབ་ཏུ་བག་ཡོད་པར་༎ ཆོས་འདུ་ལ་འདི་ལ་སྤྱོད་འགྱུར་བ་༎སྐྱེ་བའི་འཁོར་བ་རབ་སྤངས་ནས་༎ སྡུག་བསྔལ་ཐ་མར་འབྱིན་པར་འགྱུར་༎,.
fa809ddeedbc4dcea8f69914a18b1738,དེ་ནས་འོད་ཟེར་དེས་སྟོང་གསུམ་གྱི་སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས་བསྐོར་ནས་བཅོམ་ལྡན་འདས་ཀྱི་ཕྱི་བཞིན་དུ ༼༤༽ འབྲང་ངོ་༎ དེ་དག་གལ་ཏེ་བཅོམ་ལྡན་འདས་ཀྱིས་འདས་པའི་ལས་ལ་ལུང་སྟོན་བཞེད་པར་གྱུར་ན་བཅོམ་ལྡན་འདས་ཀྱི་རྒྱབ་ཏུ་ནུབ་པོ་༎ མ་འོངས་པའི་དུས་ལ་ལུང་སྟོན་པར་བཞེད་པར་གྱུར་ན་མདུན་དུ་ནུབ་བོ་༎ དམྱལ་བར་ལུང་སྟོན་པར་བཞེད་པར་གྱུར་ན་ཞབས་ཀྱི ༼༥༽ མཐིལ་དུ་ནུབ་བོ་༎ བྱོལ་སོང་དུ་སྐྱེ་བར་ལུང་སྟོན་པར་བཞེད་པར་གྱུར་ན་རྟིང་བར་ནུབ་བོ་༎ ཡི་དགས་སུ་སྐྱེ་བར་ལུང་སྟོན་པར་བཞེད་པར་གྱུར་ན་ཞབས་ཀྱི་མཐེ་བོར་ནུབ་བོ་༎ མིར་སྐྱ་བར་ལུང་སྟོན་པར་བཞེད་པར་གྱུར་ན་བུས་མོར་ཆུབ་བོ་༎ སྟོབས་ཀྱི་འཁོར་ལོས་སྒྱུར་བའི ༼༦༽ རྒྱལ་པོར་ལུང་སྟོན་བཞེད་པར་གྱུར་ན་ཕྱག་གཡོན་པའི་མཐིལ་དུ་ནུབ་པོ་༎ འཁོར་ལོས་སྒྱུར་བའི་རྒྱལ་པོར་ལུང་སྟོན་བཞེད་པར་གྱུར་ན་ཕྱག་གཡས་པའི་མཐིལ་དུ་ནུབ་བོ་༎ ལྷར་སྐྱེ་བར་ལུང་སྟོན་བཞེད་པར་གྱུར་ན་ལྟེ་བར་ནུབ་བོ་༎ ཉན་ཐོས་ཀྱི་བྱང་ཆུབ་ཏུ་ལུང་སྟོན་བཞེད་པར ༼༧༽ གྱུར་ན་ཞལ་དུ་ནུབ་བོ་༎ རང་བྱང་ཆུབ་ཏུ་ལུང་སྟོན་བཞེད་པར་གྱུར་ན་སྨིན་མཚམས་སུ་ནུབ་བོ་༎ བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་ལུང་སྟོན་བཞེད་པར་གྱུར་ན་སྤྱི་བོའི་གཙུག་ཏུ་ནུབ་བོ་༎,. . . . . . . . . . . . .
9944041234834e53b7c67673dbb15599,དེ་ནས་འོད་ཟེར་དེས་བཅོམ་ལྡན་འདས་ལ་ལན་གསུམ་བསྐོར་བ་བྱས ༼༡༤༤ཨ༡༽ ནས་བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ཀྱི་རྟིང་པར་ནུབ་པ་དང་།,.
