id,P001782,P001783
d9f9316c1e274a6faf375d650f7d1761,མ,"ཋེ་ཅོམམེནཙ་པྲོབི༹དེད་ཧེརེ་ཨརེ་ཏེནཏཏིབེ༹་ཨནད་རེཔྲེསེནཏ་ཝོརཀ་ཨིན་པྲོགྲེསས་ཋེཡ་ཨརེ་བསེད་ཨོན་ཐེ་པྲེལིམིནརཡ་ཨིནབེ༹སྟིགཏིཨོན་ཨོཕ༹་ཐེ་མཱཏṛཀཱ་བཡ་Jཨེནས་ཝ་བོརགླནད་ཨཱལལ་ཅོམམེནཙ,་ཅོརྲེཅཏིཨོནས་ཨནད་ཨོཐེར་ཨིནཔུཏ་ཨིས་གྲེཨཏལཡ་ཨཔཔྲེཅིཨཏེད"
7a5ff19c9ba2402992e6573ddc1daa56,དེ་ནས་ཚེ་དང ༼༥༽ ལྡན་པ་ཨུ་པཱ་ལི་སངས་རྒྱས་བཅོམ་ལྡན་འདས་གང་ན་བ་དེར་སོང་སྟེ་དྲུང་དུ་ཕྱིན་པ་དང་། ཞབས་ལ་མགོ་བོས་ཕྱག་འཚལ་ཏེ་ཕྱོགས་གཅིག་ཏུ་འདུག་གོ་༎ ཕྱོགས་གཅིག་ཏུ་འདུག་ནས་། སངས་རྒྱས་བཅོམ་ལྡན་འདས་ལ་ཚེ་དང་ལྡན་པ་ཨུ་པཱ་ལིས་འདི་སྐད་ཅེས་གསོལ ༼༦༽ ཏོ༎,.
f99dafe70d08417cbd1b6e2f2f99247c,བཙུན་པ་འདུལ་བའི་ཕུང་པོ་དུ་མཆིས་། ཨུ་པཱ་ལི་གསུམ་སྟེ་༎ བསྙེན་པར་རྫོགས་པའི་ཕུང་པོ་དང་། རབ་ཏུ་ལྡན་པའི་ཕུང་པོ་དང་། འཚོ་བའི་ཕུང་པོའོ་༎,"ཋྲེཨེཕོ༹ལད་དིབི༹སིཨོན་ཨོཕ༹་༌བི༹ནཡསྐནདྷ་ཕོ༹རམས་ཐེ་སྟྲུཅཏུརེ་ཨོཕ༹་ཐེ་མཱཏṛཀཱ༔་༌ཨུཔསམཔདཱསྐནདྷ,་༌པྲཡུཀཏསྐནདྷ,་༌ཨཱཇīབ༹སྐནདྷ་ཎོཏེ་ཐཏ་ཐེ་ལསཏ་ཨོཕ༹་ཐེསེ་ཐྲེཨེ་སྐནདྷས་ཨིས་རེཕེ༹རྲེད་ཏོ་ཨས་ཐེ་༌ཀṛཏྱཱསྐནདྷ ༼བྱ་བའི་ཕུང་པོ༽ ཨིན་ཐེ་སེཅཏིཨོན་ཨོཕ༹་ཐེ་མཱཏṛཀཱ་དེབོ༹ཏེད་ཏོ་ཨིཏ"
d4f26ea78e41414a87cf906a5e34631a,བསྙེན་པར་རྫོགས་པའི་ཕུང་པོ་གང་ཞེ་ན་། བསྙེན་པར་རྫོགས་པར་འོས་པ་དང་། བསྙེན་པར ༼༧༽ རྫོགས་པར་མི་འོས་པ་དང་། བསྙེན་པར་རྫོགས་པར་བྱ་བ་དང་། བསྙེན་པར་རྫོགས་པར་བྱ་བ་དང་། བསྙེན་པར་རྫོགས་པ་དང་། བསྙེན་པར་མ་རྫོགས་པ་དང་། ལས་དང་ལས་ཀྱི་དངོས་པོ་དང་། གཞག་བར་འོས་པའི་ལས་དང་། མི་གཞག་པར་འོས་པའི ༼༢༣༤ཨ༡༽ ལས་དང་། དབྱུང་བའི་ལས་དང་། བཟོད་པ་གསོལ་བའི་ལས་དང་། བསྡིགས་པའི་དངོས་པོ་དང་། གླེང་བའི་དངོས་པོ་དང་། གདུལ་བའི་དངོས་པོ་དང་། ཞི་བར་བྱ་བའི་དངོས་པོ་དང་། རྒྱུའི་དངོས་པོ་དང་། བསླབ་པ་དང་། བསླབ ༼༢༽ པ་མ་ཕུལ་བ་དང་། བསླབ་པ་ཕུལ་བ་དང་། བསླབ་པ་ཉམས་པར་བརྗོད་པ་དང་། རྩོད་པ་དང་། རྩོད་པར་བསྡུ་བ་དང་། རྩོད་པ་ཞི་བ་དང་། རྩོད་པ་རབ་ཏུ་ཞི་བ་དང་། ཀློག་པ་དང་། མི་ཀློག་པ་དང་། བྱིན་གྱིས་བརླབ་པ་དང་། སྨྱོས་པའི་སྡོམ་པ་དང་། ༼༣༽ དད་པས་བྱིན་པ་མ་རུང་བར་བྱེད་པ་དང་། ལས་དང་། ལས་མ་ཡིན་པ་དང་། འདུལ་བ་དང་། ལྟ་བ་བརྗོད་པ་དང་། གསོལ་བ་དང་། གསོལ་པའི་ལས་དང་། གསོལ་བ་དང་གཉིས་ཀྱི་ལས་དང་། གསོལ་བ་དང་བཞིའི་ལས་དང་། བསྡིགས་པའི་ལས་དང་། སྨད ༼༤༽ པའི་ལས་དང་། བསྒྲད་པའི་ལས་དང་། སླར་བསྡུམ་པའི་ལས་དང་། མ་མཐོང་བའི་ཕྱིར་སྤངས་པའི་ལས་དང་། སླར་ལས་མི་བྱེད་པའི་ཕྱིར་སྤང་བའི་ལས་དང་། སྡིག་པར་ལྟ་བ་སླར་མ་བཏང་བའི་ཕྱིར་སྤང་བའི་ལས་དང་། ཆད་པས་གཅད་པ་དང་། གཞི་ནས་བསླད ༼༥༽ བ་དང་། ཡིད་མགུ་བར་བྱེད་པ་དང་། དབྱུང་བ་དང་། དྲི་བ་དང་། ཆོས་བཞིན་པ་དང་། ཆད་པའི་ཡོན་ཏན་གང་ཡིན་པ་དང་། གཞི་ནས་བཟླས་པ་དང་། ཡིད་མགུ་བ་ཅི་ཕྱིར་བྱ་བ་དང་། དབྱུང་བའི་ཡོན་ཏན་གང་ཡིན་པ་དང་། དེའི་ངོ་བོ་ཉིད་ཚོལ་བས་ཆད་པ ༼༦༽ གཅད་པ་དང་། ཉེས་པ་དང་། ཉེས་པ་མེད་པ་དང་། ལྕི་བའི་ཉེས་པ་དང་། ཡང་བའི་ཉེས་པ་དང་། ལྷག་མར་བཅས་པའི་ཉེས་པ་དང་། ལྷག་མ་མེད་པའི་ཉེས་པ་དང་། ཉེས་པ་སྔོམ་པོའི་ཉེས་པ་དང་། ཉེས་པ་སྡོམ་པོ་མ་ཡིན་པའི་ཉེས་པ་དང་། ལས་སུ་བཅས ༼༧༽ བའི་ཉེས་པ་དང་། ལས་མེད་པའི་ཉེས་པ་དང་། ཉེས་བར་གྱུར་བའི་ལས་དང་། ཉེས་པ་མེད་པའི་ལས་དང་། ཉེས་པ་དབྱུང་བ་དང་། གླེང་བ་དང་། དྲན་པར་བྱ་བ་དང་། བརྩད་པ་ཡོད་པའི་ལས་དང་། འཚེ་བའི་ལས་དང་། ལུང་མི་བསྒོ་བ་དང་། ལུང་བསྒོ་བ་དགག ༼༢༣༤བ༡༽ པ་དང་། ལུང་བསྒོ་བ་རྫོགས་པར་མི་བྱ་བ་དང་། སྐབས་འབྱེད་པ་དང་། སྐབས་དབྱེ་བའི་ལས་དང་། སྐབས་དབྱེ་བར་གསོལ་བ་དང་། གསོ་སྦྱིན་འགོག་པ་དང་། སྐབས་དབྱེ་བ་དགག་པ་དང་། ནང་དུ་བཞག་པ་དང་། ནང་དུ་བཙོས་པ་དང་། བདག་གིས་བཙོས་པ ༼༢༽ དང་། དགེ་སློང་གིས་བཙོས་པ་དང་། བླངས་པ་དང་། སླར་མ་བླངས་པ་དང་། བླངས་ནས་སླར་ལེན་པའོ་༎ སྔ་དྲོའི་ཟས་ཀྱི་ཚེ་བྱིན་ལེན་བྱས་པ་དང་། དེའི་ལྷག་མ་ཁྱེར་པ་དང་། ནགས་ཀྱི་ཚིག་གུ་ཅན་དང་། རྫིང་གི་དང་། བཏིང་བ་དང་། མ་བཏིང་བ་དང་། ༼༣༽ ཕྱུང་བ་དང་། མ་ཕྱུང་བ་དང་། རིན་ཆེ་བའི་ཡོ་བྱད་དང་། ཆུང་བའི་ཡོ་བྱད་དང་། བགོ་བར་བྱ་པའི་ཡོ་བྱད་དང་། མི་བསོ་བའི་ཡོ་བྱད་དང་། མིའི་ཡོ་བྱད་དང་། མི་མ་ཡིན་པའི་ཡོ་བྱད་དང་། དབང་བའི་ཡོ་བྱད་དང་། མི་དབང་བའི་ཡོ་བྱད་དང་། བྱིན་ལེན ༼༤༽ བྱ་བའི་ཡོ་བྱད་དང་། བྱིན་ལེན་མི་བྱ་བའི་ཡོ་བྱད་དང་། ཤི་བའི་ཆོས་གོས་དང་། དངོས་པོའི་གོས་དང་། ཕྱག་དར་ཁྲོད་པའི་གོས་དང་། སྣའི་ལས་དང་། མས་བཏང་བའི་ལས་དང་། མཚོན་གྱི་ལས་དང་། བྲེག་པའི་ལས་དང་། སྐྲ་བྲེག་པའི་ལས་དང་ཆེད་དུ ༼༥༽ བྱས་པའི་བཟའ་བ་དང་། འབྲས་བུ་ཟ་བ་དང་། མིའི་ཟ་བ་དང་། མི་མ་ཡིན་པའི་ཟབ་དང་། ལྔ་བརྒྱས་འདུལ་བ་བསྡུས་པ་དང་། བདུན་བརྒྱས་འདུལ་བ་བསྡུས་པ་དང་། འདུལ་བ་ཡང་དག་པའི་མདོ་དང་། ནག་པོར་སྟོན་པ་དང་། ཆེར་སྟོན་པ་དང་། འདྲེས ༼༦༽ པ་དང་། ཤིན་ཏུ་འདྲེས་པ་དང་། ཀུན་དགའི་རུང་བ་དང་། ནགས་སུ་རུང་བ་དང་། འཁོར་གྱི་རུང་བ་དང་། ཡུལ་གྱི་རུང་བ་དང་། ཕྱོགས་ཀྱི་རུང་བ་དང་། ལྗོངས་སུ་རུང་བ་དང་། གོས་ཀྱི་རུང་བ་དང་། ཁུ་བ་སྐྱུར་པོ་རུང་བའོ་༎,༌ཨུཔསམཔདཱསྐནདྷ་ཨེ྾པླཻནེད་ཐྲོཨུགྷ་ཨ་ལིསཏ་Eཨཆ་ཨེལེམེནཏ་ཨིན་ཐིས་ལིསཏ་ཨིས་ཕུ༹རཐེར་ཨེ྾པླཻནེད་ཨིན་ཐེ་ཕོ༹ལློཝིང་ཨེནཏྲིཨེས
1abdc2cc3d4f46a79d3a0bcef410a461,བསྙེན་པར་རྫོགས ༼༧༽ པར་འོས་པ་གང་ཞེ་ན་། ཁས་བླངས་ནས་གྲུབ་པས་ན་བསྙེན་པར་རྫོགས་པ་སྟེ་། བསྙེན་པར་རྫོགས་པར་འོས་པ་ལ་རྣམ་པ་བཅུའོ་༎ དེ་བཞིན་གཤེགས་པ་རང་བྱུང་དང་རབ་སངས་རྒྱས་ནི་སློབ་དཔོན་མེད་པས་བསྙེན་པར་རྫོགས་པ་དང་། ལྔ་པོ་རྣམས་ཡེ་ཤེས་མངོན་དུ་ཆུད ༼༢༣༥ཨ༡༽ པས་བསྙེན་པར་རྫོགས་པ་དང་། ཚེ་དང་ལྡན་པ་འོང་སྲུང་ཆེན་པོ་སྟོན་པར་ཁས་བླངས་པས་བསྙེན་པར་རྫོགས་པ་དང་། ཚེ་དང་ལྡན་པ་འཆར་ལྡན་དྲིས་ནས་ལུང་བསྟན་པས་བསྙེན་པར་རྫོགས་པ་དང་། དགེ་སློང་ཚུར་ཤོག་ཅེས་གསུངས་པས་བསྙེན་པར ༼༢༽ རྫོགས་པ་དང་། སྐྱབས་སུ་འགྲོ་བའི་ཚིག་གསུམ་གྱིས་བསྙེན་པར་རྫོགས་པ་དང་། ཡུལ་མཐའ་འཁོབ་ན་འདུལ་བ་འཛིན་པ་དང་། ལྔའི་དགེ་འདུན་ལས་བསྙེན་པར་རྫོགས་པ་དང་། ཡུལ་གྱི་དབུས་སུ་བཅུ་འདུས་པ་དང་དེ་ལས་ལྷག་པ་ལས་བསྙེན་པར་རྫོགས་པ ༼༣༽ དང་། བླ་མའི་ཆོས་ཁས་བླངས་པ་དང་། ཕོ་ཉས་བསྙེན་པར་རྫོགས་པ་དང་། དགེ་འདུན་སྡེ་གཉིས་ལས་བསྙེན་པར་རྫོགས་པའོ་༎ དེ་ལ་གང་གསོལ་བ་དང་བཞིའི་ལས་ཀྱིས་མ་བཅས་པ་ན་སྐྱབས་སུ་འགྲོ་བའི་ཚིག་གསུམ་གྱིས་བསྙེན་པར་རྫོགས་པ་ནི་ལེགས་པར་བསྙེན ༼༤༽ པར་རྫོགས་པ་ཞེས་བྱའོ་༎ གང་གིས་གསོལ་བ་དང་བཞིའི་ལས་བཅས་པ་དེ་ནི་སྐྱབས་སུ་འགྲོ་བའི་ཚིག་གསུམ་གྱིས་བསྙེན་པར་རྫོགས་པ་ནི་བསྙེན་པར་མ་རྫོགས་པའོ་༎ དགེ་སློང་ཚུར་ཤོག་ཅེས་པས་ནི་ཐོག་མ་དང་ཐ་མར་འདྲ་སྟེ་། བསྙེན་པར་རྫོགས་པ་དེ་ནི་ལེགས ༼༥༽ པར་བསྙེན་པར་རྫོགས་པའོ་༎ དེ་ཅིའི་ཕྱིར་ཞེ་ན་། ཨུ་པཱ་ལི་དགེ་སློང་ཚུར་ཤོག་ཅེས་བྱ་བ་ནི་༎ ངས་མངོན་སུམ་དུ་བསྙེན་པར་རྫོགས་པ་སྟེ་། དགེ་སློང་ཚུར་ཤོག་ཅེས་བྱ་བ་དེ་ཐམས་ཅད་ཀྱང་སྲིད་པ་ཐ་མ་པ་སྟེ་། དགེ་སློང་ཚུར་ཤོག་ཅེས་བྱ་བ་དག་ནི་སློབ་བཞིན་དུ་དུས ༼༦༽ འདའ་བ་མ་ཡིན་ཏེ་། དེ་ལྟ་བས་ན་དེ་དག་ལེགས་པར་བསྙེན་པར་རྫོགས་པ་ཞེས་བྱའོ་༎ དེ་ལས་དགེ་སློང་མ་དང་ནི་རྣམ་པ་གསུམ་གྱིས་བསྙེན་པར་རྫོགས་པར་འོས་པ་སྟེ་། བླ་མའི་ཆོས་ཁས་བླངས་པ་དང་། ཕྲིན་པ་དང་། དགེ་འདུན་སྡེ་གཉིས་ལས་སོ་༎ བླ་མའི་ཆོས་ཁས ༼༧༽ བླངས་པ་ནི་ཇི་ལྟར་སྐྱེ་དགུའི་བདག་མོ་ཆེན་མོ་ལ་སོགས་པ་སྟེ་། རྒྱས་པར་ནི་མདོ་ལས་འབྱུང་བ་བཞིན་བརྗོད་དོ་༎ ཕྲིན་ནི་སྐྱེ་བོའི་དགེ་བ་ཅན་མ་དང་འདྲ་བ་གང་ཕྱིར་བྱུང་ན་བར་ཆད་དུ་འགྱུར་བ་དེ་ལ་ཡང་ཕོ་ནས་ལས་སུ་བྱའོ་༎ ཕྲིན་གྱིས་བསླབ་པ་པ་ཉན་ཏེ་དེ་དག་ལ་ཟློས་ལ་ཆེ་ཞེ ༼༢༣༥བ༡༽ ཁྱོད་ལེགས་པར་བསྙེན་པར་རྫོགས་པ་ནི་ཆོས་སྦྱིན་མ་དང་འདྲའོ་༎ ལུང་བསྒོ་བ་ནི་རྒྱས་པར་སྦྱར་ཏེ་། ཇི་ལྟར་འདུལ་བ་ལས་འབྱུང་བ་བཞིན་ནོ་༎ དེ་ལས་ཐུ་བ་དག་ནི་དགེ་འདུན་སྡེ་གཉིས་ཀྱིས་བསྙེན་པར་རྫོགས་པར་གྱིས་ཤིག་། སྐྱོ་བ་མེད་། གཞག་པ་མེད་པར ༼༢༽ གསོལ་བ་དང་བཞིའི་ལས་ཀྱིས་བསྙེན་པར་རྫོགས་པ་དེ་ནི་བསྙེན་པར་རྫོགས་པ་ཞེས་ནི་བྱ་སྟེ་། གཞན་ཡང་གསུང་རབ་འདི་ལ་བསྙེན་ནས་ལེན་ཅིང་ཤིན་ཏུ་ཁས་བླངས་ནས་ཐོབ་སྟེ་བདེ་བ་མྱོང་ནས་མངོན་དུ་བྱེད་པ་སྟེ་༎ དེ་ལྟ་བས་ན་བསྙེན་པར་རྫོགས་པའོ་༎ ཞེས ༼༣༽ གསུངས་སོ་༎,༌ཨུཔསམཔདཱརཧ
07b7623dde0c4e05af7bb440d9337ae4,བསྙེན་པར་རྫོགས་པར་མི་རིགས་པ་གང་ཞེ་ན་། དེ་ལ་སླར་ལོག་ན་བསྙན་པར་མ་རྫོགས་པ་སྟེ་། གསུང་རབ་དེ་ལ་བསྙེན་ཅིང་ཁས་མ་བླངས་ན་ཤིན་ཏུ་ཁས་མ་བླངས་པས་མཐོ་བ་སྟེ་། བདེ་བར་མ་མྱོང་ནས་མངོན་དུ་མི་བྱེད་པ་འདི་ནི་བསྙེན་པར་མ ༼༤༽ རྫོགས་པ་ཞེས་བྱའོ་༎,༌ཨུཔསམཔདཱཨཡུཀཏ
1b2f4735d2d245a48cb47747bbf1f893,བསྙེན་པར་རྫོགས་པར་བྱ་བ་གང་ཞེ་ན་། མིའི་སྐྱེས་པ་འཚོ་བ་དང་ལྡན་པ་བར་ཆད་མེད་པ་དང་། མིའི་བུད་མེད་འཚོ་བ་དང་ལྡན་པ་བར་ཆད་མེད་པ་དེ་དག་ནི་བསྟེན་པར་རྫོགས་པར་བྱའོ་༎,༌ཨུཔསམཔདཱཀརངīཡ
afdbc9168c90478da1e8792857e2358c,བསྙེན་པར་རྫོགས་པར་མི་བྱ་བ་གང་ཞེ་ན་། ཕ་བསད་པ་དང་། ༼༥༽ མ་བསད་པ་དང་། དགྲ་བཅོམ་པ་བསད་པ་དང་། དགེ་འདུན་གྱི་དབྱེན་བྱས་པ་དང་། དེ་བཞིན་གཤེགས་པ་ལ་ངན་སེམས་ཀྱིས་ཁྲག་ཕྱུང་བ་དང་། སློབ་དཔོན་མེད་པ་དང་། མཁན་པོ་མེད་པ་དང་། ལྷུང་བཟེད་དང་། ཆོས་ངོས་མེད་པ་དང་། ཆད་པའི་ལས ༼༦༽ མི་བྱེད་པ་དང་། མུ་སྟེགས་དང་། མུ་སྟེགས་ཅན་དུ་སོང་བ་དང་། རྐུན་གནས་དང་། ཐ་དད་དུ་སོ་སོར་གནས་པ་དང་། མི་གནས་པ་དང་། ཟ་མ་དང་། མ་ནིང་དང་། དགེ་སློང་མ་སུན་ཕྱུང་བ་དང་། ལོ་ཉི་ཤུ་མ་ཚང་བ་དང་། ཡིད་མ་སྨྲ་བ་དང་། མ་རུང་བར་བྱས་པ་དང་། ༼༧༽ མ་རུང་བར་བྱ་བར་རིགས་པ་དང་། མི་མ་ཡིན་པ་ཐམས་ཅད་དེ་འདི་དག་ནི་བསྙེན་པར་རྫོགས་པར་མི་བྱ་བ་སྟེ་། དེ་སྟེ་བསྙེན་པར་རྫོགས་པར་བྱས་ན་ཡང་བསྙེན་པར་རྫོགས་པ་མ་ཡིན་ཏེ་། བསྙེན་པ་རྫོགས་པར་བྱེད་པ་ཡང་འདས་པ་དང་བཅས་པར་འགྱུར་རོ་༎ དེ་ཅིའི་ཕྱིར་ཞེ ༼༢༣༦ཨ༡༽ ན་། གང་ཟག་དེ་དག་ནི་འཁོར་སུན་ཕྱུང་བར་བྱེད་པ་ཞེས་བྱ་སྟེ་། ཐམས་ཅད་ཀྱང་འཁོར་སུན་པར་བྱེད་པ་སྟེ་། བསྙེན་པར་རྫོགས་པར་བྱ་བ་མ་ཡིན་པའོ་༎,༌ཨུཔསམཔདཱཨཀརངīཡ
fc76ea34838a42168f7946d00b875b3a,བསྙེན་པར་རྫོགས་པ་གང་ཞེ་ན་། གང་ཟག་འདི་ཞེས་བྱ་། མིང་འདི་ཞེས་བྱ་རིགས་འདི་ཞེས་བྱ་། ༼༢༽ རུས་འདི་ཞེས་བྱ་༎ འདི་ལྟར་ཆོས་བཞིན་འདུས་པའི་དགེ་འདུན་གྱིས་བསྙེན་པར་རྫོགས་པར་བྱས་པ་སྟེ་། མངོན་དུ་སྐྱོ་བ་མེད་པ་དང་། གཞག་པ་མེད་པར་གསོལ་བ་དང་བཞིའི་ལས་ཀྱིས་བསྙེན་པར་རྫོགས་པ་འདི་ནི་བསྙེན་པར་རྫོགས་པ་ཞེས་བྱ་སྟེ་། གང་རྗེས་སུ་གནང ༼༣༽ བཞིན་བསྙེན་པར་རྫོགས་པ་ནི་ལེགས་པར་བསྙེན་པར་རྫོགས་པའོ་༎,༌ཨུཔསམཔདཱ
9b510e90d7e34e56aa43bc103d744544,བསྙེན་པར་མ་རྫོགས་པ་གང་ཞེ་ན་། ཕ་བསད་པ་དང་། མ་བསད་པ་དང་། དགྲ་བཅོམ་པ་བསད་པ་དང་། དགེ་འདུན་གྱི་དབྱིན་བྱས་པ་དང་། དེ་བཞིན་གཤེགས་པ་ལ་ངན་སེམས་ཀྱིས་ཁྲག་ཕྱུང་བ་དང་། ༼༤༽ མུ་སྟེགས་ཅན་དང་། མུ་སྟེགས་ཅན་དུ་སོང་བ་དང་། རྐུན་གནས་དང་། ཐ་དད་དུ་གནས་པ་དང་། ཟ་མ་དང་། མ་ནིང་དང་། དགེ་སློང་མ་སུན་ཕྱུང་བ་དང་། སྔར་ཉམས་པ་འདི་དག་ནི་བསྙེན་པར་མ་རྫོགས་པ་ཞེས་བྱ་སྟེ་། འདི་ནི་ཚེས་དང་འདུལ་བ་འདི་ལ་མི་སྐྱེ་བའི་ཆོས ༼༥༽ ཅན་ནོ་༎ ཅིའི་ཕྱིར་ན་བསྙེན་པར་མ་རྫོགས་པ་ཞེས་བྱ་བ་ཞེ་ན་། མཚུངས་པར་བསླབ་པ་མ་ཐོབ་པ་སྟེ་། དེའི་ཕྱིར་བསྙེན་པར་མ་རྫོགས་པ་ཞེས་བྱའོ་༎ གང་ཟག་བཅུ་གསུམ་པོ་འདི་མ་གཏོགས་པ་རྣམས་ནི་བསྙེན་པར་རྫོགས་པར་བྱའོ་༎ དེ་སྟེ་བསྙེན་པར་རྫོགས་པར་བྱས་ན་བསྙེན ༼༦༽ པར་རྫོགས་བཞེས་ཀྱང་མི་བྱ་ལ་། བསྙེན་པར་རྫོགས་པར་བྱེད་པའང་འདས་པ་དང་བཅས་པར་འགྱུར་སྟེ་། དེ་ལྟ་བས་ན་ངས་བསྙེན་པར་མ་རྫོགས་པ་ཞེས་གསུངས་སོ་༎,༌ཨནུཔསམཔདཱ
