id,P001786,P001787,P001788,P001789,P001790,P001791
59042e3671d34fa9abb7d682463fccf2,Mahāvyutpatti,"བྱེ་བྲག་ཏུ་རྟོགས་པར་བྱེད་ཆེན་པོ,་དམ་པའི་ཆོས་ལས་འབྱུང་བའི་སྐད་ལ་རྦབ་པ",Mahāvyutpatti,༼༡༣༡བ༡༽~། སྒྲ་སྦྱོར་བམ་པོ་གཉིས་པ་བཞུགས་༎~~།,"The Construction of Words, in Two Parts",-
3571f9e9d7d64daebbfd567b6f78ace7,namo bhagavate śākyamunaye tathāgatāyārhate samyaksaṃbuddhāya,བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཤཱ་ཀྱ་ཐུབ་པ་ལ་ཕྱག་ཚལ་ལོ་༎,,། ནམོ་བུདདྷཱཡ་། བམ་པོ་དང་པོ་།,Homage to the Buddha. The first volume. Historical Introduction.,-
dceacc8449184f6e88d7139998cbace9,,-,,རྟའི་ལོ་ལ་བཙན་པོ་ཁྲི་ལྡེ་སྲོང་བཙན་ཕོ་བྲང་སྐྱིའི་འོན་ཅང་རྡོ་ན་བཞུགས་། སྟོད་སྨད་ཀྱི་དམག་རྙིང་རྗེད་དང་རྐུན་ཆེན་བཏུལ་། གར་ལོག་གི་ཕོ་ཉས་ཕྱག་བཙལ་། བློན་ཆེན་པོ་ཞང་ཁྲི་ཟུར་རམ ༼༢༽ ཤག་དང་། མན་རྗེ་ལྷ་ལོད༡ལ་སོགས་པས་རྒྱ་ལས་མནངས་མང་པོ་བཅད་དེ་། རྔ་དང་བ་ལང་ཕལ་མོ་ཆེ་ཕྱག་ཏུ་ཕུལ་། ཞང་བློན་མན་ཆད་སོ་སོར་བྱ་དགའ་སྩལ་བའི་ལན་ལ་།,"1. In the year of the horse the ruler (btsan po) Khri lde Sroṅ btsan was staying in the palace ’On caṅ do1in sKyi. The old war-lords of Higher and Lower Tibet, as well as the “robbers”2 were vanquished, and he received obeisance from Gar log through an envoy. The great ministers Źaṅ khri Zur ram Śag and Maṅ rje lHa lod, these and others brought tribute from the territories. Camels, horses and oxen in huge numbers were offered to the King, and each and every man was recompensed with gifts from the main (źaṅ) minister and downwards.",པ༔་ཨཱ་ནརྲཏིཨོ༡ར༡༔་། ། ཕག་གི་ལོ་ལ་ཕོ་བྲང་ཟུང་ཀར་ན་བཞུགས་།པ ༤༔་“ཨཱིན་ཐེ་པིགཡེཨར་ཐེ་བཙནཔོ་སྟཡེད་ཨིན་ཐེ་རེསིདེནཅེ་ཨོཕ༹་ཟུངཀར”པཅV༔་ཐེ་ཅོཨུརཏ་རེསིདེད་ཨིན་ཟུངཀར ༼ཅཕ༹་ཌེནྭོཨོད ༼༡༩༩༠༽༽ ༡
daec5116185941018c340f2fc6cbae4d,,-,,ཉི་འོག་གི་མཁན་པོ་ཨཱཅཱརྱ་ཇིནམིཏྲ་དང་། སུརེནདྲབོདྷི་དང་། ཤīལེནདྲབོདྷི་དང་། དཱནཤīལ་དང་། བོདྷིམིཏྲ་དང་། བོད ༼༣༽ ཀྱི་མཁན་པོ་རཏནརཀṣཨིཏ་དང་། དྷརམམཏཱཤīལ་དང་། ལོ་ཙཱ་བ་མཁས་པར་ཆུད་པ་ཇཉཱནསེན་དང་། ཇཡརཀṣཨིཏ་དང་། མཉཇུཤརīབ༹རམམ་དང་། རཏནེནདྲཤīལ་ལ་སོགས་པས་ཐེག་པ་ཆེ་ཆུང་ལས་འབྱུང་བའི་རྒྱ་གར་གྱི་སྐད་ལས་བོད་ཀྱི་སྐད་དུ་བསྒྱུར་ཞིང་མིང་དུ་བཏགས་པ་རྣམས་དཀར་ཆག་ཏུ་བྲིས་ཏེ་།,"2. The King requested the preceptors from the west, Ācārya Jinamitra, Surendrabodhi, Śīlendrabodhi, Dānaśīla, Bodhimitra, and the Tibetan preceptors Ratnarakṣita, Dharmatāśīla, as well as the learned translators Jñānasena, Jayarakṣita, Mañjuśrīvarman, Ratnendraśīla and others to translate from Indic languages into Tibetan the terminologies of the Great and the Small Vehicles, to define the terms, and make a written word list.",-
181c385c682e4d46966960fa2b477bac,,-,,ནམ་དུ ༼༤༽ ཡང་གཞུང་ལུགས་དེ་ལས་མི་བསྒྱུར་ཞིང་ཀུན་གྱིས་བསླབ་དུ་རུང་བར་གྱིས་ཤིག་ཅེས་བཀའ་སྩལ་ནས་།,3. The decree was issued that “One shall never deviate from this list and make it suitable for everybody to learn.”,-
b8f24e4940dc46e6bdc80ee6a3bfdb67,,-,,སྔོན་ལྷ་སྲས་ཡབ་ཀྱི་རིང་ལ་། ཨཱཅཱརྱབོདྷིསཏབ༹་དང་། ཡེ་ཤེས་དབང་པོ་དང་། ཞང་རྒྱལ་ཉེན་ཉ་བཟང་དང་། བློན་ཁྲི་གཞེར་སང་ཤི་དང་། ལོ་ཙཱ་བ་ཇཉཱནདེབ༹ཀོṣཨ་དང་། ལྕེ་ཁྱི་འབྲུག ༼༥༽ དང་། བྲམ་ཟེ་ཨནནཏ་ལ་སོགས་པས་ཆོས་ཀྱི་སྐད་བོད་ལ་མ་གྲགས་པ་ལས་མིང་དུ་བཏགས་པ་མང་དག་ཅིག་མཆིས་པའི་ནང་ནས་ཁ་ཅིག་ཆོས་ཀྱི་གཞུང་དང་། བ༹ྱཱཀརངའི་ལུགས་དང་མི་མཐུན་ཏེ་། མི་བཅོས་སུ་མི་རུང་བ་རྣམས་ཀྱང་བཅོས་།,"4. Earlier, in the time of Father king Khri sroṅ lde btsan of the Divine Son viz., the present monarch, Khri lde sroṅ btsan, Ācārya Bodhisattva, Ye śes dBaṅ po, Źaṅ rgyal ñen Ña bzaṅ, Blon khri gźer Saṅ śi, the translator Jñānadevakoṣa, lCe khyi ’Brug, and the brāhmaṇa Ananta and others, since the Dharma-language was not known in Tibet, coined many terms; some of these were not in accordance with the Dharma-texts and the principles of grammatical theory (vyākaraṇa), and for this reason it is now prescribed that the improper terms not well formed were to be revised.",-
6715c7000ea54aeaa8c0e74b182e45a3,,-,,སྐད་ཀྱི་མིང་གཅེས་སོ་འཚལ་གྱིས་ཀྱང ༼༦༽ བསྣན་ནས་ཐེག་པ་ཆེ་ཆུང་གི་གཞུང་ལས་ཇི་ལྟར་འབྱུང་བ་དང་། གནའི་མཁན་པོ་ཆེན་པོ་ནཱགཱརྗུན་དང་། བ༹སུབནདྷུ་ལ་སོགས་པས་ཇི་ལྟར་བཤད་པ་དང་། བ༹ྱཱཀརངའི་སྒྲའི་ལུགས་ལས་ཇི་སྐད་དུ་འདྲེན་པ་དང་ཡང་བསྟུན་ཏེ་། འཇལ་དཀའ་བ་རྣམས་ཀྱང་ཚིག་སོ་སོར་ཕྲལ་ནས་གཏན ༼༧༽ ཚིགས་ཀྱིས་བཤད་དེ་གཞུང་དུ་བྲིས་།,"5. So analysing which were deemed the most important terms of the dharma-language, they augmented the Tibetan vocabulary and brought the terms into agreement with how they occur in the texts of the Great and the Small Vehicle, how they are explained by the masters of old like Nāgārjuna and Vasubandhu, and how they accord with the principles in the works on grammatical theory. As for the difficult cases, they analysed the words into their individual parts, provided reasoned explanations, and finally wrote the results of their efforts down as an authoritative document.",-
2295f267b40947aeaf80489a8f79c882,,-,,སྐད་རྐྱང་པ་བཤད་མི་འཚལ་བ་སྒྲ་བཞིན་དུ་བསྒྱུར་བར་རིགས་པ་རྣམས་ཀྱང་སྒྲ་བཙན་པར་བགྱིས་ཏེ་མིང་དུ་བཏགས་།,"6. On the one hand, simple words that need no explanation and that are appropriate to be translated literally (sgra bzhin du) have been fixed taking the literal expression as the main criterion.",-
bffce0a347ec4d0f9d8f38a175752acf,,-,,སྐད་ཁ་ཅིག་དོན་བཞིན་དུ་གདགས་པར་རིགས་པ་རྣམས་ཀྱང་དོན་བཙན་པར་བགྱིས་ཏེ་མིང་དུ་བཏགས་ནས་།,"7. Whereas on the other hand, in the case of certain words, which are most appropriately fixed in accordance with the meaning, the equivalent term has been fixed taking the meaning as the main criterion.",-
1bed732d1db4401284447aab6b114319,,-,,བཙན་པོའི་སྤྱན ༼༡༣༢ཨ༡༽ སྔར་བནདེ་ཆེན་པོ་དཔལ་གྱི་ཡོན་ཏན་དང་། བནདེ་ཆེན་པོ་ཏིང་ངེ་འཛིན་ལ་སོགས་པ་ཡང་འཚོགས་ཏེ་། རྗེ་བློན་གདན་འཛོམ་པ་ལ་ཞུས་ནས་དྷརམམ་བསྒྱུར་བའི་ཐབས་དང་། རྒྱ་གར་གྱི་སྐད་ལ་བོད་ཀྱི་སྐད་དུ་མིང་བཏགས་པ་རྣམས་གཏན་ལ་ཕབ་སྟེ་། བཀས་བཅད་པ་།,"8. Then, the great scholar dPal gyi Yon tan, the great scholar Tiṅ ṅe ’dzin and all the others assembled before His Majesty, and after they had respectfully addressed the assembly of Lords and Ministers, they codified the methods of translating the Dharma, as well as the fixed terms in the Tibetan language in reference to the Indian language. Then the following decree was pronounced:","པ༔་ཏྲནསིཏིཨོན་ནརྲཏིཨོདིསྤོསིཏིཨོ། བཙན་པོའི་སྤྱན་ངར་། བན་དེ་ཆེན་པོ་ཡོན་ཏན་དང་། བན་དེ་ཆེན་པོ་ཏིང་ངེ་འཛིནད་དང་། བློན་ཆེན་པོ་རྒྱལ་གཟིགས་དང་། བློན་ཆེན་པོ་སྟག་ར་ལས་སྩོགས་པའ་། རྗེ་བློན་མོལ་བའི་སྤྱན་ངར་རྒྱ་གར་སྐད་ལས་བོད་སྐད་དུ ༼་་་༽ པརཏ་ཨོཕ༹་ལིནེ་མིསསིང༏་ཨཱི་&་པ༔་མིང་བཏགས་པ་ ༡ར༢༔་རྣམས་། གཏན་ལ་ཕབ་སྟེ་བཀས་བཅད་པའ་།པ ༤༔་“ཨཱིན་ཐེ་པྲེསེནཅེ་ཨོཕ༹་ཐེ་བཙནཔོ,་ཐེ་གྲེཨཏ་མོནཀ་ཡོནཏན,་ཐེ་གྲེཨཏ་མོནཀ་ཊིངངེའཛིན,་ཐེ་གྲེཨཏ་ཅོཨུནཅིལློར་ཪགྱལགཟིགས,་ཐེ་གྲེཨཏ་ཅོཨུནཅིལློར་སྟགར་ཨེཏཅ་ཅམེ་ཏོགེཐེརOན་ཐེ་ཨོཅཅསིཨོན་ཨོཕ༹་ཐེ་དེལིབེརཏིཨོན་ཨོཕ༹་ཐེ་རུལེར་ཨནད་ཐེ་ཅོཨུནཅིལློརས་ཐེ་ཏེརམས་ཕོ༹ར་ཏྲནསླཏིང་ཕ༹ྲོམ་ཐེ་ཨཱིནདིཨན་ལངུཨགེ་ཨིནཏོ་ཐེ་ཊིབེཏན་ཧད་བེཨེན་ཕི༹྾ཨེད་ཨནད་ཅོདིཕི༹ཨེད་ཨནད་ཨིཏ་ཝས་པྲེསཅྲིབེད་བཡ་ཨོརྡེར”"
4406b39482184d4e8b180b0b4b65f913,,-,,དམ་པའི་ཆོས་བསྒྱུར་བའི ༼༢༽ ལུགས་ནི་དོན་དང་ཡང་མི་འགལ་ལ་བོད་སྐད་ཡང་གར་བདེ་བར་གྱིས་ཤིག་།,"9. “Regarding the way of translating the True Dharma, do not contradict the meaning, and adhere to good Tibetan usage.","པ༔་བ་དིསྤོསིཏིཨོ ༼༡༽དམ་པའི་ཆོས་བསྒྱུར་བའི་ལུགས་ནི་དོན་དང་། མྱི་འགལ་ལ་བོད་སྐད་ལ་བདེ་བར་བྱ་བ་དང་།པ ༤༔་“ཅོནཅེརྣིང་ཐེ་ཏྲནསླཏིཨོན་ཨོཕ༹་ཐེ་ཧོལཡ་དོཅཏྲིནེ་ཨོཕ༹་ཐེ་བུདདྷ,་ཏྲནསླཏེ་ཨིཏ་ཨིནཏོ་གོཨོད་ཊིབེཏན་ལངུཨགེ་ཨནད་ཨིན་ཨཅཅོརྡནཅེ་ཝིཐ་ཐེ་མེཨནིངVཨེརཧགེན ༼༡༩༩༦ཌ༔ ༢༨༣.༢༨༤༽༔་“ཨཱས་རེགརདས་ཐེ་མེཐོད་ཨོཕ༹་ཏྲནསླཏིང་ཐེ་ཨེ྾ཅེལླེནཏ་ཌྷརྨ,་ཨོནེ་ཤོཨུལད་མཀེ་ཨིཨེ་ཏྲནསླཏེ་ཨིཏ་ཨིནཏོ་གོཨོད,་སཏིསཕ༹ཅཏོརཡ་ཊིབེཏན་ཝིཐོཨུཏ་བི༹ཨོལཏིང་ཨིཨེ་ཆངིང་ཐེ་མེཨནིང,"
52501c60a4994ae59d502c27fb4fa237,,-,,དྷརམམ་བསྒྱུར་བ་ལ་རྒྱ་གར་གྱི་སྐད་ཀྱི་གོ་རིམས་ལས་མི་བསྣོར་བར་བོད་ཀྱི་སྐད་དུ་བསྒྱུར་ན་དོན་དང་ཚིག་ཏུ་འབྲེལ་ཞིང་བདེ་ན་མ་བསྣོར་བར་སྒྱུར་ཅིག,"10. Regarding the translation of the Dharma, when a translation into Tibetan that does not deviate from the word order of the Indian original retains the connection between the meaning and words and is good usage, one should translate without deviating.”3","རྒྱ་གར་སྐད་གོ་རིམས་ལས་མྱི་བསྣོར་བར་། དོན་དང་ཚིག་ཏུ་འབྲེལད་བར་བྱོས་ལ་སྒྱུརད་ཅིག་།ཨནད་ཝིཐོཨུཏ་ཆངིང་ཐེ་ཨོརྡེར་ཨོཕ༹་ཐེ་སནསྐྲིཏ་ཝོརདས,་ཨུནིཕ༹ཡ་ཨིན་ཧརྨོཉ་ཐེ་མེཨནིང་ཨནད་ཐེ་ཝོརད”ཨནད,་ཝིཐོཨུཏ་ཨལྟེརིང་ཐེ་ཨོརྡེར་ཨོཕ༹་ཐེ་སནསྐྲིཏ་ཏེརམས༏་ཨོནེ་ཤོཨུལད་ཏྲནསླཏེ་པྲོདུཅིང་ཨ་ཕི༹རམ་ཅོནནེཅཏིཨོན་ཨིཨེ་ཧརྨོཉ྄་བེཏྭེཨེན་མེཨནིང་ཨནད་ཝོརདཕོ༹རམ”"
