id,P001821,P001822,P001823,P001824
50db49cc4a8b4d9ea05f969c478e1569,Vigrahavyāvartanīvṛtti,序迴諍論翻譯之記,རྒྱ་གར་སྐད་དུ་། བི་གྲ་ཧ་བྱ་བརྟ་ནི་བྲི་ཏཏི་། བོད་སྐད་དུ་། རྩོད་པ་བཟློག་པའི་འགྲེལ་པ་།,Vigrahavyāvartanīvṛtti
53458b210b024165b3fc314ef554b3d5,,迴諍論者 龍樹菩薩之所作也 數舒盧迦三十二字 此論正本凡有六百 大魏都鄴興和三年 歲次大梁 建辰之月 朔次癸酉 辛卯之日 烏萇國人剎利王種 三藏法師毘目智仙 共天竺國婆羅門人瞿曇流支 在鄴城內金華寺譯 時日所費二十餘功 大數凡有一萬一千九十八字 對譯沙門曇林之筆受  驃騎大將軍開府儀同三司御史中尉勃海高仲密啟請供養 且記時事 以章以聞 令樂法者 若見若聞 同崇翻譯矣 迴諍論偈初分第一 龍樹菩薩造 後魏三藏毘目智仙共瞿曇流支譯 問曰偈言  ...1 迴諍論釋初分第三 釋曰論初偈言,འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་ལ་ཕྱག་འཚལ་ལོ་།,
433cfde66c0543ec919912d52619aa11,sarveṣāṃ bhāvānāṃ sarvatra na vidyate svabhāvaś cet |tvadvacanam asvabhāvaṃ na nivartayituṃ svabhāvam alam ||1||,若一切無體 言語是一切言語自無體 何能遮彼體,། གལ་ཏེ་དངོས་པོ་ཐམས་ཅད་ཀྱི་༎ རང་བཞིན་ཀུན་ལ་ཡོད་མིན་ན་༎ ཁྱོད་ཀྱི་ཚིག་ཀྱང་རང་བཞིན་མེད་༎ རང་བཞིན་བཟློག་པར་མི་ནུས་སོ་།,"If an intrinsic nature of things, whatever they may be, exists nowhere, your very statement must be devoid of an intrinsic nature. It is not, therefore, in a position to deny the intrinsic nature of the things."
1e7f0b7fa9564e8d8d70093ffba229e2,"yadi sarveṣāṃ bhāvānāṃ hetau pratyayeṣu ca sāmagryāṃ ca pṛthak ca sarvatra svabhāvo na vidyata iti kṛtvā śūnyāḥ sarvabhāvā iti |  na hi bīje hetubhūte ’ṅkuro ’sti, na pṛthivyaptejovāyvādīnām ekaikasmin pratyayasaṃjñite, na pratyayeṣu samagreṣu, na hetuprayayasāmagryām, na hetupratyayavinirmuktaḥ pṛthag eva ca |  yasmād atra sarvatra svabhāvo nāsti tasmān niḥsvabhāvo ’ṅkuraḥ | yasmān niḥsvabhāvas tasmāc chūnyaḥ |  yathā cāyam aṅkuro niḥsvabhāvo niḥsvabhāvatvāc ca śūnyas tathā sarvabhāvā api niḥsvabhāvatvāc chūnyā iti |  atra vayaṃ brūmaḥ | yady evam, tavāpi vacanaṃ yad etac chūnyāḥ sarvabhāvā iti tad api śūnyam |  kiṃ kāraṇam | tad api hetau nāsti mahābhūteṣu saṃprayukteṣu viprayukteṣu vā, pratyayeṣu nāsty uraḥkaṇṭhauṣṭhajihvādantamūlatālunāsikāmūrdhaprabhṛtiṣu yatneṣu, ubhayasāmagryāṃ nāsti, hetupratyayavinirmuktaṃ pṛthag eva ca nāsti |  yasmād atra sarvatra nāsti tasmān niḥsvabhāvam | yasmān niḥsvabhāvaṃ tasmāc chūnyam | tasmād anena sarvabhāvasvabhāvavyāvartanam aśakyaṃ kartum |  na hy asatāgninā śakyaṃ dagdhum | na hy asatā śastreṇa śakyaṃ chettum | na hy asatībhir adbhiḥ śakyaṃ kledayitum | evam asatā vacanena na śakyaḥ sarvabhāvasvabhāvapratiṣedaḥ kartum | tatra yad uktaṃ sarvabhāvasvabhāvaḥ pratiṣiddha iti tad na |",此偈明何義 若一切法皆是因緣 則是因緣因緣和合離諸因緣 是則更無一切自體 如是一切諸法皆空  如芽非是種子中有 非地非水非火非風非虛空等因緣中有 非是一一因緣中有 非諸因緣和合中有 非離因緣因緣和合餘處別有  若此等中一切皆無 如是得言芽無自體 若如是無一切自體 彼得言空  若一切法皆悉空者則無言語 若無言語則不能遮一切諸法 若汝意謂言語不空言語所說一切法空 是義不然 何以故  汝言一切諸法皆空則語亦空  何以故 以因中無 四大中無 一一中無 和合中無 因緣和合不和合中一切皆無 如是言語咽喉中無 脣舌齒根？鼻頂等一一皆無 和合中無 二處俱無  唯有因緣因緣和合 若離如是因緣和合 更無別法 若如是者 一切言語皆無自體 若如是無言語自體 則一切法皆無自體 若此言語無自體者 唯有遮名穴能遮法  譬如無火則不能燒 亦如無刀則不能割 又如無水則不能瀾 如是無語 云何能遮諸法自體 既不能遮諸法自體 而心憶念遮一切法自體 迥者義不相應 又復有義 偈言,གལ་ཏེ་དངོས་པོ་ཐམས་ཅད་ཀྱི་རང་བཞིན་ནི་རྒྱུ་དང་རྐྱེན་དང་། རྒྱུ་དང་རྐྱེན་ཚོགས་པ་དང་ཐ་དད་པ་ཀུན་ལ་ཡོད་པ་མ་ཡིན་པའི་ཕྱིར་དངོས་པོ་ཐམས་ཅད་སྟོང་པ་ཡིན་ཏེ་། མྱུ་གུ་ནི་རྒྱུ་ས་བོན་དུ་གྱུར་པ་ལ་ཡང་མེད་། རྐྱེན་ཞེས་བྱ་བས་དང་ཆུ་དང་མེ་དང་རླུང་ལ་སོགས་པ་རེ་རེ་ལ་ཡང་མེད་། རྐྱེན་འདུས་པ་དག་ལ་ཡང་མེད་། རྒྱུ་དང་རྐྱེན་ཚོགས་པ་དག་ལ་ཡང་མེད་། རྒྱུ་དང་རྐྱེན་ཚོགས་པ་ལས་མ་གཏོགས་པ་ཐ་དད་པ་ལ་ཡང་མེད་དོ་༎ གང་གི་ཕྱིར་རང་བཞིན་འདི་ཐམས་ཅད་ལ་ཡང་མེད་པ་དེའི་ཕྱིར་མྱུ་གུའི་རང་བཞིན་མེད་དེ་དེ་བས་ན་སྟོང་པ་ཡིན་ནོ་༎ ཇི་ལྟར་མྱུ་གུ་རང་བཞིན་མེད་། རང་བཞིན་མེད་པ་ཉིད་ཡིན་པའི་ཕྱིར་། སྟོང་པ་ཡིན་པ་དེ་བཞིན་དུ་དངོས་པོ་ཐམས་ཅད་ཀྱང་རང་བཞིན་མེད་པ་ཉིད་ཡིན་པའི་ཕྱིར་། སྟོང་པ་ཡིན་ནོ་ཞེ་ན་། གལ་ཏེ་དེ་ལྟ་མ་ཡིན་ན་ནི་དངོས་པོ་ཐམས་ཅད་སྟོང་པ་ཡིན་ནོ་ཞེས་བྱ་བ་གང་ཡིན་པའི་ཁྱོད་ཀྱི་ཚིག་དེ་ཡང་སྟོང་པ་ཡིན་ནོ་༎ ཅིའི་ཕྱིར་ཞེ་ན་། དེ་ཡང་རྒྱུ་འབྱུང་བ་ཆེན་པོ་རྣམས་དང་མཚུངས་པར་ལྡན་པ་རྣམས་དང་ལྡན་པ་མ་ཡིན་པ་རྣམས་ལ་ཡང་མེད་། རྐྱེན་བྲང་དང་། ལྐོག་མ་དང་། མཆུ་དང་། ལྕེ་རྩེ་དང་། སོའི་བྲུན་དང་། རྐན་དང་། སྣ་དང་། སྤྱི་བོ་ལ་སོགས་པ་དང་། འབད་པ་རྣམས་ལ་ཡང་མེད་། གཉི་ག་ཚོགས་པ་ཡང་མེད་། རྒྱུ་དང་རྐྱེན་ཚོགས་པ་ལ་ཡང་མེད་། རྒྱུ་དང་རྐྱེན་ཚོགས་པ་ལས་མ་གཏོགས་པ་ཐ་དད་པ་ཡང་མེད་དོ་། གང་གི་ཕྱིར་འདི་ཐམས་ཅད་ལ་མེད་པའི་ཕྱིར་འདི་རང་བཞིན་མེད་པ་ཡིན་ཏེ་། རང་བཞིན་མེད་པའི་ཕྱིར་སྟོང་པ་ཡིན་ནོ་༎ དེ་ལྟ་བས་ན་འདིས་དངོས་པོ་ཐམས་ཅད་ཟློག་པར་བྱེད་མི་ནུས་སོ་། མེ་མེད་པས་ཀྱང་སྲེག་པར་བྱེད་མི་ནུས་སོ་༎ མཚོན་ཆ་མེད་པས་ཀྱང་གཅད་པར་མི་ནུས་ཤིང་ཆུ་མེད་པས་ཀྱང་བངས་པར་མི་ནུས་པ་དེ་བཞིན་དུ་ཚིག་མེད་པས་ཀྱང་། དངོས་པོ་ཐམས་ཅད་ཀྱི་རང་བཞིན་ཟློག་པར་བྱེད་མི་ནུས་པས་དེ་ལ་དངོས་པོ་ཐམས་ཅད་ཀྱི་རང་བཞིན་བཀག་གོ་ཞེས་སྨྲས་པ་གང་ཡིན་པ་དེ་མི་རུང་ངོ་༎,"Whether in the causes, in the conditions, in the combination of the causes and the conditions, or in a different thing, nowhere does exist an intrinsic nature of the things, whatever they may be. On this ground it is said that all things are void.  For instance, the sprout is neither in the seed, its cause, nor in the things known as its conditions, viz., earth, water, fire, wind, etc., taken one by one, nor in the totality of the conditions, nor in the combination of the causes and the conditions, nor is it anything different from the causes and the conditions.  Since there is nowhere an intrinsic nature, the sprout is devoid of an intrinsic nature. Being devoid of an intrinsic nature, it is void.  And just as this sprout is devoid of an intrinsic nature and hence void, so also are all the things.  Here we observe: if this is so, your statement that all things are void, must also be void.  - why? - because your statement is neither in its cause - the four great elements, taken collectively or individually; - nor in its conditions, the efforts made in the breast, the throat, the lips, the tongue, the roots of the teeth, the palate, the nose, the head, etc.; nor in the combination of both the cause and the condition; - nor again is it anything apart from the cause and the conditions.  Since it is nowhere, it is devoid of an intrinsic nature, and since it is devoid of an intrinsic nature, it is void. For this reason, it is incapable of denying the intrinsic nature of all things.  A fire that does not exist cannot burn, a weapon that does not exist cannot cut, water that does not exist cannot moisten; similarly a statement that does not exist cannot deny the intrinsic nature of all things. In these circumstances, your statement that the intrinsic nature of all things has been denied, is not valid."
03d024c22d584ddfa52d19e00761a36e,atha sasvabhāvam etad vākyaṃ pūrvā hatā pratijñā te |vaiṣamikatvaṃ tasmin viśeṣahetuś ca vaktavyaḥ ||2||,若語有自體 前所立宗壞如是則有過 應更說勝因,། འོན་ཏེ་ཚིག་དེ་རང་བཞིན་བཅས་༎ ཁྱོད་ཀྱིས་དམ་བཅས་སྔ་མ་ཉམས་༎མི་འདྲ་ཉིད་དེ་དེ་ཡིན་ན་༎ གཏན་ཚིགས་ཁྱད་པར་བརྗོད་པར་བྱོས་།,"Now, if this sentence is endowed with an intrinsic nature, your former proposition is destroyed. There is a discordance, and you should state the special reason for it."
3a934369024b4d83b836c1bae3b687fe,"athāpi manyase mā bhūd eṣa doṣa iti sasvabhāvam etad vākyaṃ sasvabhāvatvāc cāśūnyaṃ tasmād anena sarvabhāvasvabhāvaḥ pratiṣiddha iti, atra brūmaḥ | yady evam, yā te pūrvā pratijñā śūnyāḥ sarvabhāvā iti hatā sā |  kim cānyat | sarvabhāvāntargatam ca tvadvacanam | kasmāc chūnyeṣu sarvabhāveṣu tvadvacanam aśūnyam, yenāśūnyatvāt sarvabhāvasvabhāvaḥ pratiṣiddhaḥ | evaṃ ṣaṭkoṭiko vādaḥ prasaktaḥ |  sa punaḥ katham iti | hanta cet punaḥ śūnyāḥ sarvabhāvās tena tvadvacanaṃ śūnyaṃ sarvabhāvāntargatatvāt | tena śūnyena pratiṣedhānupapattiḥ | tatra yaḥ pratiṣedhaḥ śūnyāḥ sarvabhāvā iti so ’nupapannaḥ |  upapannaś cet punaḥ śūnyāḥ sarvabhāva iti pratiṣedhas tena tvadvacanam apy aśūnyam | aśūnyatvād anena pratiṣedho ’nupapannaḥ  atha śūnyāḥ sarvabhāvās tvadvacanaṃ cāśūnyaṃ yena pratiṣedhaḥ, tena tvadvacanaṃ sarvatrāsaṃgṛhītam | tatra dṛṣṭāntavirodhaḥ |  sarvatra cet punaḥ saṃgṛhītaṃ tvadvacanaṃ sarvabhāvāś ca śūnyās tena tad api śūnyam | śūnyavād anena nāsti pratiṣedhaḥ |  atha śūnyam asti cānena pratiṣedhaḥ śūnyāḥ sarvabhāva iti tena śūnyā api sarvabhāvāḥ kāryakriyāsamarthā bhaveyuḥ | na caitad iṣṭam |  atha śūnyāḥ sarvabhāvā na ca kāryakriyāsamarthā bhavanti mā bhūd dṛṣṭāntavirodha iti kṛtvā, śūnyena tvadvacanena sarvabhāvasvabhāvapratiṣedho nopapanna iti |  kiṃ cānyat | evaṃ tad astitvād vaiṣamikatvaprasaṅgaḥ kiṃcic chūnyaṃ kiṃcid aśūnyam iti | tasmiṃś ca vaiṣamikatve viśeṣahetur vaktavyo yena kiṃcic chūnyaṃ kiṃcid aśūnyaṃ syāt | sa ca nopadiṣṭo hetuḥ | tatra yad uktaṃ śūnyāḥ sarvabhāvā iti tad na |",此偈明何義 若此言語有自體者 汝前所立義宗自壞 是則有過 若爾便應更說勝因 若汝意謂語有自體餘法空者 如是則違諸法空語 汝宗亦壞  又復有義 言語不離一切法數 若一切法皆悉空者 言語亦空 若言語空則不能遮一切諸法 若如是者 於六種中諍論相應  彼復云何汝不相應 汝說一切諸法皆空 則語亦空 何以故 言語亦是一切法故 言語若空則不能遮 彼若遮言一切法空則不相應  又若相應言語能遮一切法體 一切法空語則不空語 若不空遮一切法則不相應  若諸法空言語不空語何以所遮 又若此語入一切中喻不相當  若彼言語是一切者 一切既空言語亦空 若語言空則不能遮  若語言空諸法亦空 以空能遮諸法令空 如是則空亦是因緣 是則不可  又若汝畏喻不相當 一切法空能作因緣 如是空語則不能遮一切自體  又復有義 一邊有過 以法有空亦有不空 彼若有過更說勝因 若一邊空一邊不空 如是若說一切法空無自體者 義不相應,འོན་ཏེ་སྐྱོན་དེར་གྱུར་ན་མི་རུང་ངོ་སྙམ་ནས་ངའི་ཚིག་དེ་ནི་རང་བཞིན་དང་བཅས་པ་ཡིན་ཏེ་། དེའི་ཕྱིར་སྟོང་པ་མ་ཡིན་ནོ་༎ དེ་བས་ན་འདིས་ནི་དངོས་པོ་ཐམས་ཅད་ཀྱི་རང་བཞིན་བཀག་གོ་སྙམ་དུ་སེམས་ན་། འོ་ན་དེ་ལྟར་ཡིན་ན་ནི་དངོས་པོ་ཐམས་ཅད་ནི་སྟོང་པ་ཡིན་ནོ་ཞེས་སྔར་དམ་བཅས་པ་གང་ཡིན་པ་དེ་ཉམས་པ་ཡིན་ནོ་༎ འདི་ལྟར་གཞན་ཡང་ཐམས་ཅད་ཀྱི་ནང་དུ་ནི་ཁྱོད་ཀྱི་ཚིག་ཀྱང་འདུས་པ་ཡིན་ན་། ཅིའི་ཕྱིར་དངོས་པོ་ཐམས་ཅད་སྟོང་བ་ཡིན་བཞིན་དུ་འདི་ལྟར་སྟོང་པ་ཉིད་མ་ཡིན་པའི་ཕྱིར་དེས་དངོས་པོ་ཐམས་ཅད་རང་བཞིན་བཀག་གོ་ཞེས་བྱ་བའི་ཁྱོད་ཀྱི་ཚིག་སྟོང་པ་མ་ཡིན་པར་འགྱུར་། དེ་ལྟ་ན་ནི་སྨྲས་པ་མུ་དྲུག་ཏུ་ཐལ་བར་འགྱུར་རོ་༎ དེ་ཡང་ཇི་ལྟ་བུ་ཞེ་ན་། འོན་ཀྱང་གལ་ཏེ་དངོས་པོ་ཐམས་ཅད་སྟོང་པ་ཡིན་ནོ་ཞེ་ན་ཁྱོད་ཀྱི་ཚིག་ཀྱང་སྟོང་པ་ཡིན་ཏེ་། ཐམས་ཅད་ཀྱི་ནང་དུ་༎ འདུས་པའི་ཕྱིར་༎ སྟོང་པ་དེས་པ་ནི་དགག་པ་མི་འཐད་པས་དེ་ལ་དངོས་པོ་ཐམས་ཅད་ནི་སྟོང་པ་ཡིན་ནོ་ཞེས་དགག་པ་གང་ཡིན་པ་དེ་འཐད་པ་མ་ཡིན་ནོ་༎ གལ་ཏེ་འཐད་པ་ཡིན་ནོ་ཞེ་ན་། དངོས་པོ་ཐམས་ཅད་ནི་སྟོང་པ་ཡིན་ཞེས་བཀག་པས་དེས་ན་ཁྱོད་ཀྱི་ཚིག་ཀྱང་སྟོང་པ་ཡིན་ལ་། སྟོང་པ་ཉིད་ཡིན་པའི་ཕྱིར་དེས་ནི་འགོག་པ་མི་འཐད་དོ་༎ གལ་ཏེ་དངོས་པོ་ཐམས་ཅད་ནི་སྟོང་པ་ཡིན་ལ་། གང་གིས་འགོག་པར་བྱེད་པ་ཁྱོད་ཀྱི་ཚིག་ནི་སྟོང་པ་མ་ཡིན་ནོ་ཞེ་ན་། དེས་ན་ཁྱོད་ཀྱི་ཚིག་ཐམས་ཅད་ཀྱི་ནང་དུ་མ་འདུས་པ་ཡིན་ཏེ་། དེ་ལ་འགལ་བའི་དཔེར་འགྱུར་རོ་༎ གལ་ཏེ་ཐམས་ཅད་ཀྱི་ནང་དུ་ཁྱོད་ཀྱི་ཚིག་བསྡུས་སོ་ཞེ་ན་། དངོས་པོ་ཐམས་ཅད་སྟོང་པ་ཡིན་པས་དེས་ན་དེ་ཡང་སྟོང་པ་ཡིན་ནོ་༎ དེའི་ཕྱིར་འདིས་འགོག་པ་མེད་དོ་༎ གལ་ཏེ་སྟོང་པ་ཡིན་ཡང་དངོས་པོ་ཐམས་ཅད་ནི་སྟོང་པའོ་ཞེས་འདིས་འགོག་པ་ཡོད་དོ་ཞེ་ན་། དེས་ན་དངོས་པོ་ཐམས་ཅད་སྟོང་པ་ཡིན་ཡང་བྱ་བ་བྱེད་ནུས་པར་འགྱུར་ཏེ་དེ་ནི་འདོད་པ་མ་ཡིན་ནོ་༎ གལ་ཏེ་འགལ་བའི་དཔེར་གྱུར་ནས་མི་རུང་ངོ་སྙམ་ནས་དངོས་པོ་ཐམས་ཅད་སྟོང་པ་ཡིན་ཏེ་བྱ་བ་བྱེད་མི་ནུས་སོ་ཞེ་ན་། ཁྱོད་ཀྱི་ཚིག་སྟོང་བས་ཀྱང་དངོས་པོ་ཐམས་ཅད་ཀྱི་རང་བཞིན་འགོག་པར་མི་འཐད་དོ་༎ ཇི་ལྟར་གཞན་ཡང་དེ་སྐད་ཟེར་ན་ནི་ཁ་ཅིག་ནི་སྟོང་། ཁ་ཅིག་ནི་མི་སྟོང་ངོ་ཞེས་མི་འདྲ་བ་ཉིད་དུ་ཐལ་བར་འགྱུར་རོ་༎ མི་འདྲ་བ་ཉིད་ཡིན་ན་ནི་གང་གིས་ན་ཁ་ཅིག་ནི་སྟོང་ཁ་ཅིག་ནི་མི་སྟོང་པར་གྱུར་པའི་གཏན་ཚིགས་ཀྱི་ཁྱད་པར་ཡང་སྨྲོས་ཤིག་།  གཏན་ཚིགས་དེ་ཡང་མ་བརྟན་པས་དེ་ལ་དངོས་པོ་ཐམས་ཅད་ནི་སྟོང་པའོ་ཞེས་སྨྲས་པ་གང་ཡིན་པ་དེ་མི་རུང་ངོ་༎,"Now you may think, in order to avoid this effect: this sentence is endowed with an intrinsic nature, and being endowed with an intrinsic nature, it is non-void; thus the intrinsic nature of all things have been denied by it. – To this we reply: If so, then your former proposition ’All things are void’ is destroyed.  Furthermore: Your statement is included in all things. Now if all things are void, for that reason is your statement non-void, - that statement which has denied the intrinsic nature of all things because it is itself non-void? Thus arises a controversial discussion in six points.  How is it? – Well, (1) If all things are void, then your statement is void, being included in all things. And a negation by that statement which is void is a logical impossibility. In these cirkumstances, the negation that all things are void is not valid.  If, on the other hand, the nagation that all things are void is not valid, then your statement is non-void. But that negation which it establishes because it is non-void, is not valid.  Now, if all things are void, but your statement by which is effected the negation is non void, then your statement is not included in all things. Your proposition, there, is contradicted by the example.  If, on the contrary, your statement is included in all things, and if all things are void, then your statement also is void. And since it is void, it cannot establish a negation  Let us then assume that it is void and that there is the negation by it: ’All things are void’. But, in that case, all things, though void, would be capable of performing actions – which is absurd.  Let it be granted, then, that all things are void and that they are not capable of performing actions; let the proposition not be contradicted by the example. In that case, however, the negation of the intrinsic nature of all things by your void statement is not valid.  Furthermore: If your statement exists, there arises the following discordance: some things are void, and some other things, non-void. And you should state the special reason for it, explaining why some things are void, while others are not. You have, however, not stated that reason. In these circumstances, your statement that all things are void is not valid."
05d67648a78d40cbaa8713d6b9b02416,kiṃ cānyat |mā śabdavad ity etat syāt te buddhi na caitad upapannam |śabdena hy atra satā bhaviṣyato vāraṇaṃ tasya ||3||,又復有義 偈言汝謂如勿聲 是義則不然聲有能遮聲 無聲何能遮,འདི་ལྟར་གཞན་ཡང་།དེ་སྒྲ་མ་འབྱིན་ལྟ་བུའོ་ཞེས་། ཁྱོད་བློ་སེམས་ན་དེ་མི་འཐད་༎འདི་ལ་སྒྲ་ནི་ཡོད་པ་ཡིས་༎ འབྱུང་བར་འགྱུར་བ་དེ་བཟློག་ཡིན་༎,"Moreover: If you think that it is like ’Do not make a sound’, we reply: this also is not valid. For here a sound that is existent prevents the other sound that will be."
7388c97148a54240886f929dcaf03c2b,"syāt te buddhiḥ, yathā nāma kaścid brūyān mā śabdaṃ kārṣīr iti svayam eva śabdaṃ kuryāt tena ca śabdena tasya śabdasya vyāvartanaṃ kriyeta, evam eva śūnyāḥ sarvabhāvā iti śūnyena vacanena sarvabhāvasvabhāvasya vyāvartanaṃ kriyata iti |  atra vayaṃ brūmaḥ | etad apy anupapannam | kiṃ kāraṇam | satā hy atra śabdena bhaviṣyataḥ śabdasya pratiṣedhaḥ kriyate |  na punar iha bhavataḥ satā vacanena sarvabhāvasvabhāvapratiṣedhaḥ kriyate | tava hi matena vacanam apy asat, sarvabhāvasvabhāvo ’py asan | tasmād ayaṃ mā śabdavad iti viṣamopanyāsaḥ |",此偈明何義 若汝意謂聲能遮聲 如有人言汝莫作聲 彼自作聲而能遮聲 如是如是一切法空空語能遮  此我今說此不相應 何以故 以此聲有能遮彼聲  汝語非有則不能遮諸法自體 汝所立義 語亦是無諸法亦無 如是若謂如勿聲者 此則有過,དཔེར་ན་ཁ་ཅིག་ན་རེ་སྒྲ་མ་འབྱིན་ཅིག་ཅེས་བདག་ཉིད་སྒྲ་འབྱིན་ཏེ་། སྒྲ་དེས་སྒྲ་ཟློག་པར་བྱེད་དོ་༎ དེ་བཞིན་དུ་དངོས་པོ་ཐམས་ཅད་ནི་སྟོང་པ་ཞེས་སྟོང་པའི་རང་བཞིན་གྱི་ཚིག་གིས་དངོས་པོ་ཐམས་ཅད་ཀྱི་རང་བཞིན་ཟློག་པར་བྱེད་དོ་སྙམ་ན་། འདིར་སྨྲས་པ་། དེར་ཡང་འཐད་པ་མ་ཡིན་ཏེ་། འདི་ལ་སྒྲ་ཡོད་པས་སྒྲ་འབྱུང་བར་འགྱུར་བ་འགོག་པར་བྱེད་པ་ཡིན་གྱི་། འདིར་ནི་ཁྱོད་ཀྱི་ཡོད་པའི་ཚིག་གིས་དངོས་པོ་ཐམས་ཅད་ཀྱི་རང་བཞིན་འགོག་པར་མི་བྱེད་དེ་། ཁྱོད་ཀྱི་ལུགས་ཀྱི་ཚིག་ཀྱང་ཡོད་པ་མ་ཡིན་། དངོས་པོ་ཐམས་ཅད་ཀྱི་རང་བཞིན་ཡང་ཡོད་པ་མ་ཡིན་པས་དེའི་ཕྱིར་སྒྲ་མ་འབྱིན་ཞེས་པ་ལྟ་བུའོ་ཞེས་བྱ་བ་འདི་ནི་མི་མཐུན་པར་སྒྲ་སྨྲས་པ་ཡིན་ནོ་༎,"You may think: When somebody says: ’Do not make a sound’, he himself makes a sound, and that sound prevents the other sound; in just the same manner, the void statement that all things are void prevents the intrinsic nature of all things.  -To this we reply: This also is not valid. - Why ? - Because here a sound that is existent negates the future sound.  In your case, however, it is not an existent statement that negates the intrinsic nature of all things. For, in your opinion the statement is non-existent, the intrinsic nature of all things is non-existent. Thus, it is like ""Do not make a sound"" is a defective proposition."
76606fbb88134207bd1e2e23751946f2,pratiṣedhapratiṣedho ’py evam iti mataṃ bhavet tad asad eva |evam tava pratijñā lakṣaṇato dūṣyate na mama ||4||,偈言汝謂遮所遮 如是亦不然如是汝宗相 自壞則非我,།འགོག་པའི་འགོག་པའང་དེ་ལྟ་ཞེས་༎ འདོད་ན་དེ་ཡང་བཟང་མིན་ཏེ་༎ དེ་ལྟ་བས་ནའང་ཁྱོད་དམ་བཅས་༎ མཚན་ཉིད་སྐྱོན་ཡོད་ངེད་ལ་མེད་།,"If you think that the same holds true of the negation of the negation also, that is false. It is your proposition which by virtue of its specific character is thus rendered defective, not mine."
646d0bbc4c254f7aa97c65b7fe26df9c,"syāt te buddhiḥ pratiṣedhapratiṣedho ’py anena iva kalpenānupapannaḥ, tatra yad bhavān sarvabhāvasvabhāvapratiṣedhavacanaṃ pratiṣedhayati tad anupapannam iti |  atra vayaṃ brūmaḥ | etad apy asad eva | kasmāt | tava hi pratijñālakṣaṇaprāptaṃ na mama | bhavān bravīti śūnyāḥ sarvabhāvā iti nāham | pūrvakaḥ pakṣo na mama | tatra yad uktaṃ pratiṣedhapratiṣedho ’py evaṃ saty anupapanna iti tad na |",此偈明何義 若汝意謂 遮與所遮亦如是者 彼不相應 若汝說言 我語能遮一切諸法有自體者 彼不相應  此我今說 是義不然 何以故 知如是宗相汝過非我 汝說一切諸法皆空 如是汝義前宗有過咎不在我 若汝說言 汝遮所遮不相應者 是義不然,ཁྱོད་ཀྱི་བློ་ལ་རྣམ་པ་འདི་ཉིད་ཀྱིས་འགོག་པའི་འགོག་པ་ཡང་མི་འཐད་དེ་། དེ་ལ་ཁྱོད་ཀྱིས་དངོས་པོ་ཐམས་ཅད་ཀྱི་རང་བཞིན་འགོག་པའི་ཚིག་འགོག་པར་བྱེད་པའི་ཚིག་གང་ཡིན་པ་དེ་ཡང་མི་འཐད་དོ་སྙམ་དུ་སེམས་ན་། འདིར་སྨྲ་བར་བྱ་སྟེ་། དེ་ཡང་བཟང་པོ་མ་ཡིན་ཏེ་། དེ་ཅིའི་ཕྱིར་ཞེ་ན་། ཁྱེད་ལ་ནི་དམ་བཅས་པའི་མཚན་ཉིད་ཀྱིས་འདི་འཐོབ་ཀྱི་། ངེད་ལ་ནི་མེད་པས་དེ་ལྟ་ཡིན་ན་ནི་འགོག་པའི་འགོག་པ་ཡང་འཐད་པ་མ་ཡིན་ནོ་ཞེས་སྨྲས་པ་གང་ཡིན་པ་དེ་མི་རུང་ངོ་༎།འདི་ལ་སྐྱེ་བོ་ཆོས་ཀྱི་གནས་སྐབས་ལ་མཁས་པ་རྣམས་ནི་དགེ་བའི་ཆོས་རྣམས་ལ་བརྒྱ་རྩ་བཅུ་དགུར་སེམས་ཏེ།,"You may think: ’According to this very method a negation of negation also is impossible; so your negation of the statement negating the intrinsic nature of all things is impossible’.  -To this we reply: This also is false. - Why ? - Because the objection applies only to the specific character of your proposition, not to that of mine. It is you who say that all things are void, not I. The initial thesis is not mine. - In these circumstances, your staternent that, such being the case, a negation of negation also is impossible, is not valid."
