id,P001833,P001834,P001835
e2f4d3a159b34e41825e373ebe5630b6,Ratnaguṇasaṃcayagāthā |,༼༡ཨ༡༽ ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་སྡུད་པ་ཚིགས་སུ་བཅད་པ་།,Verses On The Perfection Of WisdomPrajnaparamita Ratnagunasamcayagatha Translated from the Sanskrit by Edward Conze
c3e05513849344748338647f524bdcff,om namo bhagavatyai āryaprajñāpāramitāratnaguṇasaṃcayagāthāyai | namo āryamañjuśriye |,༼༡བ༡༽ ༎ རྒྱ་གར་སྐད་དུ་། ཨཱརྱ་པྲཛཉཱཔཱརམིཏཱསཉཙཡགཱཐཱ་། བོད་སྐད་དུ་། འཕགས་པ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་སྡུད་པ་ཚིགས་སུ་བཅད་པ་། འཕགས་པ ༼༢༽ འཇམ་དཔལ་ལ་ཕྱག་འཚལ་ལོ་༎,Homage to all the Buddhas and Bodhisattvas!
f7bfe08c78ee4670b2608feb6bff0c87,atha khalu bhagavāṃs tāsāṃ catasṛṇāṃ parṣadāṃ saṃpraharṣaṇārthaṃ punarapīmāṃ prajñāpāramitāṃ paridīpayamānas tasyāṃ velāyāmimā gāthā abhāṣata -,དེ་ནས་ཡང་བཅོམ་ལྡན་འདས་ཀྱིས་འཁོར་བཞི་པོ་དེ་དག་ཡང་དག་པར་རབ་ཏུ་དགའ་བར་མཛད་པའི་ཕྱིར་ཡང་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་འདི་སྟོན ༼༣༽ ཅིང་། དེའི་ཚེ་ཚིགས་སུ་བཅད་པ་འདི་དག་བཀའ་སྩལ་ཏོ་༎,"Thereupon the Lord, in order to gladden the four assemblies, and to further lighten up this perfection of wisdom, preached at that time the following verses:"
95ebf980d1fc4c67911aaabb170e8fc5,1. sarvākārajñatācaryāparivarta,-,Chapter I: Preliminary Admonition
06aafb37c8444c26832eda40c674c3e9,"para prema gaurava prasāda upasthapitvā prajahitva āvaraṇa kleśamalātikrāntāḥ |śṛṇutā jagārthamabhiprasthita suravratānāṃ prajñāya pāramita yatra caranti śūrāḥ || 1,1 ||",དགའ་དང་གུས་དང་དད་པའི་མཆོག་ནི་ཉེར་བཞག་སྟེ་༎ སྒྲིབ་པ་ཉོན་མོངས་བསལ་ནས་དྲི་མ་ལས་འདས་པ་༎འགྲོ་དོན ༼༤༽ མངོན་ཞུགས་དེས་པའི་ཤེས་རབ་ཕ་རོལ་ཕྱིན་༎ གང་ལ་དཔའ་རྣམས་སྤྱོད་པ་དེ་ནི་མཉན་པར་གྱིས་༎,"“Call forth as much as you can of love, of respect and of faith! Remove the obstructing defilements, and clear away all your taints! Listen to the Perfect Wisdom of the gentle Buddhas, Taught for the weal of the world, for heroic spirits intended!"
9c0314c0f4284780b9e366c36f541d22,"yāvanti nadya pravahanti ha jambudvīpe phala puṣpa auṣadhādhi vanaspati rohayanti |bhūjata gajendranāgapatiniśrayanovatanasya tasyānubhāvaśriya sābhu jagādhipasya || 1,2 ||",སྐབས་དང་པོ་རྣམ་པ་ཐམས་ཅད་མཁྱེན་པ་ཉིད་བསྟན་༎ འཛམ་བུའི་གླིང་འདིར་ཆུ་ཀླུང་ཇི ༼༥༽ སྙེད་ཅིག་འབབ་ཅིང་༎ མེ་ཏོག་འབྲས་ལྡན་སྨན་དང་ནགས་ཚལ་སྐྱེད་བྱེད་པ་༎ མ་དྲོས་གནས་པའི་ཀླུ་དབང་ཀླུ་བདག་བརྟེན་གནས་ཏེ་༎དེ་ནི་ཀླུ་ཡི་བདག་པོ་དེ་ཡི་མཐུ་དཔལ་ཡིན་༎,"The Source of Subhuti’s AuthorityThe rivers all in this Roseapple Island, Which cause the flowers to grow, the fruits, the herbs and trees, They all derive from the might of the king of the Nagas, From the Dragon residing in Lake Anopatapta, his magical power."
060b89338e754eaebfe0cdcc4ee6d5b6,"yāvanti dharma jinaśrāvaka deśayanti bhāṣanti yuktisahitāṃś ca udīrayanti |paramārthasaukhyakriya tatphalaprāptitā ca sarvo ayaṃ puruṣakāru tathāgatasya || 1,3 ||",༼༢ཨ༡༽ རྒྱལ་བའི་ཉན་ཐོས་པ་དག་ཇི་སྙེད་ཆོས་སྟོན་དང་༎ འཆད་དང་རིགས་པ་དག་དང་ལྡན་པར་བརྗོད་པ་དང་༎མཆོག་འཕགས་བདེ་བ་བྱེད་དང་དེ་ཡི་འབྲས་ཐོབ་པ་༎ དེ་དག་ཀུན་ཀྱང་དེ་བཞིན་གཤེགས་པའི་སྐྱེས་བུའི་མཐུ་༎,"Just so, whatever Dharmas the Jina’s disciples establish, Whatever they teach, whatever adroitly explain - Concerning the work of the holy which leads to the fullness of bliss, And also the fruit of this work - it is the Tathagata’s doing."
fc2995fc515f4e0ca25dcb5ff507368c,"kiṃ kāraṇaṃ ya jina bhāṣati dharmanetrīṃ tatrābhiśikṣita nararṣabhaśiṣyabhūtāḥ |sākṣātkaritva yatha śikṣita deśayanti buddhānubhāva puna ātmabalānubhāvā || 1,4 ||",ཅི་ཕྱིར་ཞེ་ན ༼༢༽ རྒྱལ་བས་ཆོས་ཚུལ་གང་བསྟན་པ་༎ དེ་ལ་མི་མཆོག་སློབ་མར་གྱུར་པས་མངོན་བསླབས་ཤིང་༎མངོན་སུམ་བྱས་ནས་བསླབས་པ་ཇི་བཞིན་སྟོན་བྱེད་དེ་༎ སངས་རྒྱས་མཐུས་བྱེད་རང་གི་སྟོབས་ཀྱི་མཐུས་མ་ཡིན་༎,"For whatever the Jina has taught, the Guide to the Dharma, His pupils, if genuine, have well been trained in it. From direct experience, derived from their training, they teach it, Their teaching stems but from the might of the Buddhas, and not their own power."
88c16afb60944e43b5aed24a720bd3d2,"yasmin na prajñavarapāramitopalabdhiḥ na ca bodhisattva-upalabdhi na cittabodheḥ |evaṃ śruṇitva na ca muhyati nāsti trāso so bodhisattva carate sugatāna prajñām || 1,5 ||",གང་ལ་ཤེས་རབ་ཕ་རོལ་ཕྱིན་མཆོག ༼༣༽ མི་དམིགས་ཤིང་༎ བྱང་ཆུབ་སེམས་དཔའ་མི་དམིགས་བྱང་ཆུབ་སེམས་མི་དམིགས་༎དེ་སྐད་ཐོས་ནས་རྨོངས་པ་མེད་ཅིང་སྐྲག་མེད་པ་༎ བྱང་ཆུབ་སེམས་དཔའ་དེ་ནི་བདེ་གཤེགས་ཤེས་རབ་སྤྱོད་༎,"The Basic TeachingsNo wisdom can we get hold of, no highest perfection, No Bodhisattva, no thought of enlightenment either. When told of this, if not bewildered and in no way anxious, A Bodhisattva courses in the Well-Gone’s wisdom."
2e7b02ef095a4173b3f3eb2fa1fdce9e,"na ca rupa vedana na saṃjña na cetanā ca vijñāna sthānu aṇumātra na bhonti tasya |so sarvadharma-asthito aniketacārī aparīrigṛhīta labhate sugatāna bodhim || 1,6 ||",གཟུགས་མེད་ཚོར་བ་མེད་ཅིང་འདུ་ཤེས་སེམས་པ ༼༤༽ མེད་༎ དེ་ལ་རྣམ་ཤེས་གནས་ནི་རྡུལ་ཙམ་ཡོད་མ་ཡིན་༎དེ་ཆོས་ཀུན་ལ་མི་གནས་གནས་པ་མེད་པར་སྤྱོད་༎ ཡོངས་སུ་གཟུང་མེད་བདེ་གཤེགས་རྣམས་ཀྱི་བྱང་ཆུབ་འཐོབ་༎,"In form, in feeling, will, perception and awarenessNowhere in them they find a place to rest on.Without a home they wander, dharmas never hold them,Nor do they grasp at them - the Jina’s Bodhi they are bound to gain."
229d6fe096f64cb5bec8d5cfd710546c,"atha śreṇikasya abhutī parivrājakasya jñānopalambhu na hi skandhavibhāvanā ca |yo bodhisattva parijānati eva dharmāṃ na ca nirvṛtiṃ spṛśati so viharāti prajñām || 1,7 ||",ཇི་ལྟར་ཀུན་ཏུ་རྒྱུ་བ་བཟོ་སྦྱངས་ཤེས་པ་ཡིས་༎ དམིགས་མེད་ཕུང་པོ་རྣམ ༼༥༽ པར་འཇིག་པ་འབྱུང་བ་ལྟར་༎བྱང་ཆུབ་སེམས་དཔའ་གང་ཞིག་དེ་ལྟར་ཆོས་ཤེས་པ་༎ མྱ་ངན་འདས་ལ་མི་རེག་དེ་ནི་ཤེས་རབ་གནས་༎,"The wanderer Srenika in his gnosis of the truthCould find no basis, though the skandhas had not been undone.Just so the Bodhisattva, when he comprehends the dharmas as he should Does not retire into Blessed Rest.In wisdom then he dwells."
a25339d5359045e6a2b308c1a1c59862,"vyuparīkṣate punarayaṃ katareṣu prajñā kasmātkuto va imi śūnyaka sarva dharmāḥ |vyuparīkṣamāṇu na ca līyati nāsti trāso āsannu so bhavati bodhayi bodhisattvo || 1,8 ||",ཡང་འདི་ཤེས་རབ་འདི་ནི་གང་ཡིན་སུ་ཡི་ཡིན་༎ གང་ལས་ཡིན་ཞེས་ཆོས་འདི་ཐམས་ཅད་སྟོང་པར་རྟོག་༎ཉེ་བར ༼༦༽ བརྟགས་ནས་ཞུམ་པ་མེད་ཅིང་སྐྲག་མེད་པ་༎ བྱང་ཆུབ་སེམས་དཔའ་དེ་ནི་བྱང་ཆུབ་ཉེ་བ་ཡིན་༎,"What is this wisdom, whose and whence, he queries,And then he finds that all these dharmas are entirely empty.Uncowed and fearless in the face of that discoveryNot far from Bodhi is that Bodhi-being then."
e572104c52c84c228fce9c6661a12ca5,"saci rupa saṃjña api vedana cetanā ca vijñāna skandha caratī aprajānamāno |imi skandha śūnya parikalpayi bodhisattvo caratī nimittaanupādapade asakto || 1,9 ||",གལ་ཏེ་མི་ཤེས་བཞིན་དུ་གཟུགས་སུ་འདུ་ཤེས་ཤིང་༎ ཚོར་བ་སེམས་པ་རྣམ་ཤེས་ཕུང་པོར་སྤྱོད་བྱེད་ཅིང་༎ཕུང་འདི་སྟོང་ཞེས་རྟོག་ནའང་བྱང་ཆུབ་སེམས ༼༢བ༡༽ དཔའ་ནི་༎ མཚན་མ་ལ་སྤྱོད་སྐྱེ་མེད་གནས་ལ་དད་མ་ཡིན་༎,"To course in the skandhas, in form, in feeling, in perception, Will and so on, and fail to consider them wisely; Or to imagine these skandhas as being empty; Means to course in the sign, the track of non-production ignored."
