id,P002011
6c9964c2b0684b2c852ee4aa28467234,Published Brāhmī fragments of the Schøyen Collection
82aff6449f2f44caa47c7a1b177c154c,"Vinaya, alphabetically"
28102c1d08504dbaa80aa5f2c2060493,"Prātimokṣa-Vibhaṅga of the Mahāsāṃghika-LokottaravādinsBSMC I 233–242; BMSC II 215–228, BMSC III 161–176"
07001c18b8c5455a854a6b21bd6e1283,2382/269recto1 /// cīvaradhāraṇena aṃtogateṣu indriyeṣu abahirgatena mānasena sthitena dharmatāprāptena nāgo viya kāritakāraṇo praviśaṃto prāsādike a2 /// + kasūparasavyaṃjanasya pūrehi pātrehi nirdhāvaṃti te dāni āyuṣmaṃto ṣaḍvargikā āhaṃsu āyuṣmaṃ bhagavatā samo āmiṣalābho prajña3 /// + .. bhāveti samaṃ ca dāni imaṃ ca imaṃ ca sthavirā bhikṣu āhaṃsu tathā hi yūyaṃ ā ° yuṣmaṃ ṣaḍvargikā atyanukūlaṃ praviṣṭā te dāni aparaṃ4 /// + + .. ṃ paśya goṇaṃ paśya meṇḍhaṃ paśya cchagalaṃ paśya ulūkaṃ paśyāhīti kālaparyaṃtaṃ ° pratipālenti tāsāṃ stṛkāṇāṃ bhavati bhavitavyaṃ adya je5 /// + + pariviṣiya ātmano āhāraṃ kṛtva asaṃti te dāni kālaparyaṃte praviṣṭā āhaṃsu ārogyaṃ upāsike detha asmākaṃ bhaktakā ti tā dā 6 /// + + kaṃ bhaktaṃ yathāpi te āryamiśrā ṣaḍvargikā nāgacehati asmābhiḥ putrapati pariviṣṭā ātmanā āhāro kṛto ..ṃ dāniverso1 /// + hi dāni yaṃ tatra dāsānāṃ vā cetanaṃ vā karmarāṇaṃ vā kṛtena siddhakaṃ taṃ dinnaṃ yaṃ vā taṃ vā dātvā visarjitā te dāni śīghraśīghraṃ nirdhāvaṃt. jetava2 /// + .. na abhikkrāṃtena pratikkrāṃtena ālokitena ⟪vilokitena⟫ saṃmiṃjitena prasāritena saṃghāṭīpātracīvaradhāraṇena antogateṣu indriyeṣu abahirgatena3 /// + dikā abhiprasādentā devamanuṣyāṇāṃ cittāni te dāni bāṣpāḍhyasya śālisya vicita ° kālakasya anekasūparasavyaṃjanasya pūrehi pātrehi4 /// + dya uecahṇe praviṣṭā samaṃ ca dāni imaṃ ca imaṃ ca te dāni therā bhikṣu āhaṃsu tathā hi yūyaṃ ati uccahṇe praviśatha te dāni āhaṃsu na hi  na5 /// pr.jñapto ayaṃ āyuṣmāṃ Dravyo Mallaputro jātāmitro viya manye viṣamaṃ āmiṣalābhaṃ bhāveti · etaṃ prakaraṇaṃ āyuṣmāṃ Dravyo Mallaputro6 /// vān āha satyaṃ bhikṣavo ṣaḍvargikā evaṃ nāma Dravyo Mallaputro navahi saṃmutīhi saṃmato saṃghasya āmiṣā
a10a8bd8335e4b3c9d775df99ec146b8,(vol. 2)2382/270; fol. 136recto1 pati annāhanati bhikṣuḥ pācattikaṃ āsādayati evaṃ śrotravijñānaṃ ghrāṇavijñānaṃ jihvāvijñānaṃ kāyavijñānaṃ manovijñānaṃ anityāṃ manovijñānaṃ anityāṃ ti samakaṃ ādiyati samakaṃ osapeti uddiśati na viramati anu2 bhaṇati anubhāṣati na pratikṣipati annāhanati bhikṣu pācattikam āsādayati cakṣuḥsaṃsparśaṃ anityāṃ cakṣuḥsaṃsparsaṃ anityāṃ ti samakaṃ ādiyati samakaṃ osapeti uddiśati na viramati anubhaṇati anubhāṣa3 ti · na pratikṣipati annāhanati bhikṣuḥ pācattikaṃ āsādayati evaṃ śrotrasaṃsparśaṃ ghrāṇasaṃsparśaṃ jihvāsaṃsparśaṃ kāyasaṃsparśaṃ manosaṃsparsaṃ a ◯ nityaṃ manosaṃsparsaṃ anityāṃ ti samakaṃ ādiyati samakaṃ o4 sapeti uddiśati na viramati anubhaṇati anubhāṣati na pratikṣipati annāhanati bhikṣuḥ pācattikaṃ āsādayati · cakṣuḥsaṃsparśajā vedanā anityā cakṣuḥsaṃsparśajā vedanā anityā ti samakaṃ ādiyati samakaṃ osa5 peti uddiśati na viramati anubhaṇati anubhāṣati na pratikṣipati annāhanati bhikṣuḥ pācattikam āsādayati evaṃ śrotrasaṃsparśajā vedanā anityā ghrāṇasaṃsparśajā vedanā anityā jihvāsaṃsparśaverso1 jā vedanā anityā kāyasaṃsparśajā vedanā anityā manosaṃsparśaja vedanā anityā manosaṃsparśajā vedanā anityā ti samakaṃ ādiyati samakaṃ osapeti uddiśati na viramati anubhaṇati anubhāṣati na2 pratikṣipati annāhanati bhikṣuḥ pācattikam āsādayati · rūpa anityā rūpa anityā ti samakaṃ ādiyati samakaṃ osapeti uddiśati na viramati anubhaṇati anubhāṣati na pratikṣipati annāhanati bhi3 kṣuḥ pācattikam āsādayati · śabdā anityā ◯ gandhā anityā rasā anityā spraṣṭavyā anityā dharmā anityā dharmā anityā ti · samakaṃ ādiyati sama ◯ kaṃ osapeti uddiśati na viramati anubhaṇati anu4 bhāṣati na pratikṣipati annāhanati bhikṣu pācattikaṃ āsādayati · rūpasaṃjñā anityā rupasaṃjñā anityā ti samakaṃ ādiyati samakaṃ osapeti · uddiśati na viramati anubhaṇati anubhāṣati na prati5 kṣipati annāhanati bhikṣuḥ pācattikaṃ āsādayati · sabdasaṃjñā gandhasaṃjñā rasasaṃjñā spraṣtavyasaṃjñā dharmasaṃjñā anityā dharmasaṃjñā anityā ti samakaṃ ādiyati sama
5b31db2139b840b2accac30d2f3ef2d9,"2381/7, 2382/uf6/4f, 2382/uf6/2c, 2381/67, 2381/109; fol. 14(x)recto1 ti prāptaṃ sākṣīkṛtaṃ ti āha bhūte pācattikaṃ āsādayati so eṣo bhikṣuḥ ātm. n. s. ndhāy. ātmanam upanidhā .. + + + + + + + + + + + + ha saṃvaragāmivinayā + + + + + + + + + + + + + + + + + + + + + + 2 ti · āha deśanāgāmivinayātikkramam āsādayati · mayā samādhi ca samādhiphalaṃ ca prāptaṃ sākṣīkṛtaṃ ti .. + + + + + + + + + + + + .. vaṃ ime dharmā samāhite + + + + + + + + + + + + + + + + + + + + + 3 imāṃ dharmām upaniśrāya viharitavyaṃ ime dharmā prāptā sā ◯ kṣīkṛtā ti āha saṃvaragāmivinayātikkramaṃ āsāday. + + + + + + + ptā sākṣīkṛtā-m-eti {·} āha deśanā ◯ + + + + + + + + + + + + + + + + + + + + + 4 ptā sākṣīkṛtā ti āha bhūte pācattikam āsādayati · ◯ so eṣo bhikṣuḥ ātmān. + .. āya ātmānam upanidhāya + + + + + + + ti āha saṃvaragāmivinayāti ◯ + + + + + + + + + + + + + + + + + + + + + + 5 deśanāgāmivinayātikkramaṃ āsādayati · mayā śamatho ca vipaśyanā ca pr. + + .ī .. .. .i + .. + + + + + + + + + + āt. ā .. ṃ .. dhāya āt. ānam. p. .i + + + + + + + + + + + + + + + + + + + + + + verso1 .o ca manasīkāro vidyā ca vimuktiṃ ceti āha saṃvaragāmivinayātikkramam āsādaya + + + + .. + + + + + + + + + + + + + + + .. + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + 2 d.yati · so eṣo bhikṣuḥ ātmānaṃ sandhāya ātmānam upa ◯ nidhāya evaṃ trayo vi + + y. vihārā tray. samādh. + + + + + + + + gāmivinayātikkramam āsādaya .. + + + + + + + + + + + + + + + + + + + + + 3 nayātikkramam āsādayati · mayā trayaḥ samādhayaḥ ◯ prāptā sākṣīkṛtā ti .. + bhūte pācattikaṃ āsādaya + + + + + + + ātmānaṃ sandhāya ātmānaṃm upa ◯ + + + + + + + + + + + + + + + + + + + + + 4 mivinayātikkramam āsādayati mayā catvāri smṛtyupasthānanīti āha deśanāgāmivinayātikkramaṃ āsā .. .. + + + + + + + .. .. .. .. .ā prāptā sākṣīkṛtā ti ā .. + + + + + + + + + + + + + + + + + + + 5 tmānaṃ sandhāya ātmānam upanidhāya evaṃ catvāri samyak .rahāṇā catvāri rddhipādā catvāri samādhayo catvā .. + + + + + + + + + + + + + padā catvāri pratisaṃvidā .. + + + + + + + + + + + + + + + + + + + + +"
dbf62f36a3dd41b3a2786a4429603687,"(vol. 3, two more folios)2376/39/2, 2376/43recto1 + + + + + + + + + + + .. .. .. .. k. sya vā hārakūṭakasya vārvagatakasya vā saraḷasya vā syaṃndanasya vā vaṃśathoḷikā .. + + + + + + + + + + + + + + + + + + + + + + + + + + + + + +2 + + + + + + + + + + na bhagavān āha yo ◯ puna bhikṣu daṃntamayaṃ vā aṣṭhimayaṃ vā śṛṅgamayaṃ vā sovarṇṇamayaṃ vā rūpyāmay. + + + + + + + + + + + + + + + + + + + + + + + + + + + + + +3 + + + + + + + + + + manuṣyāṇāṃ ca vistare◯ṇaṃ nidānaṃ kṛtvā abhilakṣite dāniṃ divase aṣṭamiṃ caturddaśi paṃcadaśiṃ jano + + + + + + + + + + + + + + + + + + + + + + + + + + + + + +4 + + + + + + + + + + gavato pādāṃ śirasā vaṃnditvā āyuṣmaṃntānāṃ nandanopanaṃndanānāṃ pariveṇaṃ gatā te dāniṃ āhaṃsu vandāma ayy. + + + + + + + + + + + + + + + + + + + + + + + + + + + + + +5 + + + + + + + + + + hārakaṃ darśiyamānaṃ te dāni āhaṃ .. .āḍhaṃ kumāra a + .. + + + vayaṃ darśayema prāhavaajjhiṭṭhā te dā ..ṃ + + + + + + + + + + + + + + + + + + + + + + + + + + + + + +6 + + + + + + + + + + + + + + + + + + + + + + + .. ucce ghaṭṭhe .. + + + + + + + .e + r.o ghoṣakāvikāva .. .. .ī + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + verso1 + + + + + + + + + + + + + + + + + + + + + + lohitake p + + + + + + + + .r. ty. .t. r. ṇāyo ukaḷ. vā .. + .. .r.1 k. + + + + + + + + + + + + + + + + + + + + + + + + + + + + + +2 + + + + + + + + + + na asmāka. te dāni. āha.su .. im. .. ayyamiśśa .. + + + + + gyāyo te dāniṃ āhaṃsu kasya khaṃ yogyāy. + + + + + + + + + + + + + + + + + + + + + + + + + + + + + +3 + + + + + + + + + + nagāriyaṃ pravrajaṃnto rājā ca bhoṃnto cakkravartti tusmāka. pacatāvepitā bhagavato ānuyatro bhoṃnto api + + + + + + + + + + + + + + + + + + + + + + + + + + + + + +4 + + + + + + + + + + pā ukṣiptā bhoṃti jjhi ◯ mā veḍā niṣpratibhānā ∙ etaṃ prakaraṇaṃ bhikṣūhi śrutaṃ bhikṣu bhagavato āroc. + + + + + + + + + + + + + + + + + + + + + + + + + + + + + +5 + + + + + + + + + + + naṃndanā evaṃn nāmaṃ abhilakṣite divase aṣṭamiṃ caturddaśi paṃcadaśiṃ jano nirddhāvati tathāgata .. + + + + + + + + + + + + + + + + + + + + + + + + + + + + + +6 + + + + + + + + + + + .. .. ..ṃ .i .. tusmākaṃ pariveṇaṃ gatā tti ∙ etaṃ sarvvaṃ bhagavāṃ vistareṇam pratyāroceti y. + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + +"
7a17c066537f4f4292317374249ff1a0,"2376/39/1, 2376/54/2recto1 + + + + + + + + + + + + + + + + + + ṣṭāṃṅgulapramāṇā pā .. k. k. r. + + + vyā aṃnyatra aḍinīye ∙ ‖ eṣā eva aṭṭhupatti ∙ bhagav. + + + + + + + + + + + + + nā ca manuṣyāṇāṃ ca vista2 + + + + + + + + + + + + + + + + + .. ptaṃ maṃcaṃ vā pīṭhaṃ vā bhikṣuṇā kārāpayamānenaṃ sugatāṣṭaṃṅgulipramāṇā pādakā kārāpa .. + + + + + + + + + + t. hi dāni āyuṣmaṃntehi3 + + + + + + + + + + + + + + + + + + taṃ tattakam vajjaṃ kariya te pādakāṃ chindiya tattakā yeva paṭipādakādinnā abhilakṣite dā + + + + + + + + + + śi paṃcadaśiṃ jano nirddhāvati4 + + + + + + + + + + + + + + + + + lasya putrā nirddhāvitā bhagavato pādavaṃndā te dāniṃ bhagavato pādāṃ śirasā vanditvā āyuṣmaṃntā .. + + + + + + + + + riveṇaṃ gatā te dāniṃ āhaṃsu5 + + + + + + + + + + + + + + + + + āhaṃsu svāgataṃ kumāra anurāgataṃ kumāra te dāniṃ āhaṃsu ayya icchāma vihārakaṃ darśiyamā + + + + + + + + + + + + .. .ālit.ā āhaṃs. pasyath.6 + + + + + + + + + + + + + + + + + paṃttī vyāḷapaṃntī makarapaṃntī mṛd.īkālatātherapaṃti ucce lpāṣṭe ghaṭṭhe maṭṭhe prapaṃḍare ulloke ///verso1 + + + + + + + + + + + + + + + + + nnāniṃ ime maṃcapādakāṃ vināśetha t. dāniṃ āhaṃsu kumāra yattakaṃ bhagavatā anujñātan tattakaṃ y. ///2 + + + + + + + + + + + + + + + + + vato ārocayeṃsu bhagavān āha śabdāvatha naṃndanopadandanāṃ49 te dāniṃ śabdāvitā bhagavān āha s. .y. + + + + + + + + + + + + + + + + + + thāg. t. n. . ..3 + + + + + + + + + + + + + + + + + naṃ sugataaṣṭaṃṅgulipramāṇā pādakā kārāpayitavyā aṃnyatra aḍanīye tave nnāni yattakaṃ tathāgate + + + + + + + + + + + kaṃ taṃ chindiyāṇaṃ tattakaṃ yeva pa ..4 + + + + + + + + + + + + + + + + + aṣṭami caturddaśi paṃcadaśi jano nirddhāvati bhagavato pādavaṃndā rājño dāniṃ kosalasya putr. + + + + + + + + + + + .y. pādavaṃndā tti tad eva yāva pād.5 + + + + + + + + + + + + + + + + + + maṃ bhagavāṃ bhagavān āha tena hi na kṣamati pratipādako pi  atha khu bhagavāṃ bhikṣuṃ āmaṃtret. .. + + + + + + + + + .. yāvatakā bhikṣu śrāvastī .. ..6 + + + + + + + + + + + + + + + + + + etaṃ prakapraṇaṃ bhikṣū ..ṃ .. .. .. .e .. traiva ca ādīnavaṃ prakāśaye taṃ yeva ca sthānaṃ a .e + + + + + + + + + + + + + .. nulomaṃ ca bhikṣ. ṇāṃ"
c6f911161b294ea18bf325d66d9289f6,KarmavācanāBMSC II 229–2382381/117; (fol. x) recto1 /// .n ... tena dāni so raho nuś. .t. .y. + + /// 2 /// śṛṇu kulaputra : yaṃ ya .. vātra saṃgham. /// 3 /// + + + .. ṃ saṃkṣiptena · kiṃ .. dāni vista + /// 4 /// + + + + + + .. vakaṃ lokaṃ samāra + /// versox /// + + + + + + .. .. vatas. thāgatasy. /// y /// y. y. .. v. t. pṛcchati · taṃ .. d asti tad a /// z /// vyaṃ · anujñāto si māt. p. tṛbhi · vis. ///
6594a368beeb4509978d3652389e4da2,"2382/65, 2382/180, 2382/84, 2382/107, 2382/uf14/5a; fol. 55 recto1 yenopādhyāy. + saṃghamadhyam upasaṃkkrameya upa . . + + + + + + + + + + lo dha.mapṛyenopādhyayena s. ṃ + + 2 madhyaṃ kṣamate taṃ saṃghasya yasmā tuṣṇi evam etad dhāra + + + + + + + + + vyo tenāgacchitvā vṛddhāntāto pra + + + 3 rveṣāṃ pādābhivanditavyā yāvan n. + .. ◯ ..ṃ + + + + + + + + + + + + + .. anto hastapāśasyā utku + + 4 niṣīditavyaṃ tata smārayitvā pātracīva .. + + + + + . y. vandāmy āryas. gha. a + + + lo idaṃ me cīvaram idaṃ me uttarāsaṃ5 gam idam antarvvāsaṃ idaṃ tṛcīvaram adhi .th.22 + + me tṛcīvareṇa a + + + + + evaṃ dvir api evaṃ tṛr api ‖ vaverso1 ndāmy āryasaṃghaṃm ahaṃ buddhilo idaṃ me pātraṃ .. + + + + k.lpi{} pāribhogya ṃ + + + + + + + + .emi evaṃ dvir api evaṃ2 t.r api ‖ śṛṇotu me bhaṃte saṃgho ayaṃ buddh. + + + + + syopasaṃpā.o aji .e + + + + + + + + .  i saṃghasya prāptakālaṃ3 buddhilo dharmapṛyenopādhyayen. saṃgh. ◯ m up. + + + + + + + + + + + t. s. gh. buddhilo dharmapṛyeno + + 4 yena saṃgham upasaṃpadaṃ kṣamate taṃ sa.ghasya yasm. + + + + + + + + + + ‖ tena dāni yācitavyaṃ vandā + + + 5 ghaṃ ahaṃ bu .. + arthahetor nnāma gṛhṇāmi syācāryasy. + + + + + + + + + + eṇa .. ho nuśāsto so haṃ bu .. + +"
