id,P002045,P002046,P002047,P002048
909d730144ea4e0da5c411de45b2befd,udānavarga,法集要頌經有爲品第一,༼༢༠༩ཨ༡༽༎ རྒྱ་གར་སྐད་དུ་། ཨུ་དཱ་ན་བརྒ་། བོད་སྐད་དུ་། ཆེད་དུ་བརྗོད་པའི་ཚོམས་།,UDÂNAVARGA.
7e65d37bc1344f7a902609252643a239,siddham Э,尊者法救集西天中印度惹爛駄囉國密林寺三藏明教大師4賜紫沙門臣天息災奉　詔譯,བམ་པོ་དང་པོ་། ཐམས་ཅད་མཁྱེན་པ་ལ་ཕྱག་འཚལ་ལོ་༎ བཀྲ་ཤིས་པར་གྱུར་ཅིག་།,"(In the Language of India, ""Uddânavarga;"" in the Language of Tibet, ""Tched-du brjod pai tsoms."") Book I"
f799a123163247a684db39acb270303b,,,-,I. IMPERMANENCY. Glory be to Him who knows all! Let there be happiness!
89c3e7aa09d04b62b986e677e140335f,"stīnamiddhaṃ vinodyeha sampraharṣya ca mānasam |śṛṇutemaṃ pravakṣyāmi udānaṃ jina bhāṣitam |1,1|",能覺悟煩惱 宜發歡喜心今聽我所集 佛所宣法頌 A1,༎ རྒྱལ་བས་ཆེད་དུ་བརྗོད་གསུངས་པ་༎ བདག་གིས་རབ་ཏུ་བཤད་པར་བྱ་༎གཉིད་དང ༼༢༽རྨུགས་པ་རྣམས་སོལ་ལ་༎ ཡིད་ལ་དགའ་བ་བསྐྱེད་དེ་ཉོན་༎༡,"1. The Victorious one spoke these verses (udâna); Hearken unto me while I tell them; what I say is to dispel sleep and torpor, and to bring gladness to the mind."
b96fc585d73b4e6d96d40d317bbcf279,"evam uktaṃ bhagavatā sarvābhijñena tāyinā |anukampakena ṛṣiṇā śarīrāntimadhāriṇā |1,2|",如是佛世尊 一切智中師慈悲爲有情 廣説眞實語 B2,ཐམས་ཅད་མཁྱེན་པ་སྐྱོབ་པ་པོ་༎ ཐུབ་པ་རྗེས་སུ་ཐུགས་བརྩེ་བ་༎སྐུ་ཡི་ཐ་མ་འཛིན་པ་ཡི་༎ བཅོམ་ལྡན་འདས་ཀྱིས་འདི་སྐད་གསུངས་༎༢,"2. The All-wise, the Protector, the Mighty one, the Very compassionate one, He who had finished with corporeal existence: Bhagavat; spoke (or has spoken) thus:"
0bb6c80fbffa413bb707f63f34b52660,"anityā bata saṃskārā utpādavyaya dharmiṇaḥ |utpadya hi nirudhyante teṣāṃ vyupaśamaḥ sukham |1,3|",一切行非常 皆是興衰法夫生輒還終 寂滅最安樂 13,ཀྱེ་མ་འདུ་བྱེད་རྣམས་མི་རྟག་༎ སྐྱེ་ཞིང་འཇིག་པའི ༼༣༽ཆོས་ཅན་ཡིན་༎སྐྱེས་ནས་འཇིག་པར་འགྱུར་བ་སྟེ་༎ དེ་དག་ཉེ་བར་ཞི་བ་བདེ་༎༣,"3. Alas! the impermanency of created things (samkâra); what is created is subject to decay. As what has been born must come to destruction, happy they who are at rest! l"
713a5a5591864be2b52767e190c379d6,"ko nu harṣaḥ ka ānanda evaṃ prajvalite sati |andhakāraṃ praviṣṭāḥ stha pradīpaṃ na gaveṣatha |1,4|",如燭熾焔時 擲物在暗處不使智燈尋 恒爲煩惱覆 24,དེ་ལྟར་རབ་ཏུ་འབར་བ་ལ་༎ ཅི་ཞིག་དགར་ཡོད་མགུར་ཅི་ཡོད་༎མུན་པའི་ནང་ཞུགས་གནས་པ་དག་༎ ཅི་ཕྱིར་སྒྲོན་མ་ཚོལ་མི་བྱེད་༎༤,"4 (146). To one who is being burnt: what joy can there be, what subject of rejoicing Ye who dwell in the midst of darkness, why seek ye not a light?"
d5ad0dca37874ba8b40915e7097f9c18,"yāni imāny apaviddhāni vikṣiptāni diśo diśam |kapotavarṇāny asthīni tāni drṣṭveha kā ratiḥ |1,5|",人身有形器 棄散在諸方骸骨如鴿色 觀斯有何樂 35,རུས་པ་ཐི་བའི་མདོག་འདྲ་བ་༎ བོར་བ ༼༤༽གང་ཡིན་འདི་དག་ནི་༎ཕྱོགས་དང་ཕྱོགས་སུ་རྣམ་འཐོར་བ་༎ དེ་མཐོང་འདི་ལ་ཅི་ཞིག་དགའ་༎༥,5 (149). Those pigeon-coloured bones are thrown away and scattered in every direction; what pleasure is there in looking at them?
318594ead6c949cf8baca475cd811c75,"yām eva prathamāṃ rātriṃ garbhe vasati mānavaḥ |aviṣṭhitaḥ sa vrajati gataś ca na nivartate |1,6|",譬如人初夜 識託住母胎日渉多遷變 逝而定不還 46,གང་གི་ནུབ་མོ་ཁོ་ན་ནས་༎ མངལ་དུ་དང་པོར་འཇུག་པའི་མི་༎དེ་ནི་སྡོད་མེད་འགྲོ་འགྱུར་ཞིང་༎ སོང་བ་ལས་ཀྱང་ལྡོག་པ་མེད་༎༦,6. One who has heretofore been subject to the misery of birth from the womb may go to the highest place and come no more back again (into the world).
f3fd68fcb0f34779a3279eb8d817d8ae,"sāyam eke na dṛśyante kālyaṃ dṛṣṭā mahājanāḥ |kālyaṃ caike na dṛṣyante sāyaṃ dṛṣṭā mahājanāḥ |1,7|",晨朝覩好事 夜至則不現昨所瞻視者 今夕則或無 57,སྔ་དྲོ་སྐྱེ་བོ་མང་མཐོང ༼༥༽བ་༎ ཕྱི་དྲོ་ཁ་ཅིག་མཐོང་མི་འགྱུར་༎ཕྱི་དྲོ་སྐྱེ་བོ་མང་མཐོང་བ་༎ སྔ་དྲོ་ཁ་ཅིག་མཐོང་མི་འགྱུར་༎༧,"7. One sees many men in the forenoon, some of whom one will not see in the afternoon; one sees many men in the afternoon, some of whom one will not see in the (next) forenoon."
