id,P000814,P000815,P000816,P000817
979a686a108f418faad91f5c9f138ef8,mahāyānasūtrālaṃkāraḥ,(589b20)(22)大乘莊嚴經論卷第一(23)太子右庶子安平男臣李百藥(24)奉,༼༡༢༩བ༡༽ རྒྱ་གར་སྐད་དུ་༎ སū་ཏྲ་ཨཱ་ལṃ་ཀཱ་ར་བྱ་ཁྱṃ་། བོད་སྐད་དུ་༎ མདོ་སྡེའི་རྒྱན་གྱི་བཤད་པ་།,MAHÂYANASÛTRÂLAṂKÂRA
a5818247ffc740e1bd936d2beac65b5a,||om||namaḥ sarvabuddhabodhisatvebhyaḥ,勅序(25)臣聞。天帝受無上之法景福會昌。輪王致正(26)眞之道。神祇合徳。是則聖人執契玄化潜通。(27)至誠所感。冥功斯應。皇情西顧。法海東流。如(28)開洪範之圖。似得圓光之夢。持綫妙典。發金(29)口而祕綸言。書葉舊章。自龍宮而升麟閣。昔(589c1)迦維馭世。大啓法門。懸明鏡於無象。運虚舟(2)於彼岸。空有兼謝。生滅倶忘。絶智希夷之表。(3)遺形動寂之外。然隨縁利見。應跡生知。震大(4)地而萃人天。放神光而掩日月。百億須彌。倶(5)霑聲教。三千世界。盡入隄封。愍三毒之韁(6)鎖。矜五蔭之纒蓋。惜飛電於浮生。歎懸藤於(7)逝水。八關云闢。開慧識於幽塗。三乘方軌。運(8)慈心於朽宅。龍興霧集。神動天隨。大道爲心。(9)望法雲而遐擧。聞聲悟道。漸初地而依仁。遷(10)㮈苑之喬枝。入祇園之隩室。酌智水之餘(11)潤。承慧日之末光。既而税駕連河。歸眞雙樹。(12)聖靈逾遠。像教浸微。大義或乖。斯文將墜。穿(13)鑿異端。分析多緒。是末非古。殊塗別派。天親(14)初學之輩。尚致西河之疑。龍樹究竟之儔。彌(15)深東魯之歎。仰惟法寶。盡諦無爲。故經文云。(16)佛以法爲師。佛從法生。佛依法住。豈止研幾(17)盡性。妙物窮神。出入無間。苞含元氣而已。(18)若夫惟天爲大。寒暑運其功。謂地蓋厚。山澤(19)通其氣。是以姫文以大聖之姿。幽賛易道。丘(20)明懷同恥之徳。祖述微言。諸經著論。俯同斯(21)旨。大乘莊嚴論者。無著菩薩纂焉。菩薩以(22)如來滅度之後。含章秀發。三十二相。具體而(23)微。八千億結。承風倶解。弘通正法。莊飾經(24)王。明眞如功徳之宗。顯大士位行之地。破小(25)乘執著。成大乘綱紀。其菩提一品。最爲微妙。(26)轉八識以成四智。束四智以具三身。詳諸經(27)論所未曾有。可謂聞所未聞。見所未見(28)聖上受飛行之寶命。總歩驟於前王。屈天師(29)之尊。智周萬物。應人皇之運。道照三明。慈(590a1)惠外宣。神機内湛。端扆而役百靈。垂拱而(2)朝萬國。彌綸造化之初。含吐陰陽之際。功成(3)作樂。既章韶舞。治定制禮。言動翠華。金輪所(4)王。封疆之固惟。遠芥城雖滿。龜鼎之祚無(5)窮。光闡大猷。開導群品。凡諸内典。盡令翻(6)譯。摩伽陀國三藏法師。波羅頗蜜多羅。唐(7)言明友。即中天竺刹利王之種姓也。以大唐(8)貞觀元年十二月入京。法師戒行精勤。才識(9)明敏。至徳隣于初果。多能亞夫將聖。繼澄什(10)之清塵。來儀上國。摽生遠之逸氣。高歩玄(11)門。帝心簡在。皇儲禮敬。其博聞強記。探幽洞(12)微。京城大徳。莫不推許。粤以貞觀四年。恭承(13)明詔。又(14)勅尚書左僕射國公房玄齡。散騎常侍行(15)太子左庶子杜正倫銓定。義學法師慧乘慧(16)朗法常智解曇藏智首道岳惠明僧辯僧珍法(17)琳靈佳慧賾慧淨玄謨僧伽等。於勝光寺共(18)成勝業。又勅太府卿蘭陵男蕭璟監掌修緝。(19)三藏法師云。外國凡大小乘學。悉以此論爲(20)本。若於此不通。未可弘法。是以覃思專精。特(21)加研究。慧淨法師。聰敏博識。受旨綴文。玄謨(22)法師。善達方言。又兼義解。至心譯語。一無紕(23)謬以七年獻春此始。撰定斯畢。勒成十有三(24)卷二十四品。勅太子右庶子安平男李百藥(25)序之云爾(26)(27)(28)(29)(590b1)(2)大乘莊嚴經論卷第一(3)無著菩薩造(4)大唐天竺三藏波羅頗蜜多羅譯,སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ་༎,
7b83f1ca3d5e446f9feb5d9183137c67,prathamo ’dhikāraḥ,(5)縁起品第一,-,CHAPITRE I
80f948d2d9074e1b96b7859c66d0aa12,arthajño ’rthavibhāvanāṃ prakurute vācā padaiś cāmalair duḥkhasyottaraṇāya duḥkhitajane kāruṇyatas tanmayaḥ |dharmasyottamayānadeśitavidheḥ satveṣu tadgāmiṣu śliṣṭām arthagatiṃ niruttaragataṃ pañcātmikāṃ darśayan || 1 ||,(6)偈曰(7)義智作諸義 言句皆無垢(8)救濟苦衆生 慈悲爲性故(9)巧説方便法 所謂最上乘(10)爲發大心者 略以五義現,དོན་ཤེས་དོན་སྟོན་རབ་ཏུ་བྱེད་པ་དག་དང་ཚིག་རྣམས་དྲི་མེད་པས་༎ སྡུག་བསྔལ་བསྒྲལ ༼༢༽ ཕྱིར་སྡུག་བསྔལ་འགྲོ་ལ་སྙིང་རྗེའི་ཕྱིར་ཏེ་དེའི་བདག་ཉིད་༎ ཐེག་མཆོག་བསྟན་པའི་རྣམ་པ་ཆོས་ཀྱི་དེ་ཡིས་འགྲོ་བའི་སེམས་ཅན་ལ་༎ འབྱོར་བའི་དོན་ཚུལ་བླ་མེད་གྱུར་བ་ལང་ཡི་བདག་ཉིད་སྟོན་པར་བྱད་༎,"1. Il sait le Sens, et il arrange le développement du Sens avec une voix et des mots sans tache, pour sauver du malheur, par pitié dit inonde malheureux, car il est fait de pitié; - en montrant, pour les créatures qui vont par le Véhicule suprême, la quintuple méthode d’atteindre au sens de l’Idéal que le Grand Véhicule prêche et prescrit, méthode inhérente à cet Idéal et qui va à l’insurpassable."
bff4c10740dd4b0cb2488d881378aa98,arthajño ’rthavibhāvanāṃ prakurute iti ka upadeśam1 ārabhya ko ’laṃkarotīti | arthajñaḥ | kam alaṃkāram alaṃkaroti | arthavibhāvanāṃ kurute | kena vācā padaiś cāmalaiḥ | amalayā vāceti pauruṣayā amalaiḥ padair yuktaiḥ sahitair iti vistaraḥ | na hi vinā vācā padavyañjanair artho vibhāvayituṃ sakyata iti | kasmai duḥkhasyottaraṇāya duḥkhitajane kāruṇyatas tanmayaḥ | duḥkhitajane yat kāruṇyaṃ tasmāt kāruṇyataḥ | tanmaya iti kāruṇyamayaḥ | kasyālaṃkāraṃ karoti | dharmasyottamayānadeśitavidheḥ | uttamayānasya deśito vidhir yasmin dharme tasya dharmasya | kasminn alaṃkaroti | satveṣu tadgāmiṣu | nimittasaptam yeṣām mahāyānagāmisatvanimittam2 ity arthaḥ | katividham alaṃkāraṃ karoti | pañcavidhaṃ | śliṣṭām arthagatiṃ niruttaragatāṃ pañcātmikāṃ darśayan śliṣṭam iti yuktāṃ niruttaragatām ity anuttarajñānagatāṃ  | tām idānīṃ pañcātmikāṃ arthagatiṃ dvitīyena ślokena darśyati |,(11)釋曰。莊嚴大乘經論。誰能莊嚴。答義智能莊(12)嚴。問義智云何莊嚴。答開作諸義。問以何開(13)作。答以言及句。問以何等言。以何等句。答以(14)無垢言以無垢句。無垢言者。謂能至涅槃(15)城。無垢句者。謂字句相應。若離無垢言句。則(16)於諸義不能開曉。問以何義故莊嚴。答爲救(17)濟苦衆生故。問衆生自苦。何因救濟。答爲菩(18)薩者大悲爲體生憐愍故。問若救他苦莊嚴(19)何法。答莊嚴如來巧説方便法。問何等方便(20)法。答所謂最上乘。問爲誰故莊嚴。答爲發大(21)乘心者。問以幾義莊嚴。答略以五義示現。問(22)何者五義。偈曰,དོན་ཤེས་དོན་སྟོན་རབ་ཏུ་བྱེད་པ་ཞེས་བྱ་བ་ལ་སོགས་པ་ནི་ཅི་ཞེས་བསྟན་པ ༼༣༽ ལས་བརྩམས་པ་ཡིན་ནོ་༎ སུ་ཞིག་བརྒྱན་པར་བྱེད་ཅེ་ན་། དོན་ཤེས་པའོ་། རྒྱན་ཅི་ཞིག་བརྒྱན་པར་བྱེད་ཅེ་ན་། དོན་སྟོན་རབ་ཏུ་བྱེད་པའོ་༎ ཅེས་ཤེ་ན་༎ ངག་དང་ཚིག་རྣམས་དྲི་མེད་པས་ཏེ་། ངག་དྲི་མ་མེད་པས་ཞེས་བྱ་བ་ནི་༎ གྲོང་ཁྱེར་པ་ལ་སོགས་པས་སོ་༎ ཚིག་དྲི་མ་མེད་པས་ཞེས་བྱ་བ་ནི་། ཚིག་དང ༼༤༽ ཡི་གེ་རིགས་པ་དང་འབྲེལ་བ་ཞེས་བྱ་བརྒྱས་པར་འབྱུང་བ་སྟེ་། ངག་དང་ཚིག་དང་ཡི་གེ་དག་པ་མེད་པར་ནི་དོན་བསྟན་པར་མི་ནུས་སོ་༎ གང་གི་ཕྱིར་ཞེ་ན་༎ སྡུག་བསྔལ་བསྒྲལ་བའི་ཕྱིར་རོ་༎ གང་ལས་ཤེ་ན་༎ སྡུག་བསྔལ་འགྲོ་ལ་སྙིང་རྗེའི་ཕྱིར་ཏེ་༎ དེའི་བདག་གཉིད་སྡུག་བསྔལ་བའི ༼༥༽ འགྲོ་བ་ལ་སྙིང་རྗེ་བ་གང་ཡིན་བའི་སྙིང་རྗེ་དེའི་ཕྱིར་རོ་༎ དེའི་བདག་ཅེས་བྱ་བ་ནི་སྙིང་རྗེའི་བདག་ཉིད་དོ་༎ ཅི་ཞིག་གི་རྒྱན་དུ་བྱེད་ཅེ་ན་༎ ཐེག་མཆོག་བསྟན་པའི་རྣམ་པ་ཆོས་ཀྱི་སྟེ་། ཆོས་ཀྱི་རྣམ་གྲངས་གང་ལ་ཐེག་པ་མཆོག་བསྟན་པའི་རྣམ་པ་ཡོད་པའི་ཆོས་དེའི་འོ་༎ གང་གི་ཆེད་དུ ༼༦༽ བརྒྱན་པར་བྱད་ཅེ་ན་། དེས་འགྲོ་བའི་སེམས་ཅན་ལའོ་༎ ལ་ཞེས་བྱ་བ་འདི་ནི་ཆེད་ཡིན་ཏེ་། ཐེག་པ་ཆེན་པོས་འགྲོ་བའི་སེམས་ཅན་གྱི་ཆེད་དུ་ཞེས་བྱ་བའི་ཐ་ཚིག་གོ་༎ རྒྱན་རྣམ་པ་དུ་ཞིག་གིས་བརྒྱན་པར་བྱེད་ཅེ་ན་། རྣམ་པ་ལྔ་སྟེ་། འབྱོར་བའི་དོན་ཚུལ་བླ་མེད་གྱུར་བ་རྣམ་པ་ལྔའི ༼༧༽ བདག་ཉིད་སྟོན་པར་བྱེད་དོ་༎ འབྱོར་བ་ཞེས་བྱ་བ་ནི་རིགས་པའོ་༎ བླ་མེད་གྱུར་བ་ཞེས་བྱ་བ་ནི་ཐེག་པ་བླ་ན་མེད་པར་གཏོགས་པའོ་༎ ད་ནི་དོན་གྱི་ཚུལ་ལྔའི་བདག་ཉིད་དེ་ཚིགས་སུ་བཅད་པ་གཉིས་པས་སྟོན་པར་བྱེད་དེ་༎,"“Il sait le Sens, et il arrange le développement du Sens.” Tel est le point de départ, de cet enseignement i. Qui est-ce qui orne? – Celui qui sait le Sens. Quel ornement est-ce qu’il orne? – Il arrange le développement du Sens. Avec quoi’? – Avec une voix et des mots sans tache, Une voix sans tache, c’est une voix urbaine, etc.. Des mots sans tache, ce sont des mots bien appliqués, cohérents, etc. Car, sans la vois, sans mots et syllabes, le Sens ne peut pas être développé. Pourquoi? – Pour sauver du malheur... De quoi fait-il l’ornement? – De l’Idéal que le Grand Véhicule prêche et prescrit, c’est-à-dire l’Idéal où est prêchée la règle du Grand Véhicule. Pour qui orne-t-il? Pour les créatures qui vont par le Grand Véhicule. Le locatif sattveṣu est un locatif de Signer... Combien d’espèces d’ornements fait-il? – Cinq espèces, en montrant la quintuple méthode d’atteindre au Sens, qui est inhérente et qui va à l’Insurpassable. “Inhérente” signifie qu’elle est appliquée à cet Idéal. “L’insurpassable” signifie la connaissance que rien ne surpasse. Et maintenant il montre cette quintuple méthode dans le second vers."
a6290142f1b24a5497733aba189d6823,ghaṭitam iva suvarṇaṃ vārijaṃ vā vibuddhaṃ sukṛtam iva subhojyaṃ bhujyamānaṃ kṣudhārtaiḥ |vidita iva sulekho ratnapeṭeva muktā vivṛta iha sa dharmaḥ prītimagryāṃ dadhāti || 2 ||,(23)譬如金成器 譬如花正敷(24)譬如食美膳 譬如解文字(25)譬如開寶篋 是各得歡喜(26)五義法莊嚴 歡喜亦如是,གསེར་ལས་བརྡུངས་བྱས་འདྲ་ཞིང་པདམ་རྒྱས་པ་བཞིན་༎ བཀྲེས ༼༡༣༠ཨ༡༽ པས་ཉེན་པ་གཡོས་ལེགས་ཁ་ཟས་ཟབ་འདྲ་༎ འཕྲིན་ཡིག་ལེགས་པ་ཐོས་འདྲ་རིན་ཆེན་སྒྲོམ་ཕྱེ་ལྟར་༎ ཆོས་དེ་འདིར་བཤད་པ་ཡང་དགའ་བའི་མཆོག་བསྐྱེད་དོ་༎,"2. Comme de l’or travaillé, comme un lotus épanoui, comme un bon plat bien à point et qui on mange de bon appétit, comme une bonne nouvelle qu’on a sue par une lettre, comme une cassette de pierreries ouverte, cet Idéal expliqué ici produit une joie extrême."
17314f8665de40ffbb100259dbe73885,anena ślokena pañcabhir dṛṣṭāntaiḥ sa hi dharmaḥ pañcavidham artham adhikṛtya deśitaḥ sādhyaṃ vyutpādyaṃ cintyam acintyaṃ pariniṣpannaṃ cādhigamārthaṃ pratyātmavedanīyaṃ bodhipakṣasvabhāvaṃ | so ’nena sūtrālaṃkāreṇa vivṛtaḥ prītim agrāṃ dadhādati | yathākramaṃ ghaṭitasuvarṇādivat | yadā sa dharmaḥ prakṛtyaiva guṇayuktaḥ kathaṃ so ’laṃkriyata ity asya codyasya parihārārthaṃ trtīyaḥ ślokaḥ |,(27)釋曰。此中五譬即譬彼五義莊嚴。如其次第。(28)能令發大心者信向故。受教故。思惟故。修習(29)故。證得故。問其義云何。答金成譬。爲令信向(590c1)轉彼心故。華敷譬。爲令受教開示彼故。食膳(2)譬。爲令思惟得法味故。解文譬。爲令修習更(3)不思故。開篋譬。爲令證得眞實菩提分寶自(4)覺證故。由此五義分別大乘。能令彼人得生(5)愛樂。問若彼法自性功徳具足。何義更須莊(6)嚴爲。答此問。偈曰,ཚིགས་སུ་བཅད་པ་འདིས་ནི་དཔེ་ལྡས་ཆོས་དེའི་དོན་རྣམ་པར་ལྔའི་དབང་དུ་བྱས་ནས་སྟོན་ཏེ་། བསྒྲུབ་པར ༼༢༽ བྱ་བ་དང་། བྱེ་བྲག་ཏུ་ཤེས་པར་བྱ་བ་དནག་། བསམ་པར་བྱ་བ་དང་། བསམ་གྱིས་མི་ཁྱབ་པ་དང་། ཡོངས་སུ་གྲུབ་པ་རྟོགས་པའི་དོན་སོ་སོ་རང་གིས་རིག་པར་བྱ་བ་བྱང་ཆུབ་ཀྱི་ཕྱོགས་དང་མཐུན་པའི་ངོ་བོ་ཉིད་དོ་༎ དེ་མདོ་སྡེའི་རྒྱན་འདིས་རྣམ་པར་འཀྲོལ་ན་གོ་རིམས་བཞིན་དུ་༎ གསེར་ལས་བརྡུངས་བྱས ༼༣༽ པ་ལ་སོགས་པ་ལྟ་བུ་ཡིན་ལ་། མདོ་སྡེའི་རྒྱན་འདིས་རྣམ་པར་ཕྱེ་ན་དགའ་བའི་མཆོག་བསྐྱེད་དོ་༎ གང་གི་ཚེ་ཆོས་དེ་རང་བཞིན་གྱིས་ཡོན་ཏན་དང་ལྡན་པ་ཡིན་ན་༎ ཇི་ལྟར་དེ་བརྒྱན་པར་བྱེད་ཅེས་བྱ་བའི་ཀླན་ཀ་འདི་ཡོངས་སུ་སྤང་བར་བྱ་བའི་ཕྱིར་༎ ཚིགས་སུ་བཅད་པ་གསུམ་པ་སྟེ་།,"Ce vers consiste en cinq comparaisons; en effet l’Idéal est prêché au point de vue d’un quintuple sens : 1° à établir, 2° à dériver, 3° de réflexion, 4° hors réflexion, 7° absolu, le Sens d’Acquis qu’il faut savoir chacun Quant-à-soi, ayant pour Nature-propre les Ailes d’Illumination. Ce Sens, expliqué ici par le Sûtrâlamkâra, produit une joie extrême, comme fait respectivement l’or travaillé, etc. Puisque cet Idéal est naturellement doué d’avantages, comment donc l’orner? Le troisième vers répond à cette objection."
4850fac8e59341dc9712077233b84b07,yathā bimbaṃ bhūṣāprakṛtiguṇavad darpaṇagataṃ viśiṣṭaṃ prāmodyaṃ janayati nṛṇāṃ darśanavaśāt |tathā dharmaḥ soktaprakṛtiguṇayukto ’pi satataṃ vibhaktārthas tuṣṭiṃ janayati viśiṣṭām iha satām || 3 ||,(7)譬如莊美質 臨鏡生勝喜(8)妙法莊嚴已 得喜更第一,༼༤༽ གཟུགས་རྒྱན་རང་བཞིན་ཡོན་ཏན་ལྡན་པ་མེ་ལོང་ནང་སོང་ན་༎ མཐོང་བའི་དབང་གིས་མི་རྣམས་རབ་ཏུ་དགའ་བའི་མཆོག་བསྐྱེད་པ་༎ དེ་བཞིན་ལེགས་གསུངས་རྟག་ཏུ་རང་བཞིན་ཡོན་ཏན་ལྡན་པ་ཡི་༎ ཆོས་ཀྱང་དོན་རྣམས་ཕྱེ་བས་མཁས་རྣམས་འདི་ན་དགའ་མཆོག་བསྐྱེད་༎,"3. Comme un modèle qui vaut par la parure et la nature, s’il est reflété dans un miroir, donne aux gens une satisfaction spéciale par sa seule vue, de même l’Idéal uni à la vertu des belles paroles et de la nature donne continuellement un contentement tout particulier quand le Sens en est analysé."
d7837543b51b433285b91365f41c1b0d,anena kiṃ darśayati | yathā bimbaṃ bhūṣāprakṛtiguṇavad darśaṇagataṃ darśanavaśād viśiṣṭaṃ prāmodyaṃ janayaty evaṃ sa dharmaḥ subhāṣitaiḥ prajkṛtyaiva guṇayukto ’pi satataṃ vibhaktārthas tuṣṭiṃ viśiṣṭāṃ janayati | buddhimatām atas tuṣṭiviśeṣotpādanād alaṃkṛta iva bhavatīti | ataḥ paraṃ tribhiḥ ślokais tasmin dharme trividham upaśaṃsaṃ darśayaty ādarotpādanārthaṃ |,(9)釋曰。譬如美質加莊像。現在於鏡則生勝(10)喜。何以故。爲有悦故。菩薩亦爾。莊嚴妙法(11)義入自心則生勝喜。何以故。爲有問故。問(12)彼法有何功徳須此莊嚴。強欲令他恭敬信(13)受耶。偈曰,འདིས ༼༥༽ ཅི་སྟོན་ཞེ་ན་། དཔེར་ན་གཟུགས་བརྒྱན་དང་རང་བཞིན་ཉིད་ཀྱིས་ཡོན་ཏན་དང་ལྡན་པ་མེ་ལོང་གི་ནང་དུ་སོང་ན་མཐོང་བའི་དབང་གིས་རབ་ཏུ་དགའ་བའི་མཆོག་བསྐྱེད་པ་དེ་བཞིན་དུ་༎ ལེགས་པར་གསུངས་པ་དག་གིས་རྟག་ཏུ་ཡོན་ཏན་དང་ལྡན་པའི་ཆོས་དེ་ཡང་དོན་རྣམ་པར་ཕྱེ་བ་བློ་དང་ལྡན་པ་རྣམས ༼༦༽ ལ་དགའ་བ་ཁྱད་པར་ཅན་བསྐྱེད་དེ་། དེ་བས་ན་དགའ་བའི་ཁྱད་པར་ཅན་བསྐྱེད་པའི་ཕྱིར་བརྒྱན་པ་དང་འདྲ་བར་འགྱུར་རོ་༎ དེའི་འོག་ཏུ་ཚིགས་སུ་བཅད་པ་གསུམ་གྱིས་ཆོས་དེ་ལ་གུས་པ་བསྐྱེད་པའི་ཕྱིར་ཕན་ཡོན་རྣམ་པ་གསུམ་སྟོན་ཏེ་།,"Connue un modèle qui a des vertus par la parure et par la nature, reflété dans lui miroir, produit par sa vue un élan de joie tout particulier, ainsi cet Idéal, qui a tant de vertus par ses belles paroles et sa nature, si le Sens en est assidûment analysé, produit lui contentement tout particulier et devient alors orné en quelque sorte par le fait du contentement qu’il a donné aux bons esprits. Ensuite il montre, en trois vers, trois Avantages dans cet Idéal en vue d’inspirer le respect."
eac2f6940c89462baf2f4a278557f1f7,āghrāyamāṇakaṭukaṃ svādurasaṃ yathāuṣadhaṃ tadvat |dharmarmo dvayavyavasthāstho vyañjanato ’rtho na ca jñeyaḥ || 4 ||,(14)譬如飮藥苦 病差則爲樂(15)住文及解義 苦樂亦如是,ཇི་ལྟར་བསྣམས་ན་རབ་དཀུ་ལ་༎ མྱངས་ན་ཞིམ་པའི ༼༧༽ སྨན་བཞིན་དུ་༎ ཆོས་ཀྱང་དེ་བཞིན་གཉིས་སུ་གནས་༎ དོན་དང་ཡི་གེ་ཤེས་པར་བྱ་༎,"4. Comme un remède âcre à l’odorat et suave au goût, l’Idéal a deux aspects, et le Sens n’en est pas à connaître d’après la lettre."
