id,P000822,P000823,P000824,P000825,P000826
f59eefde6bdb4ab2890b93bdb9a84fb8,buddhacarita,(1a4)1佛所行讃卷第一,༼༡བ༡༽རྒྱ་གར་སྐད་དུ་། བུདདྷ་ཙ་རི་ཏ་མ་ཧའ་ཀའ་བྱ་ནའ་མ་། བོད་སྐད་དུ་། སངས་རྒྱས་ཀྱི་སྤྱོད་པ་ཞེས་བྱ་བའི་སྙན་དངགས་ཆེན་པོ་།,FO-SHO-HING-TSAN-KING. A METRICAL VERSION OF THE LIFE OF BUDDHA BY MA-MENG-PU-SA. (ASVAGHOSHA BODHISATTVA.),The Buddha-Karita of Asvaghosha
f2acb58523e94cc09a130ace4681411f,oṃ namaḥ sarvajñāya ||1,2亦云佛 本行經 (5)3馬鳴菩薩4造 (6)北涼天竺三藏曇無讖譯,སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ ༼༢༽ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ་། །,,
300bad37498745de9e612de184ba1930,,(7)5生品第一,-,KIOUEN I.VARGA 1. THE BIRTH.,Book I. The Birth of the Holy One
42e850e99f56450d894e027ef8de49bd,,,དཔལ་ལྡན་ཡོན་ཏན་ཚོགས་ཀྱིས་གང་། ། བདག་ཉིད་ཆེན་པོ་སེམས་ཅན་གྱི་། །དོན་མཛད་ཡང་དག་སངས་རྒྱས་དང་། ། ཆོས་དང་དགེ་འདུན་ལ་ཕྱག ༼༣༽འཚལ་། །,,
127f1b05237b4658ba1e189aeef16eb1,,(8)甘蔗之苗裔 釋迦無勝王(9)淨財徳純備 6故名曰7淨飯,བུ་རམ་ཤིང་པར་མཐུ་མཉམ་བུ་རམ་ཤིང་བའི་རྒྱུད་། ། ཐུབ་དཀའ་ཤའཀྱ་རྣམས་ལ་སྤྱོད་པ་རྣམ་དག་པ་། །འཕྲོག་བྱེད་ཟླ་བ་ལྟ་བུར་སྐྱེ་དགུ་རྣམས་ལ་སྡུག་། ། རྒྱལ་པོ་ཟས་གཙང ༼༤༽ཞེས་བྱའི་མིང་ཅན་བྱུང་བར་གྱུར་། །,"1. (There was) a descendant of the Ikshvâku (family), an invincible Sâkya monarch, pure in mind (mental gifts) and of unspotted virtue, called therefore ’Pure-rice’ (Suddhodana).","1. There was a king of the unconquerable Śākyas, Śuddhodana by name, of the race of Ikṣvāku and the peer of Ikṣvāku in might. Pure he was in conduct and beloved of his people as the moon in autumn.1"
e93bbf1a823f41a19e526cd0fad20db2,,(10)群生樂瞻仰 猶如初生月(11)王如天帝釋 夫人猶8舍脂,དབང་པོ་དང་མཚུངས་དེ་ཡི་བདག་པོ་ལྡན་མ་ཡིན་། ། ནུས་མཐུ་རྗེས་མཚུངས་གཟི་བརྗིད་ལྷ་མོ་བདེ་སོགས་དང་། །པདམོ་ཅན་འདྲ་ཕུན་སུམ་ཚོགས་པས ༼༥༽བཞིན་བརྟན་། ། སྒྱུ་མ་ཆེན་མོ་ཞེས་བྱ་དཔེ་མེད་སྒྱུ་འདྲ་བྱུང་། །,"2. Joyously reverenced by all men (or, ’beings’), as the new moon (is welcomed by the world), the king indeed (was) like the heaven-ruler Sakra, his queen like (the divine) Sakî.","2. That counterpart of Indra had a queen, a very Śacī, whose splendour corresponded to his might. In beauty like Padmā, in steadfastness like the earth, she was called Mahāmāyā, from her resemblance to the incomparable Māyā."
ef3fce83fe3c46ad8fce1b990ee88fc5,,(12)執志安如地 心淨若蓮花(13)假譬名9摩耶 其實無倫比,མི་སྐྱོང་རྒྱལ་པོ་འདི་ནི་དེ་དང་ཐབས་ཅིག་ཏུ་། ། དགའ་བ་ཉེར་ལྡན་རྣམ་ཐོས་སྲས་ཀྱི་དཔལ་བཞིན་རོལ་། །དེ་ནས་ཡང་དག་ཏིང ༼༢ཨ༡༽འཛིན་ལྡན་པའི་རིག་མ་བཞིན་། ། སྡིག་བྲལ་མ་དེ་མངལ་ནི་རྣམ་པར་གཟུང་བར་གྱུར་། །,"3. Strong and calm of purpose as the earth, pure in mind as the water-lily, her name, figuratively assumed, Mâyâ, she was in truth incapable of class-comparison.","3. This ruler of men, dallying with his queen enjoyed, as it were, the sovereign glory of Vaiśravaṇa. Then without defilement she received the fruit of the womb, just as knowledge united with mental concentration bears fruit."
5632ea64c52943f581bb23e3b134c4dd,,(14)於彼10象天后 降神而處胎(15)母悉離憂患 不生幻僞心,མངལ་དང་ཉེ་བར་ལྡན་པ་ཉིད་ཀྱི་སྔོན་རོལ་དུ་། ། དེ་ནི་གཉིད་སོང་གླང་པོའི་དབང་པོ་དཀར་པོ་ཞིག་། །རང་ཉིད་ལ ༼༢༽ནི་རབ་ཏུ་ཞུགས་སོགས་མཐོང་གྱུར་ལ་། ། དེ་ཡི་མཚན་མ་ཉམ་ཐག་པ་ནས་ཐོབ་མ་ཡིན་། །,"4. On her in likeness as the heavenly queen descended the spirit and entered her womb. A mother, but free from grief or pain, (she was) without any false or illusory mind.","4.Before she conceived, she saw in her sleep a white lord of elephants entering her body, yet she felt thereby no pain."
1e064cafcb1042f093580280060eec9b,,,ལྷ་དང་རབ་ཏུ་མཚུངས་པ་དེ་ཡི་ལྷ་མོ་དེ་། ། མངལ་གྱིས་རིགས་ཀྱི་དཔལ་ནི་རབ་ཏུ་འདྲེན་བྱེད་ཅིང་། །སྒྱུ་མ་ངལ་བ་དང་ནི་མྱ་ངན ༼༣༽སྒྱུ་མེད་པར་། ། གཙང་ལ་ཉོན་མོངས་མེད་པའི་དགོན་པར་བློ་གྲོས་མཛད་། །,,"5. Māyā, the queen of that god-like king, bore in her womb the glory of her race and, being in her purity free from weariness, sorrow and illusion, she set her mind on the sin-free forest."
9dd41677b0824610a3e60b874c2ec213,,(16)厭惡11彼諠俗 樂處空閑林(17)12藍毘尼勝園 流泉花果茂,དེ་ནི་ལུམ་བི་ཞེས་བྱའི་ནགས་མཐར་གྱུར་པའི་ས་། ། སྣ་ཚོགས་ལྗོན་ཤིང་སྣ་ཚོགས་ཤིང་རྟ་མངོན་དགའ་བར་། །བསམ་གཏན་ལ་བཟོད་དབེན ༼༤༽པའི་ནགས་ཀྱི་མཐའ་བཞེད་མ་། ། འགྲོ་བའི་ཆད་དང་གནས་ཕྱིར་མི་སྐྱོང་ལ་ཞུས་སོ་། །,"5. Disliking the clamorous ways of the world, (she remembered) the excellent garden of Lumbinî, a pleasant spot, a quiet forest retreat, (with its) trickling fountains, and blooming flowers and fruits.","6. In her longing for the lonely forest as suited to trance. she asked the king to go and stay in the grove called Lumbinī, which was gay like the garde of Caitraratha with trees of every kind."
13fa436778ba4800ac4db1e46e09e482,,(18)寂靜13順禪思 啓王請遊彼(19)王知其志願 而生奇特想,དེ་ཡི་ཆོས་དང་ལྡན་ལ་འཕགས་པའི་ཞེས་འདོད་དག་། ། རྣམ་པར་ཤེས་ནས་ཡ་མཚན་དགའ་བ་ཡིས་གང་སྟེ་། །ཞི་བའི་གྲོང་ནས་ས ༼༥༽ཡི་བདག་པོ་གཤེགས་གྱུར་ཏེ་། ། དེ་ཡི་དགའ་བའི་རྒྱུ་ཡིན་རྣམ་པར་རྒྱུ་ཕྱིར་མིན་། །,"6. Quiet and peaceful, delighting in meditation, respectfully she asked the king for liberty to roam therein; the king, understanding her earnest desire, was seized with a seldom-felt anxiety (to grant her request).","7. The lord of the earth, full of wonder and joy, recognised that her disposition was noble from her possession of piety, and left the fortunate city, in order to gratify her, not for a pleasure excursion."
15b142a44e2d49959f17bd0ec5fccd77,tasmin vane śrīmati rājapatnī prasūtikālaṃ samavekṣamāṇā |śayyāṃ vitānopahitāṃ prapede nārīsahasrair abhinandyamānā || 1.8 ||,(20)勅内外眷屬 倶詣彼園林(21)爾時摩耶后 自知産時至(22)偃寢安勝床 百千婇女侍,དཔལ་དང་ལྡན་པའི་ནགས་དེར་རྒྱལ་པོའི་བདག་ལྡན་མ་། ། རབ་ཏུ་བལྟམ་པའི་དུས་ནི་ཡང་དག་མངོན་གཟིགས་ཤིང་། །བླ་རེ་ཉེ་བར ༼༢བ༡༽ཕུལ་བའི་གཟིམས་མལ་རབ་ཐོབ་སྟེ་། ། མི་མོ་སྟོང་ཕྲག་དག་གིས་མངོན་པར་དགའ་བར་བྱེད་། །,"7. He commanded his kinsfolk, within and without (the palace), to repair with her to that garden shade; and now the queen Mâyâ knew that her time for child-bearing was come.8. She rested calmly on a beautiful couch, (surrounded by) a hundred thousand female attendants;","8. In that glorious grove the queen perceived that the time of her delivery was at hand and, amidst the welcome of thousands of waiting-women, proceeded to a couch overspread with an awning."
d3bbbff5119b48bf86c524daab2815db,tataḥ prasannaś ca babhūva puṣyas tasyāś ca devyā vratasaṃskṛtāyāḥ |pārśvāt suto lokahitāya jajñe nirvedanaṃ caiva nirāmayaṃ ca || 1.9 ||2,(23)14時四月八日 15清和氣調適(24)齋戒修淨徳 菩薩右脇生(25)大悲救世間 不令母苦惱,དེ་ནས་སྐར་མ་རྒྱལ་རབ་ལྡན་པར་གྱུར་པའི་ཚེ་། ། བརྟུལ་ཞུགས་ལེགས་པར་འདུས་བྱས་ལྷ་མོ་དེ་ཡི་ནི་། །རྩིབ་ལོགས་དག་ནས་འཇིག་རྟེན་ཕན་ཕྱིར་སྲས་བལྟམས་ཏེ་། ། ཚོར ༼༢༽བ་དང་ནི་བྲལ་ཞིང་ནད་དང་བྲལ་བ་ཉིད་། །,"(it was) the eighth day of the fourth moon, a season of serene and agreeable character.9. Whilst she (thus) religiously observed the rules of a pure discipline, Bodhisattva was born from her right side, (come) to deliver the world, constrained by great pity, without causing his mother pain or anguish.","25. At that time the constellation Pushya was auspicious, and from the side of the queen, who was purified by her vow, her son was born for the welfare of the world, without pain and without illness.2"
7e66125d2ce74da3940ee0433c29f870,prātaḥ payodād iva tigmabhānuḥ samudbhavan so ’pi ca matṛkukṣeḥ |sphuran mayūkhair vihatāndhakāraiś cakāra lokaṃ kanakāvadātam  || 1.26 ||3,,-,,"26. Like the sun bursting from a cloud in the morning,--so he too, when he was born from his mother’s womb, made the world bright like gold, bursting forth with his rays which dispelled the darkness."
19a475e1dd2e418a9ebaa8621ad976d1,taṃ jātamātram atha kāñcanayūpagauraṃ prītaḥ sahasranayaṇaḥ śanakair gṛhṇāt |mandārapuṣpanikaraiḥ saha tasya mūrdhni khān nirmale ca vinipetatur ambudhāre  || 1.27 ||4,,-,,"27. As soon as he was born the thousand-eyed (Indra) well-pleased took him gently, bright like a golden pillar; and two pure streams of water fell down from heaven upon his head with piles of Mandâra flowers."
