id,P000852,P000853,P000854,P000855
df12002925e740b5a1769bbc3246cd5f,རྒྱ་གར་སྐད་དུ།་མ་དྷྱཱ་མ་ཀ་ཨ་བ་ཏཱ་ར་ནཱ་མ།་བོད་སྐད་དུ།་དབུ་མ་ལ་འཇུག་པ་ཞེས་བྱ་བ།,In the Indian language: madhyamakāvatāranāmaIn Tibetan: dbu ma la 'jug pa zhes bya baIn English: Entering the Middle Way,རྒྱ་གར་སྐད་དུ།་མཱ་དྷྱཱ་མ་ཀ་ཨ་བ་ཏཱ་ར་བྷཱ་ཥྱ་ནཱ་མ།་བོད་སྐད་དུ།་།དབུ་མ་ལ་འཇུག་པའི་བཤད་པ་ཞེས་བྱ་བ།,Chandrakirti’s Auto-Commentary to Entering the Middle WayIn the language of India: Madhyamaka-avatārabhāṣyanāmaIn the language of Tibet: Dbu ma la ’jug pa’i bshad pa zhes bya baIn English: Commentary to Entering the Middle Way
efc4da2c91794409b86a7a07e32cafc3,འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་ལ་ཕྱག་འཆལ་ལོ།་།,Homage to the youthful Mañjuśrī.,འཕགས་པ་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་ལ་ཕྱག་འཚལ་ལོ།་།,Homage to the noble youthful Mañjuśrī.
962342dc1b234f0f97eeabaa3e56d36d,-,The First Ground: Joyous,-,The First Ground: Joyous
8a6b05efad3948c69d24a33428a804e7,ཉན་ཐོས་སངས་རྒྱས་འབྲིང་རྣམས་ཐུབ་དབང་སྐྱེས།་།སངས་རྒྱས་བྱང་ཆུབ་སེམས་དཔའ་ལས་འཁྲུངས་ཤིང།་།སྙིང་རྗེའི་སེམས་དང་གཉིས་སུ་མེད་བློ་དང།་།བྱང་ཆུབ་སེམས་ནི་རྒྱལ་སྲས་རྣམས་ཀྱི་རྒྱུ།་།,"From mighty sages hearers and half-buddhas come,While buddhas from the bodhisattvas are conceived.Compassion, non-duality, awakening mind –These are what serve as causes of the victor’s heirs. (1.1)",དབུ་མའི་བསྟན་བཅོས་ལ་འཇུག་པར་བྱ་བའི་ཕྱིར།་དབུ་མ་ལ་འཇུག་པ་རྩོམ་པར་འདོད་པས།་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་པས་ཀྱང་ཐོག་མར།་བཅོམ་ལྡན་འདས་སྙིང་རྗེ་ཆེན་པོ་སངས་རྒྱས་ཉིད་ཀྱི་རྒྱུ་ཕུན་སུམ་ཚོགས་པ་དང་པོ།་སེམས་ཅན་འཁོར་བའི་བཙོན་རར་བསྡམས་པ་སྐྱབས་མེད་པ་དཔག་ཏུ་མེད་པ་མ་ལུས་པ་ཡོངས་སུ་སྐྱོབ་པའི་མཚན་ཉིད་ཅན་ལ་བསྟོད་པར་འོས་པ་ཉིད་དུ་བསྟན་པའི་ཕྱིར།་ཉན་ཐོས་སངས་རྒྱས་འབྲིང་རྣམས་ཐུབ་དབང་སྐྱེས།་།་སངས་རྒྱས་བྱང་ཆུབ་སེམས་དཔའ་ལས་འཁྲུངས་ཤིང།་།་སྙིང་རྗེའི་སེམས་དང་གཉིས་སུ་མེད་བློ་དང།་།་བྱང་ཆུབ་སེམས་ནི་རྒྱལ་སྲས་རྣམས་ཀྱི་རྒྱུ།་།་ཞེས་བྱ་བ་ལ་སོགས་པ་ཚིགས་སུ་བཅད་པ་གཉིས་སྨོས་སོ།་།,"With the aim to compose an introduction (avatāra) to the Middle Way (madhyamaka) that may help one access (avatāra) the Middle Way Treatise, it seemed appropriate to present at first a praise to the illustrious lady Great Compassion, the perfect cause of buddhahood and characterised by being the complete protection for all the untold numbers of defenceless sentient beings without exception trapped in the prison of cyclic existence, even before praising the true and complete buddhas and the bodhisattvas. Hence, I expressed two stanzas, this and the following one: From mighty sages hearers and half-buddhas come,While buddhas from the bodhisattvas are conceived.Compassion, non-duality, awakening mind –These are what serve as causes of the victor’s heirs. (1.1)"
17cba6ad4b3449c5834717582d63ba7c,-,,དེ་ལ་གོང་ན་མེད་པའི་ཆོས་ཀྱི་དབང་ཕྱུག་ཕུན་སུམ་ཚོགས་པ་མངའ་བས།་ཉན་ཐོས་དང་རང་སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་པས་ཀྱང་དབང་ཕྱུག་དམ་པ་ཕུན་སུམ་ཚོགས་པ་ཉིད་དང།་ཉན་ཐོས་ལ་སོགས་པ་རྣམས་དེའི་བཀས་མངའ་བསྒྱུར་བའི་ཕྱིར།་སངས་རྒྱས་བཅོམ་ལྡན་འདས་རྣམས་ལ་ཐུབ་དབང་ཞེས་བྱའོ།་།དེ་རྣམས་ལས་ཉན་ཐོས་ལ་སོགས་པ་དག་སྐྱེས་པ་ནི་དེ་དག་ལས་བསྐྲུན་པའོ།་།ཇི་ལྟར་ཞེ་ན།་སངས་རྒྱས་རྣམས་བྱུང་བར་གྱུར་པ་ན་རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་བ་ཕྱིན་ཅི་མ་ལོག་པ་སྟོན་པ་ལ་འཇུག་པའི་ཕྱིར་ལ།་དེ་ཉན་པ་དང་སེམས་པ་དང་སྒོམ་པའི་རིམ་པ་ལས་ཀྱང་ལྷག་པར་མོས་པ་ཇི་ལྟ་བ་བཞིན་ཉན་ཐོས་ལ་སོགས་པ་རྣམས་ཡོངས་སུ་རྫོགས་པར་འགྱུར་བའི་ཕྱིར་རོ།་།,"The illustrious buddhas are here termed mighty sages (munīndra) because they possess perfect mastery as unsurpassed lords of Dharma, are also perfect supreme lords over the hearers, solitary buddhas and bodhisattvas, and because the hearers and so forth are governed by their command. From them the hearers and so forth come, meaning that they are born from them. How so? Due to the fact that, when buddhas appear and teach the unmistaken ways of dependent origination, they engage with that teaching through the stages of learning, contemplation and meditation, and according to their particular propensities will then actualise the final complete result of the hearers and so forth."
34290d798bbf481bac3931e0badacdd4,-,,གལ་ཏེ་ཡང་ཁ་ཅིག་གིས་རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་བ་ཉེ་བར་བསྟན་པ་ཉན་པ་ཁོ་ན་ལས་དོན་དམ་པ་རྟོགས་པ་ལ་མཁས་སུ་ཟིན་ཀྱང་མཐོང་བའི་སྐྱེ་བ་ཁོ་ན་ལ་མྱ་ངན་ལས་འདས་པ་ཐོབ་པར་མི་འགྱུར་མོད་ཀྱི།་དེ་ལྟ་ན་ཡང་ཉེ་བར་སྟོན་པའི་སྒྲུབ་པ་པོ་དག་གིས་ལས་རྣམ་པར་སྨིན་པར་ངེས་པའི་འབྲས་བུ་ལྟར་ཚེ་རབས་གཞན་དུ་མངོན་པར་འདོད་པའི་འབྲས་བུ་ཡོངས་སུ་སྨིན་པ་གོར་མ་ཆག་ཐོབ་པར་འགྱུར་རོ།་།ཇི་སྐད་དུ་འཕགས་པ་ལྷས།་དེ་ཉིད་ཤེས་པས་གལ་ཏེ་འདིར།་།མྱ་ངན་འདས་པ་མ་ཐོབ་ཀྱང།་།སྐྱེ་བ་གཞན་དུ་འབད་མེད་པར།་།ངེས་པར་ཐོབ་འགྱུར་ལས་བཞིན་ནོ།་།ཞེས་བཤད་དོ།་།དེ་ཉིད་ཀྱི་ཕྱིར་དབུ་མ་ལས་ཀྱང་རྫོགས་སངས་རྒྱས་རྣམས་མ་བྱུང་ཞིང།་།ཉན་ཐོས་རྣམས་ཀྱང་ཟད་པ་ན།་།རང་སངས་རྒྱས་ཀྱི་ཡེ་ཤེས་ནི།་།རྟེན་པ་མེད་པར་རབ་ཏུ་འབྱུང།་།ཞེས་གསུངས་སོ།་།,"For some it may be that, although they do become erudite, realising the ultimate truth through just listening to the teachings on interdependent origination, they do not attain transcendence in their present existence. Although this might be the case, those who practice what is taught will without doubt attain it in a future lifetime when the result of their yearning ripens, in the same way that the ripening of karma will definitely come to fruition. As Āryadeva states: When reality is understood, though hereThey may not reach transcendence, They will certainly attain it effortlesslyIn another lifetime, just as with karma.1 That is also why the Middle Way Treatise states: When the complete buddhas do not appearAnd the hearers as well are no more,The wisdom of the solitary buddhasWill be actualised independently.2"
52e16111171d4569b541d58ab3b531ed,-,,དེ་ལ་ཡང་དག་པའི་གདམས་ངག་གི་འབྲས་བུ་ཐོབ་པར་བྱེད་པས་ན་ཉན་ཐོས་དག་སྟེ།་འདི་ལྟར་བྱ་བ་བྱས་སོ།་།འདི་ལས་སྲིད་པ་གཞན་མི་ཤེས་སོ་ཞེས་བྱ་བ་ལ་སོགས་པ་འབྱུང་བ་ཡིན་ནོ།་།ཡང་ན་འབྲས་བུའི་མཆོག་གམ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཀྱི་ལམ་དེ་བཞིན་གཤེགས་པ་རྣམས་ལས་ཐོས་ནས་དེ་དོན་དུ་གཉེར་བ་རྣམས་ལ་སྒྲོགས་པར་བྱེད་པས་ན་ཉན་ཐོས་དག་སྟེ།་དམ་པའི་ཆོས་པདྨ་དཀར་པོའི་མདོ་ལས།་མགོན་པོ་དེ་རིང་བདག་ཅག་ཉན་ཐོས་གྱུར།་།བྱང་ཆུབ་དམ་པ་ཡང་དག་བསྒྲགས་པར་བགྱི།་།བྱང་ཆུབ་པ་ཡི་སྒྲ་ཡང་རབ་ཏུ་བརྗོད།་།དེ་བས་བདག་ཅག་ཉན་ཐོས་མི་ཟད་འདྲ༡།་།ཞེས་ཇི་སྐད་གསུངས་པ་ལྟ་བུའོ།་།བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱང་དེ་ལྟ་ཡིན་མོད་ཀྱི།་དེ་ལྟ་ན་ཡང་སྒྲོགས་པར་བྱེད་པ་ཉིད་ཡིན་གྱི་རྗེས་སུ་མཐུན་པ་ཙམ་ཡང་མི་སྒྲུབ་པ་གང་ཡིན་པ་དེ་དག་ཉན་ཐོས་ཡིན་པས་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ལ་ཐལ་བར་མི་འགྱུར་རོ།་།,"They are called hearers (śrāvaka) because they facilitate attainment of the result of the instructions: ‘It has been completed. After this I will not know another existence.’ Alternatively, they are hearers because they hear (śrutvā) about the supreme result or the path of unsurpassed true and complete awakening from the tathāgatas, and then proclaim (śrāvaṇatva) it to those who aspire to it. Just as the White Lotus of Sacred Dharma Sutra states: Protector, today we have become hearers,And will now proclaim supreme awakening.We will clarify the awakening statements.Thus we are like the formidable hearers.3 Although bodhisattvas also fit this description, the hearers proclaim it without actually practicing in accord with it, which is not the case for bodhisattvas."
d76d0f032a8e4f2084790f4c0b1199fc,-,,སངས་རྒྱས་ཀྱི་སྒྲ་འདི་སངས་རྒྱས་ཀྱི་དེ་ཉིད་ཉན་ཐོས་དང་རང་སངས་རྒྱས་དང་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་གསུམ་ཅར་ལ་ཡང་འཇུག་སྟེ།་དེས་ན་སངས་རྒྱས་ཀྱི་སྒྲས་རང་སངས་རྒྱས་དག་བསྙད་དོ།་།དེ་དག་ནི་བསོད་ནམས་དང་ཡེ་ཤེས་གོང་དུ་འཕེལ་བའི་ཁྱད་པར་གྱིས་ཉན་ཐོས་རྣམས་ལས་ཁྱད་པར་དུ་འཕགས་པའི་ཕྱིར་དང།་བསོད་ནམས་དང་ཡེ་ཤེས་ཀྱི་ཚོགས་དང་ཐུགས་རྗེ་ཆེན་པོ་དང།་རྣམ་པ་ཐམས་ཅད་མཁྱེན་པ་ལ་སོགས་པ་མེད་པས་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རྣམས་པས་དམན་པའི་ཕྱིར་ན་འབྲིང་ངོ།་།དེ་ཉིད་ཀྱི་ཕྱིར་དེ་དག་ནི་ཉེ་བར་མ་བསྟན་པར་ཡེ་ཤེས་འབྱུང་ཞིང་བདག་ཉིད་གཅིག་པུའི་ཕྱིར་རང་ཉིད་སངས་རྒྱས་པས་རང་སངས་རྒྱས་སོ།་།ཇི་སྐད་བཤད་པའི་ཚུལ་གྱིས་ཉན་ཐོས་དང་རང་སངས་རྒྱས་དེ་དག་ནི་དེ་བཞིན་གཤེགས་པས་ཆོས་བསྟན་པ་ལས་ངེས་པར་བྱུང་བ་ཉིད་ཀྱི་ཕྱིར་ཐུབ་དབང་ལས་སྐྱེས་སོ།་།,"The term buddha, awakened to reality, applies to all three: hearers, solitary buddhas and unsurpassed true and complete buddhas. Hence, the term buddha is here used to refer to solitary buddhas. These surpass the hearers due to their comparatively excellent development of merit and wisdom, but are inferior to the true and complete buddhas as they lack their accumulation of merit and wisdom, great compassion, two types of omniscience and so on. Hence, they are half-. They are solitary buddhas (pratyekabuddha) since they develop wisdom without being taught and gain awakening solely for themselves. As has been explained, the hearers and solitary buddhas are from mighty sages … come, in the sense that they originate from the tathāgatas teaching the Dharma."
a1ca2e18e6e840d6949c987bf0155dd7,-,,ཡང་ཐུབ་པའི་དབང་པོ་དེ་རྣམས་གང་ལས་བལྟམས་ཤེ་ན།་སངས་རྒྱས་བྱང་ཆུབ་སེམས་དཔའ་ལས་འཁྲུངས་ཤིང།་།ཞེས་བྱ་བ་སྨོས་སོ།་།གལ་ཏེ་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱང་དེ་བཞིན་གཤེགས་པས་ཉེ་བར་བསྟན་པ་ལས་སྐྱེས་པར་གྱུར་བས་རྒྱལ་པའི་སྲས་ཞེས་བརྗོད་པ་མ་ཡིན་ནམ།་དེའི་ཕྱིར་ཇི་ལྟར་སངས་རྒྱས་བཅོམ་ལྡན་འདས་རྣམས་བྱང་ཆུབ་སེམས་དཔའ་ལས་འཁྲུངས་ཤེ་ན།་འདི་ནི་བདེན་མོད་ཀྱི་འོན་ཀྱང་རྒྱུ་གཉིས་ཀྱིས་བྱང་ཆུབ་སེམས་དཔའ་དག་སངས་རྒྱས་བཅོམ་ལྡན་འདས་རྣམས་ཀྱི་རྒྱུར་འགྱུར་ཏེ།་གནས་སྐབས་ཀྱི་ཁྱད་པར་དང།་ཡང་དག་པར་འཛིན་དུ་འཇུག་པ་ལས་སོ།་།,"From where then, are the mighty sages born? As stated, while buddhas from the bodhisattvas are conceived. But aren’t the bodhisattvas described as children of the victor because they too are born from the teachings of the tathāgatas? Why then is it said that that the illustrious buddhas are born from bodhisattvas? That is indeed true. Still, there are two reasons why the bodhisattvas are considered the cause for the illustrious buddhas: because they are the particular circumstance and because they inspire the adoption."
c5a3deb035d34486ac6dded49e295d70,-,,དེ་ལ་གནས་སྐབས་ཀྱི་ཁྱད་པར་ལས་ནི་དེ་བཞིན་གཤེགས་པའི་གནས་སྐབས་ནི་བྱང་ཆུབ་སེམས་དཔའི་གནས་སྐབས་ཀྱི་རྒྱུ་ཅན་ཡིན་པ་ཉིད་ཀྱི་ཕྱིར་རོ།་།ཡང་དག་པར་འཛིན་དུ་འཇུག་པ་ལས་ནི་ཇི་ལྟར་འཕགས་པ་འཇམ་དཔལ་བྱང་ཆུབ་སེམས་དཔར་གྱུར་པ་ཉིད་ཀྱིས་བཅོམ་ལྡན་འདས་ཤཱཀྱ་ཐུབ་པ་དང།་དེ་ལས་གཞན་པའི་དེ་བཞིན་གཤེགས་པ་རྣམས་ཆེས་ཐོག་མ་ཁོ་ནར་བྱང་ཆུབ་ཀྱི་སེམས་ཡང་དག་པར་འཛིན་དུ་བཅུག་པར་འདོད་པ་ཡིན་ནོ།་།དེའི་ཕྱིར་དེ་ལྟར་འབྲས་བུ་མཐར་ཐུག་པ་དེའི་རྒྱུ་གཙོ་བོར་གྱུར་པ་ལ་ལྟོས་ནས་དེ་བཞིན་གཤེགས་པ་རྣམས་བྱང་ཆུབ་སེམས་དཔའ་ལས་འཁྲུངས་པར་བསྟན་ཏོ།་།,"That they are the particular circumstance means that that which acts as the cause for the circumstance of being a tathāgata is the circumstance of being a bodhisattva. That they inspire the adoption refers to the case of noble Mañjuśrī who as a bodhisattva was the very first to inspire the illustrious Śākyamuni and the other tathāgatas to adopt the mind of awakening. Being thus regarded as the principal cause that enabled the final result, it is taught that the tathāgatas are born from the bodhisattvas."
