id,P000863,P000864,P000865
3d4cc3257f874c6d96796f863ec50c91,dhammapada,(559a4) 法句經卷上,The Dhammpada
9443915a7ed8406da7ee046da163c599,"suttantapiṭake, khuddakanikāyo dutiyo gantho, dhammapadapāḷinamo tassa bhagavato arahato sammāsambuddhassa.",(5) 尊者法救撰 (6) 呉天竺沙門維祇難等譯,
d3886b4bb6f14b649cea243b5ed81bd9,1. yamakavaggo.,(562a10) 雙要品法句經第九二十有二章 (11) 雙要品者。兩兩相明善惡有對。擧義不 (12) 單,Chapter I: The Twin-Verses
655ee60d58c146cd90e4304ff1fa5a2d,1 (1.1)  manopubbaṅgamā dhammā manoseṭṭhā manomayāmanasā ce paduṭṭhena bhāsati vā karoti vātato naṃ dukkhamanveti cakkaṃ’va vahato padaṃ.,(13) 心爲法本 心尊心使 中心念惡(14) 即言即行 罪苦自追 車轢于轍,"1 All that we are is the result of what we have thought: it is founded on our thoughts, it is made up of our thoughts. If a man speaks or acts with an evil thought, pain follows him, as the wheel follows the foot of the ox that draws the carriage."
4745ad93d2e346a5ac0040d6025f4483,2 (1.2)  manopubbaṅgamā dhammā manoseṭṭhā manomayāmanasā ce pasannena bhāsati vā karoti vātato naṃ sukhamanveti chāyā’va anapāyinī.,(15) 心爲法本 心尊心使 中心念善(16) 即言即行 福樂自追 如影隨形((17) 隨亂意行 拘愚入冥自大無法 (18) 何解善言隨正意行 開解清明(19) 不爲妬嫉 敏達善言,"2 All that we are is the result of what we have thought: it is founded on our thoughts, it is made up of our thoughts. If a man speaks or acts with a pure thought, happiness follows him, like a shadow that never leaves him."
ba537f918e3242dbaca27417086bd822,3 (1.3)  akkocchi maṃ avadhi maṃ ajini maṃ ahāsi meye taṃ upanayhanti veraṃ tesaṃ na sammati.,,"3 ""He abused me, he beat me, he defeated me, he robbed me,""--in those who harbour such thoughts hatred will never cease."
b16cc8bca6f1425294544c11366fa951,4 (1.4)  akkocchi maṃ avadhi maṃ ajini maṃ ahāsi meye taṃ na upanayhanti veraṃ tesūpasammati.,,"4 ""He abused me, he beat me, he defeated me, he robbed me,""--in those who do not harbour such thoughts hatred will cease."
735c661b1fc446bfb755f61670cdd432,5 (1.5)  na hi verena verāni sammantīdha kudācanaṃaverena ca sammanti esa dhammo sanantano.,慍於怨者 (20) 未甞無怨不愠自除 是道可宗,"5 For hatred does not cease by hatred at any time: hatred ceases by love, this is an old rule."
fb781b465b824d728d8dfd76b56e99c2,6 (1.6)  pare ca na vijānanti mayamettha yamāmaseye ca tattha vijānanti tato sammanti medhagā.,(21) 不好責彼 務自省身如有知此 (22) 永滅無患,"6 The world does not know that we must all come to an end here;--but those who know it, their quarrels cease at once."
6107f5d1aa8c4459aff5d75ce4250ad4,7 (1.7)  subhānupassiṃ viharantaṃ indriyesu asaṃvutaṃbhojanambhi amattaññuṃ kusītaṃ hīnavīriyaṃtaṃ ve pasahati māro vāto rukkhaṃ’va dubbalaṃ.,行見身淨 不攝諸根 (23) 飮食不節慢墮怯弱 爲邪所制 (24) 如風靡草,"7 He who lives looking for pleasures only, his senses uncontrolled, immoderate in his food, idle, and weak, Mara (the tempter) will certainly overthrow him, as the wind throws down a weak tree."
91fb6d5e5bf949e98ab0d16cf68a0db9,8 (1.8)  asubhānupassiṃ viharantaṃ indriyesu susaṃvutaṃbhojanambhi ca mattaññuṃ saddhaṃ āraddhavīriyaṃtaṃ ve nappasahati māro vāto selaṃ’va pabbataṃ.,觀身不淨 能攝諸根 (25) 食知節度常樂精進 不爲邪動 (26) 如風大山,"8 He who lives without looking for pleasures, his senses well controlled, moderate in his food, faithful and strong, him Mara will certainly not overthrow, any more than the wind throws down a rocky mountain."
3a8626e3fcbd4fdda56e1a872f94936d,9 (1.9)  anikkasāvo kāsāvaṃ yo vatthaṃ paridahessatiapeto damasaccena na so kāsāvamarahati.,不吐毒態 欲心馳騁(27) 未能自調 不應法衣,"9 He who wishes to put on the yellow dress without having cleansed himself from sin, who disregards temperance and truth, is unworthy of the yellow dress."
436e91e1f39a4642bdd83c5d70c60574,10 (1.10)  yo ca vantakasāvassa sīlesu susamāhitoupeto damasaccena sa ve kāsāvamarahati.,能吐毒態 (28) 戒意安靜降心已調 此應法衣,"10 But he who has cleansed himself from sin, is well grounded in all virtues, and regards also temperance and truth, he is indeed worthy of the yellow dress."
7ec9c56ce5db49a2af7cc62bfde65a7f,11 (1.11)  asāre sāramatino sāre cāsāradassinote sāraṃ nādhigacchanti micchāsaṃkappagocarā.,(29) 以眞爲僞 以僞爲眞是爲邪計 (562b1) 不得眞利,"11 They who imagine truth in untruth, and see untruth in truth, never arrive at truth, but follow vain desires."
c6b889f19c5f4d41a512de6bcfdb3f0c,12 (1.12)  sārañca sārato ñatvā asārañca asāratote sāraṃ adhigacchanti sammāsaṃkappagocarā.,知眞爲眞 見僞知僞(2) 是爲正計 必得眞利,"12 They who know truth in truth, and untruth in untruth, arrive at truth, and follow true desires."
c6aa267407874d1d84c8d7276e42c1f7,13 (1.13)  yathāgāraṃ ducchannaṃ vuṭṭhi samativijjhatievaṃ abhāvitaṃ cittaṃ rāgo samativijjhati.,蓋屋不密 (3) 天雨則漏意不惟行 淫泆爲穿,"13 As rain breaks through an ill-thatched house, passion will break through an unreflecting mind."
094bb7c9a4d94dbd8892c4d6515e8a49,14 (1.14)  yathāgāraṃ succhannaṃ vuṭṭhi na samativijjhatievaṃ subhāvitaṃ cittaṃ rāgo na samativijjhati.,(4) 蓋屋善密 雨則不漏攝意惟行 (5) 淫泆不生(鄙夫染人 如近臭物(6) 漸迷習非 不覺成惡賢夫染人 (7) 如近香熏進智習善 行成潔芳),"14 As rain does not break through a well-thatched house, passion will not break through a well-reflecting mind."
48c9cff04e2a44a4a2cf970ede4b754c,15 (1.15)  idha socati pecca socati pāpakārī ubhayattha socatiso socati so vihaññati disvā kamma kiliṭṭhamattano.,(8) 造憂後憂 行惡兩憂彼憂惟懼 (9) 見罪心懅,"15 The evil-doer mourns in this world, and he mourns in the next; he mourns in both. He mourns and suffers when he sees the evil of his own work."
86d7939dea134b5f911364c26b3506a4,16 (1.16)  idha modati pecca modati katapuñño ubhayattha modatiso modati so pamodati disvā kamma visuddhimattano.,造喜後喜 行善兩喜(10) 彼喜惟歡 見福心安,"16 The virtuous man delights in this world, and he delights in the next; he delights in both. He delights and rejoices, when he sees the purity of his own work."
620406e4ab384cd9a7909c49b9a66ac6,17 (1.17)  idha tappati pecca tappati pāpakārī ubhayattha tappatipāpaṃ me katanti tappati bhiyyo tappati duggatiṃ gato.,今悔後悔 (11) 爲惡兩悔厥爲自殃 受罪熱惱,"17 The evil-doer suffers in this world, and he suffers in the next; he suffers in both. He suffers when he thinks of the evil he has done; he suffers more when going on the evil path."
fe8f2c279aae490b921aa9d62360e030,18 (1.18)  idha nandati pecca nandati pāpakārī ubhayattha nandatipāpaṃ me katanti nandati bhiyyo nandati suggatiṃ gato.,(12) 今歡後歡 爲善兩歡厥爲自祐 (13) 受福悦豫,"18 The virtuous man is happy in this world, and he is happy in the next; he is happy in both. He is happy when he thinks of the good he has done; he is still more happy when going on the good path."
072e4cc8d01645f68a1c4377fec3266f,19 (1.19)  bahumpi ce sahitaṃ bhāsamānona takkaro hoti naro pamattogopo’va gāvo gaṇayaṃ paresaṃna bhāgavā sāmaññassa hoti.,巧言多求 放蕩無戒 (14) 懷婬怒癡不惟止觀 聚如群牛 (15) 非佛弟子,"19 The thoughtless man, even if he can recite a large portion (of the law), but is not a doer of it, has no share in the priesthood, but is like a cowherd counting the cows of others."
1d5e0121158b40c29fa1c5c656db1fbf,20 (1.20)  appampi ce sahitaṃ bhāsamānodhammassa hoti anudhammacārīrāgañca dosañca pahāya mohaṃsammappajāno suvimuttacittoanupādiyāno idha vā huraṃ vāsa bhāgavā sāmaññassa hoti.,時言少求 行道如法 (16) 除婬怒癡覺正意解 見對不起 (17) 是佛弟子,"20 The follower of the law, even if he can recite only a small portion (of the law), but, having forsaken passion and hatred and foolishness, possesses true knowledge and serenity of mind, he, caring for nothing in this world or that to come, has indeed a share in the priesthood."
0933e53a1f20476eabbd8bfc7fc6a240,yamakavaggo paṭhamo.,,
a904becb748f49d38e45becaea826f4d,2. appamādavaggo.,(18) 放逸品法句經第十有二十章 (19) 放逸品者。引律戒情。防邪撿失以道勸 (20) 賢,Chapter II: On Earnestness
9c496f3299934c72a2139932ab1ede67,21 (2.1)  appamādo amatapadaṃ pamādo maccuno padaṃappamattā na mīyanti ye pamattā yathā matā.,(21) 戒爲甘露道 放逸爲死徑(22) 不貪則不死 失道爲自喪,"21 Earnestness is the path of immortality (Nirvana), thoughtlessness the path of death. Those who are in earnest do not die, those who are thoughtless are as if dead already."
157601fc64844130b7cd4632437a5a20,22 (2.2)  etaṃ visesato ñatvā appamādamhi paṇḍitāappamāde pamodanti ariyānaṃ gocare ratā.,(23) 慧智守道勝 終不爲放逸(24) 不貪致歡喜 從是得道樂,"22 Those who are advanced in earnestness, having understood this clearly, delight in earnestness, and rejoice in the knowledge of the Ariyas (the elect)."
24c5609fe5b54685acb1274ea4fb0b49,23 (2.3)  te jhāyino sātatikā niccaṃ daḷhaparakkamāphusanti dhīrā nibbāṇaṃ yogakkhemaṃ anuttaraṃ.,(25) 常當惟念道 自強守正行(26) 健者得度世 吉祥無有上,"23 These wise people, meditative, steady, always possessed of strong powers, attain to Nirvana, the highest happiness."
dee3b6a6ada6459aa172cbd3d63a4d16,24 (2.4)  uṭṭhānavato satimato sucikammassa nisammakārinosaññatassa ca dhammajīvino appamattassa yaso’bhivaḍḍhati.,(27) 正念常興起 行淨惡易滅(28) 自制以法壽 不犯善名増,"24 If an earnest person has roused himself, if he is not forgetful, if his deeds are pure, if he acts with consideration, if he restrains himself, and lives according to law,--then his glory will increase."
cfce8d290985487da6872ee09c690352,25 (2.5)  uṭṭhānenappamādena saññamena damena cadīpaṃ kayirātha medhāvī yaṃ ogho nābhikīrati.,(29) 發行不放逸 約以自調心(562c1) 慧能作定明 不返冥淵中,"25 By rousing himself, by earnestness, by restraint and control, the wise man may make for himself an island which no flood can overwhelm."
53dfb401c15d4b928bf6706304579110,26 (2.6)  pamādamanuyuñjanti bālā dummedhino janāappamādañca medhāvi dhanaṃ seṭṭhaṃ’va rakkhati.,(2) 愚人意難解 貪亂好諍訟(3) 上智常重愼 護斯爲寶尊,"26 Fools follow after vanity, men of evil wisdom. The wise man keeps earnestness as his best jewel."
5931626ae1404f978c7d4fb8c2fb231d,27 (2.7)  mā pamādamanuyuñjetha mā kāmarati santhavaṃappamatto hi jhāyanto pappoti vipulaṃ sukhaṃ.,(4) 莫貪莫好諍 亦莫嗜欲樂(5) 思心不放逸 可以獲大安,"27 Follow not after vanity, nor after the enjoyment of love and lust! He who is earnest and meditative, obtains ample joy."
31c11aabad504f53b796053c9ab22c3b,28 (2.8)  pamādaṃ appamādena yadā nudati paṇḍitopaññāpāsādamāruyha asoko sokiniṃ pajaṃpabbataṭṭho’va bhummaṭṭhe dhīro bāle avekkhati.,(6) 放逸如自禁 能却之爲賢 (7) 已昇智慧閣去危爲即安 (8) 明智觀於愚 譬如山與地,"28 When the learned man drives away vanity by earnestness, he, the wise, climbing the terraced heights of wisdom, looks down upon the fools, serene he looks upon the toiling crowd, as one that stands on a mountain looks down upon them that stand upon the plain."
