id,P000882,P000883,P000884
b2c5f19cf56744c68b34ca32efe67bc4,佛典漢語語法,Lexical comparanda,Grammar of Buddhist Chinese
92ddd66909ce4295b022d8544c19ff05,遍 biàn,遍 biàn:,pref: 遍知 aparijānann (義);
4fde456ea78e4a929231734e2cbbe475,當 dāng,"當 dāng: bear, accept, undertake; just; one should CTP",grdv: 當發露 āviṣkartavyā (義); 當説 vaktavyā (真)(玄);fut: 我當說 pravakṣyāmi (真); pravakṣyāmi 我當說者 (玄); 當説 upapādayiṣyāmaḥ (真); 當辯 upapādayiṣyāmaḥ(玄);
52e01f9ee6814b4d9e9bae03e5e8cda1,復 fù,復 fù:,indec: 復 punar (義); 若復苾芻 yaḥ punar bhikṣur (義);
46d2dc5280a3404c98204a008dd19552,今 jīn,今 jīn:,indec: 今 tatra (義); 今 etad (義);
0de009cb7f314d3bbef49bba07be673a,共 gòng,共 gòng:,pref: 共住 saṃvāsaṃ bhogaṃ (義)；
da207bd26fde4221b2ef74b075a3351b,故 gù,"故 gù: 故 ancient, old; reason, because CTP","inst: 默然故 tūṣṇīṃbhāvena (義);abl: 是故 tasmāt (義); 默然故 yasmāt tūṣṇīm (義); 續故 santateḥ (真,玄);ger: 故心 saṃcintya (義);"
67bf9ff0af314cdbbe0c104f0698350a,何 hé,何 hé:,abl: 何以故。義不相(26)應故 arthāyogāt (真);
ae2dcfe68eb44916b9dafef6aa7963f9,和 hé,和 hé:,pref: 和攝 saṃgraha (真)
46f5f62947b44d8d91712c1438f9609d,令 lìng,"令 lìng: command, order; 'commandant', magistrate; allow, cause CTP",caus: 勸令更食 khādanīyabhojanīyenātyarthaṃ pravārayet (義)
c09025d807254fe5a6e2aebc37aa2ba9,乃至 nǎi zhì,乃至 nǎi zhì:,indec: 乃至三問 yāvat trir apy (義); 乃至共傍生 antatas tiryagyonigatayāpi sārdhaṃ
7a63cfef0823464793073fe925d4ffe0,如 rú,如 rú:,indec: 如 yathāpi (義); 如…亦如是; 如前後亦如是 yathā pūrvaṃ tathā paścāt(義); 如是 evam (義);
8da8bd3b8aad4865ad089786a40d32d0,若 ruò (see also 若…者),"若 ruò (see also 若…者): if, supposing, assuming; similar CTP","rel. pron: 若復苾芻與諸苾芻同得學處。不捨學處。學羸不自説作不淨行。兩交會法。乃至共傍生。此苾芻亦得波羅市迦不應共住 yaḥ punar bhikṣur bhikṣūṇāṃ śikṣāsājīvasamāpannaḥ śikṣām apratyākhyāya śikṣādaurbalyam anāviṣkṛtyābrahmacaryaṃ maithunaṃ dharmaṃ pratisevate antatas tiryagyonigatayāpi sārdhaṃ, ayam api bhikṣuḥ pārājiko bhavaty asaṃvāsyaḥ (義);若復苾芻。若在聚落。若空閑處。他不與物以盜心取。如是盜時。若王若大臣。若捉若殺。若縛驅擯。若呵責言。咄男子。汝是賊癡無所知。作如是盜。如是盜者。此苾芻亦得波羅市迦不應共住。yaḥ punar bhikṣur grāmagatam araṇyagataṃ vā pareṣāṃ adattaṃ steyasaṃkhyātam ādadīta yadrūpeṇādattādānena rājā vainaṃ gṛhītvā rājamātro vā hanyād vā saṃbadhnīyād vā pravāsayed vā evaṃ cainaṃ vadet* -- tvaṃ bhoḥ puruṣa cauro ’si  bālo ’si mūḍho ’si steyo ’sīty evaṃrūpaṃ bhikṣur adattaṃ ādadānaḥ ayam api bhikṣuḥ pārājayiko bhavaty asaṃvāsyaḥ (義);indec: 若在欲界初靜慮中有尋有伺 anyatra vitarkavicārābhyāṃ kāmadhātau prathame ca dhyāne savitarkāḥ savicārāḥ (玄); 若人在此身中 atha yatra kāye sthitaś (真);pres.part.pass: 若於五陰中説三無爲 skandheṣūcyamānaṃ (真);"
fa79d22e16354f4985da64ef2664f96d,若…若 ruò...ruò,若…若 ruò...ruò:,conj: 若王若大臣。若捉若殺。若縛驅擯 rājā vainaṃ gṛhītvā rājamātro vā hanyād vā saṃbadhnīyād vā pravāsayed vā(義);
6a60b224e3af43f6b8e0ccccdd333839,若…者 ruò…zhě (see also 若),若…者 ruò…zhě (see also 若):,cond: 若僧伽時至聽者 sacet (義);rel.pron: 若有犯者 yasya syāt āpattiḥ (義); 若造諸罪者 yena (護);若苾芻憶知有犯不發露者 yaḥ (義);indec: 如夫妻者  yathāpi tāṃ yuvā yuvatiṃ (義);opt: 若過受者 tata uttari pratigṛhṇīyuḥ (義);
0061c16acbe448b19cba2a8b0cf2d2cf,隨 suí,"隨 suí: follow, listen to, submit; to accompany; subsequently, then CTP",inst: 隨自心念 cintānumataiś cittasaṃkalpair (義);pref:隨從 tasyānuvṛtti (義); pref: 隨煩惱 upakleśaḥ (玄);
dedfb9c9304d4e508b24310c666ce3a9,是 shì,"是 shì: indeed, yes, right; to be; demonstrative pronoun, this, that CTP",indec: 是中 atra (義);dem.pron: 是故 tasmāt (義);
8ca776d2400a4b528f6a39fcd89370a3,屬 shǔ,"屬 shǔ: class, category, type; to belong to CTP",gen: 煩惱則無屬 kleśā na kasyacit (什); 所屬 kasyacit (什);
582de3bcb507454a84f3e36b7e8f9ed7,所 suǒ,"所 suǒ: place, location; numerary adjunct CTP",perf.part.pass: 十染所逼迫 daśasaṃkleśapīḍitaḥ (玄); 慳垢所染汚 saṃkliṣṭāḥ (玄); 癡暗法所覆 tamaskandhena onaddhā (玄); 蘊蓋所蔽障 āvṛtanīvatanīvaraṇebhiḥ (玄); 謂所餘諸色 pariśiṣṭaṃ rūpāyatanam (真); 謂所餘色 pariśiṣṭaṃ rūpāyatanam (玄); 所住 sthita (玄);rel.pron.: yat tad āryā ācakṣate upekṣakaḥ 眾聖所說 (玄); 所謂菩薩成就神通智業圓滿 yad abhijñājñānakarmaṇaḥ paripūriḥ (玄); rel: 何者諸法是所簡擇 為令他簡擇彼法 佛世尊說阿毘達磨 katame punas te dharmā yeṣāṃ pravicayārtham abhidharmopadeśa ity āha (真)(玄);
5250b346f1784b72af03f5af15eabf3c,爲 wéi,"爲 wéi: do, handle, govern, act; be CTP",inst: 世爲三火燒 tribhir agnibhir dahyati lokaṃ (玄); āvṛtanīvatanīvaraṇebhiḥ 乃爲諸障所障覆(玄);
182b8fb4d91d48cdaf36d2263cab0bb8,爲 wèi,"爲 wèi: do, handle, govern, act; be CTP",dat: 爲摧憍慢幢 mānadhvajapātanatāyai (玄);
0193b48936d34b239b49da5e3a3ac614,已 yǐ,已 yǐ: already; finished; stop CTP,ger: 行諸惡業已 pāpaṃ karma karitvāna yena gacchanti durgatim* (玄); 受得已 pratigṛhya (義);perf.part.pass: 已説 uddiṣṭaṃ (義);
a8aa62f6114c4496ac863df9b5c25667,以 yǐ,"以 yǐ: by means of; thereby, therefore; consider as; in order to CTP",inst: 以餘言說 anekaparyāyeṇa (義); 以染纒心 avalavipariṇatena cittena (義)；
cc836e065311420797b9eb48ce80d3e9,亦 yì,亦 yì:,conj: 亦應如實答 apy anuśrāvaṇaṃ bhavati (義);
89155ef33fe44c259d792dbb5161a9d8,異 yì,異 yì:,pref: 異熟 vipāka (玄);
9cba5a3d4e4a480f9a12e2c6277038b2,因 yīn,"因 yīn: cause, reason; by; because (of) CTP",dat: 何法名為彼所簡擇因此傳佛說對法耶 katame punas te dharmā yeṣāṃ pravicayārtham abhidharmopadeśa ity āha (final dativ by -artham) (玄);
07d1cc4aa2a041d881559171e226f467,應 yīng,"應 yīng: should, ought to, must",opt: 應許 anujānīyāt (義);grdv: 不應共住 asaṃvāsyaḥ (義); 應…受 pratigrahītavyāḥ(義); 應共分 saṃvibhaktavyā (義);
827046b4a50f48bd97ea7c6b353dd827,由 yóu,"由 yóu: cause, reason; from CTP",inst: 由眼見色 cakṣuṣā rūpāṇi paśyati (真); 三種由身起 kāyena trividhaṃ pāpaṃ (玄);abl: 由 yasmād  (真) (玄);
23d185387f4c4214a8e430b6c02c46b0,於 yú,"於 yú: in, at, on; interjection alas! CTP",acc: 誹謗於甚深佛所説妙法 pratikṣipanti saddharmaṃ gambhīraṃ jinabhāṣitam (玄);loc: 於此勝苾芻衆中 bhikṣuparṣadi (義); 於欲界 kāmadhātau (真); loc. pl: 於父母師長 mātāpitṛṣu jyeṣṭheṣu  (玄);inst: 於異時 pareṇa samayena (義);gen: (partitive) 苾芻於此隨犯一一事 yeṣāṃ bhikṣur anyatamānyatamam āpattim adhyāpatya(義);
fb6fa354b1f34c5ca9dd31272925d60c,於…中 yú zhōng,於…中 yú zhōng:,loc: 於修道中 bhāvanāmārge (玄); 於五陰中 skandheṣu (真); 於身中 asmin śarīre (真)(玄);
cb15cfb5129b49a0be837a7c61e4cd54,與 yǔ,"與 yǔ: and; with; to; for; give, grant CTP",indec:不得與諸苾芻共住 na labhate bhikṣubhiḥ sārdhaṃ saṃvāsaṃ bhogaṃ vā (義); 與女人身相觸 mātṛgrāmeṇa  sārdhaṃ kāyasaṃsargaṃ  (義);
55017072c545485d8afaf8788f55eeaf,圓 yuán,圓 yuán:,pref.: 圓滿 paripūriḥ (玄); 圓滿清淨 pariśuddhaḥ (玄)；
698e6a0e9d9c4da594670816a6571c1b,在 zài,"在 zài: be at, in, on; consist in, rest CTP",loc: 在處界 dhātuṣv āyataneṣu (玄); 在自地 svabhūmike (真); 在修道 bhāvanāmārge (真);indec: 在此在彼 ihāmutreti (真);nom.ag: 或在身或在心地 kāyikī caitasikī (真);
7bbf60a0b58d4b0183396e7752af2309,在…中 zài zhōng,在…中 zài zhōng:,loc: 在欲界初靜慮中 kāmadhātau prathame ca dhyāne (真); 人在此身中 yatra kāye sthitaś (真); 在色等蘊中 skandheṣu (玄);
f4fbdead14ba4aacbb92e488912e886c,雜 zá,雜 zá:,pref: 十雜染逼迫 daśasaṃkleśapīḍitaḥ (護);
94706c8f838c41d88c705c4b45e8438e,增上 zēng shàng,增上 zēng shàng:,pref: 增上慢 abhimānāt (義)；
58d5da68c18145bf9bd259de00a1d188,者 zhě,者 zhě: that which; he who; those who CTP,nom.ag: 名惡行者 pāpakāriṇaḥ (玄); 無心者 acittaka (玄);indec: 自性者次第 svabhāvas tu yathākramaṃ (玄);
42032d52660341cbb68aa7b6db69e8b3,正 zhèng,正 zhèng:,pref: 正等淨 saṃprasādāc (玄); 正知 saṃprajānaḥ（玄）
ac3b6cdbf0d84e53b36a63ee33f7740d,之 zhī,"之 zhī: it, him her, them; go to CTP",dem: 解說之 (’bhidharmakośaṃ) vaktum ādriyata iti (真); 如汝所欲。我亦許之。 yathecchasi tathā ’stu (真);gen: 心心所法生之 cittacaittānāṃ (玄); 心之細性 cittasūkṣmatā (真); 色之自性 rūpasya svabhāva iti (玄); 栴檀之香 candanasya gandhādayaḥ (玄); 彼法及心之生等相 ye jātyādayaś cittasya ca (玄);
57b3484cc1ec49ff82fd4d88d7a957fe,中 zhōng,"中 zhōng: central; center, middle; in the midst of; hit (target); attain CTP",loc: 人中追求爲大苦 paryeṣṭidukhaṃ manujeṣu
1734ef3649804f31be8baca48382d0d6,諸 zhū,"諸 zhū: several, various",pl: 諸法 te dharmā (真);
2e74009f6ed8443cb5833d7c745e52be,性 xìng,"性 xìng: nature, character, sex CTP",abs: 心之細性 cittasūkṣmatā (真);
