id,P000907,P000908,P000909
88973fd9d7e04054b53d0ae65d22190f,piṇḍoddānam* ||tīrthikāḥ kapphiṇa āvāsobhikṣupeyālapaścimam* ||,༼༡༣༡ཨ༤༽ གསོ་སྐྱོང་གི་གཞིའི་སྡོམ་ལ་།མུ་སྟེགས་ཅན་དང་ཀ་བི་ན་༎གནས་དང་རྒྱལ་པོ་སྦྱར་བ་མང་༎,"ཅོནཏེནཙ་ཕོ༹ར་ཐེ་ཝཧོལེ་Vཨསྟུ་ཋིས་Vཨསྟུ་དེསཅྲིབེས་ཐེ་ཨིནཏྲོདུཅཏིཨོན་ཨོཕ༹་ཐེ་པོṣཨདྷཅེལེབྲཏིཨོན,་ཨནད་ཐེ་རུལེས་ཕོ༹ར་ཨིཏ་Oནཅེ,་ཝཧེན་སོམ་ལཡ་ཕོ༹ལློཝེརས་ཕ༹ྲོམ་ཪཱཇགṛཧ་ཝེནཏ་ཏོ་ཐེ་བུདདྷ་ཏོ་པཡ་ཧིམ་རེསྤེཅཏ,་སོམ་ཊīརཐིཀས་ཅམེ་བཡ་ཋེ་ལཡ་ཕོ༹ལློཝེརས་ཨོཕ༹་ཐེ་བུདདྷ་ཧེཨརད་ཐེམ་སཡ་ཐཏ་ཐེ་པོṣཨདྷ་ཝས་ཨོནལཡ་སོམེཐིང་ཕོ༹ར་ཐེམ,་ཨནད་ཐཏ་ཐེ་Śཨཱཀྱ་མོནཀས་དིད་ནོཏ་ཧབེ༹་སུཆ་ཨ་རིཏུཨལ་ཅེལེབྲཏིཨོན་ཋེརེཕོ༹རེ་ཐེ་ལཡ་ཕོ༹ལློཝེརས་ཨསྐེད་ཐེ་བུདདྷ་ཏོ་ཨེསྟབླིཤ་སུཆ་ཨལསོ་ཨིན་ཧིས་སṃགྷ་ཋེ་བུདདྷ་ཨཅཅེཔཏེད་ཐེ་རེqཨུཨེསཏ,་ཨནད་མདེ་ཐེ་རུལེས་པངླུང་པ ༡༢."
5331abb069fd4a6798d6075315eaac61,|| uddānam* ||tīrthikāḥ poṣadham āhuḥkiṃ na poṣadhaḥ kriyate visaṃkete na niṣīdanti kutrapoṣadham uddiśet* || ||,སྡོམ་ལ་།མུ་སྟེགས་ཅན་དང་གསོལ་བ་དང་༎གནང་བ་དང་ནི་འདུག་པ་དང་༎བབ ༼༥༽ ཅོལ་སྤོང་དང་ཞལ་ཏ་དང་༎བྱ་དང་གསོ་སྤྱོང་གནས་རྣམས་སོ་༎,ཅོནཏེནཙ་ཕོ༹ར་ཐེ་ཕི༹རསཏ་པརཏ
1df5a69289a84800a5dd419ac83c85f8,bhagavān rājagṛhe viharati veṇuvane kalandakanivāpe |,སངས་རྒྱས་བཅོམ་ལྡན་འདས་རྒྱལ་པོའི་ཁབ་ན་འོད་མའི་ཚལ་ཀ་ལན་དཀའི་གནས་ན་བཞུགས་སོ་༎,"ཋེ་ལཡ་ཅོམམུནིཏཡ་ཨསཀ་ནིṣཨདྱཱ,་ཀྲིཡཱ་ཨནད་པོṣཨདྷ་ཏོ་བེ་ཨིནཏྲོདུཅེད"
3e5fd0ae08c64af2bee5dcbcad19c739,tena khalu samayena saṃbahulā rājagṛhīyakā upāsakā divādivaṃ evodyuktā abhūvan bhagavantaṃ darśanāyopasaṃkramituṃ paryupāsanāyai |,དེའི་ཚེ་ན་རྒྱལ་པོའི་ཁབ་ཀྱི་དགེ་བསྙེན་རབ་ཏུ་མང་པོ་དག་ནང་པར་ནང་བར་ཞིང་བཅོམ་ལྡན་འདས་ལ ༼༦༽ བལྟབ་དང་། བསྙེན་བཀུར་བྱ་བའི་ཕྱིར་འགྲོ་བར་བརྩོན་པར་གྱུར་ཏོ་༎,.
33241573332e486aa1aa3b7a7a9a72ef,atha saṃbahulānāṃ rājagṛhīyakānām upāsakānām etad abhavat* atiprātas tāvad asmākaṃ bhagavantaṃ darśanāyopasaṃkramituṃ paryupāsanāyai | pratisaṃlīno bhagavān pratisaṃlīnāś ca manobhāvanīyāś ca bhikṣavo yan nu vayaṃ yenānyatīrthikaparivrājakānām ārāmas tenopasaṃkramema |,དེ་ནས་རྒྱལ་པོའི་ཁབ་ཀྱི་དགེ་བསྙེན་རབ་ཏུ་མང་པོ་དག་འདི་སྙམ་དུ་སེམས་ཏེ་། དེ་ལྟར་བཅོམ་ལྡན་འདས་ཀྱང་ནང་དུ་ཡང་དག་པར་འཇོག་པར་མཛད་ལ་། དགེ་སློང་ཡིད་དུ་འཐད་པ་རྣམས་ཀྱང་ནང་དུ་ཡང ༼༧༽ དག་འཇོག་པར་བྱེད་པས་བདག་ཅག་རེ་ཞིག་བཅོམ་ལྡན་འདས་ལ་བལྟ་བ་དང་བསྙེན་བཀུར་བྱ་བའི་ཕྱིར་འདོང་བ་སྔས་ཀྱིས་། བདག་ཅག་གཞན་མུ་སྟེགས་ཅན་ཀུན་དུ་རྒྱུ་དག་གི་ཀུན་དགའ་ར་བ་ག་ལ་དེར་དོང་ངོ་ལྷམ་མོ,.
eb070036c663405da8f2b14e49147365,atha saṃbahulā rājagṛhīyakā upāsakā yenānyatīrthikaparivrājakānām ārāmas tenopasaṃkrāntā upasaṃkramyānyatīrthikaparivrājakais sārdhaṃ saṃmukhaṃ saṃmodanīṃ saṃrañjanīṃ vividhāṃ kathāṃ vyatisāryaikānte niṣaṇṇāḥ |,དེ་ནས་རྒྱལ་པོའི་ཁབ་ཀྱི་དགེ་བསྙེན་རབ་ཏུ་མང་པོ་དག་གཞན ༼༡༣༡བ༡༽ མུ་སྟེགས་ཅན་ཀུན་དུ་རྒྱུ་དག་གི་ཀུན་དགའ་རབ་ག་ལ་བ་དེར་དོང་སྟེ་ཕྱིན་ནས་གཞན་མུ་སྟེགས་ཅན་ཀུན་དུ་རྒྱུ་དག་དང་ལྷན་ཅིག་མངོན་དུ་ཡང་དག་པར་དགའ་བར་འགྱུར་བ་དང་། ཡང་དག་པར་མགུ་བར་འགྱུར་བའི་གཏམ་སྣ་ཚོགས་བྱས་ཏེ་མཐའ་གཅིག་ཏུ་འཁོད་དོ་༎ ༼༢༽,.
8dbcc44a4d8b4d47afd5bc0ed53707db,athānyatamas tīrthyas tīrthyān idam avocat* kin nu bhavanto ’smākam eva niṣadyā kriyā poṣadhaś ca prajñāyate āhosvic chramaṇānām api śākyaputrīyāṇāṃ |,དེ་ནས་མུ་སྟེགས་ཅན་ཞིག་གིས་མུ་སྟེགས་ཅན་དག་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ་༎ ཤེས་ལྡན་དག་བདག་ཅག་འབའ་ཞིག་ལ་འདུག་པ་དང་བྱ་བ་དང་གསོ་སྤྱོད་ཡོད་དམ་། འོན་ཏེ་ཤཱཀྱ་འི་བུའི་དགེ་སྦྱོང་དག་ལ་ཡང་ཡོད་།,.
206208383f544df0aa036461e1e5c87f,athānyatamas tīrthyas tīrthyān idam avocat* asmākam eva bhavanto niṣadyā kriyā poṣadhaś ca prajñāyate na tv eva śramaṇānāṃ śākyaputrīyāṇāṃ |,དེ་ནས་མུ་སྟེགས་ཅན་ཞིག་གིས་མུ་སྟེགས་ཅན ༼༣༽ དག་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ་༎ ཤེས་ལྡན་དག་བདག་ཅག་འབའ་ཞིག་ལ་འདུག་པ་དད་བྱ་བ་དང་གསོ་སྦྱོང་ཡོད་ཀྱི་། ཤཱཀྱ་འི་བུའི་དགེ་སྦྱོང་དག་ལ་ནི་མེད་དོ་༎,.
52bcfea3a0ec4e63834b488540ba3c23,atha saṃbahulā rājagṛhīyakā upāsakāḥ saṃbahulānām anyatīrthikaparivrājakānāṃ bhāṣitaṃ nābhinandanti na pratikrośanti anabhinandyāpratikrośya utthāyāsanebhyaḥ prakrāntāḥ |,དེ་ནས་རྒྱལ་པོའི་ཁབ་ཀྱི་དགེ་བསྙེན་རབ་ཏུ་མང་པོ་དག་གཞན་མུ་སྟེགས་ཅན་ཀུན་དུ་རྒྱུ་དག་གིས་སྨྲས་པ་ལ ༼༤༽ མངོན་པར་བསྟོད་པར་ཡང་མི་བྱེད་། ཕྱིར་ལྡོག་པར་ཡང་མི་བྱེད་ཅིང་མངོན་པར་བསྟོད་པ་ཡང་མ་བྱས་། ཕྱིར་བཟློག་པར་ཡང་མ་བྱས་པར་སྟན་དག་ལས་ལངས་ནས,.
711545ee75734b14a7233f67d0614b48,te yena bhagavāṃs tenopasaṃkrāntāḥ upasaṃkramya bhagavataḥ pādau śirasā vanditvaikānte niṣaṇṇāḥ | ekāntaniṣaṇṇā rājagṛhīyakā upāsakā yāvān evaiṣām abhūt saṃbahulair anyatīrthikaparivrājakais sārdham antarākathāsamudāhāras tat sarvaṃ bhagavato vistareṇārocayanti |,བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་སོང་སྟེ་ཕྱིན་ནས་། བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་གཉིས་ལ་མགོ་བོས ༼༥༽ ཕྱག་འཚལ་ཏེ་མཐའ་གཅིག་ཏུ་འཁོད་དོ་༎ མཐའ་གཅིག་ཏུ་འཁོད་ནས་རྒྱལ་པོའི་ཁབ་ཀྱི་དགེ་བསྙེན་རབ་ཏུ་མང་པོ་དག་གིས་གཞན་མུ་སྟེགས་ཅན་ཀུན་དུ་རྒྱུ་དག་དང་ལྷན་ཅིག་བར་སྐབས་སུ་གཏམ་ཅི་བརྗོད་པ་དེ་ཐམས་ཅད་བཅོམ་ལྡན་འདས་ལ་རྒྱས་པར་གསོལ་ནས ༼༦༽ འདི་སྐད་ཅེས་ཀྱང་གསོལ་ཏོ་༎,.
