id,P000918,P000919,P000920,P000921
5df61faca1e64c31a6ac84494f62c53c,' uddānam |pañcabhir upasaṃpadā śayanāsana + + + |+ + + + + + + + + ||,༼༢༥༡བ༣༽ ཀོ་ལྤགས་ཀྱི་གཞིའི་སྡོམ་ལ་།ལྔས་ནི་བསྙེན་པར་རྫོགས་པ་དང་༎གནས་མལ་ཆེ་དང་བེའུ་དང་ནི་༎བཞོན་པ་ཁྲུས་དང་བ་ལང་འཇུག་༎༼༤༽ ཤིང་ལྷ་མ་རི་མོ་ཅན་མིན་ནོ་༎,(1048c4) 根本説一切有部毘奈耶皮革事(5)卷上(6)　大唐三藏義淨奉　制譯,ཅརྨབ༹སཏūདདཱན
54c41ed27c2e4404855e720c55120e17,buddho1 bhagavāñ chrāvastyāṃ viharati sma jetavane ’nāthapiṇḍadasyārāme |,སངས་རྒྱས་བཅོམ་ལྡན་འདས་རྒྱལ་བུ་རྒྱལ་བྱེད་ཀྱི་ཚལ་མགོན་མེད་ཟས་སྦྱིན་གྱི་ཀུན་དགའ་རབ་ན་བཞུགས་སོ་༎,(7)爾時薄伽梵在室羅筏城逝多林給孤獨園。,.
2bbceba19b5f4e2495d2c2239ecf6420,tasmin samaye ’śmakanagarāntake vāsavagrāmake balaseno nāma gṛhapatiḥ prativasaty āḍhyo mahādhano mahābhoge vistīrṇaviśālaparigraho vaiśravaṇadhanapratispardhī | tena sadṛśāt kulāt kalatram ānītam* | sa tayā sārdhaṃ krīḍati ramate paricārayati |,དེའི་ཚེ་རྡོ་ཅན་ཞེས་བྱ་བའི་ཡུལ་གྱི་མཐའ་ན་གནས་པ་ཞེས་བྱ་བའི་གྲོང་ན་ཁྱིམ་བདག་སྟོབས་ཀྱི་སྡེ་ཞེས་བྱ་བ་ཕྱུག་པ་། ༼༥༽ ནོར་མང་ག་། ལོངས་སྤྱོད་ཆེ་བ་། ཡོངས་སུ་བཟུང་བ་ཡངས་ཤིང་རྒྱ་ཆེ་བ་། རྣམ་ཐོས་ཀྱི་བུའི་ནོར་དང་ལྡན་པ་། རྣམ་ཐོས་ཀྱི་བུ་ལ་ནོར་གྱིས་འགྲན་པ་ཞིག་འདུག་སྟེ་། དེས་རིགས་མཉམ་པ་ལས་ཆུང་མ་བླངས་ནས་། དེ་དེ་དང་ལྷན་ཅིག་རྩེ་བར་བྱེད་། དགའ་བར་བྱེད་། ༼༦༽ དགའ་མགུར་སྤྱོད་པར་བྱེད་དོ་༎,(8)時婆索迦聚落。彼有長者。名曰力軍。財如毘(9)沙門天王。娶妻經久。,"ཀོṭཨིཀརྣ,་ཐེ་སོན་ཨོཕ༹་བཱལསེན,་ཝས་བོརན་ཝིཐ་ཨན་ཨེཨརྲིང་ཨོཕ༹་ཨིནཅྲེདིབླེ་བ༹ལུཨེ་Oནཅེ,་ཨས་ཧེ་ཏྲབེ༹ལླེད་ཨཅྲོསས་ཐེ་སེཨ་ཨས་ཨ་ཏྲདེར,་ཧེ་ལོསཏ་ཨལལ་ཧིས་ཕ༹ྲིཨེནདས་ཨོན་ཧིས་ཝཡ་བཅཀ,་ཨནད་ཨལལ་ཨལོནེ་ཧེ་ཏྲབེ༹ལས་ཐྲོཨུགྷ་ཐེ་པྲེཏ་ཝོརལད་ཨནད་སོམེ་ཨོཕ༹་ཐེ་ལོཝེསཏ་Hཨེལལས་ཋེ་ཨིནམཏེས་ཨོཕ༹་Hཨེལལ་གབེ༹་ཧིམ་མེསསགེས་ཕོ༹ར་ཐེཨིར་དེསཅེནདནཙ,་ཨནད་ཝིཐ་ཐེ་ཧེལཔ་ཨོཕ༹་ཐེ་སུཔེརྣཏུརལ་པོཝེར་ཨོཕ༹་ཨ་པྲེཏ་ཧེ་མནགེས་ཏོ་གོ་ཧོམེ་ཨིན་ཧིས་སླེཨེཔ་ཋེན་ཧེ་ཝེནཏ་ཏོ་མཧཱཀཱཏྱཱཡན་ཨནད་རེqཨུཨེསྟེད་ཏོ་བེ་ཨཅཅེཔཏེད་ཨིནཏོ་ཐེ་སṃགྷ,་བུཏ་མཧཱཀཱཏྱཱཡན་རེམིནདེད་ཧིམ་ཐཏ་ཧེ་ཧད་ཏོ་བྲིང་ཧིས་མེསསགེས་ཕི༹རསཏ་ཋེན,་ཨཕ༹ཏེར་ཐེ་དེཨཐ་ཨོཕ༹་ཧིས་པརེནཙ,་ཧེ་ཝས་ཨཅཅེཔཏེད་ཨིནཏོ་ཐེ་སṃགྷ་བཡ་མཧཱཀཱཏྱཱཡན་Hཨེ་ཐེན་ཝེནཏ་ཏོ་སེཨེ་ཐེ་བུདདྷ,་ཨནད,་ཨོན་ཐེ་མཧཱཀཱཏྱཱཡནའས་རེqཨུཨེསཏ,་ཐཏ་ཧེ་ཧད་དིཕ༹ཕི༹ཅུལྟིཨེས་ཨིན་ཕི༹ནདིང་ཏེན་མོནཀས་ཨིན་པེརིཕེརལ་པླཅེས་ཕོ༹ར་ཐེ་པུརཔོསེ་ཨོཕ༹་ཨོརྡིནཏིཨོན་ཋེན་ཐེ་བུདདྷ་དེཅིདེད་ཐཏ་ཕི༹བེ༹་མོནཀས་ཕོ༹ར་ཨོརྡིནཏིཨོན་ཝས་ཨེནོཨུགྷ་ཀོṭཨིཀརྣ་ཕུ༹རཐེར་རེལཏེ་ཐཏ་ཨིན་པེརིཕེརལ་པླཅེས་ཨིཏ་ཝས་ཅུསྟོམརཡ་ཏོ་ཨུསེ་ལེཨཐེར་ཨནད་སྐིནས,་ཨནད་ཐིས་ཝས་ཨལསོ་ཨལློཝེད་བཡ་ཐེ་བུདདྷ་ཋེ་ཅོནཅེཔཏ ༼ཨཤམཱཔརཱནཏཀོ་ཇནཔདḥ༽ “པེརིཕེརལ་པླཅེ”་ཝས་དེཕི༹ནེད་པངླུང་པ ༡༥."
c8f8da145a734ac59db9cb86e5f45ed1,tasya krīḍato ramamāṇasya paricārayato na putro na duhitā | so ’putraḥ putrābhinandī śivavaruṇakuberaśakrabrahmādīn āyācate | ārāmadevatāṃ vanadevatāṃ śṛṅgāṭakadevatāṃ balipratigrāhikāṃ devatāṃ sahajāṃ sahadharmikāṃ nityānubaddhām api devatām āyācate |,དེ་རྩེ་བར་བྱེད་། དགའ་བར་བྱེད་། དགའ་མགུར་སྤྱོད་པར་བྱེད་ཀྱང་བུ་ཕོ་ཡང་མེད་། བུ་མོ་ཡང་མེད་ནས་། ལག་པ་འགྲམ་པ་ལ་གཏད་དེ་སེམས་ཁོང་དུ་ཆུད་ཅིང་བདག་ལ་བུ་ཕོ་ཡང་མེད་། བུ་མོ་ཡང་མེད་པས་ནོར་རྫས་འདི་རྙེད་བདག་གིས ༼༧༽ ཁྱིམ་དུ་བསགས་ཀྱང་། བདག་ཤི་ནས་བདེག་པ་ཐམས་ཅད་བདག་ལ་བུ་མེད་དོ་ཞེས་ནས་རྒྱལ་པོས་དབང་བྱས་པར་འགྱུར་རོ་སྙམ་དུ་སེམས་ཁོང་དུ་ཆུད་ཅིང་འདུག་གོ་༎ དེའི་མཛར་གཤེས་དང་ཉེ་དུ་དང་གཉེན་རྣམས་ཀྱིས་སྨྲས་པ་། ཁྱོད་ཅིའི་ཕྱིར་སེམས་ཁོང་དུ་ཆུང ༼༢༥༢ཨ༡༽ ལྷ་ལ་གསོལ་བ་བྱོས་ཤིག་ཁྱོད་ལ་བུ་ཡོད་པར་འགྱུར་རོ་༎ དེས་བསམས་པ་། ལེགས་པ་ཞིག་སྨྲས་ཀྱིས་། མ་ལ་བདག་གིས་བུའི་ཕྱིར་ལྷ་རྣམས་སོ་ལ་གསོལ་བ་བྱའི་སྙམ་ནས་བུ་མེད་པ་དེ་བུ་མངོ་ན་པར་འདོད་པའི་ཕྱིར་ཞི་བ་དང་། ཆུ་ལྷ་དང་། ལུས་ངན ༼༢༽ དང་། བརྒྱ་བྱིན་དང་། ཚངས་པ་ལ་སོགས་པ་ལྷ་རྣམས་ལ་ཡང་གསོལ་བ་བྱེད་དེ་། འདི་ལྟ་སྟེ་ཀུན་དགའ་ར་བའི་ལྷ་དང་། ནགས་ཚལ་གྱི་ལྷ་དང་། བཞི་མདོའི་ལྷ་དང་། སུམ་མདོའི་ལྷ་དང་། གཏོར་མ་ལེན་པའི་ལྷ་དང་། ལྷ་ན་ཅིག་སྐྱེས་པ་དང་། ཆོས་མཐུན་པ་དང་། ༼༣༽ རྟག་པར་རྗེས་སུ་འབྲང་བའི་ལྷ་ལ་ཡང་གསོལ་བ་འདེབས་སོ་༎,一無子息。便生愁念。我(10)今大富。多有珍財了無子息。一朝身死。以無 (11)後嗣。財物沒官。親識知聞。咸來慰問。何故如(12)斯愁惱而住。答曰。我無男女。恐身死後財物(13)入官。是故憂耳。諸親報曰。應可祈請神祇。當(14)得男女。即便答曰。若如是者。我當求請。爲求(15)子故。即便祈請大自在天。四大海神毘沙門(16)天。帝釋梵王。諸天神等。悉皆祈請求其男女。(17)諸園林神。曠野等神。四衢道神。受祭神。同生(18)神。同法神。常隨神等。悉皆求之。,.
dd084a2134c0499288feaf49ead56426,asti caiṣa lokapravādo yadāyācanahetoḥ putrā jāyante duhitaraś ceti | tac ca naivam* | yady evam abhaviṣyad ekaikasya putrasahasram abhaviṣyat tadyathā rājñaś cakravartinaḥ |,འཇི་རྟེན་ན་གང་དག་གསོལ་བ་འདེབས་པའི་རྒྱུ་ལས་བུ་ཕོ་དང་བུ་མོ་སྐྱེ་བར་འགྱུར་བའི་གཏམ་དེ་ལྟ་བུ་གྲག་སྟེ་། དེ་ནི་དེ་ལྟ་མ་ཡིན་ཏེ་། གལ་ཏེ་དེ་ལྟར་འགྱུར་དུ་ཟིན་ན་རེ་རར་ལ་ཡང་འདི་ལྟ་སྟེ་། དཔེར་ན་འཁོར ༼༤༽ ལོས་རྒྱུར་བའི་རྒྱལ་པོ་བཞིན་དུ་བུ་སྟོང་ཡོད་པར་འགྱུར་རོ་༎,諸人見彼祈(19)請衆神。尚無男女。咸作是言。若求天神。得男(20)女者。世間諸人。求者皆得。便滿千子。如轉輪 (21)王。等無有異。,.
4cb55986fa884ca187f6e188cdd15e01,api tu trayāṇāṃ sthānānāṃ saṃmukhībhāvāt putrā jāyante duhitaraś ca | katameṣāṃ trayāṇām* |,འོན་ཀྱང་གནས་གསུམ་པོ་དག་མངོན་དུ་གྱུར་པ་ལས་བུ་ཕོ་དང་བུ་མོ་སྐྱེ་བར་འགྱུར་ཏེ་། གནས་གསུམ་གཞ་ཞེ་ན་།,然由三事現前。方有男女。云(22)何爲三。,.
612b6b78e22e43b98832d9a3e36d1ff2,mātāpitarau raktau bhavataḥ saṃnipatitau ' mātā kalyā bhavati ṛtumatī gandharvaś ca pratyupasthito bhavati | eṣāṃ trayāṇāṃ sthānānāṃ saṃmukhībhāvāt putrā jāyante duhitaraś ca |,འདི་ལྟར་ཕ་དང་མ་གཉིས་ཆགས་པར་གྱུར་ཅིང་འདུས་པ་དང་། མ་ཡང་རུང་ཞི་ཟླ་མཚན་དང ༼༥༽ ལྡན་པ་དང་། དྲི་ཟ་ཉེ་བར་གནས་པ་སྟེ་། གནས་གསུམ་པོ་དེ་དག་མངོན་དུ་གྱུར་པ་ལས་བུ་ཕོ་དང་བུ་མོ་སྐྱེ་བར་འགྱུར་རོ་༎,所爲父母要有欲心。和合一處。母(23)月期至。中有現前具此諸縁。方有子息。,.
ecebeb66a6b747efbd5b9bd7a8a58e00,sa caivam āyācanaparas tiṣṭhati | anyatamaś ' ca satvaś caramabhavikaś caritaiṣī gṛhītamokṣamārgo ’ntarmukho nirvāṇe bahirmukhaḥ saṃsārād anarthikaḥ sarvabhavagaticyutyupapattiṣu antimadehadhārī anyatamasmād devanikāyāc cyutvā tasyāḥ prajāpatyāḥ kukṣim avakrāntaḥ | paṃcāveṇikā dharmā ekatye paṇḍitajātīye mātṛgrāme |,དེ་དེ་ལྟར་གསོལ་བ་འདེབས་པ་ལྷུང་ལེན་ཅིང་འདུག་པ་ལས་སྲིད་པ་ཐམ་པའི་སེམས་ཅན་སྤྱོད་པ་ཚོལ་པ་། ཐར་པའི་སྙིང་པོ་བཟུང་པ་། མྱ་ངན ༼༦༽ ལས་འདས་པ་ལ་མངོན་དུ་ཕྱོགས་པ་། འཁོར་བ་ལས་ཕྱིར་ཕྱོགས་པ་། སྲིད་པ་པའི་འགྲོ་བ་ཐམས་ཅད་དུ་འཆི་འཕོ་དང་སྐྱེ་བ་དོན་དུ་མི་གཉེར་བ་། ལུས་ཐ་མ་འཛིན་པ་ཞིག་ལྷའི་རིས་ཤིག་ནས་ཤི་འཕོས་ནས་དེའི་ཆུང་མའི་རུམ་དུ་ཞུགས་སོ་༎ བུད་མེད་མཁས ༼༧༽ པའི་རང་བཞིན་ཅན་ཁ་ཅིག་ལ་མ་འདྲེས་པའི་ཆོས་ལྔ་ཡོད་དོ་༎,然彼(24)長者。爲求男女祈請不息。後於異時。有一薩(25)埵。餘處命終。遂便託娠於長者妻腹。有智女(26)人善知五事。,.
d5e62d7f943a496292ad61c54ff3bc56,katame paṃca | raktaṃ puruṣaṃ jānāti | viraktaṃ jānāti | kālaṃ jānāti ṛtuṃ jānāti | garbham avakrāntaṃ jānāti | yasya sakāśād garbham avakrāmati taṃ jānāti | dārakaṃ jānāti | dārikāṃ jānāti |,ལྔ་གང་ཞེ་ན་། སྐྱེས་པ་ཆགས་པ་ཤེས་ཤིང་ཆགས་པ་དང་བྲལ་བ་ཤེས་པ་དང་། དུས་ཤེས་ཤིང་ཟླ་མཚན་ཤེས་པ་དང་། མངལ་དུ་ཞུགས་པ་ཤེས་པ་དང་། གང་ལས་མང་ལ་དུ་ཞུགས་པ་དེ ༼༢༥༢བ༡༽ ཡང་ཤེས་པ་དང་། བུ་ཕོ་ཤེས་ཤིང་བུ་མོ་ཤེས་པའོ་༎,云何爲五。一知男子有染心無(27)染心。二知時知節。三知得娠。四知從彼男得(28)娠。五知是男女。,.
f6ef03c9cb81437f9205f310a121be7e,saced dārako bhavati dakṣiṇaṃ kukṣiṃ niśritya tiṣṭhati | saced dārikā bhavati vāmaṃ kukṣiṃ niśritya tiṣṭhati |,གལ་ཏེ་ཁྱེའུར་འགྱུར་ན་དཀུ་གཡས་པར་རྟེན་ཅིང་གནས་སོ་༎ གལ་ཏེ་བུ་མོར་འགྱུར་ན་དཀུ་གཡོན་པར་རྟེན་ཅིང་གནས་སོ་༎,若是男時。胎在右邊。女在左(29)邊。,.
