id,P000922,P000923,P000924
ff57ee5b67564c1aad87c96530878896,‹bhaiṣajyavastuni› piṇḍoddānam* |,༼༢༧༧བ༦༽ སྨན་གྱི་གཞིའི་སྡོམ་ལ་༎,(1a4) 根本説一切有部毘奈耶藥事 (5)卷第一 (6)　大唐三藏義淨奉　　制譯
e9afa499a35b4b31b89c34234d629323,bhaiṣajyaṃ mahāseno rājagṛhaṃ veṇuḥhala śaṇḍaḥ 1 |icchānaṅgālā2  ca kimpilām3 ā(4)dirājyaṃ kumārava‹r›dhanam* |glānakāś ca kaineyo vargo bhavati samuditaḥ ||,སྨན་དག་དང་ནི་སྡེ་ཆེན༡དང་༎རྒྱལ་པོའི༢ཁབ་དང་འོད་མའི་ཚལ་༎ཤིང་མཁན་ཡིད་ཚ་ནང་ག་ལ་༎ཀམ་བི་ལ་དང་སྔོན་རྒྱལ་པོའོ་༎གཞོན་ནུ་འཕེལ་དང་ནད་བ་དང་༎གཏམ་ཏུ་གྱུར་དང་སྔར་བསྡུས་སོ་༎,
8c2f1156474545ee80e69bd05379d462,uddānam* |bhaiṣajyam anujñātaṃ vasā kacchuś ca añjanam* |unmattakaḥ pilindaś ca revata‹ḥ› sauvīrakeṇa ca ||,སྡོམ་ལ་།སྨན་ནི ༼༧༽ རྗེས་སུ་གནང་བ་དང་༎ཚིལ་དང་གཡན་པ་མིག་སྨན་དང་༎སྨྱོན་པ་དང་ནི་པི་ལིན་ད་༎ནམ་གྲུ་དང་ནི་སྐྱུ་རུ་ཁུའོ་༎,(7)初攝頌曰(8) 開許用諸藥　膏油治疥病(9) 眼藥及風;　畢隣婆蹉等
e15485a4717d44cc80d598266701a210,buddho bhagavān śrāvastyāṃ (5) viharati jetavane ’nāthapiṇḍadasyārāme | tena khalu samayena bhikṣavaḥ śāradakena rogeṇa bādhyante | te śāradakena rogeṇa bādhyamānā utpāṇḍūtpāṇḍukā bhavanti kṛśālakā4 durbalakā mlānā aprāptakāyāḥ |,སངས་རྒྱས་བཅོམ་ལྡན་འདས་རྒྱལ་བུ་རྒྱལ་བྱེད་ཀྱི་ཚལ་མགོན་མེད་ཟས་སྦྱིན་གྱི་ཀུན་དགའ་ར་བ་ན་བཞུགས་སོ་༎ དེའི་ཚེ་དགེ་སློང ༼༢༧༨ཨ༡༽ རྣམས་སྟོན་ཀའི་ན་དཀྱིས་ཐེབས་ཏེ་། དེ་རྣམས་སྟོན་ཀའི་ནད་ཀྱིས་བཏབ་པས་སྐྱ་བོ་བསེར་བསེར་པོར་གྱུར་ཅིང་རིད་པ་དང་། ཉམ་ཆུང་བ་དང༣། ན་བས་ཉམ་དམས་པར་གྱུར་ཏོ་༎,(10)爾時薄伽梵。在室羅伐城。逝多林。給孤獨園。(11)時諸苾芻秋時染疾。身體痿黄。羸痩憔悴。困(12)苦無力。
f93af8a487404aa8b9188375316786b0,(6)jānakā‹ḥ› pṛcchakā buddhā bhagavantaḥ ‹|› ‹jānantaḫ pṛcchanti jānanto na pṛcchanti5 |›  yāvat pṛcchati buddho bhagavān āyuṣmantam ānandam* | kasmād ānandaitarhi bhikṣavaḥ utpāṇḍūtpāṇḍukāḥ kṛṣālakā durbalakā mlānā aprāptakā(7)yā iti  āyuṣmān ānandaẖ kathayati | etarhi bhadanta bhikṣavaś śāradakena rogeṇa bādhyante | etarhi śāradakena rogeṇa bādhyamānā utpāṇḍūtpāṇḍukā bhavanti kṛṣālakā durbalakā mlānā aprāptakāyāḥ | ‹bhagavān āha› |6 tasmād ānandānujānāmi bhikṣubhir bhai(8)ṣajyaṃ sevitavyam iti |,སངས་རྒྱས་བཅོམ་ལྡན་འདས་རྣམས་ནི་མཁྱེན་བཞིན་དུ་རྨེད་པ་སྟེ་།  ༼༢༽ སངས་རྒྱས་བཅོམ་ལྡན་འདས་ཀྱིས་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་ལ་རྨས་པ་། ཀུན་དགའ་བོ་ཅིའི་ཕྱིར་ད་ལྟར་དགེ་སློང་འདི་རྣམས་སྐྱ་བོ་བསེང་བསེང་པོར་གྱུར་ཅིང་རིད་པ་དང་། ཉམ་ཆུང་བ་དང་། ན་བས་ཉམ་དམས་པར་གྱུར ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོས་གསོལ་པ་། བཙུན་པ ༼༣༽ དགེ་སློང་འདི་རྣམས་སྟོན་ཀའི་བྲོ་ནད་ཀྱིས་བཏབ་སྟེ་། འདི་རྣམས་སྟོན་ཀའི་བྲོ་ནད་ཀྱིས་བྲབ་པས་སྐྱ་བོ་བསེང་བསེང་པོར་གྱུར་ཅིང་རིད་པ་དང་། ཉམ་ཆུང་བ་དང་། བྲོ་འཚལ་བས་ཉམ་དམས་པར་གྱུར་ཏོ་༎ བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ་། ཀུན་དགའ་བོ་དེ་ལྟ ༼༤༽ བསན་རྗེས་སུ་གནང་སྟེ་། དགེ་སློང་གིས་སྨན་སོ་སོར་བསྟེན་པར་བྱའོ་༎,世尊見已。知而故  問阿難陀曰。何故(13)諸苾芻。身體痿黄。羸痩無力。  阿難陀白佛言。(14)大徳。諸苾芻等。既侵秋節遂染諸病。身體痿(15)黄。羸痩無力。佛告阿難陀。由是病苦。我今聽(16)諸苾芻服食雜藥。
2762231676754dbfb8977c9f95cafd95,‹uktaṃ bhagavatā bhikṣubhir bhaiṣajyaṃ pratisevitavyam iti |›7  bhikṣavaḥ kāle sevanti kālātikrāntaṃ na sevanti ‹|› te bhavanti utpāṇḍūtpāṇḍukāḥ kṛṣālakā durbalakā mlānā aprāptakāyāḥ ‹|›  jānakāḫ pṛcchakā buddhā bhagavantaḥ ‹|› pṛcchati buddho bhagavān āyuṣmantam ānandaṃ |  uktaṃ mayā bhikṣubhir bhaiṣajyaṃ sevitavyam iti |  atha ca punar bhikṣavaḥ utpāṇḍūtpāṇḍukāḥ kṛṣālakā durbalakā mlānā aprāptakāyā ‹|›  uktaṃ bhadanta bhagavatā bhikṣubhir bhaiṣajyaṃ pratisevitavyam iti | ta ete kālabhojino vayam iti kāle sevante kālātikrāntaṃ na sevante |  tenotpāṇḍūtpāṇḍukāḥ kṛṣālukā durbalakā mlā(10)nā aprāptakāyās ‹|›  tasmāt tarhy ānandānujānāmi bhikṣubhiś caturvidhāni bhaiṣajyāni pratisevitavyāni ‹|› kālikāni yāmikāni sāptāhikāni yāvajjīvikāni |  tatra kālikāni maṇḍaḥ odanaṃ kulmāṣoḥ māṃsam apūpāś ca |  yāmikam aṣṭau pānāni |,བཅོམ་ལྡན་འདས་ཀྱིས་དགེ༤སློང་གིས་སྨན་སོ་སོར་བསྟེན་པར་བྱའོ་༎ ཞེས་གསུངས་པ་དང་། དེ་རྣམས་དུས་སུ་ཟ་བ་ཡིན་པས་དུས་སུ་སྟེན་པར་བྱེད་ཀྱི༥། དུས་ལས་ཡོལ་བར་སྟེན་པར་མི་བྱེད ༼༥༽ པས་དེ་རྣམས་སྐྱ་བོ་སེང་སེང༦པོར་གྱུར་ཅིང་རིད་པ་དང་། ཉམ་ཆུང་བ་དང་། ན་བས་ཉམ་དམས་པར་གྱུར་ཏོ་༎ སངས་རྒྱས་བཅོམ་ལྡན་འདས་ནི་མཁྱེན་བཞིན་དུ་རྨེད་པ་ཡིན་པས་། སངས་རྒྱས་བཅོམ་ལྡན་འདས་ཀྱིས་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་ལ་རྨས་པ་། ཀུན ༼༦༽ དགའ་བོ་ངས་དགེ་སློང་གིས་སྨན་སོ་སོར་བསྟེན་པར་བྱའོ་ཞེས་བཀའ་སྩལ་ན་། འོན་ཀྱང་ད་ལྟར་དགེ་སློང་འདི་རྣམས་སྐྱ་བོ་བསེང་བསེང་པོར་གྱུར་ཅིང་རིད་པ་དང་། ཉམ་ཆུང་བ་དང་། ན་བས་ཉམ་དམས་པར་གྱུར་ཏམ་། ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོས་གསོལ་པ་། བཅོམ་ལྡན ༼༧༽ འདས་ཀྱིས་དགེ་སློང་གིས་སྨན་སོ་སོར་བསྟེན་པར་བྱའོ་ཞེས་གསུངས་པ་འདི་དག་དུས་སུ་འཚལ་བ་ལགས་པས་དུས་སུ་སྟེན་པར་བགྱིད་ཀྱི་དུས་ལས་ཡོལ་བར་མི་སྟེན་ཏེ་། དེའི་སླད་དུ་སྐྱ་བོ་བསེང་བསེང་པོར་གྱུར་ཅིང་རིད་པ་དང་། ཉམ་ཆུང་བ་དང་། བྲོ་འཚལ་བས་ཉམ་དམས ༼༢༧༨བ༡༽ པར་གྱུར་ལགས་སོ་༎ ཀུན་དགའ་བོ་དེ་ལྟ་བས་རྗེས་སུ་གནང་སྟེ་། དགེ་སློང་རྣམས་ཀྱིས་སྨན་རྣམ་པ་བཞི་པོ་དུས་སུ་རུང་བ་དང་། ཐུན་ཚོད་དུ་རུང་བ་དང་། ཞག་བདུན་པ་དང་། འཚོ་བའི་བར་དུ་བཅང་བ་སོ་སོར་བསྟེན་པར་བྱའོ་༎ དེ་ལ་དུས་སུ་རུང་བ་ནི་འདེ་གུ་དང་། ༼༢༽ འབྲས་ཆན་དང་། ཟན་དྲོན་དང་། ཤ་དང་། སྣུམ་ཁུར་རོ་༎ ཐུན་ཚོད་དུ་རུང་བ་ནི་བཏུང་བ་རྣམ་པ་བརྒྱད་པོ་ཤིང་ཐོག་ཙོ་ཙའི་བཏུང་བ་དང་།,如是世尊既聽服藥。  時諸(17)苾芻遂於時服。非時不服。身體尚衰。羸痩無(18)力  (19)爾時世尊知而故問阿難陀曰。  我已聽諸苾(20)芻服食諸藥。  然此苾芻猶故羸痩。  阿難陀白(21)佛言。世尊聽諸苾芻服食諸藥。此諸苾芻並(22)於時服。非時不服。  所以身體痿黄。羸痩無力。  (23)爾時佛告阿難陀。我今爲諸苾芻。開四種藥。(24)一時藥。二更藥。三七日藥。四盡壽藥。  言時藥(25)者。一麨。二餅。三麥豆餅。四肉。五飯。此並時(26)中合食。  故名時藥(27)言更藥者。謂八種漿。云何爲八。
d9b1b1205ffc4121a3ada1d9559a7af1,cocapānaṃ mocapānaṃ kolapānam (fol. 92r1 = GBM 6.766) aśvatthapānam udumbarapānaṃ parūṣakapānaṃ8 mṛdvīkāpānaṃ kharjūrapānaṃ ca |,ཆུ་ཤིང་གི་འབྲས་བུའི་བཏུང་བ་དང་། རྒྱ་ཤུག་གི་བཏུང་བ་དང་། ཨཤྭཏཐའི་བཏུང་བ་དང་། ཨུདུམབཱརའི་བཏུང་པ་དང་། ༼༣༽ པརུཤཀའི་བཏུང་བ་དང་། རྒུན་འབྲུའི་བཏུང་བ་དང་། འབརྒོའོ་བཏུང་བའོ་༎ ༎,一招者漿(28)西方樹名。亦名顛咀梨。角同皂莢。其味如梅。角寛一兩指。長三四寸。時人鎭食(29)二毛者漿即芭蕉子。以少胡椒粖。{安在果上。手極捼之。皆變成水三孤洛迦(1b1)漿状如酸棗。其味一種。唯有此棗。無甜者四阿説他果。五烏(2)曇跋羅其果大如李六鉢魯灑其果状如蘡薁子。味亦相似七栗墜(3)漿即是葡萄菓八渇樹羅漿形如小棗。甜而且澁。樹多獨立。形若櫚。此等諸漿。(4)皆須淨洗手。淨濾漉。然後堪飮}
8875c3056ae34124aa7282d53dba529a,(MSV I iii) antaroddānam* |,བར་སྡོམ་ལ་།,(5)内攝頌曰
ababd73a1b9c4090869559b30bf363ad,cocaṃ mocaṃ ca kolaṃ ca aśvatthodumbareṇa ca |parūṣakaṃ9 ca mṛdvīkā kharjūraṃ cāṣṭamaṃ matam* ||  sāptāhikaṃ sarpis tathā tailaṃ phāṇitaṃ madhu śa(92a2)rkarā |,ཙོ་ཙ་ཆུ་ཤིང་རྒྱ་ཤུག་དང་༎ཨཤྭད་ཨུདུམབཱར་དང་༎བརུཤཀ་རྒུན་འབྲུ་དང་༎བརྒྱད་པ་ཡང་ནི་འབྲ་གོ་ཡིན་༎ ཞག་བདུན་པ་ནི་མར་དཀར་དང་༎ ཏིལ་མར ༼༤༽ དང་། བུར་མ་གྱི་དབུ་བ་དང་། སྦྲང་རྩི་དང་། ཤ་ཁ་རའོ་༎,(6) 椰子芭蕉及酸棗　阿説他果烏跋羅 (7) 蘡薁蒲萄渇樹羅　是謂八種漿應識  (8)七日藥者。酥油糖蜜石蜜
4e9e7f675e2d42e19d0d8259665e5976,yāvajjīvikaṃ mūlabhaiṣajyaṃ gaṇḍabhaiṣajyaṃ patrabhaiṣajyaṃ puṣpabhaiṣajyaṃ phalabhaiṣajyaṃ paṃca jatūni paṃca kṣārāḥ paṃca lavaṇāni paṃca kaṣāyāḥ |  tatra mūlabhaiṣajyaṃ mustaṃ vaco haridrā ādrakam ativiṣā iti | yad vā punar anyad api mūlabhaiṣa(92a3)jyārthāya spharati nāmiṣārthāya |  gaṇḍabhaiṣajyaṃ ‹|› candanaṃ cavikā padmakaḥ10 devadāru guḍūcī dāruharidrā iti | yad vā (92a4) punar anyad api gaṇḍabhaiṣajyārthāya spharati | nāmiṣārthāya |  patrabhaiṣajyaṃ | paṭolapatraṃ vāśakapatraṃ11 nimbapatraṃ kośātakīpatraṃ saptaparṇapatra‹m› iti ‹|› yad vā punar anyad api patrabhaiṣajyārthāya spharati nāmiṣārthāya |  puṣpabhaiṣajyaṃ | paṃca puṣpāṇi ‹|› vāśakapuṣpaṃ12 nimbapuṣpaṃ dhātukīpuṣpaṃ śakapuṣpaṃ13 14 padmakesaram iti ‹|› yad vā punar anyad api ‹puṣpa›bhaiṣajyārthāya spharati nāmiṣārthāya |  phalabhaiṣajyaṃ | harī(92a5)takīm āmalakaṃ vibhītakaṃ maricaṃ pippalī iti | yad vā punar anyad api phalabhaiṣajyārthāya spharati nāmiṣārthāya |  paṃca jatūni | hiṃgus sarjarasas tadhos15 tavakarṇīs16 tad āgataś ca |  tatra hiṃguḥ hiṃguvṛkṣasya (MSV I iv) ni(92a6)ryāsaḥ ‹|› sarjarasaḥ sālavṛkṣasya niryāsaḥ | tapo17 lākṣās tapakarṇī18 sikthaṃ tadāgadas19 tad anyeṣāṃ vṛkṣāṇāṃ niryāsaḥ ‹|›  paṃca kṣārāḥ katame ‹|› yavakṣāraḥ yāvaśūkakṣāraḥ sarjikākṣāraḥ tilakṣāraḥ vāsakākṣāraś ca |  paṃca lavaṇāni katamāni ‹|› saindhavaṃ viḍaṃ sauvarcalaṃ romakam* sāmu(92a7)drakam* ‹|›,འཚོ་བའི་བར་དུ་བཅང་བ་ནི་རྩ་བའི་སྨན་དང་། སྡོང་བུའི་སྨན་དང་། ལོ་མའི་སྨན་དང་། མེ་ཏོག་གི་སྨན་དང་། འབྲས་བུའི་སྨན་དང་། ཏྲང་ཆུ་ལྔ་དང་། ཐལ་བ་ལྔ་དང་། ལན་ཚྭ་ལྔ་དང་། བསྐ་བ ༼༥༽ ལྔའོ་། དེ་ལ་རྩ་བའི་སྨན་ནི་གླ་སྒང་དང་། ཤུ་དག་དང་། ཡུང་དང་། སྒེའུ་གཤེར་དང་། བོད་ང་དཀར་པོ་དང་། གཞན་ཡང་རྩ་བའི་སྨན་གྱི་ནང་དུ་གཏོགས་བ་ཟས་ཀྱི་དོན་དུ་མི་འགྱུར་བ་གང་ཡིན་པའོ་༎ སྡོམ་བུའི་སྨན་ནི་ཙན་དན་དང་། དབྱི་མོ་དང་། ཤུག ༼༦༽ པ་དང་། ཐང་ཤིང་དང་། སླེ་ཏྲེས་དང་། སྐྱེར་བ་དང་། གཞན་ཡང་སྡོང་བུའི་སྨན་གྱི་ནང་དུ་གཏོགས་པ་ཟས་ཀྱི་དོན་དུ་མི་འགྱུར་བ་གང་ཡིན་བའོ་༎ ལོ་མའི་སྨན་ནི་པ་ཏོ་ལའི་ལོ་མ་དང་། བ་ཤ་ཀའི་ལོ་མ་དང་། ནིམ་པའི་ལོ་མ་དང་། ཀོ་ཤ་ཏ་གའི་ལོ་མ་དང་། སཔཏ ༼༧༽ པརྔའི་ལོ་མ་དང་། གཞན་ཡང་ལོ་མའི་སྨན་གྱི་ནང་དུ་གཏོགས་པའི་ཟས་ཀྱི་དོན་དུ་མི་འགྱུར་བ་གང་ཡིན་པའོ་༎ མེ་ཏོག་གི་སྨན་ནི་མེ་ཏོག་ལྔ་བོ་བ་ཤ་ཀའི་མེ་ཏོག་དང་། ནིམ་པའི་མེ་ཏོག་དང་། དྷ་ཀའི་མེ་ཏོག་དང་། ཤཏའི་མེ་ཏོག་དང་། པད་མ་ཀེས་རའི་མེ་ཏོག ༼༢༧༩ཨ༡༽ དང་༎ གཞན་ཡང་མེ་ཏོག་གི་སྨན་གྱི་ནང་དུ་གཏོགས་པ་ཟས་ཀྱི་དོན་དུ་མི་འགྱུར་བ་གང་ཡིན་པའོ་༎ འབྲས་བུའི་སྨན་ནི་ཨ་རུ་ར་དང་། སྐྱུ་རུ་ར་དང་། བ་རུ་ར་དང་། ན་ལེ་ཤམ་དང་། པི་པི་ལིང་དང་། གཞན་ཡང་འབྲས་བུའི་སྨན་གྱི་ནང་དུ ༼༢༽ གཏོགས་པ་ཟས་ཀྱི་དོན་དུ་མི་འགྱུར་བ་གང་ཡིན་པའོ་༎ ཏྲང་ཆུ་ལྔ་ནི་ཤིང་ཀུན་དང་། སྲ་རྩི་དང་། རྒྱ་སྐེགས་དང་། སྤྲ་ཚིལ་དང་། དྲོད་སྨན་ནོ་༎ དེ་ལ་ཤིང་ཀུན་ནི་ཤིང་ཀུན་གྱི་ཏྲང་ཆུའོ་༎ སྲ་རྩི་ནི་ཤིང་ས་ལའི་ཏྲང་ཆུའོ་༎ རྒྱ་སྐེགས་ནི་རྒྱ་སྐེགས་སོ་༎ སྤྲ ༼༣༽ ཚིལ་ནི་སྤྲ་ཚིལ་ལོ་༎ དྲོད་སྨན་ནི་དེ་དག་ལས་གཞན་པའི་ཤིང་རྣམས་ཀྱི་ཏྲང་ཆུའོ་༎ ཐལ་བ་ལྔ་གང་ཞེན་། ནས་ཀྱི་ཐལ་བ་དང་། ནས་ཀྱི་ཕུབ་མའི་ཐལ་བ་དང་། ཤིང་ས་རྫི་ཀའི་ཐལ་བ་དང་། ཏིལ་གྱི་ཐལ་བ་དང་། ཤིང་འབའ་ཤིག་ཀའི་ཐལ་བའོ་༎ ལན ༼༤༽ ཚྭ་ལྔ་གང་ཞེ་ན་། རྒྱ་མཚྭ་དང་། ལན་ཚྭ་སྨུག་པོ་དང་། ཁ་རུ་ཚྭ་དང་། ལན་ཚྭ་དང་། རྒྱ་མཚོའི་ལན་ཚཱའོ་༎,(9)盡壽藥者。謂根莖葉花果。復有五種膠藥。五(10)種灰藥。五種鹽藥。五種澁藥。  云何根藥。謂香(11)附子。菖蒲。黄薑。生薑。白附子。若更有餘物。(12)是此體例。堪爲藥者。隨意當用。  莖藥者。栴檀(13)香藥。葛栢木。天木香。不死藤。小栢若餘體(14)例。准前應用  (15)葉藥者。三葉。謂酸菜婆奢迦葉此方無(16)絍婆棟木是也高奢得枳此方無及以餘類。准前應用」  (17)花藥者。謂婆舍迦花。絍婆花。陀得雞花。龍(18)花。蓮花。更有餘類。應隨所用  (19)果藥者。謂訶黎勒果。菴摩勒果。鞞醯得枳(20)果。胡椒。蓽茇。若有餘類。准前應用  (21)五種黏藥者。所謂阿魏。烏糠。紫礦。黄蝋。安(22)悉香。阿魏藥者。  謂阿魏樹上出膠。烏糠者。謂(23)娑羅樹出膠。紫礦者。樹枝上出汁。黄蝋者。謂(24)蜜中殘出也。安悉香者。樹膠也  (25)五種灰者。謂麥灰。油麻灰。麥灰。牛膝(26)草灰。婆奢樹葉灰  (27)五種鹽者。謂烏鹽。赤鹽。白石鹽。種生鹽。海(28)鹽。
