id,P000934,P000935,P000936
7cb717e7d33441b3b8f0ed5e520dfaee,|| vastūddānam* ||pāṇḍulohitakānāṃ vastū pudgalānāṃ tathaiva ca ·atha pārivāsikānāṃ poṣadhasthāpanena ca ·śayanāsanam adhikaraṇaṃ saṃghabhedaś ca paścimam* ||,༼༡༤༠བ༤༽ ཕྱིར་བཅོས་པའི་གཞིའི་སྡོམ་ནི་༎དམར་སེར་ཅན་གྱི་གཞི་དང་ནི་༎དེ་བཞིན་གང་ཟག་དག་དང་ནི་༎དེ་ནས་སྦོ་བ་བྱ་བ་དང་༎གསོ་སྦྱོག་གཞག་པར་བྱ་བ་དང་༎གནས་མལ་དང་ནི་རྩོད་པ་དང་༎དགེ་འདུན་འབྱེད་པ་ཕྱི་མ་ཡིན་༎,"Pratikriyāvastūddāna: This uddāna mentions the Pāṇḍulohitakavastūddāna section first, and then the following Vastus as concerned with pratikriyā: “retribution”, “retaliation”, here maybe better translated as “punishment”."
b30fc62430844f74aa3389d4ecd479e4,|| pāṇḍulohitakavastūddānam* ||pāṇḍulohitānāṃ tarjanīyaṃ śreyakasya ca nigarhaṇīyam* |aśvakapunarvasukānāṃ pravāsam uttaraḥ pratisaṃhare ||adarśanāyaṃ chandasas tathaivāpratikaraṇā |ariṣṭapāpīkādṛṣṭir udāyipaṃcakarmakaḥ || ||,དམར་སེར་ཅན་གྱི་གཞིའི ༼༥༽ སྡོམ་ནི་༎དམར་སེར་ཅན་དག་བསྡིགས་པ་དང་༎ལེགས་ལྡན་སྨད་པར་བྱ་བ་དང་༎འགྲོ་མགྱོགས་དང་ནི་ནབ་སོ་གཉིས་༎ བསྐྲད་དང་ཆུ་སྟོད་ཕྱིར་འགྱེད་དང་༎འདུན་པ་ཡི་ནི་མ་མཐོང་དང་༎དེ་བཞིན་སླར་ནི་མི་འཆོས་དང་༎འཆི་ལྟས་སྡིག་པའི་ལྟ་བ་ཅན་༎ཆར་ཀ་དང་ནི་ལས་ལྔའོ་༎,"Pāṇḍulohitakavastūddāna lists the contents of this Vastu, the establishment of diciplinary punishments. As a group of monks were always in conflict, and always created discord in the saṃgha, the Buddha defined how disciplinary punishments should be carried out. Panglung p. 74. In the following the various kinds of punishment and penance are connected with a certain figures among the monks."
fc90de80e27e4c4097cefa45f69f1668,buddho bhagavāṃ śrāvastyāṃ viharati jetavane anāthapiṇḍadasyārāme |  tena khalu samayena śrāvastyāṃ pāṇḍulohitakā bhikṣavaḥ prativasanti kalahakārakā bhaṇḍanakārakā vigrahakārakā vivādakārakā ādhikaraṇikāḥ | te saṃghe ’bhīkṣṇam adhikaraṇāny utpādayanti yena saṃghaḥ kalahajāto viharati bhaṇḍanajāto vigṛhīto vivādam āpannaḥ |  etat prakaraṇaṃ bhikṣavo bhagavata ārocayanti | bhagavān āha | kuruta yūyaṃ bhikṣavaḥ pāṇḍulohitakānāṃ bhikṣūṇāṃ kalahakārakāṇāṃ bhaṇḍanakārakāṇāṃ vigṛhītānāṃ vivādam āpannānām ādhikaraṇikānāṃ tarjanīyaṃ karma iti | yo vā punar anyo ’py evaṃjātīyaḥ |,སངས་རྒྱས་བཅོམ་ལྡན་འདས་རྒྱལ་བུ ༼༦༽ རྒྱལ་བྱེད་ཀྱི་ཚལ་མགོན་མེད་ཟས་སྦྱིན་གྱི་ཀུན་དགའ་ར་བ་ན་བཞུགས་སོ་༎ དེའི་ཚེ་མཉན་ཡོད་ན་དགེ་སློང་དམར་སེར་ཅན་འཐབ་རྐོལ་བྱེད་པ་མཚང་འདྲུ་བར་བྱེད་པ་། རྩོད་པར་བྱེད་པ་། འགྱེད་པར་བྱེད་པ་། རྩོད་པའི་གཞི་བྱེད་པ ༼༧༽ རྣམས་གནས་ཏེ་། དེ་རྣམས་དགེ་འདུན་ལ་ཡང་དང་ཡང་དུ་རྩོད་པའི་གཞི་སྐྱེད་པས་དེས་ན་དགེ་འདུན་འཐབ་ཀྲོལ་དང་། མཚང་འདྲུ་བ་དང་། རྩོད་པ་དང་། འགྱེད་པ་བྱུང་ཞིང་གནས་སོ་༎ སྐབས་དེ་དགེ་སློང་རྣམས་ཀྱིས་བཅོམ་ལྡན་འདས་ལ་གསོལ་པ་དང་། བཅོམ་ལྡན་འདས་ཀྱིས ༼༡༤༡ཨ༡༽ བཀའ་སྩལ་པ་། དགེ་སློང་དག་ཁྱེད་ཀྱིས་དམར་སེར་ཅན་གྱིད་གེ་སློང་ཐབ་རྐོལ་བྱེད་པ་། མཚང་འདྲུ་བར་བྱེད་པ་། རྩོད་པར་བྱེད་པ་། འགྱེད་པར་བྱེད་པ་། རྩོད་པའི་གཞི་བྱེད་པ་རྣམས་དང་། གཞན་ཡོང་དེ་ལྟ་བུ་དང་མཐུན་པ་སུ་ཡང་རུང་བ་ལ་བསྡིགས་པའི་ལས་བྱོས་ཤིག་།,"Pāṇḍulohitaka: tarjanīyaṃ karma, act of rebuke or threat1.  .  ."
339ad0348f5740e19391b7639969af26,paṃcabhiḥ kāraṇais tarjanīyaṃ karma kṛtam adharmakarma ca tad avinayakarma ca saṃghaś ca tena sātisāraḥ |  katamaiḥ paṃcabhiḥ | acodayitvā kurvanty asmārayitvā avastukam apratijñayā asaṃmukhībhūtasya kurvanti |,༼༢༽ རྒྱུ་ལྔས་བསྡིགས་པའི་ལས་བྱས་ན་དེ་ནི་ཆོས་མ་ཡིན་པ་ལི་ལས་དང་། འདུལ་བ་མ་ཡིན་པའི་ལས་ཡིན་ཏེ་། དེས་ནི་དགེ་འདུན་ཡང་འགལ་ཚབས་ཅན་དུ་འགྱུར་རོ་༎ ལྔ་གང་གིས་ཞེ་ན་། གླེང་བ་མ་བྱས་པ་དང་། དྲན་པར་མ་བྱས་པ་དང་། གཞི་མེད་པ་དང་། ཁས་མ་བླངས་པ་དང་། ༼༣༽ མངོན་སུམ་དུ་མ་གྱུར་པར་བྱེད་པའོ་༎,.  .
dab57a077e594240bb87762367bc7ab3,paṃcabhis tu kāraṇais tarjanīyaṃ karma kṛtaṃ dharmakarma ca tad vinayakarma ca saṃghaś ca tena na sātisāraḥ |  katamaiḥ paṃcabhiḥ | codayitvā kurvanti smārayitvā savastukaṃ pratijñayā saṃmukhībhūtasya kurvanti |,ཡང་རྒྱུ་ལྡས་བསྡིགས་པའི་ལས་བྱས་ན་དེ་ཆོས་ཀྱི་ལས་དང་འདུལ་བའི་ལས་ཡིན་ཏེ་། དེས་ན་དགེ་འདུན་ཡང་འགལ་ཚབས་ཅན་དུ་མི་འགྱུར་རོ་༎ ལྔ་གང་གིས་ཞེ་ན་། གླེང་བ་བྱས་པ་དང་། དྲན་པར་བྱས་པ་དང་། གཞི་དང་བཅས་པ་དང་། ༼༤༽ ཁས་བླངས་པ་དང་། མངོན་སུམ་དུ་གྱུར་པར་བྱེད་པའོ་༎,.  .
3af780fc3aec45ce84a45e6b8e89563f,evaṃ ca punaḥ kartavyaṃ | śayanāsanaprajñaptiṃ kṛtvā gaṇḍīm ākoṭya pṛṣṭavācikayā bhikṣūn samanuyujya sarvasaṃghe saṃniṣaṇṇe saṃnipatite ekena bhikṣuṇā jñaptiṃ kṛtvā karma kartavyam* |,འདི་ལྟར་ཡང་བྱ་སྟེ་། གནས་མལ་བཤམས་ལ་གངḍཨི་བརྡུངས་ཏེ་དྲིས་པའི་ཚིག་གིས་དགེ་སློང་རྣམས་ལ་ཡང་དག་པར་བསྒོལ་། དགེ་འདུན་ཐམས་ཅད་ཚོགས་ཤིང་མཐུན་པར་གྱུར་པ་དང་། དགེ་སློང་གཅིག་གིས་གསོལ ༼༥༽ བ་བྱས་ཏེ་ལས་བྱའོ་༎,.
9c989cd01e334b6fbb01da43199bead6,śṛṇotu bhadantāḥ saṃghaḥ | ime pāṇḍulohitakā bhikṣavaḥ kalahakārakā bhaṇḍanakārakā vigrahakārakā vivādakārakā ādhikaraṇikāḥ | ta ete abhīkṣṇaṃ saṃghe adhikaraṇāny utpādayanti yena saṃghaḥ kalahajāto viharati bhaṇḍanajāto vigṛhīto vivādam āpannaḥ |  sacet saṃghasya prāptakālaṃ kṣametānujānīyāt saṃgho yat saṃghaḥ pāṇḍulohitakānāṃ bhikṣūṇāṃ kalahakārakāṇāṃ bhaṇḍanakārakāṇāṃ vigrahakārakāṇāṃ vivādakārakāṇām ādhikaraṇikānāṃ tarjanīyaṃ karma kuryād ity eṣā jñaptiḥ ||,དགེ་འདུན་བཙུན་པ་རྣམས་གསན་དུ་གསོལ་༎ དགེ་སློང་དམར་སེར་ཅན་འདི་དག་ནི་འཐབ་ཀྲོལ་བགྱིད་པ་། མཚང་འདྲུ་བར་འགྱིད་པ་། རྩོད་པར་བགྱིད་པ་། འགྱེད་པར་བགྱིད་པ་། རྩོད་པའི་གཞི་བགྱིད་པ་དག་ལགས་ཏེ་། འདི་དག་གིས་དགེ་འདུན་ལ་ཡང་དང ༼༦༽ ཡང་དུ་རྩོད་པའི་གཞི་སྐྱེད་པར་བགྱིང་དེ་། དེས་ན་དགེ་འདུན་འཐབ་ཀྲོལ་དང་། མཚང་འབྲུབ་དང་། རྩོད་པ་དང་། འགྱེད་པ་བྱུང་ཞིང་གནས་ན་། གལ་ཏེ་དགེ་འདུན་གྱི་དུས་ལ་བབ་ཅིག་བཟོད་ན་དགེ་འདུན་གྱི་གནང་བར་མཛོད་ཅིག་དང་། དགེ་འདུན་གྱིས་དགེ་སློང་དམར་སེར་ཅན་འཐབ ༼༧༽ ཀྲོལ་བགྱིད་པ་། མཚང་འདྲུ་བར་བགྱིད་པ་། རྩོད་པར་བགྱིད་པ་། འགྱེད་པར་བགྱིད་པ་། རྩོད་པའི་གཞི་བགྱིད་པ་རྣམས་ལ་བསྡིགས་པའི་ཕྲིན་ལས་མཛད་དོ་༎ འདི་ནི་གསོལ་བའོ་༎,.  .
91303d441c314c95a0182ca49b47aa81,tataḥ karma kartavyaṃ | śṛṇotu bhadantāḥ saṃghaḥ | ime pāṇḍulohitakā bhikṣavaḥ kalahakārakā bhaṇḍanakārakā vigrahakārakā vivādakārakā ādhikaraṇikāḥ | ta ete abhīkṣṇaṃ saṃghe adhikaraṇāny utpādayanti yena saṃghaḥ kalahajāto viharati bhaṇḍanajāto viharati vigṛhīto vivādam āpannaḥ | tat saṃghaḥ pāṇḍulohitakānāṃ bhikṣūṇāṃ kalahakārakāṇāṃ bhaṇḍanakārakāṇāṃ vigrahakārakāṇāṃ vivādakārakāṇām ādhikaraṇikānāṃ tarjanīyakarma karoti |  yeṣām (289r1 = GBM 890) āyuṣmatāṃ kṣamate pāṇḍulohitakānāṃ bhikṣūṇāṃ pūrvavad yāvat tarjanīyaṃ karma kartuṃ te tūṣṇīṃ na kṣamate bhāṣantām |  iyaṃ prathamā karmavācanā | evaṃ dvitīyā tṛtīyā karmavācanā kartavyā || kṛtaṃ saṃghena pāṇḍulohitakānāṃ bhikṣūṇāṃ pūrvavad yāvat tarjanīyaṃ karma | kṣāntam anujñātaṃ saṃghena yasmāt tūṣṇīm evam etad dhārayāmi |,དེ་ནས་ལས་བྱ་སྟེ་། དགེ་འདུན་བཙུན་པ་རྣམས་གསན་དུ་གསོལ་། དགེ་སློང་དམར་སེར་ཅན་འདི ༼༡༤༡བ༡༽ དོག་ནི་འཐབ་ཀྲོལ་བགྱིད་པ་། མཚང་འདྲུ་བར་བགྱིད་པ་། རྩོད་པར་བགྱིད་པ་། འགྱེད་པར་བགྱིད་པ་། རྩོད་པའི་གཞི་བགྱིད་པ་ལགས་ཏེ་། འདི་དག་གིས་དགེ་འདུན་ལ་ཡང་དང་ཡང་དུ་རྩོད་པའི་གཞི་སྐྱེད་པར་བགྱིད་དེ་དེས་ན་དགེ་འདུན་འཐབ་ཀྲོལ་དང་། མཚང་འདྲུ་བ་དང་། རྩོད ༼༢༽ པ་དང་། འགྱེད་པ་བྱུ་བ་ཞིང་གནས་པ་། དེའི་སླད་དུ་དགེ་འདུན་གྱིས་དགེ་སློང་དམར་སེར་ཅན་འཐབ་ཀྲོལ་བགྱིད་པ་། མཚང་འདྲུ་བར་བགྱིད་པ་། རྩོད་པར་བགྱིད་པ་། འགྱེད་པར་བགྱིད་པ་། རྩོད་པའི་གཞི་བགྱིད་པ་རྣམས་ལ་བསྡིགས་པའི་ཕྲིན་ལས་མཛད་ན་། ཚེ་དང་ལྡན་པ་གང ༼༣༽ དག་དགེ་སློང་དམར་སེར་ཅན་རྣམས་ལ་ཞེས་བྱ་བ་ནས་། བསྡིགས་པའི་ཕྲིན་ལས་མཛད་པར་ཞེས་བྱ་བའི་བར་གོང་མ་བཞིན་དུ་སྟེ་། བཟོད་པ་དེ་དག་ནི་ཅང་མ་གསུང་ཤིག་། གང་དག་མི་བཟོད་པ་དེ་དག་ནི་གསུང་ཤིག་། འདི་ནི་ལས་བརྗོད་པ་དང་པོ་ཡིན་ཏེ་། དེ་བཞིན་དུ་ལས ༼༤༽ བརྗོད་པ་གཉིས་པ་དང་། གསུམ་པའི་བར་དུ་བརྗོད་པར་བྱའོ་༎ དགེ་འདུན་གྱིས་བཟོད་ཅིག་གནང་ནས་དགེ་འདུན་གྱིས་དགེ་སློང་དམར་སོར་ཅན་ཞེས་བྱ་བ་ནས་བསྡིགས་པའི་ཕྲིན་ལས་མཛད་ལགས་ཏེ་། འདི་ལྟར་ཅང་མི་གསུང་བས་དེ་དེ་བཞིན་དུ་འཛིན་ཏོ་ཞེས་བྱ་བའི་བར་གོང ༼༥༽ མ་བཞིན་ནོ་༎,.  .  .
f13a4fdcab784dc78e94e8a420363ff4,tarjanīyakarmakṛtasyāhaṃ bhikṣor āsamudācārikān dharmān prajñapayāmi · tarjanīyakarmakṛtena bhikṣuṇā na pravrājayitavyaṃ | nopasaṃpādayitavyaṃ · na niśrayo deyaḥ | na śramaṇoddeśa upasthāpayitavyaḥ | na bhikṣuṇy avavādayitavyā | na bhikṣuṇyavavādakaḥ saṃmantavyo | nāpi pūrvasaṃmatena bhikṣuṇy avavādayitavyā |  na bhikṣuś codayitavyaḥ smārayitavyaḥ śīlavipattyā dṛṣṭivipattyā ācāravipattyā ājīvavipattyā sthāpayitavyo | na poṣadho na pravāraṇā na jñaptikarma na jñapticaturthaṃ karma |  tarjanīyakarmakṛto bhikṣur yathā prajñaptān āsamudācārikān dharmān na samādāya vartate sātisāro bhavati |,དགེ་སློང་དག་ངས་བསྡིགས་པའི་ལས་བྱས་པའི་དགེ་སློང་གི་ཀུན་ཏུ་སྤྱོད་པའི་ཆོས་བཅའ་བར་བྱ་སྟེ་། བསྡིགས་པའི་ལས་བྱས་པའི་དགེ་སློང་གིས་རབ་ཏུ་དབྱུང་བར་མི་བྱ་། བསྙེན་པར་རྫོགས་པར་མི་བྱ་། གནས་མི་སྦྱིན་དགེ་ཚུལ་གཞག་པར་མི་བྱ་། དགེ་སློང ༼༦༽ མ་རྣམས་ལ་གདམས་པར་མི་བྱ་། དགེ་སློང་མ་རྣམས་ཀྱི་གདམས་ངག་དབོག་པར་བསྐོ་པར་མི་བྱ་། སྔར་བསྐོས་ན་ཡང་དགེ་སློང་མ་རྣམས་ལ་གདམས་པར་མི་བྱའོ་༎ དགེ་སློང་ལ་ཚུལ་ཁྲིམས་ཉམས་པ་དང་། ལྟ་བཉམས་པ་དང་། སྤྱོད་པ་ཉམས་པ་དང་། འཚོབ་ཉམས་པས ༼༧༽ གླེང་བ་དང་། དྲན་པར་མི་བྱ་། གདམས་ངག་སྦྱིན་པར་མི་བྱ་སྟེ་། གསོ་སྤྱོད་མཡིན་། དགག་དབྱེ་མ་ཡིན་། གསོལ་བ་དང་གཉིས་པ་མ་ཡིན་། གསོལ་བ་དང་བཞིའི་ལས་མ་ཡིན་ནོ་༎ བསྡིགས་པའི་ལས་བྱས་པའི་དགེ་སློང་གིས་ཀུན་ཏུ་སྤྱོད་པའི་ཆོས་ཇི་ལྟར་བཅས་པ་བཞིན ༼༡༤༢ཨ༡༽ ཡང་དག་པར་བླངས་ནས་འཇུག་པར་མི་བྱེད་ན་འགལ་ཚབས་ཅན་དུ་འགྱུར་རོ་༎,.  .  .
ce223e5ffe354d299b5e37182f0e9db5,ta evaṃ tarjanīyakarmakṛtā utkacaprakacāḥ saṃghe roma pātayanti niḥsaraṇaṃ pravartayanti sāmīcīm upadarśayanty antaḥsīmāyāṃ sthitvā osāraṇāṃ yācante kalahakārakatvāc ca prativiramāma iti kathayanti | etat prakaraṇaṃ bhikṣavo bhagavata ārocayanti · bhagavān āha | osārayata yūyaṃ bhikṣavaḥ pāṇḍulohitakān bhikṣūn kalahakārakāṃs tarjanīyakarmakṛtān iti · yo vā punar anyo ’py evaṃjātīyaḥ |,དེ་ལྟར་བསྡིགས་པའི་ལས་བྱས་པ་དེ་རྣམས་སྐྲ་གྱེན་དུ་འགྲེང་བ་ལྟ་བུ་དང་སྐྲ་ཞིག་པ་ལྟ་བུ་དགེ་འདུན་ལ་སྤུ་ས་ལ་ལྟུང་བ་ལྟ་བུར་བྱེད་། འབྱུང་བར་བསྐྱོད་མཚུངས་པར་ཉེ་བར་སྟོན ༼༢༽ ལ་མཚམས་ཀྱི་ནང་དུ་འདུག་ནས་བསླང་བ་གསོལ་ཏེ་། འཐབ་ཀྲོལ་བྱེད་པ་ཉདི་སྤོང་ངོ་ཞེས་པི་སྐབས་དེ་བཅོམ་ལྡན་འདས་ལ་དགེ་སློང་རྣམས་ཀྱིས་གསོལ་པ་དང་། བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ་། དགེ་སློང་དག་ཁྱེད་ཀྱིས་དགེ་སློང་དམར་སེར་ཅན་འཐབ་ཀྲོལ་བྱེད་པ ༼༣༽ བསྡིགས་པའི་ལས་བྱས་པ་རྣམས་དང་གཞན་ཡང་དེ་ལྟ་བུ་དང་མཐུན་པ་སུ་ཡང་རུང་བ་ལ་བསླང་བར་གྱིས་ཤིག་།,.
