id,P001177,P001178
a4d6ec7513a34c8c808880e2bf5c956a,Vཨིནīཏཀཱ༼༢༨༨བ༥༽ འདུལ་བར་བྱེད་པམདོར་ན་།བཟང་བྱིན་རྡོ་རྗེ་འདུ་ཤེས་དང་༎བལ་གླང་མོ་དང་རྒོད་མ ༼༦༽ དང་༎བ་དང་རྔ་མོ་རི་དགས་མོ་༎བོང་ལུག་ཁྱི་ཕག་མོ་རྣམས་སོ་༎,.
e235736dc4d34568b51ad28caf1301cc,སངས་རྒྱས་བཅོམ་ལྡན་འདས་གྲོང་ཁྱེར་ཡངས་པ་ཅན་ན་སྤྲེའུ་རྫིང་འགྲམ་གྱི་ཁང་དུ་བརྩེགས་པ་ན་ཞུགས་སོ་༎ ཀ་ལ་ནད་ཀའི་བུ་བཟང་བྱིན་ལ་བསླབ་པའི་གནས་མ་བཅས་པས་ལས་དང་པོ་པ་ལ་ཉེས་པ་མེད་པ ༼༧༽ ན་བདག་གིས་བསླབ་པ་མ་བཅས་པའི་ཚེ་ལན་མང་ཞིག་ཏུ་མི་ཚངས་པར་སྤྱོད་པ་འཁྲིག་པའི་ཆོས་བྱས་ན་བདག་གི་ལས་དང་པོ་གང་ཡིན་ཞེས་ཐེ་ཚོམ་དུ་གྱུར་ནས་སེམས་ལ་དོགས་པ་དང་འགྱོད་པ་རྣམས་སྐྱེས་ཏེ་། དེས་དེ་ལྟ་བུར་གྱུར་པ་དགེ་སློང་རྣམས་ལ་སྨྲས་ནས་། དགེ་སློང་རྣམས་ཀྱིས ༼༢༨༩ཨ༡༽ བཅོམ་ལྡན་འདས་ལ་གསོལ་བ་དང་། བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ་། དགེ་སློང་དག་བསླབ་པའི་གནས་མ་བཅས་པ་ན་ཀ་ལན་ད་ཀའི་བུ་བཟང་བྱིན་གྱིས་ཤིན་ཏུ་འདས་པར་གྱུར་པ་ནི་ཐམས་ཅད་ཀྱང་ལས་དང་པོ་པ་ཡིན་ཏེ་། ལས་དང་པོ་པ་ལ་ནི་ཉེས ༼༢༽ པ་མེད་དོ་༎ དགེ་སློང་རྡོ་རྗེའི་བུ་ཞེས་བྱ་བས་བསླབ་པ་ཕུལ་། བསླབ་པ་ཉམས་པ་མ་བཤགས་པར་ཁྱིམ་པར་གྱུར་ཏེ་། དེས་དེ་ནི་མི་ཚངས་པར་སྤྱོད་པ་འཁྲིག་པའི་ཆོས་བྱས་ནས་དེ་འདི་སྙམ་དུ་གྱུར་རོ་༎ རེ་ཞིག་དགེ་སློང་རྣམས་ལ་དྲིས་ལ་དེ་སྟེ་བདག་རབ་ཏུ་འབྱུང་ཞིང་བསྙེན ༼༣༽ པར་རྫོགས་པར་རུང་ན་ནི་རབ་ཏུ་འབྱུང་ངོ་༎ དེ་སྟེ་མི་རུང་ན་འདི་ཉིད་ན་འདུག་གོ་སྙམ་བསམས་ནས་དེས་དེ་ལྟར་གྱུར་པ་ནས་། བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པའི་བད་དུ་རྒྱས་པར་བྱས་ཏེ་། དགེ་སློང་དག་བསླབ་པ་ཉམས་པ་མ་བཤགས་པར་ཁྱིམ་པའི ༼༤༽ དངོས་པོར་གྱུར་ཏེ་མི་ཚངས་པར་སྤྱོད་པ་འཁྲིག་པའི་ཆོས་ལ་བསྟེན་ན་གང་ཟག་དེ་སླར་ཡང་རབ་ཏུ་འབྱུར་ཞིང་བསྙེན་པར་རྫོགས་པར་མི་རུང་གིས་དེ་བཞིན་དུ་བསླབ་པའི་གནས་བཤད་པར་བྱའོ་༎ ཡང་དགེ་སློང་གང་བསླབ་པ་མ་ཕུལ་བསླབ་པ་ཉམས་པ་མ་བཤགས་བཞིན་དུ་མི་ཚངས ༼༥༽ པར་སྤྱོད་པ་འཁྲིག་པའི་ཆོས་བྱས་ན་དགེ་སློང་དེ་ཡང་ཕས་ཕམ་པ་ཡིན་གྱིས་ལྷན་ཅིག་མ་གནས་ཤིག་། དགེ་སློང་གཅིག་པུ་ཞིག་དགོན་པ་ན་འདུག་སྟེ་དེ་ལས་མི་རིང་བ་ཞིག་ན་བལ་གླང་པོ་ཞིག་ལ་བུ་བྱུང་སྟེ་། བལ་གླང་མོ་དེ་ལས་བེའུ་མོ་ཞིག་བྱུང་ངོ་༎ དེའི་མ་དེ་ནི་ཟས་ལ་སོང་ནས་དགེ ༼༦༽ སློང་དེས་རྩྭ་བླངས་ཏེ་དེ་ལ་རྩ་བྱིན་ཆུ་བླུད་པ་དང་། དེས་དེ་འདུག་པ་ལ་མོ་མཚན་བྱེ་བར་མཐོང་སྟེ་། དེས་དེ་མཐོང་ནས་ཆགས་པར་གྱུར་ཏེ་དེར་ལོག་པར་ཞུགས་པ་དང་། དེ་ངོ་ཚ་བའི་ཆོས་སུ་གྱུར་ནས་། དེས་བདག་ཕས་ཕམ་པའི་ཉེས་པ་མ་བྱུང་གྲང་སྙམ་བསམས་ནས་ཐེ་ཚོམ་སྐྱེས་ཏེ་། ༼༧༽ དེས་དེ་ལྟ་བུར་གྱུར་པ་དགེ་སློང་རྣམས་ལ་སྨྲས་པ་ནས་རྒྱས་པར་བརྗོད་དེ་། བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་བ་། དགེ་སློང་དག་དེར་རེག་པར་མ་གྱུར་པས་ཕས་ཕམ་པའི་ཉེས་པ་ནི་མེད་ཀྱི་ཉེས་པ་སྦོམ་པོར་འགྱུར་རོ་༎ ནམ་བལ་གླང་གི་ཕྲུ་གུ་དེ་ཆེན་པོར་གྱུར་པ་དང་། དེས་དེའི ༼༢༨༩བ༡༽ མ་མཚན་མཐོང་སྟེ་། དེས་དེ་མཐོང་ནས་ཆགས་པ་དང་། དེས་དེར་གཞུག་སྙམ་ནས་མོ་མཚན་གྱི་ཁར་བཙུགས་པ་དང་། དེས་དེ་ལ་ཕྲ་བ་ཅིག་བརྒྱབ་ནས་སྐྲག་པར་གྱུར་ཏེ་། བདག་ལ་ཕས་ཕམ་པའི་ལྟུང་བ་མ་བྱུང་གྲང་སྙམ་བསམས་ནས་། དེས་དེ་ལྟ་བུར་གྱུར་པ་རྒྱས ༼༢༽ པར་སྨྲས་པ་དང་། བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ་། དགེ་སློང་དག་སྐྲག་པ་ལ་ནི་ཆགས་པ་མེད་པས་ཕས་ཕམ་པའི་ཉེས་པ་ནི་མེད་ཀྱི་ཉེས་པ་སྦོམ་པོར་འགྱུར་རོ་༎ ཇི་ལྟར་བལ་གླང་མོ་བཞིན་དུ་རྒོད་མ་དང་། རྔ་མོ་དང་། རི་དགས་མོ་དང་། བོང་མོ་དང་། ལུག་མོ ༼༣༽ དང་། ཁྱི་མོ་དང་། ཕག་མོ་རྣམས་ཀྱང་དེ་བཞིན་ནོ་༎ ༎,. . . . . . . . .
e0ff292fed76438d9e4c279eb82dcfb5,མདོར་ན་།སྨྱོན་པར་གྱུར་དང་སེམས་འཁྲུགས་དང་༎ནད་ཀྱིས་གཟིར་དང་མི་རྣམས་དང་༎ལམ་མིན་ལམ་དུ་འདུ་ཤེས་དང་༎ལམ་གསུམ་རབ་ཏུ་བསྒྲགས་པའོ་༎,.
14ff700a0f274269ba96215d2798f34a,བཙུན་པ་བཅོམ་ལྡན་འདས ༼༤༽ ཀྱིས་སྨྱོན་པ་ལ་ནོངས་པ་མཆིས་སོ་ཞེས་གསུངས་ན་། ཇི་ཙམ་གྱིས་ན་སྨྱོན་པ་ཞེས་བགྱི་། རྣམ་པ་ལྔས་སྨྱོན་པར་གྱུར་ཏེ་། གཉེན་བཤེས་ཟད་པ་དང་། ལོངས་སྤྱོད་ཟད་པ་དང་། ནོར་ཟད་པ་དང་། ཁམས་མ་མཉམ་པ་དང་། མི་མ་ཡིན་པས་བརླམས་པ་དང་། སྔོན་གྱི་ལས ༼༥༽ གྱི་རྣམ་པར་སྨིན་པ་སྟེ་། རྣམ་པ་འདི་ལྡས་སྨྱོན་པར་འགྱུར་རོ་༎ དེ་སྟེ་དགེ་སློང་གི་དངོས་པོར་ཤེས་ན་ནི་དངོས་པོ་ཇི་ལྟ་བ་བཞིན་ནོ་༎ དེ་སྟེ་དགེ་སློང་གི་དངོས་པོར་མི་ཤེས་ན་སྨྱོན་པ་ལ་ཉེས་པ་མེད་དོ་༎ བཙུན་པ་བཅོམ་ལྡན་འདས་ཀྱིས་སེམས་འཁྲུགས་པ་ལ་ནོངས་པ་མ ༼༦༽ མཆིས་སོ་ཞེས་གསུངས་ན་། ཇི་ཙམ་གྱིས་ན་སེམས་འཁྲུགས་པ་ཞེས་བགྱི་། རྣམ་པ་ལྔས་ནི་སེམས་འཁྲུགས་པ་ཞེས་བྱ་སྟེ་། མི་མ་ཡིན་པས་དེའི་སེམས་འཁྲུགས་པ་དང་། མི་མ་ཡིན་པས་དེ་ལ་བརླམས་པ་དང་། མི་མ་ཡིན་པས་དེའི་མདངས་ཕྲོགས་པ་དང་། ཁམས ༼༧༽ མ་མཉམ་པ་དང་། སྔོན་གྱི་ལས་ཀྱི་རྣམ་པར་སྨིན་པ་སྟེ་། རྣམ་པ་འདི་ལྔས་ནི་སེམས་འཁྲུགས་པ་ཞེས་བྱ་སྟེ་རྒྱས་པར་རོ་༎ བཙུན་པ་བཅོམ་ལྡན་འདས་ཀྱིས་ནད་ཀྱིས་གཟིར་བ་ལ་ནོངས་པ་མ་མཆིས་སོ་༎ ཞེས་གསུངས་ན་། ཇི་ཙམ་གྱིས་ན་ནད་ཀྱིས་གཟིར་བ་ཞེས་བགྱི་། རྣམ ༼༢༩༠ཨ༡༽ པ་ལྔས་ན་ནད་ཀྱིས་གཟིར་བ་ཞེས་བྱ་སྟེ་། དེ་ལ་རླུང་གིས་བསྐྱོད་པ་དང་། མཁྲིས་པ་དང་། པད་ཀན་དང་། འདུས་པ་དང་། དུས་གྱུར་པ་རྣམས་ཏེ་། རྣམ་པ་འདི་ལྔ་ནི་ནད་ཀྱིས་གཟིར་བ་ཞེས་བྱའོ་༎ དགེ་སློང་གིས་ལམ་ལ་ལམ་ཡིན་པར་འདུ ༼༢༽ ཤེས་ནས་མི་ཚངས་པར་སྤྱོད་པ་འཁྲིག་པའི་ཆོས་བྱས་ཏེ་། དགེ་སློང་དེ་ལ་བདག་ལ་ཕས་ཕམ་པའི་ཉེས་པ་མ་བྱུང་གྲང་སྙམ་བསམས་ཏེ་ཐེ་ཚོམ་སྐྱེས་ན་དེས་དེ་ལྟར་གྱུར་པ་རྒྱས་པར་སྨྲས་པ་དང་། བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ་། ལམ་ལ་ལམ་མ་ཡིན་པར་འདུ་ཤེས ༼༣༽ ན་ཕས་ཕམ་པར་འགྱུར་རོ་༎ ལམ་ལ་ཐེ་ཚོམ་ཟ་བར་འདུ་ཤེས་ནའང་ཕས་ཕམ་པར་འགྱུར་རོ་༎ ལམ་མ་ཡིན་པ་ལ་ལམ་དུ་འདུ་ཤེས་ན་ཉེས་པ་སྦོམ་པོར་འགྱུར་རོ་༎ ལམ་མ་ཡིན་པ་ལ་ཐེ་ཚོམ་ཟ་ན་ཉེས་པ་སྦོམ་པོར་འགྱུར་རོ་༎ ལམ་གསུམ་བཤང་བའི་ལམ ༼༤༽ དང་། གཅི་བའི་ལམ་དང་༎ བའི་ལམ་མོ་༎ དགེ་སློང་གིས་གཅི་བའི་ལམ་དུ་དཀྲིས་ཁ་ཤུན་འདས་ན་ཕས་ཕམ་པར་འགྱུར་རོ་༎ དགེ་སློང་གིས་བཤང་བའི་ལམ་དུ་དཀྲིས་རྐུབ་ཁ་འདས་ན་ཕས་ཕམ་པར་འགྱུར་རོ་༎ དགེ་སློང་གིས་ཁའི་ལམ་དུ་དཀྲིས་སོ་འདས་ན་ཕས ༼༥༽ ཕམ་པར་འགྱུར་རོ་༎ ༎,. . . . . . . . . . . . . .
9331dca251304670941c15f424327c40,མདོར་ན་།སྤྲེའུ་མོ་སེང་གེ་ཁྲུང་ཁྲུང་མོ་༎རྨ་བྱ་ཁྱིམ་བྱའང་དེ་བཞིན་ཏེ་༎མཚན་རིང་དང་ནི་རྒྱབ་གཉེན་དང་༎ནན་དི་ཀ་དང་ཁ་གཉིས་སོ་༎,.
cf77bdfa383a475bb7d794707dbafebd,ཉེས་པ་སྦོམ་པོ་བཞི་སྟེ་། སྤྲེའུ་མོ་དང་། མཚན་རིང་ནི་ཇི་ལྟར་རྣམ་པར་འབྱེད་པ་ལས་འབྱུང་བ ༼༦༽ བཞིན་ཏེ་། བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ་། ཕས་ཕམ་པར་འགྱུར་རོ་༎ རྒྱབ་གཉེན་ཀྱང་ཕས་ཕམ་པར་འགྱུར་རོ་༎ ནན་ད་ཀི་ལ་བསླབ་པ་བྱིན་པ་ཇི་ལྟར་འདུལ་བ་བཞིན་ནོ་༎ དགེ་སློང་ཞིག་བླ་གབ་མེད་པར་འདུག་ནས་སྒྲེན་མོར་ཁྲུས་བྱེད་དེ་། དེའི་ཉེ་གཡོག་ནི་མི ༼༧༽ པ་ཞི་ཞིག་བྱེད་དེ་དེའི་ལུས་ལ་རེག་པས་ཕོ་མཚན་ལས་སུ་རུང་བར་གྱུར་ཏེ་འདོད་ཆགས་ཀུན་དུ་གནས་པ་དང་། དགེ་སློང་གཞན་ཞིག་མདུན་ན་འདུག་པར་གྱུར་པ་དེས་དེའི་ཕོ་མཚན་བདག་གི་ཁར་བཅུག་པ་དང་། དེས་ཀྱང་ལུས་བཏུད་དེ་ཁུ་བ་ཕྱུང་ནས་དགེ་སློང་དེ་ཐེ་ཚོམ་སྐྱེས་ནས་བདག ༼༢༩༠བ༡༽ ལ་ཕས་ཕམ་པའི་ཉེས་པ་བྱུང་གྲང་སྙམ་དུ་བསམས་ཏེ་། དེས་དེ་ལྟ་བུར་གྱུར་པ་ནས་། བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པའི་བར་དུ་རྒྱས་པར་བྱས་ཏེ་། དེ་ལ་ཕས་ཕམ་པའི་ཉེས་པ་ནི་མེད་མོད་ཀྱི་། བླ་གབ་མེད་པ་ལ་འགྲེང་ངམ་འདུག་ཀྱང་རུང་གཞན་ལས་བྱེད་པ་བདག་གིར ༼༢༽ མ་བྱེད་ཅིག་། དགེ་སློང་ཞིག་འདོད་ཆགས་ཀུན་དུ་གནས་པས་གཟིར་བ་དང་། དེ་ལ་དགེ་སློང་མཛའ་བོ་ཞིག་ཡོད་དེ་དེ་དེའི་དྲུང་དུ་སོང་ནས་དེས་ཚེ་དང་ལྡན་པ་འདོད་ཆགས་ཀྱིས་ཀུན་དུ་ཁེབས་ཤིང་གཟིར་ཏོ་ཞེས་སྨྲས་ན་། དེ་ན་རེ་སོང་ལ་མི་ཚངས་པར་སྤྱོད་ཅིག་ཅེས་བསྒོ་བ་དང་། ༼༣༽ དེ་ཡང་སོང་ནས་མི་ཚངས་པར་སྤྱོད་པ་བྱས་སོ་༎ དེ་ལ་བསྒོ་བས་བདག་ལ་ཕས་ཕམ་པའི་ཉེས་པ་མ་བྱུང་གྲང་ཞེས་ཐེ་ཚོམ་སྐྱེས་ནས་། བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ་། ཕས་ཕམ་པའི་ཉེས་པ་ནི་མེད་ཀྱི་ཉེས་པ་སྦོམ་པོར་འགྱུར་རོ་༎ སངས་རྒྱས་བཅོམ་ལྡན ༼༤༽ འདས་ལ་ཚེ་དང་ལྡན་པ་ཨུ་པཱ་ལིས་ཞུས་པ་། བཙུན་པ་ཉེས་པ་སྦོམ་པོར་ཇི་ལྟ་བ་མཐོལ་བར་བགྱི་། ཨུ་པཱ་ལི་ཉེས་པ་སྦོམ་པོ་ནི་འདི་བཞི་སྟེ་། ཕས་ཕམ་པ་ལས་བྱུང་བའི་ལྕི་བ་དང་། ཕས་ཕམ་པ་ལས་བྱུང་བ་ཡང་བ་དང་། དགེ་འདུན་གྱི་ལྷག་མ་ལས་བྱུང་བ ༼༥༽ ལྕི་བ་དང་། དགེ་འདུན་གྱི་ལྷག་མ་ལས་བྱུང་བ་ཡང་བ་རྣམས་ཏེ་། དེ་ལ་ཨུ་པཱ་ལི་གང་ཕས་ཕམ་པ་ལས་བྱུང་བའི་ཉེས་པ་སྦོམ་པོ་ལྕི་བ་དེ་ནི་མཚམས་ཀྱི་ནད་དུ་དགེ་འདུན་ཐམས་ཅད་ཀྱི་མདུན་དུ་བཤགས་པར་བྱའོ་༎ གང་ཕས་ཕམ་པ་ལས་བྱུང་བའི་ཡང་བ་དེ་ནི ༼༦༽ མཚམས་ཀྱི་ཕྱི་རོལ་དུ་དགེ་སློང་བཞིའི་མདུན་དུ་བཤགས་པར་བྱའོ་༎ གང་དགེ་འདུན་གྱི་ལྷག་མ་ལས་བྱུང་བའི་ཉེས་པ་སྦོམ་པོ་ལྕི་བ་ནི་མཚམས་ཀྱི་ཕྱི་རོལ་དུ་དགེ་སློང་བཞིའི་མདུན་དུ་བཤགས་པར་བྱའོ་༎ དགེ་འདུན་གྱི་ལྷག་མ་ལས་བྱུང་བའི་ཡང་བ་ནི་མཚམས་ཀྱི་ནང་དུ ༼༧༽ དགེ་སློང་གཅིག་གི་མདུན་དུ་བཤགས་པར་བྱའོ་༎ ༎,. . . . . . . . .
33164e3881954529992de31bb20708b5,མདོར་ན་།གླལ་དང་ལས་སུ་རུང་བར་གྱུར་༎<་བར།>མ་དང་དུར་ཁྲོད་པ་དག་དང་༎<་བར།>འོད་བཟང་དང་ནི་བཟང་སྐྱེས་དང་༎<་བར།>ཤིན་ཏུ་བཟང་པ་སྨྱུགས་པ་དང་༎<་བར།>རབ་ཏུ་བཟང་ཞེས་བྱ་བའོ་༎,.
907bf8c3245542609e2cfa1f41378764,དགེ་སློང་གིས་མ ༼༢༩༡ཨ༡༽ བཀག་པར་གླལ་བ་དང་། འདོད་ཆགས་ཀྱིས་ཀུན་དུ་གཟིར་བའི་དགེ་སློང་ཞིག་དེའི་མདུན་ན་འདུག་པས་ཕོ་མཚན་དེའི་ཁར་བཅུག་ནས་དེས་ལུས་བཏུད་དེ་ཁུ་བ་ཕྱུང་ནས་དགེ་སློང་དེ་བདག་ལ་ཕས་ཕམ་པའི་ཉེས་པ་མ་བྱང་གྲང་ཞེས་ཐེ་ཚོམ་སྐྱེས་པ ༼༢༽ དང་། བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ་། ཕས་ཕམ་པའི་ཉེས་པ་ནི་མ་བྱུང་མོད་ཀྱི་། ད་ཕན་ཆད་དགེ་སློང་གིས་མ་བཀག་པར་གླལ་བར་མ་བྱེད་ཅིག་། གླལ་ན་ཉེས་བྱས་སུ་འགྱུར་རོ་༎ དགེ་སློང་ཞིག་པོ་མཚན་སྒྲེང་བཞིན་ལས་སུ་རུང་བར་གྱུར་ནས ༼༣༽ དེས་བདག་གིས་མོ་མཚན་གྱི་ནང་དུ་བཅུག་ཀྱང་ཉེས་པར་མི་འགྱུར་རོ་སྙམ་དུ་བསམས་ཏེ་། དེས་བུད་མེད་ཀྱི་མོ་མཚན་དུ་བཅུག་ནས་བདག་ལ་ཕས་ཕམ་པའི་ཉེས་པ་མ་བྱུང་གྲང་ཞེས་ཐེ་ཚོམ་སྐྱེས་པ་དང་། བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ་། བཅུག་མ་ཐག་ཏུ ༼༤༽ ཕས་ཕམ་པར་འགྱུར་རོ་༎ དགེ་སློང་ཞིག་འདོད་ཆགས་ཀྱིས་ཀུན་དུ་ཁེབས་ཤིང་གཟིར་བ་དང་། དེ་མའི་དྲུང་དུ་སོང་ནས་འདི་སྐད་དུ་མ་འདོད་ཆགས་ཀུན་དུ་གནས་པས་གཟིར་ཏོ་ཞེས་སྨྲས་པ་དང་། མ་ན་རེ་བུ་ཁྱོད་ནི་འདི་ཉིད་ནས་བྱུང་བ་ཡིན་གྱིས་དའང་འདི་ཉིད་དུ་ཆུག ༼༥༽ ཤིག་ཅེས་སྨྲས་པ་དང་། དེས་དེ་ཉིད་དུ་གཞུག་སྙམ་སྟེ་རྨ་ཁར་བཙུགས་ན་དེ་ངོ་ཚ་བའི་ཆོས་སུ་གྱུར་ཏེ་། དགེ་སློང་དེ་བདག་ལ་ཕས་ཕམ་པའི་ཆོས་སུ་མ་གྱུར་གྲང་ཞེས་ཐེ་ཚོམ་སྐྱེས་པ་དང་། བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ་། ངོ་ཚ་བ་ནི་ཆགས་པ་མེད་པས་ཕས་ཕམ ༼༦༽ པའི་ཉེས་པ་མེད་མོད་ཀྱི་། ཉེས་པ་སྦོམ་པོར་འགྱུར་རོ་༎ དགེ་སློང་ཞིག་མི་རོལ་བརྟག་པའི་ཕྱིར་དུར་ཁྲོད་དུ་སོང་བ་དང་། དེས་དེ་ན་བུད་མེད་རྒྱན་གྱིས་བརྒྱན་བཞིན་དུ་བོར་བའི་རོ་ཞིག་མཐོང་ངོ་༎ དེས་དེ་མཐོང་ནས་ཆགས་པའི་ཆོས་སྐྱེས་ཏེ་། དེས་དེའི་ནང་དུ་གཞུག་ཅེས ༼༧༽ རྨ་ཁར་བཙུགས་པ་དང་དེའི་ནང་སྲིན་བུས་གང་ཞིང་འདུག་སྟེ་། དགེ་སློང་དེ་བདག་ལ་ཕས་ཕམ་པའི་ཉེས་པ་མ་བྱུང་གྲང་ཞེས་ཐེ་ཚོམ་སྐྱེས་པ་དང་། བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ་། དགེ་སློང་དག་ཉམས་པ་དེ་ལ་རྣམ་པ་གཉིས་ཏེ་། ནང་ཉམས་པ་དང་། ཕྱི་ཉམས་པ་སྟེ་། ༼༢༩༡བ༡༽ ཕས་ཕམ་པའི་ཉེས་པ་ནི་མེད་མོད་ཀྱི་ཉེས་པ་སྦོམ་པོར་འགྱུར་རོ་༎ འོད་བཟང་མོ་ཞེས་བྱ་བའི་དགེ་བསྙེན་མ་ཞིག་ནུབ་མོ་དུས་བྱས་ནས་དེ་བརྒྱན་བཞིན་དུ་དུར་ཁྲོད་དུ་བོར་བ་དང་། དགེ་སློང་ཞིག་མི་རོལ་བརྟག་པའི་ཕྱིར་དུར་ཁྲོད་དུ་སོང་བ་དེས་མཐོང་ནས་དེ་ལ་ཆགས ༼༢༽ པའི་ཆོས་སྐྱེས་ཏེ་། དེས་དེའི་ནད་དུ་གཞུག་ཅེས་སྨ་ཁར་བཙུགས་པ་དང་དེ་ཡང་ལངས་ཏེ་འདུག་ནས་དགེ་སློང་དེ་འཇིགས་པར་གྱུར་ཏེ་། བདག་ལ་ཕས་ཕམ་པའི་ཉེས་པ་མ་བྱུང་གྲང་ཞེས་ཐེ་ཚོམ་སྐྱེས་པ་དང་། བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ་། དགེ་སློང ༼༣༽ འཇིགས་པ་ནི་ཆགས་པ་མེད་པས་ཕས་ཕམ་པའི་ཉེས་པ་ནི་མེད་མོད་ཀྱི་ཉེས་པ་སྦོམ་པོར་འགྱུར་རོ་༎ ཁྱིམ་བདག་བཟང་སྐྱེས་ཞེས་བྱ་བའི་ཆུང་མ་དེའི་གྲོང་དུ་ཉེ་བར་འགྲོ་བ་དང་། དགེ་སློང་ཞིག་ཡོད་པ་དེ་དེར་སོང་ནས་དེ་ལ་འདི་སྐད་དུ་ཁྱིམ་བདག་གི་ཆུང་མ་འདོད་ཆགས་ཀྱིས་། ༼༤༽ ཁེབས་ཤིང་གཟིར་ཏོ་ཞེས་སྨྲས་པ་དང་། མོས་སྨྲས་པ་། འོག་མར་སྨྱུགས་ལ་སྟེང་མར་ཁུ་བ་ཐོང་ཤིག་། སྟེང་མར་སྨྱུགས་ལ་འོག་མར་ཁུ་བ་ཐོང་ཤིག་། དེ་ལ་ཁོ་མོས་མི་ཚངས་པར་སྤྱད་པར་མི་ཤེས་སོ་ཞེས་སྨྲས་པ་དང་། དེས་ཀྱང་འདི་སྙམ་དུ་བསམས་ཏེ་། ༼༥༽ འདི་ནི་བཟང་ངོ་༎ འདི་ནི་ལེགས་སོ་༎ དེ་ལྟ་བུར་ནི་རུང་དོ་སྙམ་དུ་བསམས་ནས་། འོག་མར་སྨྱུགས་ཏེ་སྟེང་མར་ཁུབ་བཏང་བ་དང་། དགེ་སློང་དེ་ཐེ་ཚོམ་སྐྱེས་ནས་། བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ་། བཅུག་མ་ཐག་ཏུ་ཕས་ཕམ་པར་འགྱུར་རོ་༎ ཤིན ༼༦༽ ཏུ་བཟང་མོའི་གླེང་གཞི་ནི་ཇི་ལྟར་རྣམ་པར་འབྱེད་པ་ལས་འབྱུང་བ་བཞིན་ནོ་༎ རབ་ཏུ་བཟང་ཞེས་བྱ་བའི་དགེ་སློང་ཞིག་གཅིག་པུ་དགོན་པ་ལ་གནས་སོ་།,. . . . . . . . . . .
dce017b9a7c1455881dc61083f7d1771,དེ་ནས་རྒྱང་མི་རིང་བ་ཞིག་ན་བྲམ་ཟེའི་ཞིང་ཞིག་ཡོད་དེ་། བྲམ་ཟེ་དེ་ཞིད་ལ་རྟག་ཏུ་འོང་བ་མཐོང་སྟེ་། དེ་མཐོང ༼༧༽ ནས་དད་པ་སྐྱེས་སོ་༎ དེས་དེ་ཟན་ལ་མགྲོན་དུ་བོས་ནས་དེས་ཀྱང་དེ་ལ་ཁས་བླངས་སོ་༎ དེས་ནང་པར་སྔར་ཟས་རྣམས་སྦྱར་ཏེ་བུ་མོ་ཆུང་དུ་སྒྲེན་མོད་སྤྱད་པ་ཞིག་འབོད་དུ་བཏང་བ་དང་། དེས་དེའི་མོ་མཚན་མཐོང་ངོ་༎ དེས་མཐོང་ནས་ཆགས་པ་སྐྱེས་ཏེ་བྱས་པ་དང་། ༼༢༩༢ཨ༡༽ དེའི་མོ་མཚན་རལ་ནས་དེ་ཐེ་ཚོམ་སྐྱེས་ཏེ་། བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ་། དེ་སྟེ་མི་ཚངས་པར་སྤྱད་པས་དགའ་བ་ཚོར་ན་ནི་ཕས་ཕམ་པར་འགྱུར་རོ་༎ དེ་སྟེ་མཚོར་ན་ནི་ཉེས་པ་སྦོམ་པོར་འགྱུར་རོ་༎ ༎,. . . . .
01912e436e554df9ac7c9db0839c8b05,མདོར་ན་།ལས་སུ་མི ༼༢༽ རུང་གཉིད་ལོག་ལ་༎གནོན་པ་དང་ནི་ར་རོ་དང་༎ནད་ཀྱིས་གཟིར་དང་མི་འདོད་བཞིན་༎སྐྱེས་པ་དང་ནི་མ་ནིང་ངོ་༎,.
