id,P001801,P001802,P001803
ef62c4fdddb8485bb17cb10512fcde6b,varṇārhavarṇastotra,། རྒྱ་གར་སྐད་དུ་། བ་རྔཱ་རཧ་བ་རྔེ་བྷ་ག་བ་ཏོ་བུ་དདྷ་སྟོ་ཏྲེ་ཤ་ཀྱ་སྟ་བ་ནཱ་མ་། བོད་སྐད་དུ་། སངས་རྒྱས་བཅོམ་ལྡན་འདས་ལ་བསྟོད་པ་བསྔགས་པར་འོས་པ་བསྔགས་པ་ལས་བསྟོད་པར་མི་ནུས་པར་བསྟོད་པ་ཞེས་བྱ་བ་།,Das Varṇārhavarṇastotra des Mātṛceṭa
337ebb0f6ffe43d287358d474f538715,,དཀོན་མཆོག་གསུམ་ལ་ཕྱག་འཚལ་ལོ་།,
4ec23b285bd84f059935841f4bd6fbb5,kṣetrākṣetrānabhijñena    śrutimātrānusāriṇā |yad avarṇārhavarṇā me    purā mand(e)na bhāṣitāḥ || 1,། ཞིང་དང་ཞིང་མིན་མ་འཚལ་ཏེ་། ། སྒྲ་ཙམ་གྱི་ནི་རྗེས་འབྲངས་ནས་༎ བདག་གིས་ནོངས་ཏེ་སྔོན་ཆད་ནི་། ། བསྔགས་མིན་བསྔགས་པ་བརྗོད་པ་གང་།,"Dass ich, unkundig dessen, was ein ‚Feld‘ und was ein ‚Nichtfeld‘ ist, und bloß der (alten) Überlieferung folgend, Lob auf Tadelnswertes früher einfältig verkündete,"
4c685f2a1912476498c4db03fca7ba5f,tasya vākpaṅkalepasya    prakṣālanam idaṃ mayā |jaṅgamaṃ puṇyatīrthaṃ tvām    ārabhyārabhyate mu(ne || 2),། ངག་གི་འདམ་གྱིས་གོས་པ་དེ་། ། ཐུབ་པ་བསོད་ནམས་འབབ་ཀྱི་སྟེགས་༎ བཞུད་པ་ཁྱོད་ལ་བརྟེན་བཅས་ནས་། ། རབ་ཏུ་བཀྲུ་བ་འདི་བརྩམ་མོ་།,"als ein Reinigungsbad von jener Redeschlammbeschmutzung verfasse ich dies (Werk) über dich, den wandelnden Wallfahrtsbadeplatz, Schweiger!"
80eb2dae7ec64ba994052982a619fdf8,mohāndhenāparāddhaṃ vā    yan mayā vararāśiṣu |tasyedaṃ pāpmano me ’stu    pavitram aghamarṣaṇam || 3,། འདི་ནི་བདག་གིས་མཆོག་ཚོགས་ལ་། ། གཏི་མུག་ལྡོངས་པས་ནོངས་བགྱིས་གང་༎ སྡིག་པ་དེ་ཡི་ནོངས་པ་དག་། ། སེལ་བར་བགྱིད་པའི་བསང་བྱེད་ལགས་།,"Ferner, was ich durch Torheit Blinder versäumt habe gegenüber den Gruppen der Besten, für jene meine Übeltat möge dieses (Werk) ein sündentilgendes Reinigungsmittel sein!"
b6a06c6e28e44adfafa2058bc919fe0f,ā nirodhād anapagaṃ    vākkarmadvayam astu me |tavaiva vacanaṃ yac ca    tvadguṇāpaśrayaṃ ca yat || 4,། བདག་ནི་མྱ་ངན་འདས་བར་དུ་། ། ཁྱོད་ཀྱི་གསུང་དང་ཁྱོད་ཀྱི་ནི་༎ ཡོན་ཏན་བརྗོད་པ་གང་ལགས་པའི་། ། ཚིག་ལས་གཉིས་ལས་ཉམས་མ་གྱུར་།,"Bis zu (meinem) Verlöschen möge mich nicht verlassen die zweifache Redetat, (nämlich) deine eigene Rede und die, welche ihre Stütze in deinen Qualitäten hat."
6bf26df185e84ece8fc2192cc65eeb96,etad ev(a) bruvan brūyāṃ    vāgbhedo vā na me bhavet |etāvad dhi kathāsāram    ato ’nyat kākavāśitam || 5,། གཏམ་འདི་ཙམ་ཞིག་སྙིང་པོར་བས་། ། དེ་ལས་གཞན་དོན་མ་མཆིས་པས་༎ སྨྲ་ན་འདི་ཉིད་སྨྲ་བར་ཤོག་། ། ཡང་ན་བདག་ནི་མི་སྨྲར་ཤོག་།,"Nur davon sprechend möge ich sprechen, solange es keine Unterbrechung der Rede für mich gibt; insoweit nämlich ist Rede essentiell, anderes als dies ist Krähengekrächze."
f01c1678bb4c4d30932c67231c1f995d,tvaddharmād eva te sāmyaṃ    tvatta eva ca labhyate |na gāhant(e ta)to ’nye tu    sarvadharmās tavāntike || 6,། ཁྱོད་ཀྱི་ཆོས་ནི་ཁོ་ན་དང་། ། ཁྱོད་མཉམ་ཁྱོད་ནི་ཉིད་ལ་མངའ་༎ དེ་སླད་ཆོས་གཞན་ཐམས་ཅད་ནི་། ། ཁྱོད་ལས་ཁྱད་དུ་ཁོར་མ་ལགས་།,Nur von deinem Dharma her und nur von dir her ist Gleichheit mit dir zu finden; alle anderen Dharmas aber tauchen nicht in deine Nähe ein.
4c6731fcf5d7475ea80f0d8c57cfe09d,āmukhā buddhadharmāś cet    sarvoparicarāḥ kṛtābhavanti yāti śeṣaṃ ca    vastv avaskaratām iva || 7,། གལ་ཏེ་སངས་རྒྱས་ཆོས་རྣམས་ནི་། ། བསམ་པ་བགྱིས་ན་ཐམས་ཅད་ཀྱི་༎ ཕུལ་དུ་ཕྱིན་གྱུར་དངོས་པོ་གཞན་། ། མི་གཙང་ཉིད་དང་འདྲ་བར་གྱུར་།,"Wenn man sich die Buddhadharmas vergegenwärtigt, werden sie solche, die alles übersteigen; jedes andere Ding aber geht gleichsam in den Zustand von Dung über."
6ecb605b12fe484fb9e60ae2adc1b321,na te ’sti sadṛśaḥ kaś cid    adhike vākpatho ’sti kaḥ |alpāntarāvakṛṣṭo ’pi    na te kaś cana vidyate || 8,། ཁྱོད་འདྲ་འགའ་ཡང་མ་མཆིས་ན་། ། ལྷག་པ་ལྟ་ཞིག་སྨོས་ཅི་འཚལ་༎ ཁྱོད་པས་ཁྱད་པར་ཅུང་ཟད་ཀྱིས་། ། དམན་པ་ཙམ་ཡང་འགའ་མ་མཆིས་།,"Nicht gibt es einen dir Gleichen; welche Möglichkeit gäbe es, über einen Besseren zu sprechen? Selbst einer, der nur ein klein wenig unter dir stünde, findet sich nicht."
