id,P001812,P001813,P001814,P001815
5e8bfc2f5c514f59872537cf7c7e5e28,mūlamadhyamakakārikāḥ,中論卷第一,༼༡ཨ༡༽༎ རྒྱ་གར་སྐད་དུ་། ། པྲ་ཛཉའ་ནའ་མ་མའུ་ལ་མ་དྷཡའ་མ་ཀ་ཀའ་རི་ཀ་། བོད་སྐད་དུ་། ། དབུ་མ་རྩ་བའི་ཚིག་ལེའུར་བྱས་པ་ཤེས་རབ་ཅེས་བྱ་བ་།,Herein lie the Root Verses of the Center called “Intelligence”. In the language of India: Prajnanamamulamadhyamakakarika. In the language of Tibet: dBu ma rtsa ba’i tshig le’ur byas pa shes rab ces bya ba.
0bcb874722c14699a068976f5e28dc34,anirodham anutpādam anucchedam aśāśvatam |anekārtham anānārtham anāgamam anirgamam |yaḥ pratītyasamutpādaṃ prapañcopaśamaṃ śivam |deśayām āsa saṃbuddhas taṃ vande vadatāṃ varam |,不生亦不滅 不常亦不斷不一亦不異 不來亦不出能說是因緣 善滅諸戲論我稽首禮佛 諸說中第一,འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ ༼༢༽ལ་ཕྱག་འཚལ་ལོ་། །གང་གིས་རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་། ། འགག་པ་མེད་པ་སྐྱེ་མེད་པ་། །ཆད་པ་མེད་པ་རྟག་མེད་པ་། ། འོང་བ་མེད་པ་འགྲོ་མེད་པ་། །ཐ་དད་དོན་མིན་དོན་གཅིག་མིན་། ། ༼༣༽སྤྲོས་པ་ཉེར་ཞི་ཞི་བསྟན་པ་། །རྫོགས་པའི་སངས་རྒྱས་སྨྲ་རྣམས་ཀྱི་། ། དམ་པ་དེ་ལ་ཕྱག་འཚལ་ལོ་། །,"I prostrate to the youthful Manjushri.I bow down to the most sublime of speakers, the completely awakened one who taught contingency (no cessation, no birth, no annihilation, no permanence, no coming, no going, no difference, no identity) to ease fixations."
402d0684e40042fbadcfc81d059c1426,na svato nāpi parato na dvābhyāṃ nāpy ahetutaḥ |utpannā jātu vidyante bhāvāḥ kva cana ke cana ||1||,諸法不自生 亦不從他生不共不無因 是故知無生,བདག་ལས་མ་ཡིན་གཞན་ལས་མིན་། ། གཉིས་ལས་མ་ཡིན་རྒྱུ་མེད་མིན་། །དངོས་པོ་གང ༼༤༽དག་གང་ན་ཡང་། ། སྐྱེ་བ་ནམ་ཡང་ཡོད་མ་ཡིན་། །,"No thing anywhere is ever born from itself, from something else, from both or without a cause."
255a8159c7854892abb233cc76e167f4,catvāraḥ pratyayā hetur ārambaṇam anantaram |tathaivādhipateyaṃ ca pratyayo nāsti pañcamaḥ ||2||,如諸法自性 不在於緣中以無自性故 他性亦復無1,རྐྱེན་རྣམ་བཞི་སྟེ་རྒྱུ་དང་ནི་། ། དམིགས་པ་དང་ནི་དེ་མ་ཐག་། །བདག་པོ་ཡང་ནི་དེ་བཞིན་ཏེ་། ། རྐྱེན་ལྔ་པ་ནི་ཡོད་མ་ཡིན་། །,"There are four conditions: Causes, objects, immediate and dominant. There is no fifth."
5c741421ae6a4f71ae9bf5304ef43ea9,na hi svabhāvo bhāvānāṃ pratyayādiṣu vidyate |avidyamāne svabhāve parabhāvo na vidyate ||3||,因緣次第緣 緣緣增上緣四緣生諸法 更無第五緣2,དངོས་པོ་རྣམས་ཀྱི ༼༥༽རང་བཞིན་ནི་། ། རྐྱེན་ལ་སོགས་ལ་ཡོད་མ་ཡིན་། །བདག་གི་དངོས་པོ་ཡོད་མིན་ན་། ། གཞན་དངོས་ཡོད་པ་མ་ཡིན་ནོ་། །,"The essence of things does not exist in conditions and so on. If an own thing does not exist, an other thing does not exist."
c37fa078867340958732295585782873,kriyā na pratyayavatī nāpratyayavatī kriyā |pratyayā nākriyāvantaḥ kriyāvantaś ca santy uta ||4||,果為從緣生 為從非緣生是緣為有果 是緣為無果,བྱ་བ་རྐྱེན་དང་ལྡན་པ་ཡིན་། ། རྐྱེན་དང་མི་ལྡན་བྱ་བ་མེད་། །བྱ་བ་མི་ལྡན་རྐྱེན ༼༢ཨ༡༽མ་ཡིན་། ། བྱ་བ་ལྡན་ཡོད་འོན་ཏེ་ན་། །,"There is no activity which has conditions. There is no activity which does not have conditions. There are no conditions which do not have activity, and none which do have activity."
3671305181dd4220b8ddf6f0533cb532,utpadyate pratītyemān itīme pratyayāḥ kila |yāvan notpadyata ime tāvan nāpratyayāḥ katham ||5||,因是法生果 是法名為緣若是果未生 何不名非緣,འདི་དག་ལ་བརྟེན་སྐྱེ་བས་ན་། ། དེ་ཕྱིར་འདི་དག་རྐྱེན་ཅེས་གྲག་། །ཇི་སྲིད་མི་སྐྱེ་དེ་སྲིད་དུ་། ། འདི་དག་རྐྱེན་མིན་ཇི་ལྟར་མིན་། །,"Since something is born in dependence upon them, then they are known as “conditions”. As long as it is not born, why are they not non-conditions?"
6306b4f17ba04aa1b438243f28a205d7,naivāsato naiva sataḥ pratyayo ’rthasya yujyate |asataḥ pratyayaḥ kasya sataś ca pratyayena kim ||6||,果先於緣中 有無俱不可先無為誰緣 先有何用緣,མེད་དམ་ཡོད་པའི་དོན་ལ་ཡང་། ། རྐྱེན་ནི་རུང ༼༢༽བ་མ་ཡིན་ཏེ་། །མེད་ན་གང་གི་རྐྱེན་དུ་འགྱུར་། ། ཡོད་ན་རྐྱེན་གྱིས་ཅི་ཞིག་བྱ་། །,"It is impossible for something that either exists or not to have conditions. If it were non-existent, of what would they be the conditions? If it were existent, why would it need conditions?"
e6184035439b44da8197106fc5326617,na san nāsan na sad asan dharmo nirvartate yadā |kathaṃ nirvartako hetur evaṃ sati hi yujyate ||7||,若果非有生 亦復非無生亦非有無生 何得言有緣,གང་ཚེ་ཆོས་ནི་ཡོད་པ་དང་། ། མེད་དང་ཡོད་མེད་མི་འགྲུབ་པ་། །ཇི་ལྟར་སྒྲུབ་བྱེད་རྒྱུ་ཞེས་བྱ་། ། དེ་ལྟ་ཡིན་ན་མི་རིགས་སོ་། །,"When things cannot be established as either existent, non-existent or both, how can one speak of an “establishing cause.” Such would be impossible."
4fabb3d0f4d54c0daae1b5d3ee0b99c4,anārambaṇa evāyaṃ san dharma upadiśyate |athānārambaṇe dharme kuta ārambaṇaṃ punaḥ ||8||,果若未生時 則不應有滅滅法何能緣 故無次第緣3,ཡོད་པའི་ཆོས་འདི ༼༣༽དམིགས་པ་ནི་། ། མེད་པ་ཁོ་ན་ཉེ་བར་བསྟན་། །ཅི་སྟེ་ཆོས་ནི་དམིགས་མེད་ན་། ། དམིགས་པ་ཡོད་པར་ག་ལ་འགྱུར་། །,"An existent phenomenon is clearly said to have no object at all. If the phenomenon has no object, where can the object exist?"
