id,P001841,P001842,P001843,P001844,P001845
6322ae9bd76042c39c48d40b86b0873e,Sarvadharmāpravṛttinirdeśa,རྒྱ་གར་སྐད་དུ་། ཨཱརྱ་སརྦ་དྷརྨཱ་པྲ་བྲིཏཏི་ནིར་དེ་ཤ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སū་ཏྲ་།བོད་སྐད་དུ་། འཕགས་པ་ཆོས་ཐམས་ཅད་འབྱུང་བ་མེད་པར་བསྟན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ་།བམ་པོ་དང་པོ་།སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག ༼༢༦༧ཨ༢༽ འཚལ་ལོ་༎,(750a4)諸法無行經卷上(5)姚秦龜茲三藏鳩摩羅什譯,(761b27)佛説諸法本無經卷上(28)隋天竺三藏闍那崛多譯(29),The Teaching on the fact that All Moments of Existence are Beyond Activity.
6c6d3dfb20c3464f81ed7e8512ccd08a,(evaṃ mayā śrutam ekasamaye bhagavān rāja)gṛhe viharati sma gṛdhrakūṭe parvvate mahatā bhikṣusaṃghena sārdhaṃ paṃcabhiḥ bhikṣuśataiḥ dvānavatibhiś ca bodhisatvasahasraiḥ  syād yathīdaṃ viyūhaprati(2maṇḍitaś ca nāma bodhisatvaḥ siṃhavikrāṃtagāmī ca nāma bodhisatvaḥ anāvaraṇa)raśminirdhautaprabhātejarāśīś ca nāma bodhisatvaḥ giriśikharamerusvararājaś ca nāmabodhisatvaḥ priyaprahasitavimalaprabhaś ca nāma bodhi(3satvaḥ  sūryacandrābhibhūtārcīś ca nāmabodhisatvaḥ paramavimala)paṭṭadhāriś ca nāma bodhisatvaḥ niścaritatejapadumapraphullitagātraś ca nāma bodhisatvo mahāsatvaḥ brahmasvaranirghoṣasvaraś ca nā(4ma bodhisatvo mahāsatvaḥ siṃharājagativikrīḍitamatiś ca nāma bodhisatvo mahāsatvaḥ  kanakārciśuddhavimalatejaś ca nāmabodhisatvo mahāsatvaḥ mṛdutalunasparśagātraś ca nāma bodhisatvo mahāsatvaḥ (1v ... ca nāma bodhisatvo mahāsatvaḥ daśaraśmi)mārabalapramardiś ca nāma bodhisatvo mahāsatvaḥ śāntīndriyeryāpathapraśāntagāmī ca nāma bodhisatvo mahāsatvaḥ dharaṇīndharābhyu(2dgatarāja ca nāma bodhisatvaḥ ... ca nā)ma bodhisatvo mahāsatvaḥ  sarvadharmeśvaravaśavikrāṃtagāmiś ca bodhisatvo mahāsatvaḥ śrītejavimalagātraś ca nāma bodhisatvo (3mahāsatvaḥ maṃjuśrīḥ kumārabhūtaś ca nāma bodhisatvo mahāsatvaḥ | evaṃpramukhair dvānavatibhi)r bodhisatvasahasraiḥ sārdham |  atha siṃhavikrāṃtagāmī bodhisatvo mahāsatvaḥ idam evaṃrūpaṃ bodhisatvasaṃnipātaṃ viditvā saṃnipati(4tam utthāyāsanād ekāṃsam uttarāsaṅ gaṃ kṛtvā dakṣiṇaṃ jānumaṇḍalaṃ pṛthivyāṃ pratiṣṭhāpya yena bhagavāṃ tenāṃjaliṃ praṇāmya bhagavaṃtaṃ gāthābhir gītena praśnaṃparipṛcchate sma | ||,འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན་། བཅོམ་ལྡན་འདས་རྒྱལ་པོའི་ཁབ་ཀྱི་བྱ་རྒོད་འཕུངས་པའི་རི་ལ་། དགེ་སློང་ལྔ་བརྒྱ་ཙམ་གྱི་དགེ་སློང་གི་དགེ་འདུན་ཆེན་པོ་དང་ཐབས་གཅིག་ཏུ་བཞུགས་ཏེ་། བྱང་ཆུབ་སེམས་དཔའ་སྟོང་ཕྲག་བཅུ་གཉིས་འདུས་པ་ཡང འདི་ལྟ་སྟེ་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བཀོད་པ་རབ་ཏུ་བརྒྱན་པ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སེང་གེའི་རྩལ་གྱིས་འགྲོ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་འོད་ཟེར་ཐོགས་པ་མེད་པར་ཤིན་ཏུ་སྦྱངས་པའི་འོད་ཀྱི་གཟི་བརྗིད་འབར་བ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རི་རབ་ཟོམ་ལ་རྣམ་པར་སྤྱོད་པའི་རྒྱལ་པོ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་དགའ་བས་རབ་ཏུ་འཛུམ་པའི་འོད་དྲི་མ་མེད་པ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཉི་མའི་འོད་ཟིལ་གྱིས་གནོན་པའི་འོད་འཕྲོ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་གོ་འཕང་དམ་པ་དྲི་མ་མེད་པ་ཐོབ་པ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་གཟི་བརྗིད་འགྲོ་བ་ལ་འཕྲོ་བའི་པད་མ་རབ་ཏུ་རྒྱས་པའི་ལུས་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཚངས་པའི་སྒྲ་དབྱངས་ཀྱི་སྐད་སྒྲོགས་པ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སེང་གེའི་རྒྱལ་པོ་འགྲོ་བ་རྣམ་པར་རོལ་པའི་བློ་འགྲོས་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་གསེར་མདོག་གཟི་བརྗིད་དྲི་མ་མེད་པ་རྣམ་པར་དག་པ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རེག་ན་འཇམ་ཞིང་གཞོན་པའི་ལུས་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་གསེར་གྱི་རྒྱན་ལྟར་མཚན་རབ་ཏུ་རྒྱས་པའི་ལུས་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་འོད་ཟེར་བཅུས་བདུད་རབ་ཏུ་འདུལ་བ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སྤྱོད་ལམ་ཞི་བས་ཉེ་བར་ཞི་བར་འགྲོ་བ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་གཟུགས་འཛིན་མངོན་པར་འཕགས་པའི་རྒྱལ་པོ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ལྷའི་སྒྲ་དབྱངས་སྐད་སྒྲོགས་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཆོས་ཐམས་ཅད་ལ་དབང་ཕྱུག་གི་དབང་གི་རྩལ་གྱིས་སྤྱོད་པ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་གཟི་བརྗིད་དྲི་མ་མེད་པའི་ལུས་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་དང་། དེ་དག་ལ་སོགས་པ་བྱང་ཆུབ་སེམས་དཔའ་སྟོང་ཕྲག་དགུ་བཅུ་རྩ་གཉིས་དང་ཡང་ཐབས་ཅིག་གོ་༎ དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སེང་གེའི་རྩལ་གྱིས་འགྲོ་བས་། བྱང་ཆུབ་སེམས་དཔའི་ཚོགས་དེ་ལྟ་བུ་དེ་མཐོང་ནས་། སྟན་ལས་ལངས་ཏེ་བླ་གོས་ཕྲག་པ་གཅིག་ལ་གཟར་ནས་། པུས་མོ་གཡས་པའི་ལྷ་ང་ས་ལ་བཙུགས་ཏེ་། བཅོམ་ལྡན་འདས་གང་ན་བ་དེ་ལོགས་སུ་ཐལ་མོ་སྦྱར་བ་བཏུད་ནས་། ཚིགས་སུ་བཅད་དེ་ཞུ་བ་ཞུས་པ་།,(6)如是我聞。一時佛在王舍城耆闍崛山中。共(7)大比丘僧五百人倶。菩薩九萬二千人。  其名(8)曰衆徳莊嚴菩薩摩訶薩。師子遊歩菩薩。光(9)無障淨王菩薩。高山頂自在王菩薩。愛喜淨(10)光菩薩。  光蔽日月菩薩。妙淨鬚菩薩。身出(11)蓮華光菩薩。梵自在王音菩薩。遊戲世師子(12)王音菩薩。  金色淨光威徳菩薩。柔軟身菩(13)薩金色相莊嚴身菩薩。十光破魔力菩薩。諸(14)根威儀善寂菩薩。徳如高山菩薩。天音聲菩(15)薩。  法力自在遊行菩薩。山徳淨身菩薩。妙徳(16)菩薩摩訶薩。如是等九萬二千人。  爾時師子(17)遊歩菩薩。見是大會即從座起。偏袒右肩右(18)膝著地。合掌向佛。以偈問曰,復次婆伽婆遊於王舍鷲聚山中。與大比丘(761c1)衆五百人倶。菩薩九萬二千。  所謂莊嚴瑩飾(2)菩薩摩訶薩。師子遊歩菩薩摩訶薩。無礙焔(3)淨光徳威王菩薩摩訶薩。迷留山頂音王菩(4)薩摩訶薩。愛笑無垢光菩薩摩訶薩。  出光蔽(5)日月光菩薩摩訶薩。最勝無垢持冠菩薩摩(6)訶薩。出威蓮華開身菩薩摩訶薩。梵自在音(7)菩薩摩訶薩。象戲師子王意菩薩摩訶薩。  金(8)光淨無垢威菩薩摩訶薩。柔軟觸身菩薩摩(9)訶薩。金莊嚴相開身菩薩摩訶薩。百光休摩(10)羅力菩薩摩訶薩。寂根威儀寂行菩薩摩訶(11)薩。地最上王菩薩摩訶薩。天言辭鳴音菩薩(12)摩訶薩。  法力自在寂靜遊行菩薩摩訶薩。徳(13)威無垢身菩薩摩訶薩。曼殊尸利菩薩摩訶(14)薩。如是等上首九萬二千菩薩  (15)爾時師子遊歩菩薩摩訶薩。見是菩薩等集。(16)從坐而起整理衣服。一肩郁多羅僧伽作已。(17)右膝著地向佛合掌。即以歌頌而問佛義,"Thus have I once heard: The Lord was staying in Rājagṛha, on the Vulture Peak Mountain, with a great congregation of five hundred monks; with him were also ninety-two thousand bodhisattvas:  namely the bodhisattva Viyūhapratimaṇḍita, the bodhisattva Siṃhavikrāṃtagāmī, ...      the bodhisattva, the Great Being, the prince Maṃjuśrī; these were the leaders of the ninety-two thousand bodhisattvas.  Then the bodhisattva, the Great Being Siṃhavikrāṃtagāmī, having seen this congregation of bodhisattvas which was so great, got up from his seat, put his upper gown over his shoulder, and, placing his right knee on the ground and folding his hands in the direction of the Lord, requested the Lord in verses, with a song:"
250de6e3e5ab412b9d24edbf6c641b2a,nirātma nirjīva niṣpudgala dharmā 2r deśehi nāyaka anaṃtayaśāḥ |śāntaḥ praśānta upaśāṃta satā ayam īdṛśa parṣa agravarā || 1 ||,གསོ་མེད་སྲོག་མེད་བདག་མེད་ཆོས་ཀྱི་རྣམས་༎ མགོན་པོ་མཐའ་ཡས་གྲགས་མངས་བཤད་དུ་གསོལ་༎འཁོར་འདི་འདི་འདྲ་དམ་པ་མཆོག་ལགས་ཏེ་༎ ཞི་བ་རྟག་ཞི་རྟག་ཏུ་ཉེ་བར་ཞི་༎,(19)世尊大導師 名徳稱無量(20)今此大衆集 願説寂滅法,(18)無我無命無育法 無邊名稱爲我宣(19)寂靜極寂常寂然 如是此衆最勝者(20),"Leader of unbounded fame, teach us about the moments of existence which are selfless, without a life principle and without a personality. This excellent congregation, so great, is peaceful, eminently and deeply peaceful."
124469eb00814f03b6dc0388292880c3,dṛṣṭīgatāna katha bodhi bhave mānaṃ ca krodha tathā īrṣyam api |rāgasvabhāva katha bodhi bhave deśehi nāyaka anaṃtayaśāḥ 2 || 2 ||,ལྟ་བའི་རྣམ་པ་ཇི་ལྟར་བྱང་ཆུབ་ལགས་༎ ཁྲོ་དང་ཕྲག་དོག་ང་རྒྱལ་བྲལ་བ་དང་༎འདོད་ཆགས་དངོས་བྲལ་ཇི་ལྟར་བྱང་ཆུབ་ལགས་༎ མགོན་པོ་མཐའ་ཡས་གྲགས་མངས་བཤད་དུ་གསོལ་༎,(21)邪見諸愛慢 嫉妬瞋恚性(22)云何即是道 大音方便説,諸見云何是菩提 憍慢瞋恚及嫉妬(21)欲體云何是菩提 爲説導師無邊稱(22),"How can viewpoints be Awakening, how can conceit, aversion and jealousy? How can the essence of passion be Awakening, teach us, leader of unbounded fame!"
ac03d6a1a9834b279ee1a2afe14eae40,nirvāṇa yatra na bhave anigha saṃskāradhātu katha bodhi bhave |yathā dharma advaya bhaveyu jina pravyāharāhi gira kāruṇika || 3 ||,སྐྱོན་བྲལ་ཐར་པ་གང་ལ་མ་མཆིས་པའི་༎ འདུ་བྱེད་ཁམས་ཀྱང་ཇི་ལྟར་བྱང་ཆུབ་ལགས་༎ཇི་ལྟར་ཆོས་རྣམས་གཉིས་སུ་མ་མཆིས་པ་༎ རྒྱལ་བ་ཐུགས་རྗེ་མངའ་བས་བཤད་དུ་གསོལ་༎,(23)云何涅槃相 與世法無異(24)諸法無有二 大悲爲演説,涅槃若無無煩惱 行界云何是菩提(23)其體無二佛亦然 爲我演説大悲者(24),"Where there is no nirvāṇa, flawless one, how can the sphere of conditioned things be Awakening? Compassionate and victorious, explain in words how moments of existence are beyond duality."
2a7111dcc4344b5f96933bd190a07eb6,atyaṃtamukta katha dharma bhave nirvāṇasādṛśa vimuktisamā |ākāśasādṛśa bhave ya kathaṃ saṃ3ge asakta na ca baddha kvaci || 4 ||,ཆོས་རྣམས་ཤིན་ཏུ་རྣམ་པར་གྲོལ་གྱུར་ཅིང་༎ མྱ་ངན་འདས་དང་གྲོལ་མཉམ་ཇི་ལྟར་ལགས་༎ཆགས་པ་མ་ཆགས་ནམ་མཁའི་ཚུལ་འདྲ་ཞིང་༎ འཆིང་བར་མི་འགྱུར་གང་ལགས་མགོན་པོ་གསུང་༎,(25)云何諸法性 畢竟無有礙(26)其性如涅槃 亦同於解脱(27)無縛亦無解 亦復如虚空,諸法云何畢竟脱 涅槃相似解脱同(25)云何當復等虚空 無礙無著無處繋(26),"You, who are boundlessly free, how can the moments of existence be like nirvāṇa, like freedom; how can a person be like space, not attached in any attachment, not bound anywhere?"
4719ac512f7b474a8a79e6237bcf97e2,karaviṃkabrahmarutadevarutā vimalaprabhā kanakavarṇanibhā |śuddhaprabhasvara anaṃtaguṇā deśehi dharmata atyaṃta mune || 5 ||,ཀ་ལ་པིང་ཀ་ཚངས་པ་ལྷ་ཡི་གསུང་༎ འོད་ལ་དྲི་མེད་གསེར་གྱི་མདོག་མངའ་བ་༎ཡིད་འོང་འོད་གསལ་ཡོན་ཏན་མཆོག་མངའ་བས་༎ ཆོས་ཉིད་རྟག་པར་ཚུལ་གཅིག་བཀའ་སྩལ་གསོལ་༎,(28)迦羅頻伽音 大梵清淨聲(29)身色喩天金 淨命無量徳(750b1)演説實相法 畢竟無縛解,迦羅頻伽梵天音 無垢光明金光色(27)清淨光音無邊徳 當爲説法畢無塵(28),"You have the voice of the Kalaviṃka bird, your speech is like that of Brahmā, and that of the Gods; you are unblemished light, with a colour like gold; you who are pure splendour with infinite fualities, teach us, sage, the infinite state of things."
0dae47b4ad984a8b902732077df760f1,kathaṃ bodhi samabhāva nīvaraṇā bodhisvabhāva katha kāma bhave |dharmā 4 adharma katham ekanayā khagasādṛśā vimalā śuddha katha || 6 ||,སྒྲིབ་པ་ཇི་ལྟར་བྱང་ཆུབ་མཉམ་པ་ལགས་༎ བྱང་ཆུབ་རང་བཞིན་ཇི་ལྟར་ཆོས་རྣམས་ལགས་༎ཆོས་དང་ཆོས་མིན་ཇི་ལྟར་འདྲ་བ་ལགས་༎ དེ་གཉིས་ཇི་ལྟར་ནམ་མཁའ་མཚུངས་པ་ལགས་༎,(2)云何此五蓋 而等於菩提(3)云何是菩提 即同諸業性(4)是法是非法 云何同一相(5)如是畢竟淨 唯願爲演説,云何諸蓋等菩提 云何欲是菩提體(29)法非法道云何一 無垢清淨等虚空(762a1),"How is Awakening the same as the hindrances; how can passion be the essence of Awakening? And how are truth and untruth really of one principle, pure and unblemished, like the wind?"
75a545a7313d4eafad01a037c4138ea9,yatrā na saṃkhya na asaṃkhya bhave parinirvṛtā dharma bhaveya katham |bodhiṃ pi yatra na bhave anighā sarvajñatā pi na bhaveya katham || 7 ||,ཆོས་རྣམས་གྲངས་དང་བགྲང་བ་མ་མཆིས་ཤིང་༎ ཞིང་དང་མཉམ་པར་དེ་དག་ཇི་ལྟར་འགྱུར་༎སྐྱོན་བྲལ་བྱང་ཆུབ་དེ་ལ་མ་མཆིས་ཤིང་༎ དེ་ལ་ཀུན་མཁྱེན་མ་མཆིས་ཇི་ལྟར་ལགས་༎,(6)無數無非數 諸法畢竟滅(7)一切種智相 及以菩提道(8)二法云何無 惟願爲演説,若無有數無無數 已滅度法云何是(2)菩提若無無著者 遍智云何亦復無(3),"How can the moments of existence be extinguished where there is no reasoning, nor non-reasoning? How can there be no omniscience where there is no Awakening, O faultless one?"
dfcf058baecc4b10a5057dad168adf05,kriya akriyā 2v akaraṇā ca bhave graha agrāha eta ubhau na bhave |satva pi tatra na kadāci bhave dharme hi āraṃbaṇa naiva bhave || 8 ||,བགྱི་དང་བགྱིད་དང་བགྱི་བའི་རང་བཞིན་དང་༎ གཟུང་དང་འཛིན་པ་ནམ་ཡང་མ་མཆིས་ལ་༎སེམས་ཅན་རྣམས་ཀྱང་རྟག་པར་མ་མཆིས་ཤིང་༎ དེ་ལ་ཆོས་སྤྱོད་ཇི་ལྟར་མ་མཆིས་འགྱུར་༎,(9)無作無非作 無著無非著(10)畢竟無衆生 諸法中無礙,是作非作無有諍 取及不取並無體(4)衆生於中不曾有 法中障礙亦復無(5),"Activity and non-activity are non-causes. As for grasping nor non-grasping, neither of them exist. Living beings never exist there, because there is no physical basis to be found among the dharmas."
