id,P002060,P002061,P002062,P002063,P002064
1a4ceefed2cb4e02b446e3b7c44e992c,abhidharmakośabhāṣyam,阿毘達磨俱舍釋論卷第一 婆藪盤豆造 陳天竺三藏真諦譯,阿毘達磨俱舍論卷第一尊者世親造三藏法師玄奘奉詔譯,༎ རྒྱ་གར་སྐད་དུ་། ཨ་བྷི་དྷ་རམམ་ཀོ་ṣཨṃ་བྷའ་ṣཡṃ་། བོད་སྐད་དུ་། ཆོས་མངོན་པའི་མཛོད་ཀྱི་བཤད་པ་།,The Uighur Abhidharmakośabhāṣya
ba77febad2634f0d93c4549029b75687,prathamaṃ kośasthānam | oṃ namo buddhāya |,釋論中分別界品第一,分別界品第一,འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་ལ་ཕྱག་འཚལ་ལོ་།,
6d9e3be7a08c405a89689d8398cd066a,yaḥ sarvathā sarvahatāndhakāraḥ saṃsārapaṅkāj jagad ujjahāra |tasmai namaskṛtya yathārthaśāstre śāstraṃ pravakṣyāmy abhidharmakośam || 1.1 ||,一切種智滅諸冥 拔出眾生生死泥 頂禮大師如理教 對法俱舍我當說,諸一切種諸冥滅拔眾生出生死泥敬禮如是如理師對法藏論我當說,། གང་ཞིག་ཀུན་ལ་མུན་པ་གཏན་བཅོམ་ཞིང་། ། འཁོར་བའི་འདམ་ལས་འགྲོ་བ་དྲངས་མཛད་པ་༎ དོན་བཞིན་སྟོན་པ་དེ་ལ་ཕྱག་འཚལ་ནས་། ། ཆོས་མངོན་མཛོད་ཀྱི་བསྟན་བཅོས་རབ་བཤད་བྱ་།,
d155bf7fc143422ca22f15826630157f,śāstraṃ praṇetukāmaḥ svasya śāstur māhātmyajñāpanārthaṃ guṇākhyān apūrvakaṃ tasmai namaskāram ārabhate | ya iti | buddhaṃ bhagavantam adhikṛtyāha hatam asyāndhakāram anena veti hatāndhakāraḥ | sarveṇa prakāreṇa sarvasmin hatāndhakāraḥ sarvathā sarvahatāndhakāraḥ |  ajñānaṃ hi bhūtārthadarśanapratibandhād andhakāram |  tac ca bhagavato buddhasya pratipakṣalābhenātyantaṃ sarvathā sarvatra jñeye punar anutpattidharmatvād dhatam | ato ’sau sarvathā sarvahatāndhakāraḥ |  pratyekabuddhaśrāvakā api kāmaṃ sarvatra hatāndhakārāḥ | kliṣṭasaṃmohātyantavigamāt | na tu sarvathā |  tathā hy eṣāṃ buddhadharmeṣv ativiprakṛṣṭadeśakāleṣv artheṣu cānantaprabhedeṣu bhavaty evākliṣṭam ajñānam |  ity ātmahitapratipattisaṃpadā saṃstutya punas tam eva bhagavantaṃ parahitapratipattisaṃpadā saṃstauti saṃsārapaṅkāj jagad ujjahāreti |  saṃsāro hi jagadāsaṅgasthānatvāt duruttaratvāc ca paṅkabhūtaḥ |  tatrāvamagnaṃ jagad atrāṇam anukampamāno bhagavān saddharmadeśanāhastapradānair yathā bhavyam abhyuddhṛtavān  iti | ya evam ātmaparahitapratipattisaṃpadā yuktas tasmai namaskṛtya yathārthaśāstre | namaskṛtyeti śirasā praṇipatya |  yathārtham aviparītaṃ śāstīti yathārthaśāstā | anena parahitapratipattyupāyam asyāviṣkaroti |  yathābhūtaśāsanāc chāstā bhavann asau saṃsārapaṅkāj jagad ujjahāra na tv ṛddhivarapradānaprabhāveṇeti |  tasmai namaskṛtya kiṃ kariṣyāmīty āha śāstraṃ pravakṣyāmi |  śiṣyaśāsanāc chāstram |  katamac chāstram ity āha abhidharmakośam |,釋曰 若人欲正造論 當令他知大師不共功德 故說眾德為先 後頂禮大師  此偈但依佛世尊說 偈曰 一切種智滅諸暝 釋曰 滅一切暝 由一切種智  於一切法無明者 能障見真實義 故稱為暝  此無明於佛世尊 由得究竟通對治故 一切種於一切法 永不生為法故 故稱為滅  獨覺及聲聞 於一切法雖除無明 由有染污無明極不生故 不由一切種  何以故 諸餘聖人 於如來不共法 及於餘境 最久遠時處無邊差別 有無染污無明  顯自利行究竟 讚歎佛已 次以利他行圓滿 讚歎世尊 偈曰 拔出眾生生死泥  釋曰 生死是世間沈著處故 難可度故 故以譬泥  眾生於中沈著無救接者 唯佛世尊欲憐愍度脫 授說正法手應理拔濟  是人與自他利益行相應 偈曰 頂禮大師如理教 釋曰 頭面接足名頂禮  立教不虛稱大師 無倒稱如理 得善離惡言稱教 說此如理教為利他方便  由如理教 從生死泥拔濟眾生 不由通慧施恩威德等  頂禮如理教師已 欲何所作 偈曰 對法俱舍我當說  釋曰 此法通名滅濟教  別名云何 阿毘達磨俱舍,論曰今欲造論為顯自師其體尊高超諸聖眾故先讚德方申敬禮  諸言所表謂佛世尊此能破闇故稱冥滅言一切種諸冥滅者謂滅諸境一切品冥  以諸無知能覆實義及障真見故說為冥  唯佛世尊得永對治於一切境一切種冥證不生法故稱為滅  聲聞獨覺雖滅諸冥以染無知畢竟斷故非一切種  所以者何由於佛法極遠時處及諸義類無邊差別不染無知猶未斷故  已讚世尊自利德滿次當讚佛利他德圓拔眾生出生死泥者  由彼生死是諸眾生沈溺處故難可出故所以譬泥  眾生於中淪沒無救世尊哀愍隨授所應正法教手拔濟令出  已讚佛德次申敬禮敬禮如是如理師者稽首接足故稱敬禮諸有具前自他利德  故云如是如實無倒教授誡勗名如理師如理師言顯利他德能方便  說如理正教從生死泥拔眾生出不由威力與願神通  禮如理師欲何所作對法藏論我當說者  教誡學徒故稱為論  其論者何謂對法藏,། བསྟན་བཅོས་བྱེད་པར་འདོད་པས་རང་གི་སྟོན་པའི་ཆེ་བའི་བདག་ཉིད་ཤེས་པར་བྱ་བའི་ཕྱིར་དེ་ལ་ཡོན་ཏན་བརྗོད་པ་སྔོན་དུ་འགྲོ་བའི་ཕྱག་འཚལ་བ་རྩོམ་མོ་། ། གང་ཞིག་ཅེས་བྱ་བ་ནི་། སངས་རྒྱས་བཅོམ་ལྡན་འདས་ཀྱི་དབང་དུ་བྱས་ནས་སྨྲས་པའོ་། ། འདིའིའམ་འདིས་མུན་པ་བཅོམ་པས་མུན་པ་བཅོམ་པའོ་། ། ཐམས་ཅད་ལ་མུན་པ་རྣམ་པ་ཐམས་ཅད་དུ་བཅོམ་པས་ཀུན་ལ་མུན་པ་གཏན་བཅོམ་པའོ་། ། མི་ཤེས་པ་ནི་ཡང་དག་པའི་དོན་མཐོང་བ་ལ་བགེགས་སུ་གྱུར་པའི་ཕྱིར་མུན་པ་སྟེ་། དེ་ཡང་སངས་རྒྱས་བཅོམ་ལྡན་འདས་ཀྱིས་གཉེན་པོ་བརྙེས་ནས་ཤེས་བྱ་ཐམས་ཅད་ལ་ཕྱིས་མི་སྐྱེ་བའི་ཆོས་ཅན་དུ་གྱུར་པའི་ཕྱིར་གཏན་ནས་ཡེ་བཅོམ་པ་སྟེ་། དེའི་ཕྱིར་འདིའི་ནི་ཀུན་ལ་མུན་པ་གཏན་བཅོམ་པའོ་། ། དེ་རང་སངས་རྒྱས་དང་ཉན་ཐོས་རྣམས་ཀྱང་ཉོན་མོངས་པ་ཅན་གྱི་རྨོངས་པ་དང་བྲལ་བའི་ཕྱིར་ཀུན་ལ་མུན་པ་བཅོམ་པར་ནི་འདོད་མོད་ཀྱི་གཏན་ནས་ནི་མ་ཡིན་ཏེ འདི་ལྟར་དེ་དག་ལ་སངས་རྒྱས་ཀྱི་ཆོས་དང་། ཡུལ་དང་། དུས་ཤིན་ཏུ་བསྐལ་པ་དང་། དོན་རབ་ཏུ་དབྱེ་བ་མཐའ་ཡས་པ་རྣམས་ལ་ཉོན་མོངས་པ་ཅན་མ་ཡིན་པའི་མི་ཤེས་པ་ཡོད་པ་ཉིད་དོ་། ། དེ་ལྟར་བདག་ལ་ཕན་པ་སྒྲུབ་པ་ཕུན་སུམ་ཚོགས་པས་ཡང་དག་པར་བསྟོད་ནས་། ཡང་བཅོམ་ལྡན་འདས་དེ་ཉིད་ལ་གཞན་ལ་ཕན་པ་སྒྲུབ་པ་ཕུན་སུམ་ཚོགས་པས་ཡང་དག་པར་བསྟོད་པ་ནི་། འཁོར་བའི་འདམ་ལས་འགྲོ་བ་དྲངས་མཛད་པ་། ། ཞེས་བྱ་བ་སྟེ་། འཁོར་བ་ནི་འགྲོ་བ་ཀུན་ཏུ་ཆགས་པའི་གནས་ཡིན་པའི་ཕྱིར་དང་། བརྒལ་བར་དཀའ་བའི་ཕྱིར་འདམ་ལྟ་བུ་ཡིན་ཏེ་། འགྲོ་བ་དེར་བྱིང་བ་སྐྱབས་མེད་པ་ལ་བཅོམ་ལྡན་འདས་ཐུགས་བརྩེ་བ་དང་ལྡན་པས་དམ་པའི་ཆོས་སྟོན་པའི་ཕྱག་བརྐྱང་བ་དག་གིས་སྐལ་བ་ཇི་ལྟ་བ་བཞིན་དུ་དྲངས་སོ་།  ༼། དེ་ལྟར་བདག་དང་གཞན་ལ་ཕན་པ་སྒྲུབ་པ་ཕུན་སུམ་ཚོགས་པ་དེ་ལྟ་བུ་དང་ལྡན་པ་གང་ཡིན་པ་དེ་ལ་ཕྱག་འཚལ་ནས་ཞེས་བྱ་བ་ནི་མགོས་བཏུད་ནས་སོ་དོན་བཞིན་སྟོན་པ༽ ། དོན་ཇི་ལྟ་བ་བཞིན་ཕྱིན་ཅི་མ་ལོག་པར་སྟོན་པས་ན་དོན་བཞིན་སྟོན་པའོ་། ། འདིས་ནི་འདིའི་གཞན་ལ་ཕན་པ་སྒྲུབ་པའི་ཐབས་སྟོན་ཏེ་། དེ་ནི་སྟོན་པ་ན་ཡང་དག་པ་ཇི་ལྟ་བ་བཞིན་དུ་སྟོན་པས་འཁོར་བའི་འདམ་ལས་འགྲོ་བ་དྲངས་ཀྱི་རྫུ་འཕྲུལ་དང་། དམ་པ་སྦྱིན་པའི་མཐུས་ནི་མ་ཡིན་ནོ་། ། དེ་ལྟར་བདག་དང་གཞན་ལ་ཕན་པ་སྒྲུབ་པ་ཕུན་སུམ་ཚོགས་པ་དེ་ལྟ་བུ་དང་ལྡན་པ་གང་ཡིན་པ་དེ་ལ་ཕྱག་འཚལ་ནས་ཞེས་བྱ་བ་ནི་མགོས་བཏུད་ནས་སོ་དོན་བཞིན་སྟོན་པ དེ་ལ་ཕྱག་འཚལ་ནས་ཅི་ཞིག་བྱ་ཞེ་ན་། བསྟན་བཅོས་རབ་བཤད་བྱ་ཞེས་བྱ་བ་སྨོས་ཏེ་། སློབ་མ་འཆོས་པས་ན་བསྟན་བཅོས་སོ་། ། བསྟན་བཅོས་གང་ཞེ་ན་། ཆོས་མངོན་མཛོད་ཅེས་བྱ་བ་སྨོས་སོ་།,                            
695ee131d5ab488dac05a540a36cf495,ko ’yam abhidharmo nāma |,何法名阿毘達磨,何謂對法,། ཆོས་མངོན་པ་ཞེས་བྱ་བ་འདི་གང་ཞེ་ན་།,
3adcb281fa2c4760bddd3d0e0c95cc49,prajñāmalā sānucarā ’bhidharmaḥ,偈曰 淨智助伴名對法,頌曰淨慧隨行名對法及能得此諸慧論,ཆོས་མངོན་ཤེས་རབ་དྲི་མེད་རྗེས་འབྲང་བཅས་། ། ཞེས་བྱ་བ་སྟེ་།,
8df8dbc1411b49e2b1a536a89f70162c,tatra prajñā dharmapravicayaḥ | amaleti anāsravā | sānucareti saparivārā |  evam anāsravaḥ pañcaskandhako ’bhidharma ity uktaṃ bhavati |  eṣa tāvat pāramārthiko  ’bhidharmaḥ |  sāṃketikas tu,釋曰 智謂 擇法  淨謂無垢 即無流  智助伴 謂因緣資糧  若爾則說無流五陰 名阿毘達磨  此即真實阿毘達磨  若說假名阿毘達磨,論曰慧謂擇法  淨謂無漏  淨慧眷屬名曰隨行  如是總說無漏五蘊名為對法  此則勝義阿毘達磨  若說世俗阿毘達磨,དེ་ལ་ཤེས་རབ་ཅེས་བྱ་བ་ནི་། ཆོས་རབ་ཏུ་རྣམ་པར་འབྱེད་པའོ་། ། དྲི་མེད་ཅེས་བྱ་བ་ནི་གང་ཟག་པ་མེད་པའོ་། ། རྗེས་འབྲང་བཅས་ཞེས་བྱ་བ་ནི་འཁོར་དང་བཅས་པ་སྟེ་། དེ་ལྟར་ན་ཟག་པ་མེད་པའི་ཕུང་པོ་ལྔ་པོ་ལ་ཆོས་མངོན་པ་ཞེས་བསྟན་པར་འགྱུར་རོ་། ། རེ་ཞིག་འདི་ནི་དོན་དམ་པའི་ཆོས་མངོན་པའོ་། ། བརྡར་བཏགས་པ་ནི་།,          
b5b2c55238494037872d2931284a2796,tatprāptaye yāpi ca yac ca śāstram |,偈曰 能得此法 諸智論,即能得此諸慧及論,དེ་ཐོབ་བྱའི་ཕྱིར་གང་དང་བསྟན་བཅོས་གང་ཞེས་བྱ་བ་སྟེ་།,
dc5541e0081f4633982d8da8b5c8b113,yāpi ca śrutacintābhāvanāmayī sāsravā prajñā upapattipratilambhikā ca sānucarā | yac ca śāstram asyāḥ prāptyartham anāsravāyāḥ prajñāyāḥ tad api tatsaṃbhārabhāvād abhidharma ity ucyate |  nirvacanaṃ tu svalakṣaṇadhāraṇād dharmaḥ |  tad ayaṃ paramārthadharmaṃ vā nirvāṇaṃ dharmalakṣaṇaṃ vā pratyabhimukho dharma ity abhidharmaḥ | ukto ’bhidharmaḥ |,釋曰 即是有流思慧聞慧生得慧及助伴  論謂能傳生無流智 是無流智資糧故 亦名阿毘達磨  因何義立此名 能持自體相故稱達磨  或一切法中真實法涅槃為相 故稱達磨此智對諸法 於法現前故 稱阿毘達磨,慧謂得此有漏修慧思聞生得慧及隨行  論謂傳生無漏慧教此諸慧論是彼資糧故亦得名阿毘達磨  釋此名者能持自相故名為法  若勝義法唯是涅槃若法相法通四聖諦此能對向或能對觀故稱對法已釋對法,གང་དང་ཞེས་བྱ་བ་ནི་ཐོས་པ་དང་བསམས་པ་དང་བསྒོམས་པ་ལས་བྱུང་བའི་ཤེས་རབ་གང་ཟག་པ་དང་བཅས་པ་དང་། སྐྱེས་ནས་ཐོབ་པ་རྗེས་སུ་འབྲང་བ་དང་བཅས་པའོ་། ། བསྟན་བཅོས་གང་ཞེས་བྱ་བ་ནི་དེ་ཡང་ཟག་པ་མེད་པའི་ཤེས་རབ་ཐོབ་པར་བྱ་བའི་ཕྱིར་དེའི་ཚོགས་སུ་གྱུར་པས་ཆོས་མངོན་པ་ཞེས་བྱའོ་། ། ངེས་པའི་ཚིག་ཏུ་རང་གི་མཚན་ཉིད་འཛིན་པའི་ཕྱིར་ཆོས་ཏེ་། དེ་ལྟ་བས་ན་འདི་ནི་དོན་དམ་པའི་ཆོས་མྱ་ངན་ལས་འདས་པའམ་། ཆོས་ཀྱི་མཚན་ཉིད་ལ་མངོན་དུ་ཕྱོགས་པའི་ཕྱིར་ཆོས་མངོན་པའོ་། ཆོས་མངོན་པ་བཤད་ཟིན་ཏོ་།,      
56d57ce7778845ce9dea6c514ef2d3c8,idam tu śāstram katham abhidharmakośam |,此論云何名阿毘達磨俱舍,何故此論名對法藏,། བསྟན་བཅོས་འདི་ཇི་ལྟར་ན་ཆོས་མངོན་པའི་མཛོད་ཡིན་ཞེ་ན་།,
