id,P002079,P002080,P002081,P002082,P002083,P002084,P002085
3ecedb4585e74ee8ab331b204f28d6d1,bodhicaryāvatāra,菩提行經,རྒྱ་ཀར་སྐད་དུ་། ། བའོ་དྷི་སད@ཏབ༹་ཅ་རྱ་མ@བ་ཏཱ་ར་། ། བོད་སྐད་དུ་བྱང་ཅུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པ་། །,རྒྱ་གར་སྐད་དུ་། བོ་དྷི་ས་ཏབ༹་ཙ་རྱ་ཨ་བ་ཏཱ་ར་། བོད་སྐད་དུ་། བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པ་།,Bodhi·satuva-nar-un yabudal-dur oroqui,Introduction a la pratique des futurs Bouddhas (Bodhicaryāvatāra),The Path of Light
ce94293ad7404c08a2c579321d32d5a8,oṃ namo buddhāya ||,卷第一 聖龍樹菩薩集頌 西天中印度惹爛馱囉國 密林寺三藏明教大師賜紫 沙門臣天息災奉　詔譯,སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཆད་ལ་ཕྱག་འཚལ་ལོ་༎ ༎ གང་གིས་རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་། ། འགག་པ་མྱེད་པ་སྐྱེ་མྱེད་པ་། །རྟག་པ་མྱེད་པ་ཆད་མྱེད་པ་། ། ཐ་དད་དོན་མྱིན་དོན་གཅིག་མྱིན་། །༼༡༽འོང་བ་མྱེད་པ་འགྲོ་མྱེད་པ་། ། སྤྲོས་པ་ཉེར་ཞི་ཞི་བསྟནད་པ་། །རྫོགས་པའི་སངས་རྒྱས་སྨྲ་རྣམས་ཀྱི་། ། དམ་པ་དེ་ལ་ཕྱག་འཚལ་ལོ་། །༼༢༽སངགས་རྒྱས་རྣམས་དང་བྱང་ཅུབ་སེམས་དཔའ་དག་། ། སེམས་ཅན་མ་ལུས་གནོད་པ་སེལ་མཛད་ཅིང་། །བདེ་བ་རྣམ་མང་སྣ་ཚོགས་སྒྲུབ་མཛད་པ་། ། དེ་དག་སྤྱོད་དང་བཅས་ལ་གུས་ཕྱག་འཚལ་། །༼༣༽,སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ་། །,namo buddhay·a -:- namo dharmay·a -:- namo sangghay·a -:- enedkeg-ün keleber : bodhi·satuva cary·ā a·batar·a na·ma : töbed-ün keleber : byang-čub sims-dpai spyod-pa-la ’ǰugpa : mongγol-un keleber : bodhi·satuva-nar-un yabudal-dur oroqui neretü šastir : qamuγ burqan bodhi·satuva-nar-tur sögödümü bi -:-,par Çāntideva,Rendered for the first time into English from the Bodhicharyāvatāra of Śāntideva: A manual of Mahāyāna Buddhism
7aecb7f4dab449898e740cb3917b536e,sugatān sasutān sadharmakāyān praṇipatyādarato ’khilāṃś ca vandyān |sugatātmajasaṃvarāvatāraṃ kathayiṣyāmi yathāgamaṃ samāsāt ||1||,如佛妙法體無邊 佛子正心歸命禮佛甘露戒垂覆護 我今讚說悉依法,-,བདེ་གཤེགས་ཆོས་ཀྱི་སྐུ་མངའ་སྲས་འཅས་དང་། ། ཕྱག་འོས་ཀུན་ལའང་གུས་པར་ཕྱག་འཚལ་ཏེ་། །བདེ་གཤེགས་སྲས་ཀྱི་སྡོམ་ལ་འཇུག་པ་ནི་། ། ལུང་བཞིན་མདོར་བསྡུས་ནས་ནི་བརྗོད་པར་བྱ་། །,sayibar oduγsan nom-un bey·e ber köbegüd-lüge nigen-e : qamtu sögödtekün-e ber kündülen sögödčü : bodhi·satuva-nar-un sanvar-tur oroqu-yi : ǰarliγ-un yosuγar kü quriyan ügülesügei -:- 1,"Devant les Bouddhas, devant leurs fils les Bodhisattvas, devant le corps de la Loi, je me prosterne avec un respect profond, et devant tous les amis spirituelts; car je vais exposer le chemin de la vie religieuse des bodhisatvas fils des Bouddhas, - sans m’écarter de l’Écriture, mais en résumé.","Reverently bowing before the Blessed Ones, their Sons, the Body of the Law, and all the worshipful ones, I will briefly set forth in accordance with Holy Writ the way whereby the sons of the Blessed Ones enter the godly life."
36ae73e803134d35b6abe3b10218824c,na hi kiṃcid apūrvam atra vācyaṃ na ca saṃgranthanakauśalaṃ mamāsti |ata eva na me parārthacintā svamano bhāvayituṃ 1 kṛtaṃ mayedam 2 ||2||,此說無有未曾有 亦非自我而獨專我無自他如是時 乃自思惟觀察作,-,སྔོན་ཆད་མ་བྱུང་བ་ཡང་འདིར་བརྗོད་མེད་། ། སྡེབ་སྦྱོར་མཁས་པའང་བདག་ལ་ཡོད་མིན་ཏེ་། །དེ་ཕྱིར་གཞན་དོན་བསམ་པ་བདག་ལ་མེད་། ། རང་གི་ཡིད་ལ་བསྒོམ་ཕྱིར་ངས་འདི་བརྩམས་། །,urida ese boluγsan ber ende ügülekü busu : uran ber busu  bi nayiraγul·un ǰokiyaqui-a : tegüber busud-un tulada ǰokiyaγsan bi busu : öber-ün sedkil-degen bisilγaqui-a ǰokiyaqui-a : 2,"Je n’ai rien à dire de nouveau, en effet, et je ne suis pas un artiste en composition littéraire: si j’ai fait ce livre, c’est seulement pour sanctifier mon propre cæur et sans avoir en vue l’utilité du prochain.","Nothing new will be told here, nor have I skill in writing of books; therefore I have done this work to hallow my own thoughts, not designing it for the welfare of others."
6a238bd468694aacbfeb0fde616a12f9,mama tāvad anena yāti vṛddhiṃ kuśalaṃ bhāvayituṃ prasādavegaḥ |atha matsamadhātur eva paśyed aparo ’py enam ato ’pi sārthako ’yam ||3||,如是發心觀察時 能令我此善增長時見如是娑婆界 此乃是彼佛世尊,-,དགེ་བ་བསྒོམ་ཕྱིར་བདག་གི་དད་པའི་ཤུགས་། ། འདི་དག་གིས་ཀྱང་རེ་ཞིག་འཕེལ་འགྱུར་ལ་། །བདག་དང་སྐལ་བ་མཉམ་པ་གཞན་གྱིས་ཀྱང་། ། ཅི་སྟེ་འདི་དག་མཐོང་ན་དོན་ཡོད་འགྱུར་། །,buyan sedkiküi-yin tulada minu süsüg-ün küčün inu : eden-iyer ber nigen tedüi ülemǰi nemeged : nama-luγ·a sača qubitan busud ber : ker ber eden-i üǰebesü qabiy·a-tu boluyu -:- 3,"Pour sanctifier mon propre cæur? Car, tandis que je le médite, le courant de mes pensées purifiées se porte toujours plus puissant vers le bien.-Mais mon livre n’aurail pas quelque autre utilité, s’il arrivé qu’un homme qui me ressemble vienne á le connaître?","By it the holy impulse within me to frame righteousness is strengthened; but if a fellow-creature should see it, this my book will fulfil another end likewise."
71f5cc93a4b942a8b89d03d8cf4a38a6,kṣaṇasaṃpad iyaṃ sudurlabhā pratilabdhā puruṣārthasādhanī |yadi nātra vicintyate hitaṃ punar apy eṣa samāgamaḥ kutaḥ ||4||,此界刹那難得生 得生爲人宜自慶思惟若離菩提心 復次此來何以得,དལ་འབྱོར་འདི་ནི་རཉཧེད @པར་ཤིན་དུ་དཀའ་། ། སྐྱེས་བུའི་དོན་སྒྲུབ་ཐོབ་འགྱུར་པ་ལ་། །གལ་ཏེ་འདི་ལ་ཕན་པ་མ་བསྒྲུབས་ན་། ། ཕྱིས་འདི་ཡང་དག་འབྱོར་པར་ག་ལ་འགྱུར་། །༼༤༽,དལ་འབྱོར་འདི་ནི་རྙེད་པར་ཤིན་ཏུ་དཀའ་། ། སྐྱེས་བུའི་དོན་སྒྲུབ་ཐོབ་པར་གྱུར་པ་ལ་། །གལ་ཏེ་འདི་ལ་ཕན་པ་མ་བསྒྲུབས་ན་། ། ཕྱིས་འདི་ཡང་དག་འབྱོར་བར་ག་ལ་འགྱུར་། །,masi berkede oldayu ene čöle-tü bütügsen : kümün-ü tusa bütügegči bey·e oluγsan-dur-i: ker be ende tusa-yi inu ese bütügebesü ele: qoyin·a basa egün-lüge učiralduqu qamiγ·a bolqu -:- 4,"Combien difficile á obtenir cet état béni qui réunit toutes les conditions du bonheur temporel et de la délivrance! Si l’homme n’en profite pas pour réfléchir au salut, c’en est fait pur bien longtemps de pareille rencontre.","This brief estate, which once gotten is a means to all the aims of mankind, is exceeding hard to win; if one use it not for wholesome reflection, how shall it ever come again to his lot?"
8a5820e02db04f6fbee54354bf8ad8f4,rātrau yathā meghaghanāndhakāre vidyut kṣaṇaṃ darśayati prakāśam |buddhānubhāvena tathā kadācil lokasya puṇyeṣu matiḥ kṣaṇaṃ syāt ||5||,如雲覆蔽夜黑暗 閃電光明刹那現佛威德利亦復然 刹那發意人獲福,ཅི་ལྟར་མཚན་མོ་མུན་ནག་སྤྲིན་རུམ་ནས་། ། གློག་འགྱུ་སྐད་ཅིག་རབ་སྣང་སྟོན་པ་ལྟར་། །དེ་བཤིན་སངས་རྒྱས་མཐུ་ཡིས་བརྒྱ་ལམ་ན་། ། འཇིག་རྟེན་བསོད་ནམས་བློ་གྲོས་ཐང་འགའ་འབྱུང་། །༼༥༽,ཇི་ལྟར་མཚན་མོ་མུན་ནག་སྤྲིན་རུམ་ན་། ། གློག་འགྱུ་སྐད་ཅིག་བར་སྣང་སྟོན་པ་ལྟར་། །དེ་བཞིན་སངས་རྒྱས་མཐུ་ཡིས་བརྒྱ་ལམ་ན་། ། འཇིག་རྟེན་བསོད་ནམས་བློ་གྲོས་ཐང་འགའ་འབྱུང་། །,niγu-tan qar·a söni-deki egülen-ü dotor·a-ača gilbelǰu : nigen daγun-u ǰaγur·a čaγaγan oγtarγui üǰegdeküi metü : tegünčilen qamiγ·a ene yaγun-a burqan-nuγud-un küčün-iyer : yirtinčü-dekin-e buyan-tu sedkil nigen nigen-te töröyü -:- 5,"De même qu’un éclair brille un instant dans l’obscurité de la nuit et des nuages, de même, par la grâce du Bouddha, il arrive que le pensée des hommes se tourne un instant vers le bien : adonnée au mal dès l’origine, vomment pourrait-elle s’y fixer?","As in the night, amidst the gross darkness of the clouds, the lightning shows for an instant its radiance, so by the grace of the Enlightened it may hap that the mind of man turn for an instant to holy works."
4a1ed675cba9471f946dc8326850ccff,tasmāc chubhaṃ durbalam eva nityaṃ balaṃ tu pāpasya mahat sughoram |taj jīyate ’nyena śubhena kena saṃbodhicittaṃ yadi nāma na syāt ||6||,是故善少力雖劣 能破大惡之業力如是若發菩提心 此善勇進能超彼,དེ་ལྟས་དགེ་བ་ཉམ་ཆུང་ཉིད་ལ་རྟག་། ། སྡིག་པ་སྟོབས་ཆེན་ཤིན་དུ་མྱི་བཟད་པ་། །དེ་ནི་རྫོགས་པའི་བྱང་ཅུབ་སེམས་མྱིན་པར་། ། དགེ་གཞན་གང་གིས་ཟིལད་ཀྱིས་ནོན་པར་འགྱུར་། །༼༦༽,དེ་ལྟས་དགེ་བ་ཉམ་ཆུང་ཉིད་ལ་རྟག་། ། སྡིག་པ་སྟོབས་ཆེན་ཤིན་ཏུ་མི་བཟད་པ་། །དེ་ནི་རྫོགས་པའི་བྱང་ཆུབ་སེམས་མིན་པ་། ། དགེ་གཞན་གང་གིས་ཟིལ་གྱིས་གནོན་པར་འགྱུར་། །,tegüber buyan-nuγud nasuda küčü ügei ber kü ayu  : masi doγsin yeke küčütü tede nigül-nügüd-i :tuγuluγsan bodhičid sedkil-eče anggida busu : ali buyan-iyar darun čidaγdaqui terigün-i -:- 6,"Aussi les mérites acquis sont’ils toujours impuissants à combattre la force irrésistible du péché effroyable. N’était la pensée de Bodhi, quelle vertu pourrait vaincre la force du péché?","Thus righteousness is feeble, and the power of evil is constant, mighty, and dire; by what righteousness could it be overcome, if there were not the Thought of Enlightenment?"
b89577d392894189ac6fb8485b89aa59,kalpān analpān pravicintayadbhir dṛṣṭaṃ munīndrair hitam etad eva |yataḥ sukhenaiva sukhaṃ pravṛddham utplāvayaty apramitāñ janaughān ||7||,思惟無量無邊劫 見佛咸說此眞實若不快樂得快樂 增長救度無邊衆,བསྐལད་པ་དུ་མར་རབ་དགོངས་བཛད་པ་ཡི་། ། ཐུབ་དབང་རྣམས་ཀྱི་འདི་ཉིད་ཕན་པར་གཟིགས་། །འདིས་ནི་ཚད་མྱེད་སྐྱེ་བོའི་ཚོགས་རྣམས་ཀྱིས་། ། བདེ་མཆོག་བདེ་བླག་ཉིད་དུ་ཐོབ་པར་བྱེད་། །༼༧༽,བསྐལ་པ་དུ་མར་རབ་དགོངས་མཛད་པ་ཡི་། ། ཐུབ་དབང་རྣམས་ཀྱིས་འདི་ཉིད་ཕན་པར་གཟིགས་། །འདིས་ནི་ཚད་མེད་སྐྱེ་བོའི་ཚོགས་རྣམས་ཀྱིས་། ། བདེ་མཆོག་བདེ་བླག་ཉིད་དུ་ཐོབ་པར་བྱེད་། །,čaγlasi ügei olan galab-nuγud-tur sedkigčid : čidaγčin-u erketen egün-i büged tusa-tu kemen üǰebei : egüber čaγ ügei olan amitan-a : degedü ǰirγalang-i olγaγulumui kilbar-a büged -:- 7,"Pendent les nombreux millénaires de leur carrière de bodhisattvas, les Rois-Bouddhas ont médité: ils ont découvert cette pensée de Bodhi, véritablement salutaîre, puisqu’elle fait parvenir sans peine au bonheur suprême de la Bodhi la foule innombrable des êtres.","Pondering through many aeons, the Supreme Saints have found this blessing, whereby a swelling joy sweeps in sweetness down the boundless waters of mankind."
598af0a2c20044aebd3847db409cb1c7,bhavaduḥkhaśatāni tartukāmair api sattvavyasanāni hartukāmaiḥ |bahusaukhyaśatāni bhoktukāmair na vimocyaṃ hi sadaiva bodhicittam ||8||,爲諸有情處衆苦 令離百千諸苦怖受多快樂百千種 爲恒不離菩提心,འཇིགས་དང་སྡུག་བསྔལ་བརྒྱ་ཕྲག་གཞོམ་འདོད་ཅིང་། ། སེམས་ཆན་མྱི་བདེ་བསལ་བར་འདོད་པ་དང་། །བདེ་མང་བརྒྱ་ཕྲག་སྤྱོད་པར་འདོད་པས་ཀྱང་། ། བྱང་ཅུབ་སེམས་ཉིད་རྟག་དུ་གཏང་མྱི་བྱ་། །༼༨༽,སྲིད་པའི་སྡུག་བསྔལ་བརྒྱ་ཕྲག་གཞོམ་འདོད་ཅིང་། ། སེམས་ཅན་མི་བདེ་བསལ་བར་འདོད་པ་དང་། །བདེ་མང་བརྒྱ་ཕྲག་སྤྱོད་པར་འདོད་པས་ཀྱང་། ། བྱང་ཆུབ་སེམས་ཉིད་རྟག་ཏུ་གཏང་མི་བྱ་། །,olan ǰaγun orčilang-un ǰobalang-i darun küsegčin-e ber : qamuγ amitan-u ǰiγutan sedkil-i tarqaγulsuγai kemen küsegčin-e ber : olan ǰaγun ǰirγalang-ud-iyar ǰirγasuγai kemen küsegčin ber : ene bodhičid sedkil-i ülü tebčigdeküi buyu -:- 8,"Voulez-vous traverser les mille doulerus de l’existence, calmer les souffrances des créatures, goûter mille et mille bonheurs? N’abandonnez jamais la pensée de Bodhi.","They who would escape the hundreds of life’s sorrows, who would end the anguish of living creatures, and who would taste hundreds of deep delights, must never surrender the Thought of Enlightenment."
